Symbol,Date,Close,High,Low,Open,Volume
EMN,2006-01-02,25.795,26.015,25.75,25.975,0
EMN,2006-01-03,26.135,26.155,25.595,25.975,1652600
EMN,2006-01-04,26.135,26.135,25.8115,26.11,1366000
EMN,2006-01-05,26.475,26.53,26.01,26.135,1591400
EMN,2006-01-06,26.635,26.8,26.375,26.675,1082000
EMN,2006-01-09,26.51,26.915,26.46,26.71,1178400
EMN,2006-01-10,26.44,26.54,26.16,26.435,746200
EMN,2006-01-11,26.195,26.345,26.005,26.25,927200
EMN,2006-01-12,25.91,26.125,25.87,25.975,1192800
EMN,2006-01-13,25.815,26.125,25.745,25.955,607600
EMN,2006-01-16,25.815,26.125,25.745,25.955,0
EMN,2006-01-17,25.545,25.705,25.505,25.525,1164800
EMN,2006-01-18,25.58,25.625,25.325,25.55,785000
EMN,2006-01-19,25.415,25.64,25.3335,25.44,1780200
EMN,2006-01-20,24.98,25.425,24.98,25.425,1100800
EMN,2006-01-23,25.64,25.79,25.05,25.175,1248400
EMN,2006-01-24,26.005,26.08,25.55,25.655,1342600
EMN,2006-01-25,25.95,26.29,25.775,26.115,1227200
EMN,2006-01-26,26.16,26.29,25.805,26.075,1337600
EMN,2006-01-27,24.225,25.185,24.105,24.5,6045800
EMN,2006-01-30,24.2,24.55,24.005,24.25,5190400
EMN,2006-01-31,24.105,24.375,24.05,24.2,2520200
EMN,2006-02-01,24.18,24.225,23.955,24.105,2126200
EMN,2006-02-02,24.0,24.23,23.925,24.185,2087600
EMN,2006-02-03,23.85,23.92,23.65,23.8,2682000
EMN,2006-02-06,23.87,23.89,23.68,23.75,1606000
EMN,2006-02-07,24.005,24.215,23.91,23.91,1972400
EMN,2006-02-08,24.11,24.155,23.81,24.05,1302800
EMN,2006-02-09,24.275,24.6,24.1,24.15,1624800
EMN,2006-02-10,24.47,24.545,24.1,24.275,1297800
EMN,2006-02-13,24.325,24.46,24.04,24.4,1440000
EMN,2006-02-14,24.745,24.79,24.315,24.325,1394800
EMN,2006-02-15,24.93,24.97,24.525,24.705,1728800
EMN,2006-02-16,25.17,25.175,24.76,25.03,1642200
EMN,2006-02-17,25.44,25.515,25.005,25.15,1252000
EMN,2006-02-20,25.44,25.515,25.005,25.15,0
EMN,2006-02-21,25.525,25.639,25.28,25.625,2069999
EMN,2006-02-22,25.235,25.69,25.095,25.545,1740600
EMN,2006-02-23,25.25,25.41,25.0405,25.235,1147000
EMN,2006-02-24,25.22,25.29,24.9455,25.245,891400
