Symbol,Date,Close,High,Low,Open,Volume
EMR,2006-01-02,37.35,37.585,37.315,37.525,0
EMR,2006-01-03,37.565,37.675,36.78,37.525,3250000
EMR,2006-01-04,37.62,38.215,37.62,37.665,2797800
EMR,2006-01-05,37.54,37.805,37.42,37.62,3415600
EMR,2006-01-06,38.165,38.565,37.825,37.825,3695600
EMR,2006-01-09,38.625,38.655,38.0,38.15,2804800
EMR,2006-01-10,39.245,39.3,38.535,38.625,3406200
EMR,2006-01-11,39.095,39.295,38.97,39.25,2159000
EMR,2006-01-12,39.095,39.155,38.72,39.105,2166600
EMR,2006-01-13,39.36,39.61,39.15,39.25,2127200
EMR,2006-01-16,39.36,39.61,39.15,39.25,0
EMR,2006-01-17,38.98,39.46,38.975,39.36,3043000
EMR,2006-01-18,39.295,39.575,38.86,39.0,3169200
EMR,2006-01-19,39.55,39.87,38.95,39.12,3603400
EMR,2006-01-20,38.785,39.885,38.74,39.885,3142800
EMR,2006-01-23,38.44,38.89,38.235,38.855,3176200
EMR,2006-01-24,38.6,38.94,38.435,38.65,2706000
EMR,2006-01-25,39.095,39.32,38.765,38.855,3248600
EMR,2006-01-26,38.805,39.22,38.75,39.155,3269600
EMR,2006-01-27,38.965,39.04,38.72,38.75,3156800
EMR,2006-01-30,38.595,39.07,38.53,38.53,2604200
EMR,2006-01-31,38.725,38.92,37.975,38.47,3589200
EMR,2006-02-01,39.195,39.24,38.585,38.65,2401000
EMR,2006-02-02,38.7,39.325,38.47,39.075,2268400
EMR,2006-02-03,38.675,39.05,38.45,38.45,2118200
EMR,2006-02-06,38.435,39.06,38.405,38.5,2753400
EMR,2006-02-07,39.48,41.3775,39.45,41.2,16414800
EMR,2006-02-08,39.995,40.16,39.835,40.125,6964800
EMR,2006-02-09,41.035,41.3,39.885,40.0,5779000
EMR,2006-02-10,41.425,41.59,41.045,41.075,4989600
EMR,2006-02-13,41.5,41.865,41.16,41.865,3725200
EMR,2006-02-14,42.155,42.34,41.485,41.505,4035400
EMR,2006-02-15,41.93,42.22,41.54,41.54,3601200
EMR,2006-02-16,41.38,41.7,41.135,41.425,3545800
EMR,2006-02-17,40.95,41.325,40.935,41.2,3471600
EMR,2006-02-20,40.95,41.325,40.935,41.2,0
EMR,2006-02-21,40.975,41.33,40.655,40.95,3530200
EMR,2006-02-22,41.715,41.935,41.15,41.4625,3095200
EMR,2006-02-23,41.58,41.76,41.44,41.7,2841400
EMR,2006-02-24,41.4,41.691,41.18,41.5,1486800
EMR,2006-02-27,41.64,41.95,41.515,41.525,2663200
EMR,2006-02-28,40.905,41.765,40.765,41.185,3311400
EMR,2006-03-01,42.03,42.1,40.899,40.905,3642800
EMR,2006-03-02,41.695,42.115,41.49,42.03,2268600
EMR,2006-03-03,41.715,42.375,41.4,41.4,2440400
EMR,2006-03-06,41.425,42.07,41.34,41.625,2506200
EMR,2006-03-07,41.8,42.03,41.425,41.425,2862400
EMR,2006-03-08,41.56,42.07,41.205,41.8,2400200
EMR,2006-03-09,41.905,42.23,41.51,41.56,2372000
EMR,2006-03-10,42.25,42.495,41.94,42.0,1833200
EMR,2006-03-13,42.205,42.38,42.025,42.325,1586200
EMR,2006-03-14,42.71,42.83,42.22,42.235,2181000
EMR,2006-03-15,42.655,42.77,42.265,42.6,1937800
EMR,2006-03-16,42.54,42.77,42.315,42.74,1898600
EMR,2006-03-17,42.835,43.015,42.695,42.8,2433200
EMR,2006-03-20,42.82,42.99,42.635,42.835,1414800
EMR,2006-03-21,42.39,42.885,42.345,42.75,1882400
EMR,2006-03-22,42.78,42.85,42.335,42.39,1976800
EMR,2006-03-23,42.365,42.67,42.225,42.625,2020200
EMR,2006-03-24,42.655,42.75,42.105,42.28,1515800
EMR,2006-03-27,42.285,42.655,42.225,42.655,2397200
EMR,2006-03-28,42.55,42.85,42.235,42.3,2353600
EMR,2006-03-29,42.56,42.95,42.405,42.55,2100200
EMR,2006-03-30,41.945,42.645,41.66,42.4,3168200
EMR,2006-03-31,41.815,42.23,41.745,41.9,2387800
EMR,2006-04-03,41.8,42.51,41.8,42.25,2662400
EMR,2006-04-04,41.57,41.9,41.4,41.825,3761200
EMR,2006-04-05,41.455,41.825,41.37,41.5,2738000
EMR,2006-04-06,41.4,41.695,41.35,41.55,2672600
EMR,2006-04-07,40.805,41.75,40.71,41.55,2656600
EMR,2006-04-10,40.63,40.92,40.525,40.835,2785400
EMR,2006-04-11,40.57,40.77,40.44,40.575,5177000
EMR,2006-04-12,40.67,40.945,40.53,40.635,2474800
EMR,2006-04-13,40.64,40.835,40.4,40.55,3077000
EMR,2006-04-14,40.64,40.835,40.4,40.55,0
EMR,2006-04-17,40.475,40.95,40.425,40.64,2382200
EMR,2006-04-18,41.68,41.73,40.15,40.4,4179999
EMR,2006-04-19,42.565,42.69,41.51,41.51,3996000
EMR,2006-04-20,42.825,43.16,42.56,42.69,3012800
EMR,2006-04-21,43.14,43.345,42.955,43.27,3849200
EMR,2006-04-24,42.955,43.3,42.945,43.13,1932000
EMR,2006-04-25,42.495,42.935,42.24,42.85,2224200
EMR,2006-04-26,42.565,42.95,42.38,42.62,2472800
EMR,2006-04-27,42.345,42.65,41.59,42.115,2679000
EMR,2006-04-28,42.475,42.64,42.21,42.37,1961200
EMR,2006-05-01,42.71,43.075,42.43,42.45,2345600
EMR,2006-05-02,43.265,45.21,43.05,43.325,5734800
EMR,2006-05-03,43.29,43.5,43.1,43.265,2693200
EMR,2006-05-04,43.345,43.94,43.06,43.475,5426800
EMR,2006-05-05,43.735,44.06,43.34,43.34,3609200
EMR,2006-05-08,43.535,44.15,43.385,43.86,2818400
EMR,2006-05-09,43.69,43.69,43.255,43.535,2300800
EMR,2006-05-10,43.355,43.75,43.08,43.435,2494400
EMR,2006-05-11,43.07,43.825,43.05,43.52,4076200
EMR,2006-05-12,42.515,43.2,42.405,43.17,2688400
EMR,2006-05-15,42.535,42.77,42.125,42.6,2188000
EMR,2006-05-16,42.36,42.86,42.355,42.71,1890600
EMR,2006-05-17,41.34,42.485,41.15,42.2,4481400
EMR,2006-05-18,40.295,41.44,40.285,41.44,3763800
EMR,2006-05-19,39.975,40.49,39.375,40.49,5974800
EMR,2006-05-22,39.77,40.125,39.39,39.4,4380600
EMR,2006-05-23,39.99,40.7,39.875,40.0,5644000
EMR,2006-05-24,40.275,40.54,39.8,39.99,5658800
EMR,2006-05-25,40.4,40.745,40.325,40.625,3547600
EMR,2006-05-26,41.27,41.3541,40.53,40.575,3299800
EMR,2006-05-29,41.27,41.3541,40.53,40.575,0
EMR,2006-05-30,40.445,41.85,40.395,41.1,3156600
EMR,2006-05-31,41.26,41.315,40.51,40.63,4871000
EMR,2006-06-01,41.735,41.735,41.055,41.425,2966400
EMR,2006-06-02,41.405,41.8,41.1,41.68,2779800
EMR,2006-06-05,40.365,41.45,40.32,41.3,2560800
EMR,2006-06-06,40.315,40.71,39.915,40.355,3351200
EMR,2006-06-07,39.94,40.555,39.915,40.385,3846000
EMR,2006-06-08,39.31,40.395,38.2,40.395,6019800
EMR,2006-06-09,40.075,40.195,39.56,39.875,4369600
EMR,2006-06-12,39.495,40.285,39.475,40.1,2670000
EMR,2006-06-13,39.75,40.02,39.03,39.175,4699600
EMR,2006-06-14,40.655,40.705,39.94,40.245,4549400
EMR,2006-06-15,41.22,41.345,40.62,40.655,3624200
EMR,2006-06-16,40.925,41.21,40.625,41.02,3535000
EMR,2006-06-19,40.505,41.29,40.24,41.05,2893200
EMR,2006-06-20,40.255,40.735,40.145,40.705,2994600
EMR,2006-06-21,40.45,40.575,40.22,40.25,2825800
EMR,2006-06-22,40.655,40.705,40.335,40.49,2226800
EMR,2006-06-23,41.1,41.425,40.53,40.53,3091200
EMR,2006-06-26,41.2,41.42,40.92,41.2,2333800
EMR,2006-06-27,40.97,41.35,40.76,40.76,2890600
EMR,2006-06-28,40.85,41.085,40.42,41.0,1849800
EMR,2006-06-29,41.985,42.0,40.875,41.025,4061800
