Symbol,Date,Close,High,Low,Open,Volume
EQR,2006-01-02,39.12,39.38,38.95,39.1,0
EQR,2006-01-03,39.99,40.05,38.84,39.3,1915600
EQR,2006-01-04,40.13,40.34,39.85,39.99,1238300
EQR,2006-01-05,40.21,40.52,40.02,40.21,1751800
EQR,2006-01-06,40.89,40.9,40.4,40.4,1620400
EQR,2006-01-09,41.29,41.3,40.97,41.15,1426700
EQR,2006-01-10,41.61,41.89,41.07,41.2,1584800
EQR,2006-01-11,41.39,41.71,41.21,41.71,1398100
EQR,2006-01-12,41.0,41.49,40.95,41.45,1260000
EQR,2006-01-13,40.57,41.15,40.4,41.15,1717800
EQR,2006-01-16,40.57,41.15,40.4,41.15,0
EQR,2006-01-17,40.49,40.65,40.25,40.5,1142700
EQR,2006-01-18,40.64,40.68,40.36,40.47,1602800
EQR,2006-01-19,41.25,41.38,40.64,40.76,953000
EQR,2006-01-20,40.79,41.5,40.77,41.25,1144800
EQR,2006-01-23,40.99,41.17,40.79,40.79,737700
EQR,2006-01-24,41.35,41.53,40.99,40.99,1012000
EQR,2006-01-25,41.64,42.06,41.46,41.8,1260300
EQR,2006-01-26,41.82,42.02,41.73,41.9,998700
EQR,2006-01-27,42.59,42.83,41.92,41.92,1829000
EQR,2006-01-30,42.45,42.74,42.22,42.59,1133500
EQR,2006-01-31,42.41,42.69,42.17,42.27,1364000
EQR,2006-02-01,43.07,43.35,42.35,42.5,2252300
EQR,2006-02-02,43.03,43.36,42.95,43.01,2323300
EQR,2006-02-03,42.8,43.11,41.94,42.66,1679300
EQR,2006-02-06,43.12,43.22,42.74,42.74,2071000
EQR,2006-02-07,43.31,43.47,42.96,42.97,1717100
EQR,2006-02-08,43.14,43.25,42.78,43.25,1480500
EQR,2006-02-09,43.3,43.61,43.0,43.1,1233400
EQR,2006-02-10,43.45,43.75,43.08,43.23,1196200
EQR,2006-02-13,43.73,43.79,43.3,43.45,902600
EQR,2006-02-14,44.08,44.11,43.0,43.78,1399300
EQR,2006-02-15,44.87,45.0,43.954,44.0,1667200
EQR,2006-02-16,45.0,45.12,44.7,44.82,820700
EQR,2006-02-17,45.25,45.3,44.75,45.0,1373900
EQR,2006-02-20,45.25,45.3,44.75,45.0,0
EQR,2006-02-21,45.63,45.7,45.07,45.25,1273700
EQR,2006-02-22,46.15,46.21,44.91,45.8,1444200
EQR,2006-02-23,46.06,46.27,45.811,46.15,934300
EQR,2006-02-24,45.91,46.1,45.68,45.97,785100
EQR,2006-02-27,45.86,46.1,45.65,46.0,1031900
EQR,2006-02-28,45.28,46.0,45.12,45.9,3022500
EQR,2006-03-01,44.96,45.4,44.5,45.28,1651000
EQR,2006-03-02,44.65,44.89,44.45,44.8,1553600
EQR,2006-03-03,44.02,44.4,43.74,44.3,2458800
EQR,2006-03-06,45.26,45.43,44.01,44.02,1463000
