Symbol,Date,Close,High,Low,Open,Volume
ES,2006-01-02,19.69,19.76,19.5,19.62,0
ES,2006-01-03,19.8,19.84,19.43,19.79,1080000
ES,2006-01-04,19.83,19.85,19.56,19.83,594300
ES,2006-01-05,19.83,19.89,19.59,19.87,1193500
ES,2006-01-06,19.72,19.94,19.63,19.9,856700
ES,2006-01-09,19.82,19.84,19.61,19.71,850500
ES,2006-01-10,19.57,19.78,19.51,19.69,700100
ES,2006-01-11,19.73,19.74,19.34,19.61,1196800
ES,2006-01-12,19.67,19.74,19.61,19.73,536700
ES,2006-01-13,19.67,19.73,19.55,19.7,373100
ES,2006-01-16,19.67,19.73,19.55,19.7,0
ES,2006-01-17,19.72,19.74,19.52,19.55,718800
ES,2006-01-18,19.75,19.8,19.53,19.53,699500
ES,2006-01-19,20.21,20.22,19.66,19.74,1691500
ES,2006-01-20,19.98,20.23,19.96,20.17,698100
ES,2006-01-23,20.03,20.12,19.95,19.98,644100
ES,2006-01-24,20.03,20.1,19.93,20.04,392500
ES,2006-01-25,19.88,20.15,19.73,20.02,901900
ES,2006-01-26,19.82,19.97,19.7,19.92,474500
ES,2006-01-27,19.91,19.98,19.76,19.87,490200
ES,2006-01-30,19.9,19.91,19.75,19.87,449700
ES,2006-01-31,19.88,19.97,19.77,19.95,474700
ES,2006-02-01,19.72,19.98,19.72,19.85,498800
ES,2006-02-02,19.6,19.86,19.32,19.74,629700
ES,2006-02-03,19.61,19.65,19.2,19.5,660900
ES,2006-02-06,19.44,19.74,19.42,19.65,643700
ES,2006-02-07,19.34,19.47,19.3,19.37,520200
ES,2006-02-08,19.58,19.58,19.29,19.41,659600
ES,2006-02-09,19.56,19.65,19.46,19.63,620700
ES,2006-02-10,19.63,19.67,19.47,19.56,959400
ES,2006-02-13,19.66,19.72,19.6,19.63,452900
ES,2006-02-14,19.68,19.73,19.46,19.73,835200
ES,2006-02-15,19.76,19.81,19.58,19.65,580900
ES,2006-02-16,19.88,19.9,19.75,19.8,383300
ES,2006-02-17,20.1,20.23,19.81,19.93,1932000
ES,2006-02-20,20.1,20.23,19.81,19.93,0
ES,2006-02-21,19.95,20.09,19.79,20.06,696100
ES,2006-02-22,20.02,20.03,19.88,19.92,611800
ES,2006-02-23,19.6,19.74,19.53,19.55,1102400
