Symbol,Date,Close,High,Low,Open,Volume
ESS,2006-01-02,92.2,92.35,91.81,91.94,0
ESS,2006-01-03,94.42,94.86,92.1,92.45,148100
ESS,2006-01-04,95.15,95.26,94.17,94.17,64500
ESS,2006-01-05,96.0,96.12,95.0,95.15,99800
ESS,2006-01-06,96.0,96.37,95.07,96.22,165700
ESS,2006-01-09,96.39,96.39,94.74,94.8,295700
ESS,2006-01-10,97.3,97.7,95.98,96.14,224800
ESS,2006-01-11,97.79,98.859,97.2,98.8,250000
ESS,2006-01-12,97.95,97.95,97.02,97.65,96600
ESS,2006-01-13,97.0,97.86,96.21,97.86,80600
ESS,2006-01-16,97.0,97.86,96.21,97.86,0
ESS,2006-01-17,97.3,97.3,96.16,96.82,73200
ESS,2006-01-18,96.3,97.42,96.17,97.05,66300
ESS,2006-01-19,98.35,98.36,96.3,96.3,51300
ESS,2006-01-20,97.55,98.62,97.51,98.33,81900
ESS,2006-01-23,97.9,98.14,97.25,97.69,75100
ESS,2006-01-24,99.17,99.25,98.15,98.15,137700
ESS,2006-01-25,98.97,99.49,98.91,99.17,172600
ESS,2006-01-26,99.15,99.6,98.58,99.6,77600
ESS,2006-01-27,100.0,100.47,99.23,99.4,94300
ESS,2006-01-30,98.62,100.08,98.56,100.0,107200
ESS,2006-01-31,99.38,99.83,98.38,98.45,335900
ESS,2006-02-01,99.93,100.4,99.05,99.2,115300
ESS,2006-02-02,100.0,100.14,99.09,99.1,80200
ESS,2006-02-03,98.54,99.5,97.75,99.5,95300
ESS,2006-02-06,99.32,99.32,98.3,98.3,111300
ESS,2006-02-07,98.5,99.74,98.5,99.45,99900
ESS,2006-02-08,97.85,98.66,96.94,98.6,142700
ESS,2006-02-09,97.4,98.76,97.15,97.6,107700
ESS,2006-02-10,99.0,99.0,97.25,97.25,77400
ESS,2006-02-13,98.4,99.06,97.95,98.9,112800
ESS,2006-02-14,98.4,98.6,97.24,98.37,131600
ESS,2006-02-15,99.5,99.5,97.95,98.3,302100
ESS,2006-02-16,99.95,100.1,99.3,99.5,80100
ESS,2006-02-17,101.1,101.19,99.9,99.95,97600
ESS,2006-02-20,101.1,101.19,99.9,99.95,0
ESS,2006-02-21,100.64,101.45,100.35,101.25,111700
ESS,2006-02-22,101.1,101.64,100.25,100.64,147600
ESS,2006-02-23,100.16,101.0,99.85,101.0,157200
ESS,2006-02-24,100.3,100.36,99.71,100.16,198100
ESS,2006-02-27,99.97,100.23,99.65,100.0,218000
ESS,2006-02-28,99.65,100.38,99.05,100.05,72400
ESS,2006-03-01,100.0,100.39,99.33,100.0,139400
ESS,2006-03-02,99.4,99.96,99.19,99.9,77200
ESS,2006-03-03,99.55,99.68,98.27,99.25,100800
ESS,2006-03-06,101.41,101.41,99.57,99.8,184400
ESS,2006-03-07,100.86,101.46,100.3,101.25,181700
ESS,2006-03-08,101.75,101.75,100.59,100.86,106700
ESS,2006-03-09,104.98,105.79,101.68,101.95,370600
ESS,2006-03-10,105.5,106.53,104.46,104.78,228100
ESS,2006-03-13,104.4,105.86,103.83,105.5,222300
ESS,2006-03-14,104.5,104.79,103.72,104.4,105400
ESS,2006-03-15,106.99,107.22,104.59,104.65,139000
ESS,2006-03-16,108.53,109.99,106.8,106.94,257699
ESS,2006-03-17,111.1,111.1,108.26,109.0,405100
ESS,2006-03-20,109.5,111.1,108.52,111.1,392400
ESS,2006-03-21,108.48,110.5,108.09,109.4,714800
ESS,2006-03-22,107.8,108.3,107.2,108.25,171700
ESS,2006-03-23,107.82,108.04,106.91,107.55,148500
ESS,2006-03-24,107.7,107.81,107.28,107.6,52700
ESS,2006-03-27,107.02,108.11,105.34,107.95,123800
ESS,2006-03-28,108.71,109.14,106.69,107.27,93200
ESS,2006-03-29,109.12,109.72,108.05,108.05,74800
ESS,2006-03-30,107.5,108.94,107.0,108.8,129700
ESS,2006-03-31,108.73,109.24,106.83,107.75,132200
ESS,2006-04-03,106.7,109.01,105.96,108.82,225100
ESS,2006-04-04,106.05,107.07,105.5,106.7,126800
ESS,2006-04-05,106.83,107.39,106.15,106.25,53000
ESS,2006-04-06,106.93,107.29,105.78,106.6,154500
ESS,2006-04-07,105.15,106.98,105.15,106.68,101900
ESS,2006-04-10,104.42,106.22,103.51,104.75,186800
ESS,2006-04-11,102.55,104.89,102.48,104.64,209900
ESS,2006-04-12,102.55,103.94,102.14,102.55,153400
ESS,2006-04-13,101.5,102.18,100.9,101.93,85000
ESS,2006-04-14,101.5,102.18,100.9,101.93,0
ESS,2006-04-17,101.01,102.27,100.95,101.3,75800
ESS,2006-04-18,103.7,103.83,101.4,101.4,268700
ESS,2006-04-19,106.67,106.67,103.5,103.5,161400
