Symbol,Date,Close,High,Low,Open,Volume
ETFC,2006-01-02,208.6,212.2,205.1,212.1,0
ETFC,2006-01-03,209.4,217.7,204.1,217.7,473490
ETFC,2006-01-04,216.4,216.4,210.3,211.7,356100
ETFC,2006-01-05,217.3,218.9,215.1,215.5,276170
ETFC,2006-01-06,223.0,224.4,219.0,219.7,366310
ETFC,2006-01-09,221.0,224.1,219.8,223.5,336960
ETFC,2006-01-10,221.7,222.3,218.0,219.3,621330
ETFC,2006-01-11,223.8,226.5,223.0,223.0,335060
ETFC,2006-01-12,223.2,226.2,222.2,224.5,313920
ETFC,2006-01-13,223.5,225.0,222.2,222.7,161190
ETFC,2006-01-16,223.5,225.0,222.2,222.7,0
ETFC,2006-01-17,221.5,223.4,220.3,221.7,276780
ETFC,2006-01-18,218.4,220.0,217.7,219.4,223600
ETFC,2006-01-19,221.7,223.2,219.9,220.0,294840
ETFC,2006-01-20,215.0,222.8,214.1,221.8,295050
ETFC,2006-01-23,221.2,222.5,216.8,217.7,410450
ETFC,2006-01-24,222.2,225.3,219.1,224.9,660350
ETFC,2006-01-25,220.1,223.5,217.0,222.7,395540
ETFC,2006-01-26,229.7,232.7,221.3,221.3,481440
ETFC,2006-01-27,233.5,234.8,231.6,234.0,349170
ETFC,2006-01-30,235.2,237.6,233.0,233.5,261730
ETFC,2006-01-31,237.9,238.4,232.0,235.7,359880
ETFC,2006-02-01,234.7,238.4,233.4,236.4,268630
ETFC,2006-02-02,231.1,236.6,229.6,236.5,254740
ETFC,2006-02-03,230.9,233.8,227.2,230.5,221170
ETFC,2006-02-06,229.5,231.5,228.3,230.2,158510
ETFC,2006-02-07,226.0,233.6,225.2,230.0,279110
ETFC,2006-02-08,234.3,234.6,226.4,228.3,330130
ETFC,2006-02-09,231.2,239.8,230.5,235.4,289050
ETFC,2006-02-10,234.1,234.5,227.6,231.6,335070
ETFC,2006-02-13,233.2,236.1,232.1,233.1,359360
ETFC,2006-02-14,235.0,236.2,232.7,234.4,278500
ETFC,2006-02-15,236.4,240.4,235.0,236.0,321500
ETFC,2006-02-16,241.0,241.0,236.8,237.1,238490
ETFC,2006-02-17,242.3,244.8,241.1,244.0,331740
ETFC,2006-02-20,242.3,244.8,241.1,244.0,0
ETFC,2006-02-21,244.2,244.9,241.0,243.9,255579
ETFC,2006-02-22,248.3,248.6,244.0,245.0,332360
ETFC,2006-02-23,244.7,252.1,243.7,248.9,461150
ETFC,2006-02-24,250.0,251.4,244.4,244.4,415500
ETFC,2006-02-27,254.7,255.76,249.8,249.8,420260
ETFC,2006-02-28,255.8,258.3,253.0,254.5,595710
ETFC,2006-03-01,255.1,258.1,254.5,257.5,492650
ETFC,2006-03-02,257.0,259.1,254.8,255.1,292660
ETFC,2006-03-03,256.2,260.6,255.1,256.0,280710
ETFC,2006-03-06,252.5,258.1,251.8,258.0,215300
ETFC,2006-03-07,247.2,251.9,240.4,251.3,495320
ETFC,2006-03-08,243.4,246.7,237.7,245.7,404140
ETFC,2006-03-09,239.9,247.7,239.3,243.4,294520
ETFC,2006-03-10,243.4,244.9,234.1,239.0,291920
ETFC,2006-03-13,245.1,247.4,244.1,244.7,183100
ETFC,2006-03-14,250.3,250.5,244.1,245.1,358230
ETFC,2006-03-15,254.0,255.7,252.5,254.7,330230
ETFC,2006-03-16,256.9,257.9,255.1,255.6,462080
ETFC,2006-03-17,263.3,264.1,258.1,260.0,594400
ETFC,2006-03-20,264.1,267.5,262.0,267.0,466730
ETFC,2006-03-21,257.1,266.1,256.1,266.0,542950
ETFC,2006-03-22,260.0,261.5,251.5,251.5,460290
ETFC,2006-03-23,257.6,260.4,255.8,260.0,222330
ETFC,2006-03-24,258.5,259.1,256.7,258.2,287040
ETFC,2006-03-27,257.4,258.9,255.2,258.8,240660
ETFC,2006-03-28,255.7,258.6,253.3,258.2,650250
ETFC,2006-03-29,268.0,269.4,258.6,260.0,847890
ETFC,2006-03-30,267.5,271.2,263.2,263.2,513640
ETFC,2006-03-31,269.8,270.7,267.8,267.8,312720
ETFC,2006-04-03,266.3,272.4,264.6,270.4,438290
ETFC,2006-04-04,272.5,273.4,265.5,266.4,371750
ETFC,2006-04-05,268.4,274.0,267.5,272.5,381570
ETFC,2006-04-06,268.5,269.9,265.0,268.4,354760
ETFC,2006-04-07,269.4,270.9,265.9,268.5,379040
ETFC,2006-04-10,266.1,270.6,265.4,269.8,196770
ETFC,2006-04-11,260.7,268.9,260.1,267.2,276480
ETFC,2006-04-12,257.5,260.1,253.5,260.0,461130
ETFC,2006-04-13,263.2,263.2,256.501,256.9,314430
