Symbol,Date,Close,High,Low,Open,Volume
ETR,2006-01-02,68.65,68.94,68.29,68.79,0
ETR,2006-01-03,70.46,70.51,69.13,69.15,1700400
ETR,2006-01-04,70.22,70.83,69.29,70.56,1174000
ETR,2006-01-05,69.8,70.43,69.68,70.4,940800
ETR,2006-01-06,70.58,70.77,69.73,70.5,823500
ETR,2006-01-09,70.24,70.82,69.81,70.62,651800
ETR,2006-01-10,70.43,70.78,69.68,69.9,672000
ETR,2006-01-11,70.07,70.85,69.95,70.8,842000
ETR,2006-01-12,70.67,70.83,69.98,70.15,1082800
ETR,2006-01-13,70.87,71.05,70.49,70.92,1227400
ETR,2006-01-16,70.87,71.05,70.49,70.92,0
ETR,2006-01-17,71.1,71.14,70.11,70.38,834400
ETR,2006-01-18,71.24,71.63,71.04,71.19,778500
ETR,2006-01-19,71.58,71.68,70.61,70.96,1360300
ETR,2006-01-20,70.48,71.7,70.35,71.43,1101600
ETR,2006-01-23,70.42,71.0,70.27,70.64,660200
ETR,2006-01-24,70.93,70.98,70.28,70.39,594400
ETR,2006-01-25,69.71,71.31,69.62,70.9,1182600
ETR,2006-01-26,68.89,70.59,68.66,70.59,1500400
ETR,2006-01-27,69.78,69.81,68.85,68.89,1031099
ETR,2006-01-30,69.23,69.94,69.14,69.78,1071800
ETR,2006-01-31,69.51,70.24,68.35,68.85,1416000
ETR,2006-02-01,69.6,70.32,69.37,69.93,1296200
ETR,2006-02-02,68.99,69.94,68.79,69.69,1450800
ETR,2006-02-03,69.01,69.27,67.97,68.45,1858400
ETR,2006-02-06,69.83,69.91,68.81,69.91,1254000
ETR,2006-02-07,69.9,69.96,69.13,69.69,1230000
ETR,2006-02-08,69.6,69.75,69.16,69.28,2151000
ETR,2006-02-09,69.66,69.89,69.33,69.52,1428400
ETR,2006-02-10,70.0,70.19,69.5,69.63,1157300
ETR,2006-02-13,69.61,69.98,69.42,69.9,597700
ETR,2006-02-14,69.12,69.89,68.79,69.79,1073300
ETR,2006-02-15,70.1,70.1,69.1,69.25,1491100
ETR,2006-02-16,70.23,70.34,69.62,70.01,1069600
ETR,2006-02-17,70.77,70.95,70.28,70.4,1091900
ETR,2006-02-20,70.77,70.95,70.28,70.4,0
ETR,2006-02-21,71.52,71.6,70.91,70.97,1055800
ETR,2006-02-22,72.75,72.97,71.73,71.95,2045300
ETR,2006-02-23,72.25,72.86,72.12,72.8,1642600
ETR,2006-02-24,72.18,72.53,72.09,72.25,891700
ETR,2006-02-27,72.59,72.71,72.31,72.38,1065000
ETR,2006-02-28,72.51,72.62,72.14,72.3,1036700
ETR,2006-03-01,72.0,72.47,71.74,72.45,1787200
ETR,2006-03-02,71.49,71.96,71.24,71.77,1524500
ETR,2006-03-03,70.94,71.5,70.87,71.15,1279700
ETR,2006-03-06,69.8,71.16,69.78,71.15,1368000
ETR,2006-03-07,69.9,69.91,69.2,69.53,939200
ETR,2006-03-08,70.25,70.78,69.04,69.96,1284500
ETR,2006-03-09,70.29,71.0,70.19,71.0,1056700
ETR,2006-03-10,70.93,71.0,69.85,70.16,984300
ETR,2006-03-13,71.44,71.54,70.85,71.0,879100
ETR,2006-03-14,71.53,71.72,70.91,71.3,981700
ETR,2006-03-15,71.28,71.55,70.85,71.33,888700
ETR,2006-03-16,71.96,72.13,71.382,71.57,884100
ETR,2006-03-17,71.64,72.14,71.5,72.0,936600
ETR,2006-03-20,70.95,71.91,70.62,71.85,791700
ETR,2006-03-21,70.07,71.08,69.82,71.05,1072500
ETR,2006-03-22,70.53,70.58,69.78,70.1,578100
ETR,2006-03-23,70.15,70.49,69.57,70.48,727400
ETR,2006-03-24,69.98,70.45,69.76,70.25,548200
ETR,2006-03-27,69.42,70.0,69.27,69.9,487800
ETR,2006-03-28,69.72,69.81,68.95,69.22,969600
ETR,2006-03-29,70.08,70.21,69.4,69.85,696600
ETR,2006-03-30,69.19,70.14,68.93,69.88,1228500
ETR,2006-03-31,68.94,69.45,68.75,69.17,817100
ETR,2006-04-03,69.3,69.6,68.97,69.0,856700
ETR,2006-04-04,69.91,70.31,68.84,69.12,1142600
ETR,2006-04-05,71.06,71.13,69.89,69.92,1009200
ETR,2006-04-06,70.2,71.05,70.0,70.9,1019500
ETR,2006-04-07,69.57,70.15,69.08,70.1,1364900
ETR,2006-04-10,69.12,70.22,69.06,69.56,892900
ETR,2006-04-11,68.15,69.25,67.93,69.2,1205700
ETR,2006-04-12,68.05,68.51,68.0,68.15,966700
ETR,2006-04-13,67.67,68.05,67.54,67.7,873500
ETR,2006-04-14,67.67,68.05,67.54,67.7,0
ETR,2006-04-17,67.76,68.55,66.78,68.55,489400
ETR,2006-04-18,69.31,69.31,67.73,67.73,1192100
ETR,2006-04-19,69.46,69.83,68.84,69.31,1131400
ETR,2006-04-20,69.97,70.25,69.28,69.28,1144700
ETR,2006-04-21,70.09,70.65,69.76,70.32,808900
ETR,2006-04-24,70.64,70.81,69.36,69.85,869700
ETR,2006-04-25,69.38,70.69,68.98,70.69,1423400
ETR,2006-04-26,68.86,69.8,68.39,69.27,872400
ETR,2006-04-27,70.02,70.24,68.26,68.5,833600
ETR,2006-04-28,69.94,70.27,69.49,69.9,673100
ETR,2006-05-01,69.01,70.4,68.61,69.94,754400
ETR,2006-05-02,69.54,70.01,69.12,69.22,746200
ETR,2006-05-03,68.43,69.6,68.2,69.35,1350600
ETR,2006-05-04,68.6,68.85,68.21,68.7,849500
ETR,2006-05-05,70.46,70.53,69.08,69.09,929300
ETR,2006-05-08,70.33,70.57,70.19,70.41,888800
ETR,2006-05-09,68.77,69.62,68.66,69.4,1707100
ETR,2006-05-10,69.86,69.88,68.47,68.5,1089300
ETR,2006-05-11,69.27,69.73,68.7,69.65,687900
ETR,2006-05-12,68.12,69.13,67.85,68.83,996100
ETR,2006-05-15,68.77,68.95,67.6,67.6,932300
ETR,2006-05-16,68.45,68.89,68.37,68.76,485400
ETR,2006-05-17,67.98,68.53,67.14,67.85,1270300
ETR,2006-05-18,67.88,68.7,67.08,67.08,1002200
ETR,2006-05-19,68.56,69.31,67.7,67.95,1346300
ETR,2006-05-22,68.83,69.57,68.31,68.58,1406400
ETR,2006-05-23,68.22,69.31,68.15,68.9,1088400
ETR,2006-05-24,68.18,68.63,67.22,68.0,863600
ETR,2006-05-25,68.75,68.78,68.15,68.4,807900
ETR,2006-05-26,69.56,69.63,68.87,69.03,1042200
ETR,2006-05-29,69.56,69.63,68.87,69.03,0
ETR,2006-05-30,69.4,69.78,69.02,69.1,989200
ETR,2006-05-31,70.11,70.9,69.4,69.4,1145500
ETR,2006-06-01,71.58,71.61,69.69,69.87,1363500
ETR,2006-06-02,72.31,72.39,71.36,71.75,996000
ETR,2006-06-05,71.98,72.55,71.76,72.2,1406000
ETR,2006-06-06,71.87,72.17,71.2,72.05,1212900
ETR,2006-06-07,71.24,71.93,71.15,71.92,809000
ETR,2006-06-08,71.88,72.2,71.06,71.24,1467200
ETR,2006-06-09,72.48,72.64,71.39,71.4,881000
ETR,2006-06-12,72.51,72.97,72.25,72.57,720400
ETR,2006-06-13,71.89,72.62,71.59,72.45,1278700
ETR,2006-06-14,71.19,71.9,70.68,71.9,682700
ETR,2006-06-15,71.45,71.66,70.7,71.25,1225300
ETR,2006-06-16,71.08,71.8,70.89,71.2,1202400
ETR,2006-06-19,70.41,71.335,70.06,71.31,751300
ETR,2006-06-20,70.47,70.84,70.09,70.47,805100
ETR,2006-06-21,70.24,70.67,69.78,70.24,754700
ETR,2006-06-22,69.99,70.16,69.37,70.05,949200
ETR,2006-06-23,69.73,70.44,69.55,69.86,617000
ETR,2006-06-26,69.88,70.35,69.58,69.83,619900
ETR,2006-06-27,70.08,70.65,69.88,69.92,842900
ETR,2006-06-28,70.54,70.73,70.1,70.21,830800
ETR,2006-06-29,70.6,71.39,70.18,70.95,1941900
ETR,2006-06-30,70.75,71.02,70.38,70.7,1329600
ETR,2006-07-03,71.45,71.53,70.8,71.0,572900
ETR,2006-07-04,71.45,71.53,70.8,71.0,0
ETR,2006-07-05,71.46,71.66,71.09,71.24,723900
ETR,2006-07-06,71.35,71.44,70.99,71.25,959500
ETR,2006-07-07,72.06,72.42,71.36,71.39,1024200
ETR,2006-07-10,72.55,72.66,71.99,72.0,1002500
ETR,2006-07-11,73.25,73.34,72.45,72.45,1294200
ETR,2006-07-12,73.34,74.18,73.15,73.43,1493200
ETR,2006-07-13,73.36,74.19,73.2,73.21,1324500
ETR,2006-07-14,73.59,73.98,73.17,73.49,1311300
ETR,2006-07-17,74.16,74.47,73.57,73.72,966100
ETR,2006-07-18,75.39,75.69,74.55,74.79,2294100
ETR,2006-07-19,76.03,76.34,75.25,75.49,1263800
ETR,2006-07-20,76.09,76.31,75.73,76.17,1180000
ETR,2006-07-21,76.61,76.77,76.23,76.75,1656200
ETR,2006-07-24,77.4,77.45,76.55,76.73,1307600
ETR,2006-07-25,77.75,77.93,77.34,77.4,1414700
ETR,2006-07-26,77.95,78.14,77.8,77.86,1660200
ETR,2006-07-27,77.25,78.5,77.24,78.4,1209100
ETR,2006-07-28,77.61,78.2,77.16,77.42,1064400
ETR,2006-07-31,77.1,77.94,77.03,77.27,997000
ETR,2006-08-01,77.9,78.05,76.8,77.21,1118700
ETR,2006-08-02,77.98,78.23,77.63,77.85,691200
ETR,2006-08-03,77.71,77.99,77.44,77.67,955000
ETR,2006-08-04,77.9,78.11,77.44,77.99,666600
ETR,2006-08-07,77.06,78.16,76.96,77.9,1187500
ETR,2006-08-08,78.8,79.1,77.25,77.31,1437700
ETR,2006-08-09,78.79,79.7,78.57,78.98,1271800
