Symbol,Date,Close,High,Low,Open,Volume
EW,2006-01-02,10.4025,10.4875,10.3825,10.48,0
EW,2006-01-03,10.35,10.41,10.2775,10.37,1762800
EW,2006-01-04,10.575,10.5925,10.3375,10.35,1542800
EW,2006-01-05,10.54,10.65,10.52,10.5975,1435600
EW,2006-01-06,10.615,10.625,10.5025,10.5625,930000
EW,2006-01-09,10.485,10.6625,10.46,10.645,1508400
EW,2006-01-10,10.625,10.635,10.4825,10.485,1849200
EW,2006-01-11,10.5625,10.78,10.5375,10.625,2250800
EW,2006-01-12,10.6925,10.7075,10.535,10.55,1070400
EW,2006-01-13,10.745,10.8125,10.6925,10.6925,958000
EW,2006-01-16,10.745,10.8125,10.6925,10.6925,0
EW,2006-01-17,10.59,10.7625,10.555,10.7225,1220800
EW,2006-01-18,10.67,10.685,10.5375,10.54,1068400
EW,2006-01-19,10.6425,10.6775,10.585,10.6775,897600
EW,2006-01-20,10.55,10.645,10.55,10.625,1038400
EW,2006-01-23,10.5575,10.6225,10.55,10.5925,2076000
EW,2006-01-24,10.56,10.64,10.54,10.5825,1737200
EW,2006-01-25,10.435,10.5775,10.4,10.565,1525600
EW,2006-01-26,10.62,10.67,10.4625,10.4625,1758400
EW,2006-01-27,10.6375,10.7375,10.6,10.6575,707600
EW,2006-01-30,10.7,10.7225,10.61,10.635,1061200
EW,2006-01-31,10.735,10.7475,10.65,10.6675,1101200
EW,2006-02-01,10.8325,10.8575,10.6725,10.6725,1730400
EW,2006-02-02,10.7025,10.8325,10.6875,10.825,849600
EW,2006-02-03,11.55,11.83,11.125,11.3125,10204400
EW,2006-02-06,11.1675,11.525,11.1275,11.525,3344800
EW,2006-02-07,11.0025,11.27,10.94,11.2,2234400
EW,2006-02-08,11.01,11.05,10.9725,11.0075,1714800
EW,2006-02-09,11.1275,11.135,10.9426,11.0675,1945200
EW,2006-02-10,10.905,11.125,10.875,11.125,2023600
EW,2006-02-13,10.8275,10.9275,10.75,10.8325,2089999
EW,2006-02-14,10.7725,10.9225,10.75,10.8275,1763200
EW,2006-02-15,10.75,10.8175,10.6825,10.765,1732000
EW,2006-02-16,10.7575,10.8075,10.695,10.7625,1354000
EW,2006-02-17,10.5975,10.7675,10.5925,10.7675,1060400
EW,2006-02-20,10.5975,10.7675,10.5925,10.7675,0
EW,2006-02-21,10.5275,10.59,10.415,10.59,2044800
EW,2006-02-22,10.59,10.6,10.5125,10.5275,1507600
EW,2006-02-23,10.5175,10.6275,10.515,10.5875,1211600
EW,2006-02-24,10.5075,10.555,10.4775,10.5025,938400
EW,2006-02-27,10.5,10.5075,10.475,10.5,1977200
EW,2006-02-28,10.3375,10.5025,10.25,10.4875,2299200
EW,2006-03-01,10.475,10.515,10.26,10.275,2201600
EW,2006-03-02,10.565,10.5725,10.4725,10.5,1675200
EW,2006-03-03,10.625,10.6875,10.54,10.5875,2085999
EW,2006-03-06,10.5525,10.65,10.5,10.6,1357200
EW,2006-03-07,10.4575,10.61,10.4075,10.5375,1910400
EW,2006-03-08,10.36,10.46,10.3225,10.4125,1438800
EW,2006-03-09,10.43,10.495,10.37,10.39,1028400
EW,2006-03-10,10.4475,10.5,10.4,10.4225,601200
EW,2006-03-13,10.39,10.525,10.36,10.4375,858400
EW,2006-03-14,10.47,10.48,10.345,10.3955,1246000
EW,2006-03-15,10.57,10.57,10.445,10.4575,933600
EW,2006-03-16,10.575,10.575,10.505,10.5525,982400
EW,2006-03-17,10.65,10.6875,10.5525,10.575,1244000
EW,2006-03-20,10.675,10.6875,10.5975,10.615,1074400
EW,2006-03-21,10.76,10.77,10.6625,10.7175,2285600
EW,2006-03-22,10.9575,10.9725,10.7025,10.76,2313200
EW,2006-03-23,11.215,11.2175,10.96,10.9625,4107199
EW,2006-03-24,11.205,11.2875,11.1775,11.215,1680800
EW,2006-03-27,11.1175,11.215,11.1175,11.2125,1560000
EW,2006-03-28,11.07,11.1225,11.0075,11.1175,994400
EW,2006-03-29,10.955,11.11,10.9525,11.0425,1481200
EW,2006-03-30,10.8325,10.955,10.7,10.955,5004000
EW,2006-03-31,10.875,10.905,10.8175,10.8575,1365200
EW,2006-04-03,10.8575,10.91,10.73,10.73,1908800
EW,2006-04-04,10.85,10.8625,10.75,10.845,1750000
EW,2006-04-05,10.8625,10.885,10.7375,10.8475,1208400
EW,2006-04-06,10.8375,10.885,10.7525,10.825,1189200
EW,2006-04-07,10.815,10.975,10.795,10.8625,977600
EW,2006-04-10,10.78,10.85,10.7175,10.8125,1048800
EW,2006-04-11,10.705,10.795,10.6575,10.7625,764400
EW,2006-04-12,10.725,10.7875,10.6875,10.7025,810400
EW,2006-04-13,10.7125,10.715,10.5025,10.7125,1308400
EW,2006-04-14,10.7125,10.715,10.5025,10.7125,0
EW,2006-04-17,10.6925,10.73,10.645,10.7125,1108000
EW,2006-04-18,10.8825,10.9975,10.705,10.705,1645200
EW,2006-04-19,10.9375,10.975,10.87,10.8825,1637600
EW,2006-04-20,11.2225,11.2625,10.9625,10.98,2173600
EW,2006-04-21,11.375,11.5275,11.25,11.375,2700400
EW,2006-04-24,11.2275,11.3425,11.1375,11.3375,2112400
EW,2006-04-25,11.17,11.2275,11.1225,11.225,866000
EW,2006-04-26,11.16,11.225,11.0975,11.2025,853600
