Symbol,Date,Close,High,Low,Open,Volume
EXC,2006-01-02,53.14,53.34,52.82,53.27,0
EXC,2006-01-03,54.62,54.69,52.94,53.63,2609800
EXC,2006-01-04,54.62,54.86,53.62,54.86,2556100
EXC,2006-01-05,54.39,54.86,54.2,54.64,2080499
EXC,2006-01-06,55.47,55.47,54.365,54.64,1815200
EXC,2006-01-09,55.33,55.45,54.77,55.32,2833400
EXC,2006-01-10,54.95,55.92,54.37,55.92,2670200
EXC,2006-01-11,54.66,55.03,54.33,54.7,3552100
EXC,2006-01-12,54.67,54.87,54.31,54.66,3138400
EXC,2006-01-13,55.92,56.23,54.95,55.04,3064400
EXC,2006-01-16,55.92,56.23,54.95,55.04,0
EXC,2006-01-17,56.98,57.02,55.38,55.45,2555000
EXC,2006-01-18,57.1,57.87,56.86,56.98,4465400
EXC,2006-01-19,57.8,57.81,57.22,57.52,2093700
EXC,2006-01-20,57.99,58.57,57.46,57.88,3876000
EXC,2006-01-23,58.55,58.68,57.97,58.2,2987100
EXC,2006-01-24,58.86,58.86,57.7,58.4,3639800
EXC,2006-01-25,57.84,59.9,57.75,58.15,4295200
EXC,2006-01-26,57.27,58.44,56.91,58.4,3503600
EXC,2006-01-27,57.61,58.77,57.23,57.28,3341200
EXC,2006-01-30,56.72,57.47,56.48,57.25,3011700
EXC,2006-01-31,57.42,57.69,56.46,56.6,2987300
EXC,2006-02-01,57.22,57.44,56.53,56.9,2200200
EXC,2006-02-02,56.15,57.43,55.83,57.26,2530300
EXC,2006-02-03,55.97,56.4,55.1,56.15,3176700
EXC,2006-02-06,56.05,56.35,55.6,55.6,2441600
EXC,2006-02-07,55.41,55.87,55.04,55.75,2236400
EXC,2006-02-08,54.79,55.37,54.59,55.27,2071600
EXC,2006-02-09,55.51,55.99,54.5,54.69,3423700
EXC,2006-02-10,56.45,56.94,55.61,55.9,3735000
EXC,2006-02-13,55.59,56.31,55.55,56.1,3214800
EXC,2006-02-14,56.01,56.09,54.42,55.5,3094300
EXC,2006-02-15,56.02,56.67,55.49,55.9,2081400
EXC,2006-02-16,55.48,56.03,55.11,55.91,2999600
EXC,2006-02-17,55.95,55.95,55.03,55.25,3514400
EXC,2006-02-20,55.95,55.95,55.03,55.25,0
EXC,2006-02-21,56.65,56.88,55.83,55.97,2951300
EXC,2006-02-22,57.1,57.3,56.78,57.15,2075600
EXC,2006-02-23,57.23,57.62,56.7,57.1,2457100
EXC,2006-02-24,57.11,57.37,56.95,57.18,1765200
EXC,2006-02-27,58.06,58.34,57.27,57.33,2231900
EXC,2006-02-28,57.11,57.91,56.53,57.9,4234700
EXC,2006-03-01,56.45,56.98,56.14,56.95,3174300
EXC,2006-03-02,56.52,56.67,55.48,55.95,2052000
EXC,2006-03-03,57.02,57.42,56.26,56.52,2728500
EXC,2006-03-06,55.05,56.91,54.82,56.77,2916500
EXC,2006-03-07,54.91,55.05,54.33,55.05,2791100
EXC,2006-03-08,55.12,55.49,53.71,55.05,3020300
EXC,2006-03-09,54.68,55.47,54.55,55.17,1415600
EXC,2006-03-10,55.48,55.95,54.69,54.8,2657300
EXC,2006-03-13,55.42,55.62,55.14,55.49,1448600
EXC,2006-03-14,56.2,56.35,55.24,55.5,1808500
