Symbol,Date,Close,High,Low,Open,Volume
F,2006-01-02,7.72,7.89,7.64,7.75,0
F,2006-01-03,7.83,7.83,7.66,7.72,16890600
F,2006-01-04,8.01,8.08,7.82,7.83,32522500
F,2006-01-05,8.35,8.4,8.03,8.05,31275800
F,2006-01-06,8.52,8.66,8.27,8.3,40341300
F,2006-01-09,8.62,8.86,8.6,8.65,27750500
F,2006-01-10,8.77,8.91,8.53,8.68,27841700
F,2006-01-11,8.93,8.96,8.77,8.81,24332600
F,2006-01-12,8.56,8.87,8.5,8.86,30583300
F,2006-01-13,8.55,8.64,8.43,8.56,24023600
F,2006-01-16,8.55,8.64,8.43,8.56,0
F,2006-01-17,8.31,8.58,8.19,8.55,19836600
F,2006-01-18,8.21,8.32,8.16,8.31,17633900
F,2006-01-19,8.22,8.37,8.16,8.2,19502000
F,2006-01-20,7.9,8.3,7.85,8.3,40832500
F,2006-01-23,8.32,8.59,8.27,8.3,65619000
F,2006-01-24,8.4,8.42,8.15,8.4,31060600
F,2006-01-25,8.62,8.63,8.29,8.42,31489500
F,2006-01-26,8.67,8.75,8.4,8.6,35141200
F,2006-01-27,8.65,8.81,8.52,8.68,30666100
F,2006-01-30,8.68,8.8,8.57,8.66,22619000
F,2006-01-31,8.58,8.7,8.56,8.69,13715100
F,2006-02-01,8.66,8.7,8.45,8.53,31285600
F,2006-02-02,8.37,8.68,8.26,8.67,23637000
F,2006-02-03,8.26,8.42,8.23,8.37,17813800
F,2006-02-06,8.11,8.3,8.05,8.26,14848200
F,2006-02-07,8.09,8.18,8.05,8.18,14025800
F,2006-02-08,8.24,8.24,8.08,8.08,19157900
F,2006-02-09,8.36,8.43,8.21,8.22,15382200
F,2006-02-10,8.27,8.34,8.15,8.34,12306900
F,2006-02-13,8.2,8.35,8.17,8.35,9458100
F,2006-02-14,8.3,8.32,8.17,8.23,11382900
F,2006-02-15,8.38,8.393,8.27,8.3,9237100
F,2006-02-16,8.39,8.5,8.31,8.42,15785400
F,2006-02-17,8.45,8.49,8.42,8.43,10887700
F,2006-02-20,8.45,8.49,8.42,8.43,0
F,2006-02-21,8.39,8.46,8.31,8.45,10264000
F,2006-02-22,8.3,8.44,8.28,8.41,13485400
F,2006-02-23,8.17,8.3,8.15,8.3,15635000
F,2006-02-24,8.1,8.21,8.06,8.21,12207900
F,2006-02-27,8.08,8.21,8.08,8.15,13283700
F,2006-02-28,7.97,8.16,7.96,8.09,23516600
F,2006-03-01,7.95,8.02,7.86,8.0,30754300
F,2006-03-02,7.66,7.97,7.65,7.96,32665400
F,2006-03-03,7.57,7.71,7.39,7.66,38994900
F,2006-03-06,7.69,7.76,7.61,7.62,18771400
F,2006-03-07,7.65,7.77,7.6,7.75,17751400
F,2006-03-08,7.55,7.68,7.52,7.65,19274900
F,2006-03-09,7.75,7.79,7.57,7.6,27544200
F,2006-03-10,7.84,7.87,7.78,7.81,15903700
F,2006-03-13,7.86,7.9,7.8,7.85,19330600
F,2006-03-14,7.73,7.82,7.7,7.8,14416500
F,2006-03-15,7.85,7.86,7.73,7.78,10556200
F,2006-03-16,7.93,7.93,7.75,7.85,24824100
F,2006-03-17,7.81,7.95,7.8,7.93,18482200
F,2006-03-20,7.93,7.94,7.81,7.85,12271900
F,2006-03-21,8.05,8.05,7.89,7.98,23480900
F,2006-03-22,8.15,8.16,8.07,8.1,24112000
F,2006-03-23,8.08,8.15,7.93,8.15,17457300
F,2006-03-24,8.09,8.25,7.96,8.04,15183300
F,2006-03-27,8.06,8.18,8.05,8.09,18647200
F,2006-03-28,8.13,8.22,8.04,8.08,17224200
F,2006-03-29,8.26,8.28,8.08,8.11,22973300
F,2006-03-30,8.16,8.29,8.14,8.28,14291400
F,2006-03-31,7.96,8.23,7.9399,8.23,19844700
F,2006-04-03,7.77,8.05,7.74,8.05,30538500
F,2006-04-04,7.68,7.82,7.66,7.77,24231600
F,2006-04-05,7.57,7.71,7.46,7.68,34004600
F,2006-04-06,7.65,7.67,7.55,7.59,21258800
F,2006-04-07,7.6,7.75,7.56,7.7,13828000
F,2006-04-10,7.52,7.65,7.5,7.61,13734100
F,2006-04-11,7.17,7.54,7.13,7.54,42163900
F,2006-04-12,7.28,7.38,7.18,7.26,34582900
F,2006-04-13,7.35,7.39,7.25,7.32,18710100
F,2006-04-14,7.35,7.39,7.25,7.32,0
F,2006-04-17,7.33,7.49,7.31,7.39,11680300
F,2006-04-18,7.47,7.48,7.3,7.33,18187100
F,2006-04-19,7.6,7.62,7.44,7.45,17522600
F,2006-04-20,7.95,7.97,7.65,7.66,60056300
F,2006-04-21,7.32,7.96,7.29,7.76,51226000
F,2006-04-24,6.96,7.32,6.91,7.32,75898100
F,2006-04-25,6.98,7.04,6.95,7.0,36827800
F,2006-04-26,7.25,7.25,7.03,7.07,37422600
F,2006-04-27,7.2,7.25,7.14,7.25,22207300
F,2006-04-28,6.95,7.15,6.94,7.14,36778200
F,2006-05-01,6.91,7.09,6.89,7.08,27746600
F,2006-05-02,6.91,7.03,6.9,7.0,32301299
F,2006-05-03,6.78,6.95,6.75,6.94,32421300
F,2006-05-04,6.83,6.85,6.79,6.84,19009600
F,2006-05-05,6.93,6.95,6.866,6.9,14918500
F,2006-05-08,6.97,7.1,6.93,6.97,20682800
F,2006-05-09,7.17,7.2,7.03,7.04,31717200
F,2006-05-10,7.06,7.35,7.04,7.15,41622400
F,2006-05-11,7.12,7.15,7.04,7.09,19098200
F,2006-05-12,7.11,7.19,7.05,7.14,24880000
F,2006-05-15,7.13,7.19,7.05,7.13,21059800
F,2006-05-16,7.02,7.14,6.98,7.13,18358200
