Symbol,Date,Close,High,Low,Open,Volume
FAST,2006-01-02,19.565,19.75,19.51,19.555,0
FAST,2006-01-03,19.57,19.75,18.855,19.59,2672024
FAST,2006-01-04,19.665,19.665,19.37,19.665,2295516
FAST,2006-01-05,19.4,19.475,19.195,19.395,1473164
FAST,2006-01-06,20.185,20.195,19.385,19.555,2151056
FAST,2006-01-09,20.205,20.415,19.97,20.05,1634892
FAST,2006-01-10,20.275,20.295,20.06,20.23,878366
FAST,2006-01-11,20.465,20.5,20.115,20.335,916350
FAST,2006-01-12,20.37,20.485,20.2345,20.39,853516
FAST,2006-01-13,20.04,20.475,19.98,20.425,811156
FAST,2006-01-16,20.04,20.475,19.98,20.425,0
FAST,2006-01-17,20.15,20.395,19.965,20.0,1059200
FAST,2006-01-18,20.275,20.735,20.145,20.325,1383618
FAST,2006-01-19,21.045,21.07,20.125,20.295,1722518
FAST,2006-01-20,19.185,19.85,18.275,19.5,17439210
FAST,2006-01-23,19.385,19.55,19.24,19.34,2938176
FAST,2006-01-24,19.235,19.595,18.965,19.48,2923930
FAST,2006-01-25,18.985,19.28,18.855,19.265,2657500
FAST,2006-01-26,19.535,19.535,19.015,19.21,2673038
FAST,2006-01-27,19.245,19.89,18.995,19.53,2801306
FAST,2006-01-30,18.96,19.38,18.955,19.34,2651060
FAST,2006-01-31,19.075,19.225,18.685,18.965,3129272
FAST,2006-02-01,19.61,19.66,18.905,18.905,2858556
FAST,2006-02-02,19.63,19.78,19.145,19.605,2429512
FAST,2006-02-03,19.815,20.245,19.745,20.0,2918360
FAST,2006-02-06,19.805,19.87,19.4115,19.745,1931908
FAST,2006-02-07,19.99,20.325,19.645,19.75,2286338
FAST,2006-02-08,20.435,20.55,19.875,20.055,1748924
FAST,2006-02-09,20.36,20.665,20.17,20.55,1437792
FAST,2006-02-10,20.53,20.595,20.075,20.385,1040133
FAST,2006-02-13,20.64,20.69,20.435,20.55,1216472
FAST,2006-02-14,20.655,20.84,20.29,20.69,1237186
FAST,2006-02-15,20.785,20.805,20.275,20.655,1174190
FAST,2006-02-16,20.915,21.085,20.61,20.945,909964
FAST,2006-02-17,21.085,21.12,20.695,20.89,1430420
FAST,2006-02-20,21.085,21.12,20.695,20.89,0
FAST,2006-02-21,20.645,21.17,20.575,21.125,1457436
FAST,2006-02-22,21.54,21.84,20.655,20.74,2084029
FAST,2006-02-23,21.495,21.785,21.385,21.5,1011007
FAST,2006-02-24,21.675,21.68,21.415,21.45,1313834
FAST,2006-02-27,22.55,22.7,21.605,21.8,1954366
FAST,2006-02-28,21.955,22.56,21.7,22.56,2172304
FAST,2006-03-01,22.635,22.695,21.9,22.1,2190126
FAST,2006-03-02,22.125,22.63,22.015,22.51,1615770
FAST,2006-03-03,21.885,22.15,21.67,22.06,1686850
FAST,2006-03-06,21.555,21.96,21.25,21.96,1206510
FAST,2006-03-07,21.44,21.565,21.25,21.5,858036
FAST,2006-03-08,21.365,21.51,20.975,21.29,1306500
FAST,2006-03-09,21.44,21.44,21.185,21.44,1227066
FAST,2006-03-10,21.205,21.685,20.7701,20.96,2082701
FAST,2006-03-13,22.67,22.945,21.2,21.405,5762472
FAST,2006-03-14,22.875,23.015,22.49,22.6,1400836
FAST,2006-03-15,22.92,23.015,22.64,23.0,1224288
FAST,2006-03-16,22.88,23.34,22.815,23.0,1271840
FAST,2006-03-17,23.065,23.265,22.77,22.83,2081502
FAST,2006-03-20,22.99,23.325,22.905,23.055,731346
FAST,2006-03-21,22.59,23.29,22.53,22.925,1631468
FAST,2006-03-22,23.075,23.075,22.5,22.5,823326
FAST,2006-03-23,22.555,22.845,22.44,22.72,1337484
FAST,2006-03-24,22.74,22.805,22.505,22.655,720220
FAST,2006-03-27,22.82,22.82,22.62,22.82,967562
FAST,2006-03-28,22.495,23.08,22.43,22.7,1727522
FAST,2006-03-29,23.315,23.465,22.45,22.575,1233972
FAST,2006-03-30,23.8,23.8,23.465,23.465,1551298
FAST,2006-03-31,23.67,23.855,23.465,23.62,1145552
FAST,2006-04-03,23.725,24.17,23.62,23.75,1155098
FAST,2006-04-04,24.38,24.53,23.705,23.86,1695902
FAST,2006-04-05,24.32,24.32,23.995,24.32,1509368
FAST,2006-04-06,24.035,24.035,23.565,24.035,1985508
FAST,2006-04-07,23.32,23.82,23.17,23.54,2143758
FAST,2006-04-10,23.32,23.46,23.01,23.25,1430056
FAST,2006-04-11,23.23,23.645,23.0,23.32,1180916
FAST,2006-04-12,22.87,23.795,22.565,23.25,2429244
FAST,2006-04-13,23.205,23.205,22.87,22.87,1937992
FAST,2006-04-14,23.205,23.205,22.87,22.87,0
FAST,2006-04-17,23.0,23.205,22.705,23.125,1081758
FAST,2006-04-18,23.695,23.87,22.965,22.965,1315290
FAST,2006-04-19,23.95,23.955,23.565,23.83,1352168
FAST,2006-04-20,23.995,24.325,23.88,23.99,1059370
FAST,2006-04-21,23.55,24.175,23.24,24.175,1021744
FAST,2006-04-24,23.75,23.825,23.37,23.61,961104
FAST,2006-04-25,23.75,23.925,23.57,23.75,1700872
FAST,2006-04-26,23.46,24.045,23.43,23.87,1014948
FAST,2006-04-27,23.56,24.175,23.175,23.37,1251388
FAST,2006-04-28,23.405,23.755,23.34,23.755,1082954
FAST,2006-05-01,22.845,23.6,22.775,23.38,1789698
FAST,2006-05-02,23.05,23.375,22.785,22.85,1183790
FAST,2006-05-03,23.085,23.18,22.795,23.115,1308070
FAST,2006-05-04,23.375,23.505,23.05,23.05,1202432
FAST,2006-05-05,23.57,23.63,23.235,23.525,1095612
FAST,2006-05-08,24.41,24.41,23.615,23.615,1671854
FAST,2006-05-09,24.42,24.565,24.175,24.325,1119000
FAST,2006-05-10,24.215,24.66,24.125,24.5,1240206
FAST,2006-05-11,23.85,24.265,23.665,24.175,961278
FAST,2006-05-12,23.35,23.805,23.245,23.805,1278746
FAST,2006-05-15,22.585,23.285,22.505,23.125,1665384
FAST,2006-05-16,22.445,22.615,22.18,22.51,2117730
FAST,2006-05-17,21.815,22.41,21.71,22.375,2311908
FAST,2006-05-18,21.535,22.0,21.375,21.845,1748478
FAST,2006-05-19,21.655,22.07,21.325,21.41,2528780
FAST,2006-05-22,21.41,21.775,21.2,21.51,1849442
FAST,2006-05-23,21.5,21.92,21.325,21.61,1963086
FAST,2006-05-24,21.515,21.685,21.1,21.25,1777596
FAST,2006-05-25,21.61,21.915,21.285,21.715,1154686
FAST,2006-05-26,21.475,21.905,21.25,21.72,1096908
FAST,2006-05-29,21.475,21.905,21.25,21.72,0
FAST,2006-05-30,21.25,21.695,21.245,21.475,915886
FAST,2006-05-31,21.5,21.83,21.25,21.265,1040508
FAST,2006-06-01,22.16,22.16,21.27,21.3,1798920
FAST,2006-06-02,22.405,22.405,22.195,22.195,1380234
FAST,2006-06-05,21.33,22.22,21.22,22.175,2086878
FAST,2006-06-06,20.205,21.25,20.135,21.24,3997810
FAST,2006-06-07,20.15,20.608,20.13,20.225,2796996
FAST,2006-06-08,19.745,20.295,19.03,20.075,5420476
FAST,2006-06-09,20.075,20.215,19.265,19.75,3295882
FAST,2006-06-12,18.88,20.185,18.82,20.185,3931942
FAST,2006-06-13,18.27,18.925,18.06,18.81,6110122
FAST,2006-06-14,18.955,18.955,18.25,18.25,4067485
FAST,2006-06-15,19.595,19.595,18.91,18.91,2688176
FAST,2006-06-16,19.67,19.785,19.5,19.56,2765926
FAST,2006-06-19,19.2,19.72,19.15,19.675,2274524
FAST,2006-06-20,18.94,19.315,18.82,19.13,1257786
FAST,2006-06-21,19.295,19.595,18.825,19.045,1688574
