Symbol,Date,Close,High,Low,Open,Volume
FDX,2006-01-02,103.39,103.85,103.07,103.35,0
FDX,2006-01-03,103.32,103.85,100.94,103.38,2152400
FDX,2006-01-04,104.84,105.36,103.3,103.32,1730200
FDX,2006-01-05,103.77,105.05,103.31,104.09,1325900
FDX,2006-01-06,102.59,103.98,101.51,103.65,1745200
FDX,2006-01-09,102.92,103.54,101.8,102.0,1502200
FDX,2006-01-10,101.99,102.92,101.71,102.92,1182300
FDX,2006-01-11,101.77,102.45,101.53,102.1,1123900
FDX,2006-01-12,100.31,101.169,99.6,100.99,1663900
FDX,2006-01-13,100.0,101.02,99.67,100.5,776500
FDX,2006-01-16,100.0,101.02,99.67,100.5,0
FDX,2006-01-17,98.19,99.77,97.47,99.76,1954400
FDX,2006-01-18,98.86,100.83,97.4,98.19,1867200
FDX,2006-01-19,102.72,103.22,100.65,100.97,1929300
FDX,2006-01-20,99.95,103.85,99.53,103.4,2845100
FDX,2006-01-23,100.26,100.73,98.46,100.58,1413300
FDX,2006-01-24,101.22,101.55,99.3,100.45,1274400
FDX,2006-01-25,100.8,102.47,100.4,101.9,1380200
FDX,2006-01-26,101.9,102.2,101.14,101.5,950400
FDX,2006-01-27,102.46,102.84,100.75,101.85,967800
FDX,2006-01-30,102.22,102.79,102.0,102.19,696300
FDX,2006-01-31,101.15,102.75,101.12,102.23,1144500
FDX,2006-02-01,99.74,101.35,99.44,101.2,2134300
FDX,2006-02-02,98.5,99.96,98.42,99.73,1478800
FDX,2006-02-03,98.49,98.69,96.501,98.0,1577900
FDX,2006-02-06,98.59,98.73,97.83,98.45,735300
FDX,2006-02-07,98.02,99.17,97.7,98.5,945100
FDX,2006-02-08,100.38,100.43,98.0,98.75,1420300
FDX,2006-02-09,99.55,101.03,99.38,100.45,1008899
FDX,2006-02-10,99.75,100.22,99.18,99.55,1073000
FDX,2006-02-13,101.12,102.39,99.8,99.8,1570700
FDX,2006-02-14,103.7,103.87,101.2,101.2,2031400
FDX,2006-02-15,104.3,104.5,102.55,103.25,1373200
FDX,2006-02-16,104.63,104.9,102.76,103.95,1322000
FDX,2006-02-17,105.05,105.15,103.91,104.7,1238400
FDX,2006-02-20,105.05,105.15,103.91,104.7,0
FDX,2006-02-21,105.04,105.4,104.4,104.92,1779000
FDX,2006-02-22,106.4,106.92,105.0,105.0,2208900
FDX,2006-02-23,106.73,107.5,106.13,106.65,1179300
FDX,2006-02-24,107.16,107.63,106.75,107.4,1318500
FDX,2006-02-27,108.64,108.83,106.88,107.37,1259300
FDX,2006-02-28,107.24,108.54,106.83,108.45,1529700
FDX,2006-03-01,110.43,110.57,108.62,110.43,2607100
FDX,2006-03-02,109.4,110.1,108.64,110.0,1874200
FDX,2006-03-03,111.5,112.37,109.05,109.19,1835000
FDX,2006-03-06,111.58,111.84,110.03,111.29,1424800
FDX,2006-03-07,112.0,112.39,110.78,110.78,1298600
FDX,2006-03-08,111.78,112.19,109.99,112.09,1429200
FDX,2006-03-09,112.35,113.29,111.63,111.82,1981100
FDX,2006-03-10,112.01,113.18,111.67,112.08,1220800
FDX,2006-03-13,112.32,112.89,111.75,112.04,1208000
FDX,2006-03-14,114.76,114.8,112.45,112.5,1661600
FDX,2006-03-15,116.0,116.0,114.23,114.36,1538200
