Symbol,Date,Close,High,Low,Open,Volume
FE,2006-01-02,48.99,49.11,48.75,49.05,0
FE,2006-01-03,50.03,50.04,48.81,49.18,929600
FE,2006-01-04,50.5,50.57,49.76,50.03,1703500
FE,2006-01-05,50.57,50.84,50.4,50.57,1975700
FE,2006-01-06,51.06,51.22,50.65,51.0,1129300
FE,2006-01-09,51.31,51.38,50.99,51.06,711600
FE,2006-01-10,51.2,51.33,50.98,51.28,901900
FE,2006-01-11,51.05,51.41,50.95,51.27,1131300
FE,2006-01-12,50.8,51.09,50.72,50.94,1201700
FE,2006-01-13,50.75,51.0,50.54,50.81,1070800
FE,2006-01-16,50.75,51.0,50.54,50.81,0
FE,2006-01-17,51.44,51.44,50.6,50.6,798400
FE,2006-01-18,51.53,51.7,50.9,51.44,1069100
FE,2006-01-19,51.51,51.57,50.86,51.12,795600
FE,2006-01-20,50.82,51.84,50.76,51.52,978300
FE,2006-01-23,51.1,51.17,50.73,50.73,507600
FE,2006-01-24,51.62,51.63,51.14,51.19,1165600
FE,2006-01-25,50.27,51.78,49.95,51.6,1612100
FE,2006-01-26,50.36,52.0,49.9,51.75,989400
FE,2006-01-27,50.58,51.12,50.39,50.39,1184300
FE,2006-01-30,50.22,50.68,50.18,50.46,870400
FE,2006-01-31,50.1,50.59,49.92,50.05,1093100
FE,2006-02-01,50.25,50.26,49.62,50.1,896800
FE,2006-02-02,49.37,50.31,49.04,50.31,1198200
FE,2006-02-03,48.39,49.17,48.3,48.92,1409500
FE,2006-02-06,48.86,48.93,48.29,48.33,565500
FE,2006-02-07,48.25,48.91,48.1,48.65,1388700
FE,2006-02-08,48.53,48.53,47.89,48.5,863300
FE,2006-02-09,49.02,49.31,48.44,48.5,886800
FE,2006-02-10,49.13,49.41,48.68,48.95,727800
FE,2006-02-13,48.84,49.11,48.84,48.91,576900
FE,2006-02-14,49.04,49.09,48.24,48.85,969100
FE,2006-02-15,48.2,48.99,47.85,48.87,1524700
FE,2006-02-16,48.89,49.0,47.75,48.04,1272000
FE,2006-02-17,49.9,50.07,49.22,49.25,1823600
FE,2006-02-20,49.9,50.07,49.22,49.25,0
FE,2006-02-21,49.91,50.86,49.65,50.22,1504900
FE,2006-02-22,50.68,50.78,49.931,50.19,1408800
FE,2006-02-23,49.95,50.63,49.81,50.49,945200
FE,2006-02-24,50.5,50.55,50.01,50.2,1050500
FE,2006-02-27,51.14,51.29,50.47,50.5,1148700
FE,2006-02-28,51.08,51.16,50.47,50.91,1210200
FE,2006-03-01,51.0,51.23,50.61,51.23,1019400
FE,2006-03-02,50.92,51.01,50.48,51.01,1136900
FE,2006-03-03,51.04,51.38,50.55,50.55,1244900
FE,2006-03-06,49.78,51.19,49.57,51.14,1644900
FE,2006-03-07,49.68,49.93,49.32,49.75,1006999
FE,2006-03-08,49.83,50.19,48.82,49.85,2094100
FE,2006-03-09,49.24,49.95,49.13,49.9,980800
FE,2006-03-10,49.43,49.56,48.94,49.19,1543400
FE,2006-03-13,49.75,49.8,49.17,49.43,1188000
FE,2006-03-14,50.46,50.55,49.5,49.7,1040400
FE,2006-03-15,51.03,51.34,50.29,50.41,1487900
FE,2006-03-16,51.75,51.96,51.23,51.35,1102700
FE,2006-03-17,51.74,52.17,51.56,52.12,1297700
FE,2006-03-20,51.15,52.05,50.88,51.6,809100
FE,2006-03-21,50.49,51.29,50.27,51.26,992200
FE,2006-03-22,50.5,50.76,50.17,50.32,1590200
FE,2006-03-23,50.33,50.61,50.21,50.55,1939200
FE,2006-03-24,50.29,50.55,49.94,50.23,667100
FE,2006-03-27,49.75,50.22,49.53,50.18,711300
FE,2006-03-28,49.32,49.96,49.32,49.73,972100
FE,2006-03-29,50.7,50.74,49.43,49.55,1327000
FE,2006-03-30,49.99,51.19,49.72,50.3,1508900
FE,2006-03-31,48.9,50.23,48.76,49.99,1683000
FE,2006-04-03,48.82,49.65,48.77,48.88,1073700
FE,2006-04-04,49.6,49.81,48.65,48.67,877500
FE,2006-04-05,50.0,50.17,49.53,49.55,1457600
FE,2006-04-06,49.54,49.94,49.04,49.71,1422600
FE,2006-04-07,48.6,49.45,48.24,49.39,1191800
FE,2006-04-10,48.89,49.09,48.48,48.58,1009600
FE,2006-04-11,48.63,49.34,48.59,49.19,1463400
FE,2006-04-12,49.14,49.14,48.62,48.63,757100
FE,2006-04-13,48.88,49.33,48.85,49.14,966200
FE,2006-04-14,48.88,49.33,48.85,49.14,0
FE,2006-04-17,48.45,48.98,48.23,48.65,589200
FE,2006-04-18,49.78,49.82,48.56,48.56,1469400
FE,2006-04-19,49.85,50.11,49.41,49.69,840900
FE,2006-04-20,50.31,50.73,49.8,49.8,726400
FE,2006-04-21,50.32,50.81,50.16,50.64,816800
FE,2006-04-24,50.03,50.14,49.64,50.0,1215900
FE,2006-04-25,49.18,50.0,48.91,49.97,1293700
FE,2006-04-26,49.44,49.48,48.68,49.18,1285000
FE,2006-04-27,50.89,51.28,49.49,49.5,1866700
FE,2006-04-28,50.71,51.11,50.37,50.9,1110000
FE,2006-05-01,50.15,50.86,49.9,50.4,935700
FE,2006-05-02,51.67,51.77,50.25,50.25,2973800
FE,2006-05-03,51.01,51.24,50.85,50.85,2324900
FE,2006-05-04,51.09,51.5,50.85,51.01,746200
FE,2006-05-05,51.88,52.0,51.29,51.34,1154400
FE,2006-05-08,51.97,51.97,51.01,51.52,1361000
