Symbol,Date,Close,High,Low,Open,Volume
FFIV,2006-01-02,28.595,28.925,28.525,28.925,0
FFIV,2006-01-03,30.895,31.2,28.35,28.855,7730684
FFIV,2006-01-04,32.0,32.0,31.025,31.025,2860306
FFIV,2006-01-05,32.115,32.25,31.84,32.05,3067686
FFIV,2006-01-06,32.09,32.24,31.61,32.24,2903606
FFIV,2006-01-09,32.2,32.2,31.805,32.0,2051334
FFIV,2006-01-10,31.775,32.41,31.02,31.725,2769938
FFIV,2006-01-11,29.12,29.81,28.28,29.75,8578086
FFIV,2006-01-12,29.37,30.015,28.775,29.105,2022922
FFIV,2006-01-13,29.155,29.68,29.06,29.245,1108736
FFIV,2006-01-16,29.155,29.68,29.06,29.245,0
FFIV,2006-01-17,28.935,29.21,28.765,29.045,961378
FFIV,2006-01-18,29.42,29.42,28.1,28.1,2267262
FFIV,2006-01-19,29.755,29.96,29.269,29.365,6262602
FFIV,2006-01-20,30.795,31.85,30.4,30.415,8878002
FFIV,2006-01-23,30.47,31.235,29.525,30.735,2442684
FFIV,2006-01-24,30.435,30.96,29.99,30.685,2847330
FFIV,2006-01-25,31.08,31.5,30.45,30.695,2310168
FFIV,2006-01-26,31.835,32.22,31.1,31.3,2071210
FFIV,2006-01-27,31.745,32.9,31.34,32.04,1675608
FFIV,2006-01-30,31.84,31.84,31.5,31.84,1045700
FFIV,2006-01-31,32.305,32.39,31.285,31.465,1945404
FFIV,2006-02-01,32.5,32.895,31.8,31.835,2001011
FFIV,2006-02-02,31.725,32.625,31.635,32.435,1615140
FFIV,2006-02-03,31.515,31.97,31.38,31.72,1067650
FFIV,2006-02-06,31.845,32.57,31.625,32.04,2575922
FFIV,2006-02-07,31.295,32.2,30.905,31.955,1100866
FFIV,2006-02-08,31.67,31.795,30.795,31.445,1349816
FFIV,2006-02-09,30.44,31.8,30.255,31.73,1456616
FFIV,2006-02-10,30.72,30.955,29.3,30.315,1992190
FFIV,2006-02-13,30.25,30.58,30.085,30.51,666288
FFIV,2006-02-14,30.07,30.4,29.875,30.395,831714
FFIV,2006-02-15,30.625,30.95,29.964,29.99,1393660
FFIV,2006-02-16,30.805,30.905,30.425,30.815,899638
FFIV,2006-02-17,31.575,32.045,30.75,30.84,1756354
FFIV,2006-02-20,31.575,32.045,30.75,30.84,0
FFIV,2006-02-21,31.38,32.495,31.355,31.805,1549424
FFIV,2006-02-22,31.88,32.24,31.03,31.68,1020654
FFIV,2006-02-23,32.2,32.48,31.605,31.96,1596988
FFIV,2006-02-24,33.58,33.83,31.975,32.205,3875778
FFIV,2006-02-27,34.41,34.675,33.15,33.84,2969512
FFIV,2006-02-28,33.9,34.625,33.6,34.53,1719136
FFIV,2006-03-01,33.96,34.375,33.75,33.9,1194674
FFIV,2006-03-02,34.375,35.075,33.78,34.015,2370270
FFIV,2006-03-03,34.605,35.775,34.27,34.27,2462702
FFIV,2006-03-06,33.58,35.13,33.36,34.765,2500488
FFIV,2006-03-07,32.925,33.3,32.535,33.255,2386956
FFIV,2006-03-08,32.595,32.965,31.5,32.965,3165394
FFIV,2006-03-09,32.485,33.4,32.39,32.855,1296274
FFIV,2006-03-10,32.905,32.905,32.5,32.5,925162
FFIV,2006-03-13,34.05,34.355,32.865,32.875,2205528
FFIV,2006-03-14,34.235,34.375,33.475,33.88,1222056
FFIV,2006-03-15,34.45,34.6,33.815,34.33,838474
FFIV,2006-03-16,34.035,35.205,33.94,34.69,1099008
FFIV,2006-03-17,34.965,35.0,33.905,34.0,1488150
FFIV,2006-03-20,36.515,36.94,34.7,35.125,3931374
FFIV,2006-03-21,35.285,36.125,34.94,35.5,3047022
FFIV,2006-03-22,35.0,35.225,34.255,35.055,1894226
FFIV,2006-03-23,35.505,35.59,34.455,35.065,1711856
FFIV,2006-03-24,35.51,36.05,35.19,35.665,995926
FFIV,2006-03-27,34.44,35.605,34.44,35.43,1357348
FFIV,2006-03-28,34.5,35.0,34.26,34.6325,2047467
FFIV,2006-03-29,35.92,36.31,34.56,34.69,1478246
FFIV,2006-03-30,36.44,36.44,35.99,36.0,1288770
FFIV,2006-03-31,36.245,37.0,35.855,36.445,2147316
FFIV,2006-04-03,34.57,36.465,34.55,35.805,2675368
FFIV,2006-04-04,32.54,34.5,32.18,34.495,9953850
FFIV,2006-04-05,32.595,33.085,32.24,32.715,4515286
FFIV,2006-04-06,33.38,34.08,32.745,32.775,3452014
FFIV,2006-04-07,32.24,33.59,32.025,33.59,2489982
FFIV,2006-04-10,31.18,32.35,30.855,32.05,5398974
FFIV,2006-04-11,31.9,32.31,30.75,31.18,4313924
FFIV,2006-04-12,32.37,32.53,31.77,31.805,1645998
FFIV,2006-04-13,32.855,33.29,31.985,32.3,2525262
FFIV,2006-04-14,32.855,33.29,31.985,32.3,0
FFIV,2006-04-17,32.71,32.95,32.29,32.935,1850180
FFIV,2006-04-18,33.06,33.505,32.48,32.74,1996884
FFIV,2006-04-19,33.355,33.435,32.49,33.125,2423192
FFIV,2006-04-20,32.735,33.95,32.665,33.475,5827868
FFIV,2006-04-21,28.95,28.99,28.02,28.745,16376926
FFIV,2006-04-24,29.943,30.24,28.75,28.825,5591658
FFIV,2006-04-25,29.635,30.115,29.45,29.89,3483728
FFIV,2006-04-26,29.97,30.21,29.585,29.765,2149870
FFIV,2006-04-27,29.495,30.115,29.385,30.01,1747010
FFIV,2006-04-28,29.28,29.5,28.83,29.39,1349950
FFIV,2006-05-01,29.085,29.285,28.55,29.03,1795164
FFIV,2006-05-02,28.955,29.235,28.715,28.985,1280618
FFIV,2006-05-03,29.165,29.365,28.81,28.875,1237470
FFIV,2006-05-04,29.45,29.675,29.0,29.34,1084328
FFIV,2006-05-05,29.925,29.925,29.645,29.75,1320544
FFIV,2006-05-08,29.05,29.665,28.93,29.5,1687060
FFIV,2006-05-09,29.085,29.085,28.86,28.86,1247402
FFIV,2006-05-10,28.9,29.4,28.87,29.065,1671138
FFIV,2006-05-11,29.18,29.18,28.855,28.855,2545672
FFIV,2006-05-12,29.15,29.53,28.575,28.785,2083818
FFIV,2006-05-15,29.065,29.2,28.8,28.915,1469962
FFIV,2006-05-16,27.55,29.095,27.45,29.035,3194774
FFIV,2006-05-17,25.805,27.25,25.06,27.215,9729752
FFIV,2006-05-18,25.225,26.475,25.205,26.135,2861550
FFIV,2006-05-19,25.305,25.985,24.94,25.28,2479456
FFIV,2006-05-22,26.175,26.475,25.31,26.135,2795004
FFIV,2006-05-23,24.14,26.25,24.105,25.25,6523854
FFIV,2006-05-24,22.97,24.25,22.15,24.125,7499656
FFIV,2006-05-25,23.445,23.51,22.56,23.055,3389796
FFIV,2006-05-26,23.98,23.98,23.535,23.68,1536974
FFIV,2006-05-29,23.98,23.98,23.535,23.68,0
FFIV,2006-05-30,22.565,23.33,22.525,23.33,2068814
FFIV,2006-05-31,24.26,24.535,23.205,23.65,5727922
FFIV,2006-06-01,24.65,24.65,24.13,24.13,1697562
FFIV,2006-06-02,24.74,25.38,24.445,24.475,2271044
FFIV,2006-06-05,24.19,24.985,24.125,24.74,1695498
FFIV,2006-06-06,24.31,24.495,23.64,24.25,1840588
FFIV,2006-06-07,24.0,24.475,23.755,24.175,1196286
FFIV,2006-06-08,23.685,23.94,22.945,23.77,2280478
FFIV,2006-06-09,23.495,24.285,23.07,23.8,1940958
FFIV,2006-06-12,21.72,23.58,21.53,23.58,2583108
FFIV,2006-06-13,21.83,22.495,21.11,21.69,4086833
FFIV,2006-06-14,22.57,22.57,22.0,22.0,2973868
FFIV,2006-06-15,23.855,23.855,22.52,22.52,3536124
FFIV,2006-06-16,23.4,23.775,23.26,23.45,1929584
FFIV,2006-06-19,23.91,24.945,23.845,24.15,3851412
FFIV,2006-06-20,24.735,24.735,24.16,24.16,2140228
FFIV,2006-06-21,24.96,24.96,24.385,24.385,1735410
FFIV,2006-06-22,24.37,24.635,24.005,24.49,1073830
FFIV,2006-06-23,25.375,25.59,24.295,24.625,2491796
FFIV,2006-06-26,25.655,25.885,25.225,25.525,1871364
FFIV,2006-06-27,25.8,26.335,25.645,25.71,2207940
FFIV,2006-06-28,25.63,25.705,25.11,25.595,1600756
FFIV,2006-06-29,26.61,26.62,25.695,25.695,1871616
FFIV,2006-06-30,26.74,26.875,26.415,26.68,1306196
FFIV,2006-07-03,27.065,27.19,26.38,26.38,567750
FFIV,2006-07-04,27.065,27.19,26.38,26.38,0
FFIV,2006-07-05,27.11,27.11,26.79,26.83,1694180
FFIV,2006-07-06,27.185,30.425,26.61,26.8,6326106
FFIV,2006-07-07,26.185,27.05,26.135,27.05,1790320
FFIV,2006-07-10,24.175,26.45,23.19,26.45,8170456
FFIV,2006-07-11,24.44,24.74,23.97,23.97,2406020
FFIV,2006-07-12,23.995,24.595,23.52,24.23,2338560
FFIV,2006-07-13,23.765,24.67,23.56,23.725,1472068
FFIV,2006-07-14,23.765,24.1,23.045,23.635,1947366
FFIV,2006-07-17,23.77,24.15,23.335,23.585,1269070
FFIV,2006-07-18,23.87,24.62,23.28,23.945,2022116
FFIV,2006-07-19,24.28,25.25,23.825,23.825,4778672
FFIV,2006-07-20,23.975,24.635,21.5,24.125,4279226
FFIV,2006-07-21,22.16,22.77,20.275,21.46,10236930
FFIV,2006-07-24,22.64,22.745,21.85,22.19,2118948
FFIV,2006-07-25,22.645,22.945,22.385,22.565,1297400
FFIV,2006-07-26,22.785,23.195,22.42,22.67,1068904
FFIV,2006-07-27,22.485,23.12,22.36,22.875,666440
FFIV,2006-07-28,22.895,22.975,22.375,22.56,673906
FFIV,2006-07-31,23.17,23.375,22.545,22.77,1225650
FFIV,2006-08-01,22.42,22.975,22.355,22.815,1033622
FFIV,2006-08-02,22.435,22.535,22.1,22.535,1621918
FFIV,2006-08-03,22.625,22.75,22.105,22.2,1251690
FFIV,2006-08-04,22.705,23.655,22.525,22.8,1419346
FFIV,2006-08-07,21.48,22.6251,21.295,22.625,2766156
FFIV,2006-08-08,21.125,21.865,21.01,21.475,1762600
FFIV,2006-08-09,21.595,22.415,21.52,21.525,1982532
FFIV,2006-08-10,21.555,21.635,20.795,21.125,771504
FFIV,2006-08-11,20.505,21.47,20.3,21.455,2160062
FFIV,2006-08-14,20.655,21.25,20.575,20.735,1333968
FFIV,2006-08-15,20.925,21.12,20.7,20.875,1924906
FFIV,2006-08-16,22.38,22.38,20.75,20.75,5609062
FFIV,2006-08-17,23.865,24.2,22.065,22.395,5267300
FFIV,2006-08-18,24.885,25.06,24.0,24.0,3776274
FFIV,2006-08-21,24.325,24.65,23.96,24.5,1547342
FFIV,2006-08-22,24.48,24.655,24.11,24.215,1050572
FFIV,2006-08-23,24.29,24.845,23.78,24.435,1520400
FFIV,2006-08-24,24.4,24.48,23.77,24.395,1332454
FFIV,2006-08-25,25.115,25.345,24.295,24.43,1916590
FFIV,2006-08-28,25.05,25.28,24.685,24.91,1025085
FFIV,2006-08-29,25.34,25.45,24.52,25.0,941260
FFIV,2006-08-30,25.625,25.625,25.3,25.355,1170252
FFIV,2006-08-31,25.045,25.325,24.665,25.325,1231300
FFIV,2006-09-01,24.98,25.22,24.79,25.2,1239764
FFIV,2006-09-04,24.98,25.22,24.79,25.2,0
FFIV,2006-09-05,25.375,25.525,24.735,24.735,1512878
FFIV,2006-09-06,25.18,25.18,24.75,25.0,1152776
FFIV,2006-09-07,24.335,24.765,23.86,24.685,1538780
FFIV,2006-09-08,24.6,24.725,24.345,24.345,957168
FFIV,2006-09-11,25.26,25.54,24.355,24.42,1677756
FFIV,2006-09-12,26.705,26.99,25.24,25.24,2703086
FFIV,2006-09-13,26.49,26.965,26.275,26.825,1255004
FFIV,2006-09-14,25.58,26.37,25.225,26.37,2198126
FFIV,2006-09-15,25.9,26.205,25.62,25.77,2152200
FFIV,2006-09-18,24.925,26.365,24.66,26.365,2707012
FFIV,2006-09-19,25.59,25.59,25.165,25.165,2032201
FFIV,2006-09-20,25.97,25.97,25.545,25.545,1464156
FFIV,2006-09-21,26.26,26.77,25.98,25.99,2026846
FFIV,2006-09-22,25.605,26.335,25.255,26.065,1650818
FFIV,2006-09-25,26.26,26.375,25.1535,25.875,1305912
FFIV,2006-09-26,27.275,27.945,26.18,26.49,3559228
FFIV,2006-09-27,26.805,27.595,26.68,27.275,1600728
FFIV,2006-09-28,27.68,27.68,26.915,26.915,1757790
FFIV,2006-09-29,26.86,27.795,26.81,27.49,1556040
FFIV,2006-10-02,27.1,27.315,26.47,26.485,1069938
FFIV,2006-10-03,27.05,27.17,26.15,27.01,1220468
FFIV,2006-10-04,27.44,27.67,26.775,26.975,1023908
FFIV,2006-10-05,27.8,27.93,27.315,27.345,954704
FFIV,2006-10-06,28.075,28.235,27.5,27.51,942992
FFIV,2006-10-09,28.8,29.2,28.115,28.215,2209840
FFIV,2006-10-10,29.785,29.785,29.12,29.12,2401920
FFIV,2006-10-11,29.51,29.91,29.175,29.33,2074068
FFIV,2006-10-12,29.985,30.025,29.035,29.455,1575246
FFIV,2006-10-13,29.035,29.925,28.98,29.86,2208024
FFIV,2006-10-16,29.01,29.355,28.85,29.14,2053620
FFIV,2006-10-17,28.905,28.905,28.755,28.755,1488322
FFIV,2006-10-18,28.31,29.275,27.925,28.895,1345198
FFIV,2006-10-19,28.52,28.52,28.08,28.08,1059046
FFIV,2006-10-20,28.28,28.435,27.71,28.355,1181804
FFIV,2006-10-23,29.12,29.12,28.295,28.295,1060538
FFIV,2006-10-24,28.865,28.865,28.63,28.8,898046
FFIV,2006-10-25,29.06,32.495,27.833,28.805,0
FFIV,2006-10-26,33.675,33.675,32.49,32.49,9182094
FFIV,2006-10-27,32.855,33.195,32.31,33.095,2545102
FFIV,2006-10-30,33.07,33.3,32.385,32.535,1609594
FFIV,2006-10-31,33.63,33.63,32.975,32.975,1159596
FFIV,2006-11-01,32.35,33.51,32.315,33.035,1661266
FFIV,2006-11-02,31.775,32.365,31.64,32.075,1932724
FFIV,2006-11-03,32.085,32.18,31.74,31.775,1612826
FFIV,2006-11-06,33.04,33.04,32.075,32.075,1175816
FFIV,2006-11-07,34.12,34.12,32.77,32.77,1810064
FFIV,2006-11-08,32.745,33.1,32.31,32.555,2005094
FFIV,2006-11-09,34.165,35.285,33.255,33.52,4656264
FFIV,2006-11-10,33.26,33.675,33.0,33.5,1923550
FFIV,2006-11-13,33.76,34.2,33.325,33.325,1270876
FFIV,2006-11-14,36.035,36.275,34.5,34.525,3814976
FFIV,2006-11-15,36.34,36.62,35.605,35.92,3329960
FFIV,2006-11-16,36.005,36.25,35.44,36.015,2415830
FFIV,2006-11-17,36.055,36.055,35.905,35.975,938248
FFIV,2006-11-20,36.35,36.455,35.91,35.91,1249544
FFIV,2006-11-21,36.7,36.82,36.035,36.405,1329474
FFIV,2006-11-22,37.09,37.3,36.73,36.73,1062444
FFIV,2006-11-23,37.09,37.3,36.73,36.73,0
FFIV,2006-11-24,36.555,37.06,36.375,36.66,590432
FFIV,2006-11-27,36.33,38.075,36.28,37.31,3477414
FFIV,2006-11-28,36.775,36.95,35.415,36.32,2087818
FFIV,2006-11-29,37.45,38.25,37.015,37.115,2398494
FFIV,2006-11-30,37.405,37.98,36.8,37.625,1540516
FFIV,2006-12-01,37.015,37.54,36.455,36.895,1825136
FFIV,2006-12-04,37.48,37.5,36.82,37.025,827836
FFIV,2006-12-05,37.295,37.7049,37.12,37.5,545572
FFIV,2006-12-06,36.705,37.28,36.535,37.18,906776
