Symbol,Date,Close,High,Low,Open,Volume
FITB,2006-01-02,37.72,37.85,37.21,37.81,0
FITB,2006-01-03,37.82,38.09,37.2,38.04,2530702
FITB,2006-01-04,38.39,38.39,37.86,37.86,1736678
FITB,2006-01-05,38.86,38.87,38.27,38.3,4523564
FITB,2006-01-06,38.84,39.07,38.62,38.85,2292123
FITB,2006-01-09,39.14,39.14,38.84,38.84,1685699
FITB,2006-01-10,39.0,39.03,38.71,39.0,1518034
FITB,2006-01-11,38.84,38.86,38.2,38.61,2250255
FITB,2006-01-12,38.8,39.1,38.4,38.94,5614820
FITB,2006-01-13,38.93,39.06,38.67,39.04,1676866
FITB,2006-01-16,38.93,39.06,38.67,39.04,0
FITB,2006-01-17,38.44,38.71,37.8,37.99,4416622
FITB,2006-01-18,38.26,38.84,38.0,38.39,3666857
FITB,2006-01-19,37.85,38.38,37.81,38.35,2447078
FITB,2006-01-20,36.66,37.95,36.54,37.9,3107671
FITB,2006-01-23,37.58,37.72,36.61,36.97,2401498
FITB,2006-01-24,37.75,37.75,37.18,37.7,2193816
FITB,2006-01-25,37.37,37.45,36.81,37.09,1990290
FITB,2006-01-26,38.3,38.3,37.45,37.45,1774104
FITB,2006-01-27,38.29,38.5,37.59,38.22,1683875
FITB,2006-01-30,38.11,38.36,37.9,38.16,2001726
FITB,2006-01-31,37.57,38.22,37.32,38.22,2045415
FITB,2006-02-01,37.48,37.95,37.02,37.175,1891853
FITB,2006-02-02,36.79,37.51,36.67,37.33,1976324
FITB,2006-02-03,36.67,36.99,36.44,36.57,1475519
FITB,2006-02-06,36.53,36.68,36.38,36.6,1059776
FITB,2006-02-07,36.46,36.69,36.3,36.61,1286453
FITB,2006-02-08,37.38,37.52,36.34,36.41,1920006
FITB,2006-02-09,37.31,37.88,37.19,37.22,1400912
FITB,2006-02-10,37.64,37.76,37.12,37.34,1565436
FITB,2006-02-13,37.65,37.65,37.36,37.65,1011706
FITB,2006-02-14,38.05,38.3,37.15,37.36,2412797
FITB,2006-02-15,38.16,38.31,37.51,37.91,1598678
FITB,2006-02-16,38.54,38.54,38.02,38.02,1525948
FITB,2006-02-17,38.52,38.649,38.26,38.6,1974719
FITB,2006-02-20,38.52,38.649,38.26,38.6,0
FITB,2006-02-21,38.08,38.72,38.08,38.49,1470819
FITB,2006-02-22,39.55,39.78,38.18,38.2,3369140
FITB,2006-02-23,39.59,39.93,39.03,39.4,1500543
FITB,2006-02-24,39.75,39.75,39.17,39.69,1295139
FITB,2006-02-27,38.78,39.27,38.78,39.08,1928487
FITB,2006-02-28,38.65,38.93,38.5,38.55,1301698
FITB,2006-03-01,38.94,38.94,38.5,38.54,969611
FITB,2006-03-02,38.41,38.85,37.77,38.75,1902283
FITB,2006-03-03,38.39,38.73,37.9,37.9,1524027
FITB,2006-03-06,37.97,38.4,37.78,38.4,2101131
FITB,2006-03-07,37.91,38.08,37.71,37.91,1621203
FITB,2006-03-08,37.93,38.11,37.6,37.72,1813511
FITB,2006-03-09,37.32,38.17,37.31,37.87,1712289
FITB,2006-03-10,37.77,38.19,37.3,37.6,1895792
FITB,2006-03-13,37.77,38.38,37.71,37.9,1594199
FITB,2006-03-14,38.73,38.8,37.622,37.72,1551054
FITB,2006-03-15,39.25,39.46,38.58,38.65,2606722
FITB,2006-03-16,39.16,39.65,38.93,39.55,1418209
FITB,2006-03-17,39.21,39.56,39.05,39.51,1948385
FITB,2006-03-20,40.02,40.02,39.28,39.48,2765027
FITB,2006-03-21,39.95,40.16,39.65,39.98,2603827
FITB,2006-03-22,40.76,40.97,39.75,39.9,2841919
FITB,2006-03-23,40.86,40.97,40.54,40.66,1805585
FITB,2006-03-24,40.7,40.9,40.58,40.84,1174111
FITB,2006-03-27,41.33,41.4,40.41,40.47,3478754
FITB,2006-03-28,40.53,41.43,40.37,41.06,3499699
FITB,2006-03-29,40.2,40.68,39.62,40.44,4884270
FITB,2006-03-30,39.39,40.18,39.35,39.86,1926853
FITB,2006-03-31,39.36,39.68,39.29,39.54,1858783
FITB,2006-04-03,39.18,39.84,39.14,39.56,1985629
FITB,2006-04-04,39.68,39.99,39.07,39.16,1656202
FITB,2006-04-05,39.69,39.98,39.4,39.69,2260841
FITB,2006-04-06,39.55,39.95,39.4,39.525,998890
FITB,2006-04-07,39.36,39.83,39.07,39.71,1309551
FITB,2006-04-10,39.3,39.58,39.12,39.49,1082315
FITB,2006-04-11,39.26,39.33,38.98,39.3,1052271
FITB,2006-04-12,38.79,39.29,38.72,39.18,1276435
FITB,2006-04-13,39.37,39.49,38.73,38.89,1452034
FITB,2006-04-14,39.37,39.49,38.73,38.89,0
FITB,2006-04-17,39.32,39.73,38.96,39.16,1334558
FITB,2006-04-18,40.96,41.02,38.86,39.35,4370995
FITB,2006-04-19,40.38,41.0,40.04,40.64,1842082
FITB,2006-04-20,39.55,40.382,39.53,39.87,2063441
FITB,2006-04-21,40.0,40.0,39.23,39.88,2564184
FITB,2006-04-24,39.58,39.58,39.21,39.21,1779267
FITB,2006-04-25,39.0,39.38,39.0,39.06,1432304
FITB,2006-04-26,39.38,39.38,39.2,39.2,1267653
FITB,2006-04-27,40.29,40.67,39.07,39.11,2995125
FITB,2006-04-28,40.42,40.72,40.26,40.3,2838992
FITB,2006-05-01,39.61,40.53,39.5,40.45,1795161
FITB,2006-05-02,39.62,39.8,39.38,39.6,1968020
FITB,2006-05-03,39.76,39.76,39.52,39.52,1594101
FITB,2006-05-04,39.64,39.86,39.46,39.47,1390597
FITB,2006-05-05,39.93,40.01,39.71,39.89,1476992
FITB,2006-05-08,40.12,40.45,39.99,40.05,1752276
FITB,2006-05-09,39.7,40.16,39.48,40.09,1378414
FITB,2006-05-10,39.85,39.97,39.46,39.73,1280651
FITB,2006-05-11,39.11,39.85,38.81,39.67,1758920
FITB,2006-05-12,38.83,39.39,38.8,39.2,1139007
FITB,2006-05-15,39.39,39.41,38.81,38.93,1609857
FITB,2006-05-16,39.15,39.45,38.88,39.34,1177871
FITB,2006-05-17,38.934,38.934,38.4,38.9,1461432
FITB,2006-05-18,37.92,38.69,37.85,38.51,1678546
FITB,2006-05-19,38.24,38.45,37.88,38.24,2515287
FITB,2006-05-22,38.16,38.58,37.714,38.13,2066471
FITB,2006-05-23,37.93,38.51,37.92,38.05,1769623
FITB,2006-05-24,38.17,38.31,37.72,37.85,2421678
FITB,2006-05-25,38.11,38.5,37.72,38.28,1688686
FITB,2006-05-26,38.22,38.45,38.05,38.2,1294069
FITB,2006-05-29,38.22,38.45,38.05,38.2,0
FITB,2006-05-30,37.92,38.29,37.87,38.2,1279674
FITB,2006-05-31,38.0,38.36,37.67,38.17,2050905
FITB,2006-06-01,38.7,38.81,37.97,38.09,1526664
FITB,2006-06-02,38.81,39.4,38.5,38.64,1490197
FITB,2006-06-05,38.13,38.74,38.06,38.51,1687211
FITB,2006-06-06,38.1,38.61,37.73,38.15,1410409
FITB,2006-06-07,38.35,38.62,38.13,38.265,1673844
FITB,2006-06-08,38.82,38.86,37.86,38.41,1710657
FITB,2006-06-09,38.9,39.05,38.61,38.675,1964866
FITB,2006-06-12,38.36,39.0,38.35,38.93,1007044
FITB,2006-06-13,38.13,38.75,38.05,38.47,2554514
FITB,2006-06-14,36.87,38.17,36.42,38.16,4305368
FITB,2006-06-15,37.98,38.03,37.09,37.6,4341549
FITB,2006-06-16,37.54,37.94,37.37,37.92,3000374
FITB,2006-06-19,37.11,37.93,37.05,37.56,2264562
FITB,2006-06-20,37.26,37.61,36.97,37.0,1598171
FITB,2006-06-21,36.91,37.35,36.85,37.26,2099109
FITB,2006-06-22,36.73,36.941,36.52,36.75,1659468
FITB,2006-06-23,36.35,36.68,35.86,36.51,2474531
FITB,2006-06-26,36.8,36.86,36.44,36.44,1794225
FITB,2006-06-27,36.51,36.95,36.5,36.71,1075895
FITB,2006-06-28,36.72,36.72,36.28,36.5,1184374
FITB,2006-06-29,37.17,37.21,36.37,36.54,2985397
FITB,2006-06-30,36.95,37.33,36.77,37.24,1803440
FITB,2006-07-03,37.11,37.19,36.8,37.03,488971
FITB,2006-07-04,37.11,37.19,36.8,37.03,0
FITB,2006-07-05,36.47,37.0,36.3,36.935,1671456
FITB,2006-07-06,37.12,37.32,36.46,36.465,2133956
FITB,2006-07-07,36.85,37.36,36.75,36.965,989114
FITB,2006-07-10,37.26,37.26,36.955,36.955,1010728
FITB,2006-07-11,37.46,37.57,36.56,36.97,1708040
FITB,2006-07-12,36.63,37.34,36.62,37.295,1711467
FITB,2006-07-13,36.77,36.77,36.43,36.43,1291485
FITB,2006-07-14,36.25,36.5,35.95,36.37,1177960
FITB,2006-07-17,36.86,36.86,36.56,36.56,841148
FITB,2006-07-18,36.71,37.0,36.36,36.75,1296084
FITB,2006-07-19,37.69,37.94,36.86,37.0,2360616
FITB,2006-07-20,37.79,38.16,37.71,38.0,3784571
FITB,2006-07-21,38.17,38.17,37.89,38.07,2367579
FITB,2006-07-24,38.38,38.53,37.87,37.94,2171164
FITB,2006-07-25,37.93,38.38,37.75,38.14,2109373
FITB,2006-07-26,37.99,38.16,37.71,37.93,1306904
FITB,2006-07-27,38.06,38.06,37.62,38.0,1607791
FITB,2006-07-28,38.5,38.62,37.56,37.61,1557607
FITB,2006-07-31,38.14,38.47,38.0,38.27,1515908
FITB,2006-08-01,38.22,38.27,37.92,38.0,1211549
FITB,2006-08-02,38.32,38.32,38.08,38.32,1076282
FITB,2006-08-03,38.35,38.44,38.01,38.08,1396883
FITB,2006-08-04,39.14,39.14,38.54,38.54,4003072
FITB,2006-08-07,39.21,39.2649,38.88,38.93,1405466
FITB,2006-08-08,39.4,39.81,39.34,39.35,3183817
FITB,2006-08-09,39.33,39.76,39.27,39.6,2220414
FITB,2006-08-10,39.45,39.45,39.19,39.34,1779148
FITB,2006-08-11,39.16,39.2,38.77,39.12,1182794
FITB,2006-08-14,39.13,39.33,38.95,39.18,956482
FITB,2006-08-15,39.71,39.71,39.619,39.619,1276905
FITB,2006-08-16,40.11,40.15,39.66,39.81,1791380
FITB,2006-08-17,39.93,40.18,39.555,40.18,1786628
FITB,2006-08-18,39.93,40.17,39.75,40.17,1288366
FITB,2006-08-21,39.82,39.95,39.69,39.78,1114489
FITB,2006-08-22,39.5,39.81,39.48,39.75,1632045
FITB,2006-08-23,39.38,39.74,39.33,39.59,1171732
FITB,2006-08-24,39.51,39.79,39.45,39.55,1011462
FITB,2006-08-25,39.45,39.7,39.33,39.33,1203606
FITB,2006-08-28,39.48,39.65,39.25,39.36,1271414
FITB,2006-08-29,39.32,39.69,39.07,39.41,2020569
FITB,2006-08-30,39.3,39.54,39.03,39.42,719194
FITB,2006-08-31,39.34,39.4,38.94,39.16,1512868
FITB,2006-09-01,39.47,39.63,39.34,39.5,926008
FITB,2006-09-04,39.47,39.63,39.34,39.5,0
FITB,2006-09-05,39.32,39.52,39.2,39.31,933586
FITB,2006-09-06,39.18,39.5,39.15,39.335,1131013
FITB,2006-09-07,38.8,39.27,38.77,39.07,1741704
FITB,2006-09-08,39.05,39.18,38.51,38.98,1889697
FITB,2006-09-11,38.79,39.08,38.66,38.87,1226749
FITB,2006-09-12,39.25,39.25,38.21,38.21,2766820
FITB,2006-09-13,39.03,39.15,38.9,38.94,1436883
FITB,2006-09-14,38.81,38.94,38.0,38.11,1947392
FITB,2006-09-15,38.71,38.92,38.48,38.68,2908331
FITB,2006-09-18,38.29,38.74,38.22,38.65,2058741
FITB,2006-09-19,38.07,38.41,37.94,38.26,1830468
FITB,2006-09-20,38.61,38.69,38.07,38.26,1398348
FITB,2006-09-21,38.16,38.72,38.12,38.71,1141657
FITB,2006-09-22,38.55,38.66,38.07,38.07,1803206
FITB,2006-09-25,38.91,39.13,38.48,38.71,1821018
FITB,2006-09-26,39.37,39.51,38.75,39.04,2713537
FITB,2006-09-27,38.5,39.2,38.4,39.15,2140803
FITB,2006-09-28,38.53,38.69,38.25,38.68,1298774
FITB,2006-09-29,38.08,38.87,38.05,38.26,1420903
FITB,2006-10-02,38.23,38.23,38.01,38.01,1077068
FITB,2006-10-03,38.06,38.22,37.94,38.18,1247372
FITB,2006-10-04,38.67,38.74,37.91,37.91,1652201
FITB,2006-10-05,38.4,38.72,38.29,38.56,889767
FITB,2006-10-06,37.97,38.4,37.92,38.29,1284206
FITB,2006-10-09,38.64,38.77,37.75,37.76,1598449
FITB,2006-10-10,38.46,38.8,38.25,38.79,1366413
FITB,2006-10-11,38.59,38.76,38.3,38.371,931803
FITB,2006-10-12,38.8,38.91,38.61,38.77,934619
FITB,2006-10-13,39.06,39.18,38.67,38.67,1446863
FITB,2006-10-16,39.01,39.18,38.77,38.96,1749989
FITB,2006-10-17,39.21,39.22,38.55,38.75,2843370
FITB,2006-10-18,39.61,39.61,39.28,39.35,1679077
FITB,2006-10-19,39.19,39.35,38.59,39.06,3376644
FITB,2006-10-20,39.37,39.41,38.71,39.2,2120679
FITB,2006-10-23,39.52,39.57,39.25,39.29,2060711
FITB,2006-10-24,39.44,39.54,39.2,39.42,1479013
FITB,2006-10-25,39.46,39.7,39.14,39.65,1252565
FITB,2006-10-26,39.79,39.84,39.0,39.41,1831684
FITB,2006-10-27,39.72,39.72,39.53,39.58,1610834
FITB,2006-10-30,39.72,39.99,39.43,39.65,979993
FITB,2006-10-31,39.85,39.95,39.64,39.75,1513796
FITB,2006-11-01,39.58,40.0,39.54,39.9,1293323
FITB,2006-11-02,39.24,39.5,39.19,39.5,1238539
FITB,2006-11-03,39.51,39.79,39.25,39.46,1667802
FITB,2006-11-06,39.73,39.96,39.43,39.72,1603611
FITB,2006-11-07,39.73,40.0,39.65,39.76,1053714
FITB,2006-11-08,40.26,40.31,39.65,39.75,1639657
FITB,2006-11-09,40.37,40.5,40.16,40.18,2100941
FITB,2006-11-10,40.2,40.5,39.94,40.44,1245164
FITB,2006-11-13,40.46,40.72,40.2,40.26,1577338
FITB,2006-11-14,40.68,40.68,40.48,40.48,1641464
FITB,2006-11-15,40.53,40.9,40.33,40.55,1473704
FITB,2006-11-16,40.91,41.0,40.48,40.52,1439963
FITB,2006-11-17,40.91,40.91,40.76,40.76,1215010
FITB,2006-11-20,40.86,41.0,40.68,40.68,858729
FITB,2006-11-21,40.26,40.4,39.9,39.92,3069252
FITB,2006-11-22,40.0,40.36,39.97,40.19,2257639
FITB,2006-11-23,40.0,40.36,39.97,40.19,0
FITB,2006-11-24,39.93,40.09,39.78,39.8,1122538
FITB,2006-11-27,39.36,40.0,39.32,39.82,2482359
FITB,2006-11-28,39.12,39.38,38.96,39.145,2778993
FITB,2006-11-29,39.42,39.52,39.14,39.25,1755816
FITB,2006-11-30,39.43,39.59,39.05,39.275,1764348
FITB,2006-12-01,39.33,39.56,39.14,39.49,1287243
FITB,2006-12-04,39.94,39.95,39.41,39.56,1203136
FITB,2006-12-05,40.02,40.02,39.93,39.93,1608255
FITB,2006-12-06,39.92,40.13,39.86,40.07,923280
FITB,2006-12-07,39.63,40.03,39.62,40.03,928919
FITB,2006-12-08,39.71,39.92,39.51,39.51,1164214
FITB,2006-12-11,39.93,40.01,39.68,39.71,1315065
FITB,2006-12-12,40.14,40.23,39.85,39.95,1569798
FITB,2006-12-13,40.4,40.52,40.11,40.11,1531494
FITB,2006-12-14,40.63,40.71,40.3,40.54,1689386
FITB,2006-12-15,40.87,40.95,40.6,40.605,2476417
FITB,2006-12-18,40.94,40.96,40.71,40.86,1275882
FITB,2006-12-19,40.95,41.0,40.77,40.94,1369081
FITB,2006-12-20,40.98,41.0,40.8,40.88,1115442
FITB,2006-12-21,41.19,41.36,40.95,41.0,1542591
FITB,2006-12-22,40.9,41.23,40.82,41.2,1018342
FITB,2006-12-25,40.9,41.23,40.82,41.2,0
FITB,2006-12-26,41.19,41.22,40.88,40.9,736762
FITB,2006-12-27,41.44,41.5,41.13,41.37,1432342
FITB,2006-12-28,41.38,41.57,41.23,41.32,778564
FITB,2006-12-29,40.93,41.13,40.63,41.0,1333490
FITB,2007-01-01,40.93,41.13,40.63,41.0,0
FITB,2007-01-02,40.93,41.13,40.63,41.0,0
FITB,2007-01-03,40.98,41.41,40.76,41.05,1892187
FITB,2007-01-04,40.99,41.07,40.62,40.96,1563946
FITB,2007-01-05,40.18,40.84,39.94,40.81,3136523
FITB,2007-01-08,39.92,40.11,39.62,40.07,3095776
FITB,2007-01-09,40.0,40.24,39.73,40.1,1353637
FITB,2007-01-10,39.9,40.0,39.73,39.93,1288580
FITB,2007-01-11,39.93,40.1,39.86,39.91,1134137
FITB,2007-01-12,40.03,40.24,39.68,39.83,1626433
FITB,2007-01-15,40.03,40.24,39.68,39.83,0
FITB,2007-01-16,40.35,40.37,39.9,40.23,2355460
FITB,2007-01-17,39.64,40.36,39.49,40.36,2976544
FITB,2007-01-18,39.9,40.74,39.12,39.7,4103535
FITB,2007-01-19,39.59,40.0,39.07,40.0,2866557
FITB,2007-01-22,39.2,39.47,39.1,39.41,2063610
FITB,2007-01-23,39.09,39.27,39.02,39.2,1278009
FITB,2007-01-24,39.38,39.38,39.04,39.19,1794025
FITB,2007-01-25,38.91,39.33,38.86,39.3,1529132
FITB,2007-01-26,39.11,39.21,38.86,38.9,3336472
FITB,2007-01-29,39.09,39.37,38.98,39.27,3319558
FITB,2007-01-30,39.3,39.34,38.86,39.07,1661314
FITB,2007-01-31,39.9,39.93,39.16,39.2,3058722
FITB,2007-02-01,40.24,40.26,39.81,39.9,2319341
FITB,2007-02-02,40.33,40.47,40.07,40.14,1800708
FITB,2007-02-05,40.33,40.572,40.23,40.37,1665177
FITB,2007-02-06,40.53,40.81,40.35,40.37,1617910
FITB,2007-02-07,40.91,41.0,40.61,40.66,1688103
FITB,2007-02-08,40.39,40.81,40.36,40.74,1912743
FITB,2007-02-09,40.46,40.59,40.22,40.48,3057214
FITB,2007-02-12,40.75,40.92,40.5,40.5,2435287
FITB,2007-02-13,41.05,41.06,40.67,40.93,2004283
FITB,2007-02-14,41.11,41.27,40.74,41.06,2106621
FITB,2007-02-15,40.97,41.18,40.81,41.04,1595503
FITB,2007-02-16,40.98,41.12,40.825,40.85,1672543
FITB,2007-02-19,40.98,41.12,40.825,40.85,0
FITB,2007-02-20,41.2,41.3,40.91,40.96,1574690
FITB,2007-02-21,40.8,41.12,40.67,41.08,2416344
FITB,2007-02-22,40.68,40.98,40.43,40.93,1570506
FITB,2007-02-23,40.94,40.94,40.58,40.89,1650762
FITB,2007-02-26,40.65,41.2,40.44,41.12,2134804
FITB,2007-02-27,39.72,40.65,39.57,40.51,4161347
FITB,2007-02-28,40.28,40.41,39.69,39.72,3902455
FITB,2007-03-01,40.11,40.25,39.0,39.76,4081175
FITB,2007-03-02,39.99,40.4,39.94,40.0,2801806
FITB,2007-03-05,39.39,39.92,39.37,39.78,2427120
FITB,2007-03-06,40.15,40.2,39.46,39.6,2010398
FITB,2007-03-07,39.59,40.0,39.58,40.0,1972639
FITB,2007-03-08,40.08,40.33,39.82,39.99,2367548
FITB,2007-03-09,39.96,40.5,39.96,40.35,2739137
FITB,2007-03-12,40.22,40.25,39.66,39.7,1751970
FITB,2007-03-13,38.66,40.07,38.66,40.04,4473736
FITB,2007-03-14,38.96,39.01,37.93,38.81,4095316
FITB,2007-03-15,39.39,39.51,38.82,38.97,2005496
FITB,2007-03-16,39.35,39.72,39.19,39.6601,3368341
FITB,2007-03-19,39.48,39.74,39.35,39.35,2140378
FITB,2007-03-20,39.61,39.68,39.39,39.49,2013380
FITB,2007-03-21,40.45,40.57,39.33,39.51,3144441
FITB,2007-03-22,40.13,40.51,40.02,40.5,1767551
FITB,2007-03-23,40.13,40.39,40.02,40.065,1062718
FITB,2007-03-26,40.07,40.16,39.58,40.15,1448695
FITB,2007-03-27,39.76,40.03,39.68,39.84,1355290
FITB,2007-03-28,38.71,39.5,38.68,39.27,3186787
FITB,2007-03-29,38.99,39.25,38.7,39.05,2395211
FITB,2007-03-30,38.69,39.11,38.26,38.94,2385896
FITB,2007-04-02,38.1,38.59,37.88,38.59,2649273
FITB,2007-04-03,38.6,38.67,38.16,38.24,1937514
FITB,2007-04-04,38.65,38.8,38.47,38.8,1846320
FITB,2007-04-05,38.8,38.94,38.51,38.81,2500477
FITB,2007-04-06,38.8,38.94,38.51,38.81,0
FITB,2007-04-09,38.27,38.79,38.14,38.755,2243681
FITB,2007-04-10,38.6,38.66,38.26,38.27,1931838
FITB,2007-04-11,38.41,38.69,38.14,38.66,2921293
FITB,2007-04-12,38.26,38.34,37.95,38.26,3258619
FITB,2007-04-13,38.43,38.6,38.1,38.26,3506283
FITB,2007-04-16,39.33,39.85,38.46,38.52,5040439
FITB,2007-04-17,39.11,39.47,39.06,39.23,2661875
FITB,2007-04-18,39.63,39.81,38.92,39.1,4286751
FITB,2007-04-19,40.04,40.3,39.21,39.59,4737459
