Symbol,Date,Close,High,Low,Open,Volume
FL,2006-01-02,23.59,23.69,23.11,23.18,0
FL,2006-01-03,23.43,23.94,22.78,23.92,985700
FL,2006-01-04,23.3,23.54,23.1,23.35,1052700
FL,2006-01-05,23.15,23.74,23.06,23.2,788700
FL,2006-01-06,23.2,23.25,22.821,23.09,1189000
FL,2006-01-09,23.46,23.64,23.15,23.3,1136400
FL,2006-01-10,23.37,23.62,23.24,23.46,985900
FL,2006-01-11,23.47,23.57,23.23,23.41,1054700
FL,2006-01-12,23.34,23.71,23.27,23.47,539000
FL,2006-01-13,23.14,23.48,23.01,23.35,407400
FL,2006-01-16,23.14,23.48,23.01,23.35,0
FL,2006-01-17,22.51,22.91,22.02,22.91,1041299
FL,2006-01-18,22.72,23.17,22.35,22.45,738100
FL,2006-01-19,22.45,22.55,22.16,22.55,704400
FL,2006-01-20,22.18,22.5,22.15,22.44,1042100
FL,2006-01-23,22.54,22.74,22.2,22.37,838900
FL,2006-01-24,22.85,22.98,22.5,22.5,717800
FL,2006-01-25,22.68,23.0,22.4,22.9,1427100
FL,2006-01-26,22.74,22.81,22.2,22.68,1485900
FL,2006-01-27,22.39,23.01,22.34,22.76,1440200
FL,2006-01-30,22.27,22.55,22.27,22.38,587900
FL,2006-01-31,22.72,23.15,22.26,22.29,1534100
FL,2006-02-01,23.02,23.03,22.48,22.72,1069000
FL,2006-02-02,23.15,23.35,22.82,23.12,1440200
FL,2006-02-03,23.37,23.6,23.02,23.11,964400
FL,2006-02-06,23.16,23.58,22.79,23.4,608500
FL,2006-02-07,22.99,23.4,22.9,23.04,694300
FL,2006-02-08,23.16,23.19,22.67,23.0,372300
FL,2006-02-09,23.13,23.51,22.94,23.14,323100
FL,2006-02-10,23.3,23.34,23.06,23.2,722700
FL,2006-02-13,22.92,23.36,22.81,23.3,728800
FL,2006-02-14,23.16,23.51,22.75,22.8,733300
FL,2006-02-15,23.61,23.66,23.05,23.24,1018000
FL,2006-02-16,23.32,23.46,23.12,23.3,1231900
FL,2006-02-17,22.72,23.3,22.6,23.28,790500
FL,2006-02-20,22.72,23.3,22.6,23.28,0
FL,2006-02-21,22.4,22.8,22.33,22.69,756100
FL,2006-02-22,22.98,23.32,22.45,22.54,1037500
FL,2006-02-23,23.04,23.2,22.77,22.79,415300
FL,2006-02-24,22.92,23.1,22.66,23.1,376400
FL,2006-02-27,23.52,23.6,22.99,23.0,806700
FL,2006-02-28,23.11,23.74,23.05,23.36,936200
FL,2006-03-01,23.26,23.5,22.95,23.1,871700
FL,2006-03-02,23.99,24.39,23.45,23.76,3507800
FL,2006-03-03,24.0,24.19,23.7,23.8,1052600
