Symbol,Date,Close,High,Low,Open,Volume
FLIR,2006-01-02,11.165,11.24,11.06,11.11,0
FLIR,2006-01-03,11.355,11.45,11.135,11.155,1189174
FLIR,2006-01-04,11.69,11.69,11.425,11.425,1013355
FLIR,2006-01-05,11.58,11.695,11.5,11.695,472296
FLIR,2006-01-06,11.54,11.695,11.45,11.64,590712
FLIR,2006-01-09,12.035,12.035,11.565,11.565,1222618
FLIR,2006-01-10,12.055,12.1,11.935,12.0,744692
FLIR,2006-01-11,12.2075,12.245,11.955,12.1,486878
FLIR,2006-01-12,12.435,12.73,12.35,12.36,1244706
FLIR,2006-01-13,12.415,12.515,12.35,12.48,863884
FLIR,2006-01-16,12.415,12.515,12.35,12.48,0
FLIR,2006-01-17,12.315,12.46,12.285,12.44,794222
FLIR,2006-01-18,12.0,12.25,11.87,12.185,1335024
FLIR,2006-01-19,11.97,12.045,11.9,11.99,1396058
FLIR,2006-01-20,11.61,12.0,11.56,12.0,1291234
FLIR,2006-01-23,11.52,11.69,11.4,11.69,794338
FLIR,2006-01-24,11.585,11.585,11.46,11.5,1113152
FLIR,2006-01-25,11.525,11.575,11.305,11.575,688482
FLIR,2006-01-26,11.78,11.78,11.43,11.56,464672
FLIR,2006-01-27,11.815,11.9,11.73,11.81,502806
FLIR,2006-01-30,11.88,11.925,11.745,11.825,923066
FLIR,2006-01-31,11.85,11.92,11.665,11.88,1511402
FLIR,2006-02-01,11.895,11.925,11.75,11.825,1152446
FLIR,2006-02-02,11.85,11.91,11.685,11.9,942952
FLIR,2006-02-03,12.03,12.045,11.78,11.84,1135940
FLIR,2006-02-06,12.45,12.475,12.005,12.005,1602378
FLIR,2006-02-07,12.49,12.685,12.375,12.465,1458082
FLIR,2006-02-08,12.51,13.25,12.36,13.24,4822468
FLIR,2006-02-09,12.84,13.005,12.585,12.625,2541914
FLIR,2006-02-10,12.92,12.975,12.768,12.89,1423788
FLIR,2006-02-13,12.57,12.955,12.535,12.955,1501476
FLIR,2006-02-14,12.525,12.645,12.44,12.535,1202544
FLIR,2006-02-15,12.81,12.885,12.45,12.45,707700
FLIR,2006-02-16,12.86,13.0,12.825,12.955,615800
FLIR,2006-02-17,12.845,13.0,12.775,12.94,772324
FLIR,2006-02-20,12.845,13.0,12.775,12.94,0
FLIR,2006-02-21,12.5,12.965,12.425,12.905,842232
FLIR,2006-02-22,12.625,12.675,12.5,12.5,565214
FLIR,2006-02-23,12.94,12.95,12.59,12.67,1572046
FLIR,2006-02-24,13.03,13.05,12.8,12.925,979014
FLIR,2006-02-27,13.115,13.265,12.975,13.015,1117944
FLIR,2006-02-28,12.92,13.0915,12.87,13.0,846886
FLIR,2006-03-01,12.93,12.96,12.875,12.92,892186
FLIR,2006-03-02,12.93,12.985,12.835,12.9,733924
FLIR,2006-03-03,12.915,12.995,12.865,12.935,1352532
FLIR,2006-03-06,12.93,12.965,12.875,12.95,548644
FLIR,2006-03-07,13.08,13.135,12.9225,12.935,818682
FLIR,2006-03-08,13.4,13.65,13.22,13.65,3930830
FLIR,2006-03-09,13.495,13.565,13.425,13.495,2052290
FLIR,2006-03-10,13.58,13.73,13.45,13.5,2225652
FLIR,2006-03-13,13.85,13.95,13.68,13.72,2178310
FLIR,2006-03-14,13.97,14.047,13.82,13.895,1378256
FLIR,2006-03-15,13.945,14.05,13.655,14.05,840910
FLIR,2006-03-16,13.685,13.965,13.395,13.965,1273684
FLIR,2006-03-17,13.575,13.805,13.505,13.8,837950
FLIR,2006-03-20,13.52,13.53,13.375,13.525,1091432
FLIR,2006-03-21,13.77,13.915,13.52,13.565,1092454
FLIR,2006-03-22,13.785,13.83,13.62,13.7,879922
FLIR,2006-03-23,13.725,13.8,13.62,13.73,625372
FLIR,2006-03-24,13.895,13.95,13.675,13.76,945452
FLIR,2006-03-27,14.24,14.315,13.775,13.925,1508120
FLIR,2006-03-28,13.95,14.28,13.94,14.28,937348
FLIR,2006-03-29,13.955,14.035,13.75,14.035,564590
FLIR,2006-03-30,14.07,14.07,13.915,13.915,774144
FLIR,2006-03-31,14.205,14.205,13.9,14.07,1988028
FLIR,2006-04-03,13.97,14.36,13.79,14.205,1360360
FLIR,2006-04-04,14.16,14.28,13.89,13.89,763926
FLIR,2006-04-05,14.055,14.215,13.97,14.095,480798
FLIR,2006-04-06,14.15,14.16,13.885,14.095,627316
FLIR,2006-04-07,14.31,14.31,14.095,14.095,598472
FLIR,2006-04-10,14.275,14.295,14.125,14.26,624138
FLIR,2006-04-11,14.3,14.36,14.15,14.32,873510
FLIR,2006-04-12,14.125,14.365,13.915,14.365,853816
FLIR,2006-04-13,14.445,14.445,14.08,14.165,567548
FLIR,2006-04-14,14.445,14.445,14.08,14.165,0
FLIR,2006-04-17,14.875,14.895,14.34,14.395,1643828
FLIR,2006-04-18,13.195,13.645,13.0,13.38,10373052
FLIR,2006-04-19,12.635,13.25,12.55,13.195,4166546
FLIR,2006-04-20,13.0,13.075,12.58,12.58,2358644
FLIR,2006-04-21,13.005,13.115,12.875,13.0,1726284
FLIR,2006-04-24,13.105,13.13,12.9,13.005,978842
FLIR,2006-04-25,13.045,13.225,12.945,13.105,1610920
FLIR,2006-04-26,12.91,13.25,12.88,13.015,1512358
FLIR,2006-04-27,12.485,12.84,12.48,12.765,2944016
FLIR,2006-04-28,12.225,12.48,12.18,12.435,1613422
