Symbol,Date,Close,High,Low,Open,Volume
FLS,2006-01-02,13.1867,13.2,12.9933,13.0,0
FLS,2006-01-03,13.6367,13.6567,13.21,13.3667,2589600
FLS,2006-01-04,13.67,13.67,13.47,13.6167,1281300
FLS,2006-01-05,13.6833,13.7,13.5167,13.65,701100
FLS,2006-01-06,13.86,13.97,13.6667,13.7667,1062300
FLS,2006-01-09,14.0433,14.0967,13.86,13.86,875700
FLS,2006-01-10,14.1633,14.1633,13.9533,14.01,757500
FLS,2006-01-11,14.05,14.19,13.9967,14.1633,747000
FLS,2006-01-12,14.0033,14.08,13.96,14.0467,871800
FLS,2006-01-13,14.2333,14.2333,13.9,14.0033,1640700
FLS,2006-01-16,14.2333,14.2333,13.9,14.0033,0
FLS,2006-01-17,14.3833,14.4033,14.1033,14.2333,1347900
FLS,2006-01-18,14.3867,14.45,14.3,14.3833,818100
FLS,2006-01-19,14.59,14.6633,14.3467,14.3967,895500
FLS,2006-01-20,14.57,14.62,14.3733,14.62,1780500
FLS,2006-01-23,14.7067,14.7433,14.47,14.4933,1357800
FLS,2006-01-24,14.75,14.8033,14.6167,14.6833,1286700
FLS,2006-01-25,14.7667,14.8633,14.6667,14.7533,705000
FLS,2006-01-26,14.9467,15.0,14.7333,14.85,845700
FLS,2006-01-27,15.1667,15.2133,14.8933,14.98,845400
FLS,2006-01-30,15.2767,15.43,15.1,15.1233,1440300
FLS,2006-01-31,15.3267,15.43,15.2167,15.2833,1528800
FLS,2006-02-01,15.5833,15.5867,15.1167,15.3267,986700
FLS,2006-02-02,15.2833,15.5967,15.17,15.5667,820200
FLS,2006-02-03,15.3367,15.34,15.03,15.25,1191600
FLS,2006-02-06,15.2333,15.44,15.13,15.37,885900
FLS,2006-02-07,14.8533,15.3567,14.7833,15.2067,870000
FLS,2006-02-08,14.74,14.8867,14.56,14.8567,1744800
FLS,2006-02-09,14.8833,14.9833,14.77,14.7933,1397400
FLS,2006-02-10,14.97,15.0,14.65,14.8433,2040000
FLS,2006-02-13,14.93,15.1533,14.8567,14.9333,788400
FLS,2006-02-14,15.4233,15.5533,14.9067,15.0133,1592100
FLS,2006-02-15,16.0567,16.23,15.77,16.0,2604900
FLS,2006-02-16,16.33,16.33,16.1133,16.1333,1232400
FLS,2006-02-17,16.4333,16.6633,16.0133,16.0133,1803000
FLS,2006-02-20,16.4333,16.6633,16.0133,16.0133,0
FLS,2006-02-21,16.3567,16.48,16.2533,16.3667,936600
FLS,2006-02-22,16.6633,16.8233,16.4333,16.4333,935400
FLS,2006-02-23,16.8533,16.94,16.6333,16.6633,2082599
FLS,2006-02-24,17.0433,17.2433,16.8333,16.8333,2058600
FLS,2006-02-27,17.3333,17.55,17.0933,17.0933,2855700
FLS,2006-02-28,17.1333,17.3,17.0833,17.2,903900
FLS,2006-03-01,17.3567,17.4767,17.0933,17.1667,844500
FLS,2006-03-02,17.44,17.7667,17.32,17.36,1598400
FLS,2006-03-03,17.5533,17.6133,17.3367,17.44,1207500
FLS,2006-03-06,17.9733,18.19,17.2367,17.2367,3866100
FLS,2006-03-07,18.0367,18.45,17.8867,17.95,4346100
FLS,2006-03-08,17.9567,18.25,17.79,18.04,3747600
FLS,2006-03-09,18.0033,18.1567,17.91,17.9667,1389900
FLS,2006-03-10,18.3333,18.3333,17.9667,18.02,1342200
FLS,2006-03-13,18.4467,18.5733,18.4,18.4167,1353300
FLS,2006-03-14,18.6367,18.6467,18.3267,18.45,2014800
FLS,2006-03-15,18.85,18.89,18.6033,18.6833,1478400
FLS,2006-03-16,18.9967,19.0833,18.9,19.0833,2002800
FLS,2006-03-17,19.1967,19.25,19.0767,19.14,3341400
FLS,2006-03-20,19.2,19.2467,19.0733,19.15,1577700
FLS,2006-03-21,18.95,19.25,18.9167,19.1667,1277100
FLS,2006-03-22,19.3067,19.3167,18.9233,18.9333,1629600
FLS,2006-03-23,19.3433,19.4333,19.17,19.3067,1476600
FLS,2006-03-24,19.3,19.4033,19.24,19.3333,1093200
FLS,2006-03-27,19.3733,19.6333,19.3033,19.3167,2620500
FLS,2006-03-28,19.14,19.4,19.0867,19.35,1623900
FLS,2006-03-29,19.35,19.4367,19.13,19.1433,2776500
FLS,2006-03-30,19.4867,19.5333,19.24,19.2433,1825200
FLS,2006-03-31,19.4467,19.6333,19.42,19.49,1291200
FLS,2006-04-03,19.68,19.9267,19.3333,19.52,1488900
FLS,2006-04-04,19.92,20.0567,19.5333,19.64,1424100
FLS,2006-04-05,19.63,19.7467,18.9933,19.4167,5954400
FLS,2006-04-06,19.25,19.4333,19.0967,19.35,4689000
FLS,2006-04-07,18.5467,19.3167,18.39,19.26,2984100
FLS,2006-04-10,18.1467,18.6533,18.0267,18.5833,3090600
FLS,2006-04-11,17.8533,18.3967,17.7367,18.16,2260500
FLS,2006-04-12,18.1633,18.3067,17.94,17.95,1143900
FLS,2006-04-13,18.2133,18.2833,17.8467,18.0867,1170600
FLS,2006-04-14,18.2133,18.2833,17.8467,18.0867,0
FLS,2006-04-17,18.1367,18.4,17.9667,18.1333,1337100
FLS,2006-04-18,18.57,18.6433,18.1367,18.15,4160100
FLS,2006-04-19,18.9533,18.9833,18.5667,18.5733,1132800
FLS,2006-04-20,18.77,19.03,18.58,18.9667,930900
FLS,2006-04-21,18.65,19.1033,18.5033,19.1033,915000
FLS,2006-04-24,18.4,18.6167,18.3,18.6167,921000
FLS,2006-04-25,18.5933,18.6667,18.45,18.4667,1983000
FLS,2006-04-26,18.88,18.99,18.6333,18.6333,1280700
FLS,2006-04-27,19.0067,19.13,18.6167,18.8333,2003099
FLS,2006-04-28,19.1733,19.19,18.8333,18.9,1553700
FLS,2006-05-01,19.3833,19.43,19.25,19.25,1530300
FLS,2006-05-02,19.6633,19.6933,19.2867,19.3533,1367100
FLS,2006-05-03,19.75,19.79,19.5567,19.6233,2409300
FLS,2006-05-04,19.8633,19.9,19.65,19.7167,1012500
FLS,2006-05-05,20.0833,20.1667,19.91,19.93,1472700
FLS,2006-05-08,20.0833,20.1333,20.05,20.0833,2127600
FLS,2006-05-09,20.2,20.3533,20.0,20.0833,818400
FLS,2006-05-10,20.25,20.33,20.1433,20.1667,624900
FLS,2006-05-11,19.7133,20.2833,19.6733,20.2833,906900
FLS,2006-05-12,19.0633,19.69,19.0633,19.69,1278900
FLS,2006-05-15,18.5,18.9,18.1433,18.8667,2262900
FLS,2006-05-16,18.4367,18.6333,18.3033,18.4833,1084200
FLS,2006-05-17,18.13,18.49,18.0667,18.3533,1151400
FLS,2006-05-18,17.9367,18.2333,17.9067,18.1667,1781400
FLS,2006-05-19,17.6333,17.9567,17.4767,17.9367,1819200
FLS,2006-05-22,17.42,17.55,17.0867,17.55,2166300
FLS,2006-05-23,17.2833,17.8667,17.2567,17.5267,1990800
FLS,2006-05-24,17.2567,17.45,16.79,17.2867,1997700
FLS,2006-05-25,17.59,17.6167,17.2567,17.4233,1152900
FLS,2006-05-26,17.8533,17.8767,17.5667,17.6733,649200
FLS,2006-05-29,17.8533,17.8767,17.5667,17.6733,0
FLS,2006-05-30,17.5,17.9333,17.4967,17.8533,1937700
FLS,2006-05-31,17.7267,17.8567,17.4567,17.55,1826400
FLS,2006-06-01,18.3433,18.3433,17.81,17.81,1347300
FLS,2006-06-02,18.4567,18.8633,18.1333,18.63,1227300
FLS,2006-06-05,17.61,18.57,17.5867,18.4567,1058400
FLS,2006-06-06,17.4767,17.7333,17.3,17.6833,1119600
FLS,2006-06-07,17.2633,17.8067,17.2633,17.4867,1044600
FLS,2006-06-08,17.0167,17.3667,16.7367,17.2333,2659500
FLS,2006-06-09,16.94,17.36,16.85,17.1133,789000
FLS,2006-06-12,16.3733,16.98,16.37,16.9667,1100700
FLS,2006-06-13,16.2633,16.5833,16.1133,16.3733,2056800
FLS,2006-06-14,16.5833,16.5867,16.0367,16.05,1730100
FLS,2006-06-15,17.3467,17.4,16.68,16.68,1150800
FLS,2006-06-16,17.09,17.45,16.7667,17.3467,3202800
FLS,2006-06-19,16.49,17.1467,16.37,17.1467,1139100
FLS,2006-06-20,16.2333,16.4967,16.14,16.49,1326300
FLS,2006-06-21,16.7733,16.89,16.2467,16.2667,1677000
FLS,2006-06-22,16.7833,16.87,16.58,16.7167,1751100
FLS,2006-06-23,16.8567,17.0533,16.6667,16.7267,1094100
FLS,2006-06-26,17.2133,17.2367,16.8333,16.8333,954000
FLS,2006-06-27,16.8633,17.4333,16.8367,17.2133,1314000
FLS,2006-06-28,16.9733,17.13,16.7733,16.92,1314600
FLS,2006-06-29,17.9333,17.9333,17.1167,17.1533,1747200
FLS,2006-06-30,18.9667,18.9667,17.8967,18.25,3943200
FLS,2006-07-03,18.3767,18.8,18.2567,18.8,2331900
FLS,2006-07-04,18.3767,18.8,18.2567,18.8,0
FLS,2006-07-05,18.1967,18.38,17.9367,18.38,1534500
FLS,2006-07-06,18.5133,18.6033,18.2467,18.25,1926300
FLS,2006-07-07,18.3567,18.6167,18.3333,18.5133,1346100
FLS,2006-07-10,18.45,18.7133,18.2933,18.4167,1182000
FLS,2006-07-11,18.4833,18.5467,18.1167,18.3833,978300
FLS,2006-07-12,18.4667,18.7233,18.3367,18.5,2153100
FLS,2006-07-13,18.09,18.5367,18.09,18.3833,1152900
FLS,2006-07-14,17.76,18.13,17.5667,18.0933,1632000
FLS,2006-07-17,17.6667,17.9133,17.6033,17.7067,1063800
FLS,2006-07-18,17.72,17.9,17.3967,17.6667,1049100
FLS,2006-07-19,17.9333,18.02,17.6967,17.7667,1742400
FLS,2006-07-20,17.37,18.0867,17.35,17.9733,915900
FLS,2006-07-21,16.9267,17.37,16.9067,17.37,931800
FLS,2006-07-24,17.31,17.3267,16.9833,16.9833,1125900
FLS,2006-07-25,17.4267,17.6,17.1133,17.2933,828600
FLS,2006-07-26,17.2733,17.4333,16.9333,17.26,1348800
FLS,2006-07-27,17.13,17.6367,17.11,17.35,690600
FLS,2006-07-28,17.3133,17.6633,17.25,17.25,1506300
FLS,2006-07-31,17.2667,17.36,17.1833,17.28,1429200
FLS,2006-08-01,17.1667,17.33,17.0833,17.2433,1124400
FLS,2006-08-02,17.3633,17.5933,17.15,17.15,932400
FLS,2006-08-03,17.8067,17.93,17.3,17.3,1240500
FLS,2006-08-04,17.6167,17.9467,17.3333,17.8667,994800
FLS,2006-08-07,17.3933,17.5667,17.3267,17.4833,582300
FLS,2006-08-08,17.2,17.5167,17.15,17.4467,672300
FLS,2006-08-09,16.6767,17.3167,16.6433,17.2633,1070400
FLS,2006-08-10,16.6667,16.73,16.5133,16.61,1648200
FLS,2006-08-11,16.4367,16.6667,16.3667,16.6333,629400
FLS,2006-08-14,16.49,16.8,16.45,16.5167,692100
FLS,2006-08-15,16.56,16.6467,16.4333,16.5733,1439700
FLS,2006-08-16,17.1267,17.18,16.5867,16.6433,1429500
FLS,2006-08-17,17.03,17.23,16.95,17.0333,429900
FLS,2006-08-18,17.02,17.03,16.7833,17.01,453900
FLS,2006-08-21,16.71,17.0,16.6667,17.0,365700
FLS,2006-08-22,16.7567,16.8633,16.5867,16.6367,291300
FLS,2006-08-23,16.5633,16.82,16.4567,16.72,649800
FLS,2006-08-24,16.5,16.7,16.3867,16.6467,543600
FLS,2006-08-25,16.5167,16.6067,16.39,16.4167,299100
FLS,2006-08-28,16.7167,16.7233,16.4833,16.4833,348000
FLS,2006-08-29,16.7,16.7833,16.5167,16.7167,522300
FLS,2006-08-30,16.8167,16.8667,16.6833,16.75,588900
FLS,2006-08-31,17.0467,17.1833,16.82,16.9167,662100
FLS,2006-09-01,17.0833,17.1833,16.8967,17.0833,355500
FLS,2006-09-04,17.0833,17.1833,16.8967,17.0833,0
FLS,2006-09-05,17.2367,17.26,16.9933,17.0833,363900
FLS,2006-09-06,17.0367,17.1967,17.0033,17.1533,794700
