Symbol,Date,Close,High,Low,Open,Volume
FMC,2006-01-02,13.2925,13.4,13.25,13.4,0
FMC,2006-01-03,13.5225,13.5275,13.19,13.235,1799600
FMC,2006-01-04,13.5975,13.6075,13.4,13.5,1450800
FMC,2006-01-05,13.6575,13.765,13.56,13.625,1802400
FMC,2006-01-06,13.7675,13.895,13.65,13.775,686800
FMC,2006-01-09,13.6875,13.77,13.6325,13.77,1212800
FMC,2006-01-10,13.585,13.6425,13.5025,13.625,1125600
FMC,2006-01-11,13.51,13.52,13.3775,13.5,1234800
FMC,2006-01-12,13.5225,13.66,13.475,13.51,1266400
FMC,2006-01-13,13.565,13.6475,13.515,13.585,735200
FMC,2006-01-16,13.565,13.6475,13.515,13.585,0
FMC,2006-01-17,13.5325,13.59,13.5,13.5025,807600
FMC,2006-01-18,13.4878,13.52,13.33,13.52,2700800
FMC,2006-01-19,13.2975,13.42,13.2925,13.375,1704800
FMC,2006-01-20,13.05,13.2975,12.9325,13.2975,2049599
FMC,2006-01-23,13.215,13.33,13.05,13.05,800400
FMC,2006-01-24,13.4275,13.445,13.175,13.275,1749600
FMC,2006-01-25,13.605,13.625,13.5025,13.55,1284000
FMC,2006-01-26,13.6775,13.745,13.6075,13.6375,1310800
FMC,2006-01-27,13.935,13.94,13.675,13.7375,1447200
FMC,2006-01-30,14.0175,14.0175,13.8675,13.9375,1080000
FMC,2006-01-31,14.105,14.2348,14.045,14.08,1707200
FMC,2006-02-01,14.4025,14.405,14.105,14.105,1501600
FMC,2006-02-02,14.215,14.4575,14.085,14.41,1549200
FMC,2006-02-03,14.1075,14.1875,14.05,14.1875,1372000
FMC,2006-02-06,14.2775,14.2775,14.12,14.1325,1652400
FMC,2006-02-07,14.7875,14.925,14.0425,14.28,4998800
FMC,2006-02-08,14.7125,14.805,14.5425,14.75,3283600
FMC,2006-02-09,14.9225,14.985,14.695,14.725,2505600
FMC,2006-02-10,14.98,15.005,14.605,14.93,2006800
FMC,2006-02-13,14.925,14.9375,14.6875,14.875,1054400
FMC,2006-02-14,15.0625,15.1175,14.915,14.925,2471600
FMC,2006-02-15,15.305,15.3675,15.0425,15.0625,1096000
FMC,2006-02-16,15.475,15.5075,15.335,15.3675,1274800
FMC,2006-02-17,15.64,15.69,15.2525,15.2525,1374800
FMC,2006-02-20,15.64,15.69,15.2525,15.2525,0
FMC,2006-02-21,15.4325,15.69,15.2875,15.6875,1135600
FMC,2006-02-22,15.5125,15.6075,15.46,15.55,1041600
FMC,2006-02-23,15.6375,15.68,15.285,15.5,1051200
FMC,2006-02-24,15.2975,15.665,15.0575,15.6375,2441200
FMC,2006-02-27,15.4425,15.54,15.3475,15.3475,732000
FMC,2006-02-28,15.2025,15.38,15.16,15.2775,994800
FMC,2006-03-01,15.475,15.5575,15.3625,15.39,1206400
FMC,2006-03-02,15.3375,15.475,15.28,15.475,896800
FMC,2006-03-03,15.355,15.4575,15.3175,15.34,516800
FMC,2006-03-06,15.1975,15.355,15.1,15.325,359600
FMC,2006-03-07,15.0775,15.175,14.9475,15.15,1316000
FMC,2006-03-08,15.135,15.2,14.8325,15.075,998400
FMC,2006-03-09,15.1025,15.31,15.015,15.135,577200
FMC,2006-03-10,15.275,15.4075,15.0,15.0975,701200
FMC,2006-03-13,15.205,15.4225,15.19,15.375,528000
FMC,2006-03-14,15.3775,15.4525,15.1625,15.1675,628400
FMC,2006-03-15,15.45,15.4975,15.215,15.215,789200
FMC,2006-03-16,15.69,15.845,15.5,15.525,621200
FMC,2006-03-17,15.635,15.7325,15.5375,15.6875,914400
FMC,2006-03-20,15.58,15.6525,15.4725,15.5875,418400
FMC,2006-03-21,15.4,15.67,15.3075,15.55,711200
FMC,2006-03-22,15.5125,15.545,15.32,15.4,1285200
FMC,2006-03-23,15.5725,15.73,15.4375,15.475,623200
FMC,2006-03-24,15.5,15.6875,15.42,15.63,402400
FMC,2006-03-27,15.4475,15.525,15.4125,15.5,397600
FMC,2006-03-28,15.2875,15.49,15.235,15.4875,596800
FMC,2006-03-29,15.5375,15.5425,15.2625,15.2975,726800
FMC,2006-03-30,15.535,15.7875,15.4625,15.65,519599
FMC,2006-03-31,15.495,15.5575,15.3775,15.535,641200
FMC,2006-04-03,15.3125,15.55,15.29,15.3,583200
FMC,2006-04-04,15.4375,15.6175,15.325,15.355,610000
FMC,2006-04-05,15.3475,15.45,15.3,15.4375,723200
FMC,2006-04-06,15.55,15.6075,15.3038,15.305,1143600
FMC,2006-04-07,15.485,15.7225,15.455,15.5675,911200
FMC,2006-04-10,15.45,15.54,15.3785,15.54,443600
FMC,2006-04-11,15.4375,15.535,15.3275,15.535,1001600
FMC,2006-04-12,15.5025,15.675,15.45,15.475,690000
FMC,2006-04-13,15.5925,15.625,15.4,15.5,1098800
FMC,2006-04-14,15.5925,15.625,15.4,15.5,0
FMC,2006-04-17,15.5225,15.79,15.4775,15.5475,930400
FMC,2006-04-18,15.8575,15.885,15.545,15.555,750800
FMC,2006-04-19,16.1025,16.14,15.875,15.875,986800
FMC,2006-04-20,16.075,16.21,16.0075,16.0475,674800
FMC,2006-04-21,15.9425,16.175,15.8825,16.1375,856400
FMC,2006-04-24,15.795,15.925,15.67,15.9125,899600
FMC,2006-04-25,15.79,15.9625,15.5725,15.6625,2378800
FMC,2006-04-26,15.585,15.925,15.5175,15.8225,1035199
FMC,2006-04-27,16.4275,16.52,15.82,15.835,2481600
FMC,2006-04-28,15.89,16.125,15.8275,16.125,2124000
FMC,2006-05-01,15.7575,16.25,15.7575,15.9975,1598400
FMC,2006-05-02,15.9775,15.9875,15.79,15.79,1260400
FMC,2006-05-03,16.015,16.055,15.82,15.9775,1280400
FMC,2006-05-04,16.2625,16.295,15.9525,16.0125,1990000
FMC,2006-05-05,16.5175,16.5575,16.145,16.3,1291600
FMC,2006-05-08,16.3925,16.5325,16.275,16.5,903600
FMC,2006-05-09,16.485,16.5,16.27,16.3675,616000
FMC,2006-05-10,16.5125,16.5125,16.3475,16.4,957200
FMC,2006-05-11,16.4675,16.5725,16.4025,16.5125,1249200
FMC,2006-05-12,16.1975,16.455,16.1375,16.455,1410800
FMC,2006-05-15,16.11,16.19,15.8,16.025,1825600
FMC,2006-05-16,16.17,16.3025,16.04,16.16,1262000
FMC,2006-05-17,15.875,16.17,15.77,16.125,1631600
FMC,2006-05-18,15.8375,15.95,15.71,15.8875,1433200
FMC,2006-05-19,15.7825,15.895,15.5575,15.8675,1362400
FMC,2006-05-22,15.5475,15.755,15.33,15.755,1122800
