Symbol,Date,Close,High,Low,Open,Volume
FOXA,2006-01-02,13.5051,13.618,13.4616,13.4877,0
FOXA,2006-01-03,13.3661,13.618,13.175,13.618,10527548
FOXA,2006-01-04,13.4703,13.5051,13.3678,13.4616,7082960
FOXA,2006-01-05,13.2445,13.4616,13.2098,13.4182,4943391
FOXA,2006-01-06,13.4703,13.5051,13.2445,13.3314,7272368
FOXA,2006-01-09,13.7569,13.7569,13.4443,13.5137,6107246
FOXA,2006-01-10,13.9827,13.9827,13.6701,13.7569,9918447
FOXA,2006-01-11,14.0696,14.0783,13.9393,14.0262,5733035
FOXA,2006-01-12,13.8785,14.113,13.8177,13.9827,22815272
FOXA,2006-01-13,14.0522,14.0696,13.8785,13.9827,5181620
FOXA,2006-01-16,14.0522,14.0696,13.8785,13.9827,0
FOXA,2006-01-17,14.2259,14.252,13.974,13.9827,11925487
FOXA,2006-01-18,14.0435,14.1825,13.9133,14.1825,9161042
FOXA,2006-01-19,14.1651,14.1738,13.9393,14.0609,5641497
FOXA,2006-01-20,14.0175,14.1043,13.948,14.0696,7648422
FOXA,2006-01-23,14.0088,14.1564,13.9914,14.113,6937420
FOXA,2006-01-24,14.0435,14.0522,13.974,14.0522,6357795
FOXA,2006-01-25,13.7743,14.0435,13.7135,14.0348,6279153
FOXA,2006-01-26,13.6267,13.8438,13.5572,13.809,9525237
FOXA,2006-01-27,13.7135,13.7222,13.5485,13.5659,13344957
FOXA,2006-01-30,13.6527,13.7482,13.5919,13.7482,8827706
FOXA,2006-01-31,13.6874,13.6874,13.5919,13.6267,12459976
FOXA,2006-02-01,13.6788,13.7569,13.5224,13.6874,8332596
FOXA,2006-02-02,13.6093,13.6874,13.5051,13.6874,5589568
FOXA,2006-02-03,13.5919,13.644,13.5051,13.5485,8646933
FOXA,2006-02-06,13.7743,13.8177,13.4877,13.5051,5237464
FOXA,2006-02-07,13.6527,13.7569,13.6267,13.6961,6143746
FOXA,2006-02-08,13.7569,13.8004,13.6874,13.7569,5010173
FOXA,2006-02-09,13.5224,13.6614,13.4616,13.5832,10374524
FOXA,2006-02-10,13.6874,13.7917,13.479,13.5051,5584502
FOXA,2006-02-13,13.7222,13.7743,13.644,13.6788,4372287
FOXA,2006-02-14,14.0435,14.0609,13.7222,13.7917,7440245
FOXA,2006-02-15,13.9393,14.0262,13.8264,14.0262,6348239
FOXA,2006-02-16,13.9306,13.9567,13.8872,13.8959,4352713
FOXA,2006-02-17,13.9046,13.9567,13.8872,13.9133,3742230
FOXA,2006-02-20,13.9046,13.9567,13.8872,13.9133,0
FOXA,2006-02-21,13.9133,13.9393,13.8351,13.8872,4277295
FOXA,2006-02-22,14.0088,14.0435,13.8698,13.974,7149742
FOXA,2006-02-23,14.113,14.1651,14.0175,14.0435,7086068
FOXA,2006-02-24,14.087,14.1825,14.0262,14.1564,5155943
FOXA,2006-02-27,14.1217,14.1738,13.9914,13.9914,5222035
FOXA,2006-02-28,14.1391,14.1564,14.0262,14.0262,7795804
FOXA,2006-03-01,14.2172,14.3388,14.1564,14.1999,8352400
FOXA,2006-03-02,14.2085,14.2172,14.1217,14.1304,8818150
FOXA,2006-03-03,14.417,14.4344,14.1304,14.1391,7487569
FOXA,2006-03-06,14.3128,14.443,14.252,14.417,9306927
FOXA,2006-03-07,14.278,14.3484,14.252,14.3214,8789019
FOXA,2006-03-08,14.3822,14.4083,14.278,14.2867,6321526
FOXA,2006-03-09,14.3475,14.5125,14.3301,14.3649,4143154
FOXA,2006-03-10,14.4951,14.5646,14.2867,14.3301,7804900
FOXA,2006-03-13,14.5559,14.582,14.4951,14.5038,8210545
FOXA,2006-03-14,14.6428,14.6602,14.5125,14.5125,5810180
FOXA,2006-03-15,14.6254,14.7296,14.5994,14.6341,15420277
FOXA,2006-03-16,14.5733,14.6167,14.5038,14.5907,5037462
FOXA,2006-03-17,14.4951,14.6602,14.4604,14.6515,13706273
FOXA,2006-03-20,14.3649,14.4865,14.3214,14.4604,5074998
FOXA,2006-03-21,14.278,14.3996,14.2433,14.3996,4818462
FOXA,2006-03-22,14.3736,14.4778,14.2867,14.2867,5080180
FOXA,2006-03-23,14.3301,14.3996,14.2433,14.3475,5671088
FOXA,2006-03-24,14.278,14.3214,14.2433,14.3214,3517588
FOXA,2006-03-27,14.3562,14.3822,14.2085,14.3128,5009367
FOXA,2006-03-28,14.3301,14.3736,14.1564,14.1564,4614200
FOXA,2006-03-29,14.3301,14.3736,14.3128,14.3301,4765036
FOXA,2006-03-30,14.4517,14.4604,14.2693,14.278,6500341
FOXA,2006-03-31,14.4257,14.4778,14.3909,14.4344,10152645
FOXA,2006-04-03,14.5125,14.6428,14.417,14.5386,7285955
FOXA,2006-04-04,14.5646,14.582,14.4344,14.5212,5086512
FOXA,2006-04-05,14.6515,14.7123,14.5733,14.582,7862126
FOXA,2006-04-06,14.7383,14.7644,14.582,14.6254,5003265
FOXA,2006-04-07,14.7644,15.0249,14.721,14.886,5817088
FOXA,2006-04-10,14.7644,14.7991,14.7123,14.7991,3478094
FOXA,2006-04-11,14.608,14.747,14.5559,14.7036,4625023
FOXA,2006-04-12,14.6949,14.7123,14.5646,14.608,3039288
FOXA,2006-04-13,14.6602,14.7383,14.5646,14.5646,3447121
