Symbol,Date,Close,High,Low,Open,Volume
FRT,2006-01-02,60.65,60.93,60.03,60.93,0
FRT,2006-01-03,61.63,61.78,59.64,60.65,478000
FRT,2006-01-04,62.51,62.86,61.44,61.45,376400
FRT,2006-01-05,63.4,63.57,62.43,62.51,290900
FRT,2006-01-06,64.25,64.72,63.45,63.6,395800
FRT,2006-01-09,64.44,64.72,64.18,64.26,195700
FRT,2006-01-10,65.16,65.5,64.15,64.15,446100
FRT,2006-01-11,65.65,65.8,64.8,65.2,201300
FRT,2006-01-12,65.89,65.98,65.45,65.64,206400
FRT,2006-01-13,64.45,65.54,64.0,65.49,207500
FRT,2006-01-16,64.45,65.54,64.0,65.49,0
FRT,2006-01-17,65.03,65.03,63.72,64.25,126800
FRT,2006-01-18,64.98,65.25,64.57,64.8,150400
FRT,2006-01-19,66.8,66.81,64.83,64.97,105900
FRT,2006-01-20,65.99,67.08,65.9,66.78,163000
FRT,2006-01-23,66.44,66.7,65.9,65.9,74900
FRT,2006-01-24,67.24,67.48,66.4,66.4,125400
FRT,2006-01-25,66.8,68.0,66.8,67.36,148600
FRT,2006-01-26,66.76,67.05,65.027,66.8,112800
FRT,2006-01-27,66.8,67.3,66.65,67.0,373400
FRT,2006-01-30,66.53,66.67,65.97,66.67,166000
FRT,2006-01-31,66.82,67.0,66.055,66.4,158600
FRT,2006-02-01,67.1,67.27,66.47,66.9,152200
FRT,2006-02-02,67.18,67.25,66.52,67.0,152700
FRT,2006-02-03,66.08,66.65,65.5,66.6,208100
FRT,2006-02-06,66.52,66.52,66.01,66.25,132600
FRT,2006-02-07,65.5,66.5,65.39,66.37,128800
FRT,2006-02-08,65.03,65.38,64.41,65.34,94500
FRT,2006-02-09,65.54,65.68,64.8,64.97,404300
FRT,2006-02-10,65.45,65.69,64.97,65.44,97100
FRT,2006-02-13,65.61,65.74,65.1,65.55,87200
FRT,2006-02-14,66.25,66.25,65.05,65.8,125700
FRT,2006-02-15,66.65,66.65,65.5,66.15,159100
FRT,2006-02-16,67.66,67.66,66.6,66.6,106900
FRT,2006-02-17,68.8,68.87,67.15,67.6,411700
FRT,2006-02-20,68.8,68.87,67.15,67.6,0
FRT,2006-02-21,68.87,69.11,68.0,68.0,267100
FRT,2006-02-22,70.0,70.09,68.79,68.79,302500
FRT,2006-02-23,70.17,70.59,69.54,69.8,158000
FRT,2006-02-24,69.3,70.16,69.11,70.07,188200
FRT,2006-02-27,69.89,69.9,68.8,69.35,327600
FRT,2006-02-28,69.69,69.73,69.0,69.7,148900
FRT,2006-03-01,69.92,69.92,68.88,69.5,170600
FRT,2006-03-02,69.6,69.84,69.23,69.79,124100
FRT,2006-03-03,69.71,69.82,67.65,69.35,218200
FRT,2006-03-06,71.5,71.97,69.72,69.85,272300
FRT,2006-03-07,70.8,71.35,70.7,71.3,160700
FRT,2006-03-08,71.0,71.0,69.67,70.6,124500
FRT,2006-03-09,72.01,72.38,70.85,71.0,186000
FRT,2006-03-10,71.75,71.96,71.01,71.01,198900
FRT,2006-03-13,70.66,72.07,70.26,71.65,183700
FRT,2006-03-14,70.9,71.28,70.3,70.5,155000
FRT,2006-03-15,71.9,72.08,70.9,70.9,286600
FRT,2006-03-16,72.63,72.87,71.92,72.08,196300
FRT,2006-03-17,73.49,73.8,72.2,72.63,218300
FRT,2006-03-20,72.4,73.35,71.71,73.35,308700
FRT,2006-03-21,72.0,72.49,71.52,72.2,163800
FRT,2006-03-22,72.43,72.46,71.52,71.7,165600
FRT,2006-03-23,72.6,72.89,72.12,72.45,98400
FRT,2006-03-24,72.25,72.7,72.05,72.4,181200
FRT,2006-03-27,71.58,72.7,71.25,72.24,214000
FRT,2006-03-28,73.02,73.02,71.65,71.65,216000
FRT,2006-03-29,75.38,75.55,73.27,73.27,194400
FRT,2006-03-30,75.15,75.65,74.83,75.38,510800
FRT,2006-03-31,75.2,75.65,74.44,75.0,208800
FRT,2006-04-03,72.43,75.1,71.91,73.5,476500
FRT,2006-04-04,71.7,72.2,71.26,72.2,430500
FRT,2006-04-05,71.91,72.29,71.65,71.75,177800
FRT,2006-04-06,71.17,72.15,71.17,71.71,266900
FRT,2006-04-07,69.81,71.45,69.55,71.0,257199
FRT,2006-04-10,68.55,69.87,68.55,69.6,370300
FRT,2006-04-11,67.7,68.86,67.33,68.55,346300
FRT,2006-04-12,67.69,68.31,67.61,67.9,176100
FRT,2006-04-13,66.95,67.46,66.2,67.44,195900
FRT,2006-04-14,66.95,67.46,66.2,67.44,0
FRT,2006-04-17,66.46,67.1,66.22,66.95,173700
FRT,2006-04-18,69.57,69.86,66.9,67.1,526100
FRT,2006-04-19,70.25,70.59,69.16,69.55,321500
FRT,2006-04-20,70.25,70.26,69.36,70.1,137500
FRT,2006-04-21,70.2,70.69,69.89,70.25,85000
FRT,2006-04-24,68.68,70.2,68.68,69.96,175300
FRT,2006-04-25,68.05,69.35,67.79,68.64,139200
FRT,2006-04-26,67.7,68.64,67.7,68.5,120300
