Symbol,Date,Close,High,Low,Open,Volume
GD,2006-01-02,57.025,57.25,56.875,56.95,0
GD,2006-01-03,57.5,57.5,56.84,57.475,1769000
GD,2006-01-04,57.505,57.695,57.295,57.5,1091400
GD,2006-01-05,56.8,57.725,56.675,57.55,1556400
GD,2006-01-06,58.085,58.37,56.95,57.3,1422800
GD,2006-01-09,58.09,58.235,57.875,58.05,1027800
GD,2006-01-10,57.94,58.135,57.51,57.75,1177800
GD,2006-01-11,57.625,58.225,57.595,57.88,1420200
GD,2006-01-12,57.74,58.145,57.165,57.625,920800
GD,2006-01-13,58.6,58.645,57.805,58.0,1284600
GD,2006-01-16,58.6,58.645,57.805,58.0,0
GD,2006-01-17,57.925,58.665,57.75,58.5,1868000
GD,2006-01-18,58.065,58.165,57.715,57.725,1095600
GD,2006-01-19,58.02,58.05,57.58,58.03,1080200
GD,2006-01-20,57.545,58.02,57.39,58.02,1320000
GD,2006-01-23,57.315,57.855,57.075,57.75,1115000
GD,2006-01-24,57.9,58.005,57.4,57.525,2036000
GD,2006-01-25,57.17,57.875,56.77,57.875,2224000
GD,2006-01-26,59.435,59.945,58.0,58.025,3832000
GD,2006-01-27,59.25,59.685,58.88,59.685,1206400
GD,2006-01-30,58.645,59.055,58.15,58.75,1658400
GD,2006-01-31,58.18,58.85,58.14,58.675,1831800
GD,2006-02-01,58.1,58.55,57.515,57.525,1350000
GD,2006-02-02,58.155,58.2,57.19,58.025,1902600
GD,2006-02-03,58.415,58.545,57.65,57.75,1538200
GD,2006-02-06,58.55,58.75,57.825,58.0,1344600
GD,2006-02-07,58.45,59.0,58.235,58.85,1741600
GD,2006-02-08,58.205,58.92,57.615,58.92,1893800
GD,2006-02-09,58.8,58.92,57.8,58.145,1621800
GD,2006-02-10,59.945,60.1,58.685,58.75,2383000
GD,2006-02-13,59.96,60.225,59.615,59.845,1728000
GD,2006-02-14,60.305,60.825,59.82,60.37,1832400
GD,2006-02-15,59.9,60.495,59.77,60.43,1427000
GD,2006-02-16,60.97,60.97,59.705,59.9,2087800
GD,2006-02-17,60.665,60.775,60.205,60.775,1209400
GD,2006-02-20,60.665,60.775,60.205,60.775,0
GD,2006-02-21,59.5,61.06,59.405,61.0,1653400
GD,2006-02-22,60.1,60.6,59.71,59.895,1967600
GD,2006-02-23,60.61,61.625,60.585,61.3,2289600
GD,2006-02-24,60.95,61.125,60.5,60.61,2187600
GD,2006-02-27,62.345,62.655,61.2,61.25,2713800
GD,2006-02-28,61.635,62.215,61.325,62.0,2132800
GD,2006-03-01,62.23,62.875,61.83,62.875,1520600
GD,2006-03-02,63.22,63.375,62.58,62.7,1744600
GD,2006-03-03,63.905,64.12,62.75,62.83,2220400
GD,2006-03-06,63.585,64.06,63.43,63.57,2331800
GD,2006-03-07,63.38,63.805,61.8955,63.0,3916000
GD,2006-03-08,63.46,63.56,63.15,63.3,1964600
GD,2006-03-09,63.455,63.97,63.26,63.425,1931600
GD,2006-03-10,63.15,63.45,62.8,63.25,2140200
GD,2006-03-13,63.685,63.845,62.9,63.0,1385200
GD,2006-03-14,64.045,64.385,63.5,63.5,1173800
GD,2006-03-15,64.595,64.65,63.86,64.0,1460800
GD,2006-03-16,64.69,64.925,64.345,64.595,1697200
GD,2006-03-17,65.33,65.95,64.92,64.995,2353800
GD,2006-03-20,65.58,65.94,65.33,65.5,1304000
GD,2006-03-21,65.05,65.95,64.955,65.8,2469800
GD,2006-03-22,65.275,65.475,64.91,65.05,1443600
GD,2006-03-23,65.425,65.9,64.9999,65.55,2083800
GD,2006-03-24,65.635,65.835,65.135,65.215,1908000
GD,2006-03-27,64.84,65.53,64.46,65.38,2034199
GD,2006-03-28,63.99,65.19,63.85,65.01,1632900
GD,2006-03-29,64.5,64.9,63.99,63.99,1085900
GD,2006-03-30,64.26,64.79,64.19,64.26,1591100
GD,2006-03-31,63.98,64.57,63.89,64.13,1306500
GD,2006-04-03,64.07,64.95,64.0,64.23,1398200
GD,2006-04-04,65.09,65.14,63.28,63.75,2108200
GD,2006-04-05,64.5,65.0652,63.87,64.65,1712800
GD,2006-04-06,65.07,65.6,64.45,64.66,1545300
GD,2006-04-07,64.94,65.94,64.53,65.32,1132700
GD,2006-04-10,65.18,65.33,64.85,65.08,1421400
GD,2006-04-11,64.83,65.58,64.62,65.01,1144600
GD,2006-04-12,63.93,65.15,63.72,64.72,1307700
GD,2006-04-13,63.89,64.39,63.56,63.56,934100
GD,2006-04-14,63.89,64.39,63.56,63.56,0
GD,2006-04-17,64.25,64.6,63.9,63.95,611400
GD,2006-04-18,66.45,66.65,64.44,64.55,1812000
GD,2006-04-19,69.41,69.62,67.1,68.49,2931200
GD,2006-04-20,68.33,69.02,67.91,68.51,2313800
GD,2006-04-21,67.88,68.55,67.86,68.19,1488200
GD,2006-04-24,68.53,68.84,68.24,68.27,1774100
GD,2006-04-25,68.31,68.56,67.61,68.26,1360500
GD,2006-04-26,68.03,68.75,67.39,68.56,1375700
GD,2006-04-27,68.28,69.01,67.76,68.03,1388200
GD,2006-04-28,65.62,67.8876,65.43,67.64,2364600
GD,2006-05-01,66.32,66.87,65.68,65.75,1466100
