Symbol,Date,Close,High,Low,Open,Volume
GGP,2006-01-02,36.2301,36.6619,36.1607,36.3535,0
GGP,2006-01-03,37.2247,37.2247,35.6441,36.3149,1899957
GGP,2006-01-04,37.6565,37.7104,37.0088,37.0551,1420591
GGP,2006-01-05,38.1191,38.4506,37.5794,37.6256,1195952
GGP,2006-01-06,38.3427,38.4969,37.8492,38.2964,1555088
GGP,2006-01-09,38.5509,38.628,38.0805,38.0805,1301787
GGP,2006-01-10,39.2833,39.4067,38.4352,38.4352,2527959
GGP,2006-01-11,39.4684,39.9387,39.1985,39.4298,1986856
GGP,2006-01-12,39.2371,39.4221,38.8593,39.1831,1408658
GGP,2006-01-13,38.2193,38.813,38.0343,38.5509,2292167
GGP,2006-01-16,38.2193,38.813,38.0343,38.5509,0
GGP,2006-01-17,38.2964,38.3195,37.6796,37.9186,1119430
GGP,2006-01-18,38.1576,38.3504,37.9417,38.0034,1026047
GGP,2006-01-19,38.4121,38.5123,38.1114,38.1499,1252890
GGP,2006-01-20,38.1191,38.628,37.9263,38.4583,1408529
GGP,2006-01-23,38.3504,38.4352,38.0266,38.0266,737208
GGP,2006-01-24,38.4429,38.5509,38.2193,38.2502,1495686
GGP,2006-01-25,38.4738,38.7051,38.2733,38.466,1846651
GGP,2006-01-26,38.7359,38.7822,38.3812,38.5123,1309179
GGP,2006-01-27,39.638,39.8462,38.9672,39.0135,1296339
GGP,2006-01-30,39.7151,39.8616,39.2756,39.638,915673
GGP,2006-01-31,39.7845,39.9387,38.9364,39.0289,1606190
GGP,2006-02-01,40.0543,40.2008,39.4607,39.5378,1716434
GGP,2006-02-02,39.7074,40.1854,39.5917,39.9618,1115280
GGP,2006-02-03,39.106,39.399,38.5123,39.1677,1527592
GGP,2006-02-06,39.0597,39.1214,38.7051,39.0135,1017227
GGP,2006-02-07,38.3041,39.1291,38.3041,39.0212,1366117
GGP,2006-02-08,38.0111,38.3812,37.2555,38.3812,2045998
GGP,2006-02-09,38.0111,38.4121,37.6488,38.0651,1575970
GGP,2006-02-10,38.042,38.2424,37.5023,38.042,1175330
GGP,2006-02-13,38.1114,38.335,37.9417,38.2424,1082336
GGP,2006-02-14,38.0343,38.2656,37.3866,38.0728,999848
GGP,2006-02-15,38.5586,38.5663,37.8569,38.0574,1242903
GGP,2006-02-16,39.4452,39.53,38.6588,38.7436,975075
GGP,2006-02-17,39.8539,39.8693,39.2448,39.4375,724238
GGP,2006-02-20,39.8539,39.8693,39.2448,39.4375,0
GGP,2006-02-21,40.17,40.3396,39.6303,39.8539,1106201
GGP,2006-02-22,38.4892,39.3142,37.7798,37.7798,4469161
GGP,2006-02-23,38.8515,38.8978,38.2424,38.2424,2164413
GGP,2006-02-24,38.8978,38.9518,38.5509,38.6588,1536671
GGP,2006-02-27,39.052,39.2448,38.7128,38.8747,1994249
GGP,2006-02-28,38.8515,39.3142,38.7822,38.8978,1770259
