Symbol,Date,Close,High,Low,Open,Volume
GIS,2006-01-02,24.66,24.9,24.66,24.9,0
GIS,2006-01-03,24.79,24.795,24.555,24.76,3721200
GIS,2006-01-04,24.995,25.015,24.765,24.875,3637600
GIS,2006-01-05,24.86,25.05,24.72,25.0,2776800
GIS,2006-01-06,24.865,24.955,24.74,24.8,3825600
GIS,2006-01-09,24.87,24.96,24.8,24.89,3171400
GIS,2006-01-10,24.93,24.935,24.755,24.855,1772400
GIS,2006-01-11,25.095,25.14,24.975,24.975,4564000
GIS,2006-01-12,24.985,25.08,24.925,25.05,2308800
GIS,2006-01-13,24.98,25.05,24.89,25.03,2577200
GIS,2006-01-16,24.98,25.05,24.89,25.03,0
GIS,2006-01-17,24.75,25.03,24.72,24.95,4359000
GIS,2006-01-18,24.95,25.01,24.75,24.75,2404800
GIS,2006-01-19,24.925,25.04,24.83,25.04,3011400
GIS,2006-01-20,24.615,24.96,24.59,24.95,3267600
GIS,2006-01-23,24.435,24.87,24.4,24.715,2906400
GIS,2006-01-24,24.38,24.545,24.275,24.435,1808000
GIS,2006-01-25,24.32,24.495,24.275,24.4,3311600
GIS,2006-01-26,24.13,24.745,24.06,24.745,2874200
GIS,2006-01-27,24.38,24.455,24.015,24.09,2057599
GIS,2006-01-30,24.415,24.48,24.29,24.425,1649200
GIS,2006-01-31,24.305,24.44,24.19,24.375,2845200
GIS,2006-02-01,24.365,24.57,24.275,24.3,2496600
GIS,2006-02-02,24.2,24.495,24.19,24.425,2314200
GIS,2006-02-03,23.78,24.225,23.705,24.2,3634000
GIS,2006-02-06,23.75,24.025,23.745,23.9,4720800
GIS,2006-02-07,23.75,23.925,23.75,23.765,3112200
GIS,2006-02-08,23.62,23.765,23.575,23.74,4419400
GIS,2006-02-09,23.695,23.695,23.625,23.695,5261000
GIS,2006-02-10,23.755,23.825,23.57,23.57,5872200
GIS,2006-02-13,23.825,23.88,23.68,23.84,3631600
GIS,2006-02-14,23.825,23.865,23.75,23.8,4969200
GIS,2006-02-15,23.99,24.08,23.805,23.835,2773200
GIS,2006-02-16,24.29,24.29,23.905,24.0,4052399
GIS,2006-02-17,24.47,24.575,24.16,24.32,4131999
GIS,2006-02-20,24.47,24.575,24.16,24.32,0
GIS,2006-02-21,24.43,24.595,24.375,24.495,3308800
GIS,2006-02-22,24.4,24.6395,24.345,24.5,4592200
GIS,2006-02-23,24.56,24.685,24.38,24.45,2178200
GIS,2006-02-24,24.825,24.875,24.515,24.565,2261800
GIS,2006-02-27,24.735,24.84,24.56,24.73,2907800
GIS,2006-02-28,24.625,24.705,24.555,24.625,3044200
GIS,2006-03-01,24.51,24.645,24.47,24.6,3696800
GIS,2006-03-02,24.59,24.65,24.425,24.5,2357400
GIS,2006-03-03,24.415,24.6,24.39,24.5,2077400
GIS,2006-03-06,24.37,24.515,24.3,24.325,1967400
GIS,2006-03-07,24.405,24.52,24.295,24.325,2790200
GIS,2006-03-08,24.48,24.515,24.3,24.365,3031400
GIS,2006-03-09,24.41,24.495,24.34,24.425,2904400
GIS,2006-03-10,24.425,24.525,24.355,24.385,1908800
GIS,2006-03-13,24.375,24.545,24.365,24.45,3203600
GIS,2006-03-14,24.46,24.515,24.255,24.335,2628600
GIS,2006-03-15,24.53,24.6,24.425,24.435,3103600
GIS,2006-03-16,24.49,24.66,24.435,24.6,2630000
GIS,2006-03-17,24.665,24.685,24.5,24.59,3236600
GIS,2006-03-20,24.675,24.75,24.505,24.7,1780200
GIS,2006-03-21,24.605,24.61,24.3,24.55,3525000
GIS,2006-03-22,24.99,24.995,24.525,24.575,3661800
GIS,2006-03-23,25.115,25.225,24.89,25.0,5179000
GIS,2006-03-24,25.325,25.365,25.065,25.115,4437600
GIS,2006-03-27,25.285,25.345,24.955,25.25,6220800
GIS,2006-03-28,25.27,25.4,25.24,25.33,3475600
GIS,2006-03-29,25.425,25.485,25.27,25.27,2999200
GIS,2006-03-30,25.305,25.415,25.23,25.365,2790000
GIS,2006-03-31,25.34,25.43,25.205,25.3,3221000
GIS,2006-04-03,25.45,25.525,25.355,25.38,3737000
GIS,2006-04-04,25.33,25.415,25.205,25.4,3458400
GIS,2006-04-05,25.38,25.475,25.3,25.33,2323000
GIS,2006-04-06,25.125,25.305,25.065,25.205,3011600
GIS,2006-04-07,25.04,25.24,24.935,25.05,2061999
GIS,2006-04-10,25.05,25.105,24.905,25.04,1508800
GIS,2006-04-11,24.645,25.155,24.58,25.02,2727800
GIS,2006-04-12,24.665,24.93,24.665,24.705,2181000
GIS,2006-04-13,24.32,24.6,24.32,24.6,2486800
GIS,2006-04-14,24.32,24.6,24.32,24.6,0
GIS,2006-04-17,24.46,24.655,24.3,24.35,2118000
GIS,2006-04-18,24.48,24.59,24.41,24.55,3542600
GIS,2006-04-19,24.525,24.615,24.48,24.5,2768400
GIS,2006-04-20,24.525,24.71,24.51,24.595,2785400
GIS,2006-04-21,24.475,24.6,24.4,24.53,2590400
GIS,2006-04-24,24.365,24.46,24.28,24.435,3714200
GIS,2006-04-25,24.56,24.68,24.3,24.395,3263400
GIS,2006-04-26,24.475,24.72,24.395,24.65,2940800
GIS,2006-04-27,24.62,24.695,24.365,24.4,3230400
GIS,2006-04-28,24.67,24.775,24.54,24.675,5473800
GIS,2006-05-01,25.0,25.1,24.645,24.65,3673800
GIS,2006-05-02,24.905,25.15,24.84,25.075,3253400
GIS,2006-05-03,24.79,24.94,24.765,24.86,2556800
GIS,2006-05-04,24.795,24.915,24.75,24.78,2615800
GIS,2006-05-05,24.845,24.945,24.76,24.865,3305400
GIS,2006-05-08,25.0,25.115,24.805,24.845,2876800
GIS,2006-05-09,24.955,25.1,24.86,24.98,1645000
GIS,2006-05-10,24.9,25.0,24.8,24.925,2157400
GIS,2006-05-11,24.5,24.9,24.48,24.875,3232000
GIS,2006-05-12,24.485,24.695,24.43,24.53,3314000
GIS,2006-05-15,24.895,24.9,24.41,24.5,2620400
GIS,2006-05-16,24.845,24.955,24.73,24.9,2832200
GIS,2006-05-17,24.825,25.02,24.685,24.75,3087800
GIS,2006-05-18,24.81,25.0,24.66,24.795,2753600
GIS,2006-05-19,24.775,24.97,24.68,24.885,2835000
GIS,2006-05-22,24.88,25.05,24.6,24.7,2650200
GIS,2006-05-23,25.115,25.16,24.875,24.88,7881800
GIS,2006-05-24,25.305,25.375,25.05,25.115,7903600
GIS,2006-05-25,26.045,26.06,25.315,25.385,8329599
GIS,2006-05-26,25.895,26.08,25.775,25.95,3748200
GIS,2006-05-29,25.895,26.08,25.775,25.95,0
GIS,2006-05-30,25.855,26.005,25.755,25.79,3228200
GIS,2006-05-31,25.945,25.975,25.77,25.815,2946000
GIS,2006-06-01,25.905,26.005,25.76,25.885,2568800
GIS,2006-06-02,25.95,26.145,25.8,25.87,3494800
GIS,2006-06-05,25.635,25.95,25.48,25.6,2975400
GIS,2006-06-06,25.845,25.925,25.57,25.72,2356600
GIS,2006-06-07,25.77,25.905,25.695,25.835,2387000
GIS,2006-06-08,25.77,25.815,25.335,25.77,3714400
GIS,2006-06-09,25.6,25.755,25.495,25.72,2452800
GIS,2006-06-12,25.535,25.78,25.535,25.67,2304800
GIS,2006-06-13,25.67,25.67,25.39,25.57,4379800
GIS,2006-06-14,25.84,25.84,25.425,25.425,4573000
GIS,2006-06-15,25.415,25.5,24.91,25.495,7515600
GIS,2006-06-16,25.22,25.65,25.155,25.47,5380600
GIS,2006-06-19,24.725,25.48,24.635,25.3,7532200
GIS,2006-06-20,24.975,25.015,24.655,24.8,5696800
GIS,2006-06-21,25.205,25.31,24.95,24.975,3096600
GIS,2006-06-22,25.655,25.77,25.45,25.55,5224400
GIS,2006-06-23,25.555,25.75,25.395,25.56,2959400
GIS,2006-06-26,25.75,25.75,25.51,25.555,1962200
GIS,2006-06-27,25.495,25.79,25.475,25.7,3965200
GIS,2006-06-28,25.73,25.745,25.455,25.5,5580200
GIS,2006-06-29,25.875,25.895,25.335,25.65,7727800
GIS,2006-06-30,25.83,26.575,25.83,25.945,8674200
GIS,2006-07-03,25.935,26.075,25.835,25.875,2044000
GIS,2006-07-04,25.935,26.075,25.835,25.875,0
GIS,2006-07-05,25.975,26.02,25.765,25.94,5511600
GIS,2006-07-06,25.51,26.01,25.49,25.82,6328800
GIS,2006-07-07,25.985,26.07,25.385,25.6,5973000
GIS,2006-07-10,26.31,26.425,25.88,25.97,4886400
GIS,2006-07-11,26.395,26.42,26.045,26.275,4150400
GIS,2006-07-12,26.18,26.505,26.125,26.375,4521400
GIS,2006-07-13,26.115,26.255,25.995,25.995,5342400
GIS,2006-07-14,25.955,26.18,25.925,26.075,2991200
GIS,2006-07-17,26.065,26.235,25.96,25.97,2369400
GIS,2006-07-18,26.2,26.255,25.955,26.065,3875800
GIS,2006-07-19,26.33,26.48,26.1,26.31,4049200
GIS,2006-07-20,26.2,26.415,26.145,26.275,3291600
GIS,2006-07-21,25.835,26.31,25.805,26.31,4657200
GIS,2006-07-24,25.825,25.935,25.68,25.875,4342000
GIS,2006-07-25,26.095,26.165,25.67,25.775,6540000
GIS,2006-07-26,26.155,26.29,26.01,26.11,2925000
GIS,2006-07-27,26.005,26.315,25.97,26.16,5625600
GIS,2006-07-28,26.165,26.225,25.995,26.1,2443600
GIS,2006-07-31,25.95,26.23,25.9,26.125,2135800
GIS,2006-08-01,26.0,26.07,25.8,25.925,3070800
GIS,2006-08-02,25.975,26.175,25.925,26.0,3310600
GIS,2006-08-03,26.0,26.07,25.89,25.975,1601000
GIS,2006-08-04,26.185,26.21,25.995,26.04,2769200
GIS,2006-08-07,25.96,26.25,25.915,26.235,2408000
GIS,2006-08-08,26.575,26.6,26.02,26.055,4029600
GIS,2006-08-09,26.53,26.79,26.5,26.575,3912800
GIS,2006-08-10,26.585,26.825,26.44,26.46,3328400
GIS,2006-08-11,26.6,26.73,26.475,26.51,2074600
GIS,2006-08-14,26.675,26.84,26.55,26.55,2853800
GIS,2006-08-15,26.77,26.86,26.575,26.795,2747800
GIS,2006-08-16,26.9,26.95,26.62,26.785,2215800
GIS,2006-08-17,26.52,26.875,26.485,26.85,3425600
GIS,2006-08-18,26.665,26.7,26.365,26.555,2886200
GIS,2006-08-21,26.615,26.7,26.485,26.6,2607600
GIS,2006-08-22,26.575,26.68,26.43,26.505,3133600
GIS,2006-08-23,26.635,26.77,26.555,26.63,1655000
GIS,2006-08-24,26.77,26.86,26.53,26.675,3161400
GIS,2006-08-25,27.055,27.105,26.745,26.755,2531400
GIS,2006-08-28,27.06,27.12,26.92,27.015,2217800
GIS,2006-08-29,26.94,27.215,26.905,26.99,3732800
GIS,2006-08-30,27.14,27.235,27.025,27.1,2042800
GIS,2006-08-31,27.115,27.2,27.02,27.125,2006800
