Symbol,Date,Close,High,Low,Open,Volume
GLW,2006-01-02,19.66,19.83,19.53,19.73,0
GLW,2006-01-03,20.05,20.1,19.35,19.98,10061000
GLW,2006-01-04,20.85,20.85,20.05,20.11,10748300
GLW,2006-01-05,20.52,20.84,20.4,20.83,8171400
GLW,2006-01-06,21.19,21.34,20.75,20.79,9610600
GLW,2006-01-09,22.55,22.74,21.21,21.21,22182900
GLW,2006-01-10,23.33,23.38,22.35,22.5,18027700
GLW,2006-01-11,24.95,25.05,23.45,23.46,31460300
GLW,2006-01-12,23.86,24.78,23.75,24.71,20849000
GLW,2006-01-13,24.8,24.99,24.03,24.39,16677900
GLW,2006-01-16,24.8,24.99,24.03,24.39,0
GLW,2006-01-17,24.34,24.599,24.05,24.25,9409700
GLW,2006-01-18,25.24,25.33,23.32,23.32,14386000
GLW,2006-01-19,24.86,25.76,24.61,25.25,18131300
GLW,2006-01-20,23.88,24.79,23.78,24.72,12007800
GLW,2006-01-23,23.71,24.46,23.54,24.2,10965900
GLW,2006-01-24,24.25,24.62,23.81,24.05,16598500
GLW,2006-01-25,25.39,25.49,22.81,22.98,44136000
GLW,2006-01-26,25.11,25.3,24.0,25.05,19891000
GLW,2006-01-27,24.88,25.49,24.79,25.25,11014900
GLW,2006-01-30,24.94,25.17,24.53,24.64,7537900
GLW,2006-01-31,24.35,24.99,24.26,24.78,9750600
GLW,2006-02-01,25.05,25.16,24.28,24.43,10724400
GLW,2006-02-02,24.21,25.45,24.11,25.0,12848900
GLW,2006-02-03,24.51,24.86,24.02,24.23,8410900
GLW,2006-02-06,24.01,24.45,23.52,24.4,8765900
GLW,2006-02-07,24.11,24.11,23.02,23.83,10305200
GLW,2006-02-08,24.11,24.15,23.52,24.11,7850000
GLW,2006-02-09,23.7,24.48,23.62,23.7,8158899
GLW,2006-02-10,23.46,23.75,23.06,23.56,8718100
GLW,2006-02-13,23.65,24.03,23.21,23.53,7510000
GLW,2006-02-14,24.18,24.25,23.7,23.89,7391000
GLW,2006-02-15,24.46,24.47,24.0,24.25,6108100
GLW,2006-02-16,24.95,25.09,24.41,24.46,10251800
GLW,2006-02-17,24.28,25.02,24.26,24.95,9014000
GLW,2006-02-20,24.28,25.02,24.26,24.95,0
GLW,2006-02-21,23.82,24.45,23.75,24.36,6008100
GLW,2006-02-22,24.97,24.99,23.93,24.08,8247000
GLW,2006-02-23,24.6,25.15,24.54,24.77,7924900
GLW,2006-02-24,24.7,24.8,24.31,24.49,4194700
GLW,2006-02-27,24.91,25.24,24.59,24.59,8127300
GLW,2006-02-28,24.41,24.83,24.01,24.72,8141999
