Symbol,Date,Close,High,Low,Open,Volume
GPC,2006-01-02,43.92,44.04,43.75,44.0,0
GPC,2006-01-03,44.21,44.25,43.78,44.06,1020899
GPC,2006-01-04,44.26,44.46,43.95,44.3,517599
GPC,2006-01-05,44.36,44.44,44.09,44.37,701200
GPC,2006-01-06,44.35,44.56,44.16,44.43,440700
GPC,2006-01-09,44.35,44.4,44.08,44.19,667100
GPC,2006-01-10,44.11,44.24,43.87,44.2,423300
GPC,2006-01-11,44.08,44.08,43.67,43.95,502600
GPC,2006-01-12,43.82,44.0,43.6,43.96,354300
GPC,2006-01-13,44.39,44.54,43.88,43.88,520499
GPC,2006-01-16,44.39,44.54,43.88,43.88,0
GPC,2006-01-17,43.93,44.34,43.71,44.25,442300
GPC,2006-01-18,43.86,44.26,43.69,43.83,288000
GPC,2006-01-19,43.99,44.3,43.85,43.97,438700
GPC,2006-01-20,42.49,44.17,42.49,43.87,805500
GPC,2006-01-23,42.93,43.1,42.71,42.73,411600
GPC,2006-01-24,43.03,43.13,42.7,43.03,403100
GPC,2006-01-25,42.99,43.25,42.76,43.05,376700
GPC,2006-01-26,43.35,43.51,43.1,43.33,538900
GPC,2006-01-27,43.22,43.65,43.18,43.18,407300
GPC,2006-01-30,42.76,43.3,42.76,43.3,303500
GPC,2006-01-31,42.53,42.93,42.49,42.6,517300
GPC,2006-02-01,43.0,43.06,42.46,42.58,647000
GPC,2006-02-02,42.45,43.05,42.28,42.98,443200
GPC,2006-02-03,42.29,42.53,42.2,42.3,485100
GPC,2006-02-06,42.24,42.34,41.98,42.19,352100
GPC,2006-02-07,41.67,42.45,41.64,42.29,331500
GPC,2006-02-08,42.05,42.1,41.41,41.69,310800
GPC,2006-02-09,42.14,42.59,41.88,42.03,255800
GPC,2006-02-10,42.38,42.6,41.84,42.02,211500
GPC,2006-02-13,42.14,42.75,41.91,42.5,172900
GPC,2006-02-14,42.81,42.96,41.87,42.1,296500
GPC,2006-02-15,42.81,42.83,41.83,42.78,440500
GPC,2006-02-16,43.2,43.2,42.5,42.65,330500
GPC,2006-02-17,43.83,44.0,43.21,43.3,457200
GPC,2006-02-20,43.83,44.0,43.21,43.3,0
GPC,2006-02-21,44.61,45.74,44.0,44.0,1295900
GPC,2006-02-22,44.77,45.0,44.41,44.5,708900
GPC,2006-02-23,44.76,45.15,44.51,44.72,434500
GPC,2006-02-24,44.81,44.91,44.52,44.72,397400
GPC,2006-02-27,44.63,45.24,44.63,44.96,420800
GPC,2006-02-28,44.52,44.8,44.37,44.41,528800
GPC,2006-03-01,44.65,44.68,44.23,44.64,623500
GPC,2006-03-02,44.31,44.65,43.93,44.53,314000
GPC,2006-03-03,44.02,44.34,43.9,43.99,492700
GPC,2006-03-06,43.74,44.16,43.62,44.12,479300
GPC,2006-03-07,44.8,45.04,43.8,43.8,874900
GPC,2006-03-08,44.18,44.45,43.865,44.44,434300
GPC,2006-03-09,44.31,44.52,44.1,44.28,394700
GPC,2006-03-10,44.75,44.79,44.25,44.31,429300
GPC,2006-03-13,44.21,44.99,44.15,44.85,225600
GPC,2006-03-14,44.58,44.71,43.98,44.14,348900
