Symbol,Date,Close,High,Low,Open,Volume
GS,2006-01-02,127.71,128.07,126.7,127.15,0
GS,2006-01-03,128.87,129.44,124.23,126.7,6168700
GS,2006-01-04,127.09,128.91,126.38,127.35,4834700
GS,2006-01-05,127.04,127.32,125.61,126.0,3688100
GS,2006-01-06,128.84,129.25,127.29,127.29,4249100
GS,2006-01-09,130.39,130.62,128.0,128.5,4693200
GS,2006-01-10,132.03,132.95,130.02,130.05,5577100
GS,2006-01-11,131.97,133.8,131.42,131.45,4600500
GS,2006-01-12,132.25,133.21,131.38,131.4,3705000
GS,2006-01-13,133.26,133.66,131.9,132.02,2890500
GS,2006-01-16,133.26,133.66,131.9,132.02,0
GS,2006-01-17,132.59,133.13,130.59,131.0,3614000
GS,2006-01-18,132.37,132.68,131.01,131.06,4275500
GS,2006-01-19,133.82,134.82,132.71,132.72,5006600
GS,2006-01-20,131.44,134.06,131.25,132.85,5513900
GS,2006-01-23,132.87,134.18,131.64,131.64,3845400
GS,2006-01-24,133.0,134.09,132.34,132.63,3747500
GS,2006-01-25,133.56,134.04,132.46,133.65,3739200
GS,2006-01-26,137.4,138.36,133.01,133.01,4769200
GS,2006-01-27,138.94,139.75,137.1,137.93,3649600
GS,2006-01-30,139.87,140.64,138.71,139.55,3147800
GS,2006-01-31,141.25,141.86,138.45,139.73,4864500
GS,2006-02-01,141.71,142.95,140.43,141.4,3630800
GS,2006-02-02,142.52,143.77,141.4,142.27,3684900
GS,2006-02-03,142.74,143.12,140.7,141.55,4163500
GS,2006-02-06,142.82,144.1,141.6,142.61,3840900
GS,2006-02-07,139.48,143.31,139.48,142.35,5182400
GS,2006-02-08,141.14,141.93,139.32,140.1,4481400
GS,2006-02-09,140.85,142.85,140.49,141.14,3047200
GS,2006-02-10,140.81,141.85,137.8,140.67,4424900
GS,2006-02-13,139.65,141.8,139.15,139.65,2155100
GS,2006-02-14,141.78,142.32,138.77,141.2,2988900
GS,2006-02-15,145.14,145.5,141.4,142.0,4330300
GS,2006-02-16,145.9,146.35,144.21,146.1,2827700
GS,2006-02-17,145.54,146.22,144.06,146.19,2389800
GS,2006-02-20,145.54,146.22,144.06,146.19,0
GS,2006-02-21,143.45,145.75,143.01,145.56,2496200
GS,2006-02-22,145.53,145.53,143.23,143.45,2636200
GS,2006-02-23,143.96,145.61,143.79,145.61,2447000
GS,2006-02-24,144.16,145.4,143.05,143.05,2298800
GS,2006-02-27,143.82,145.25,143.34,144.81,2274000
GS,2006-02-28,141.29,144.16,141.11,143.6,3863900
GS,2006-03-01,143.74,143.74,141.98,141.98,2994900
GS,2006-03-02,144.0,144.86,142.24,143.07,2873400
GS,2006-03-03,146.0,147.48,143.1,143.5,3997300
GS,2006-03-06,145.02,147.08,144.31,146.54,2881100
GS,2006-03-07,144.28,144.46,143.17,144.37,2766900
GS,2006-03-08,142.49,144.67,141.26,143.55,3622200
GS,2006-03-09,141.7,143.4,141.2,142.66,2259400
GS,2006-03-10,141.53,142.45,140.15,141.63,3240600
GS,2006-03-13,140.72,142.95,139.18,141.55,4945000
GS,2006-03-14,149.42,149.5,145.62,145.92,11229700
GS,2006-03-15,149.0,149.64,147.59,148.3,7557000
GS,2006-03-16,147.69,149.69,147.45,149.1,6023500
GS,2006-03-17,150.36,151.54,148.03,148.25,6643000
GS,2006-03-20,152.18,152.66,149.8,150.05,4870500
GS,2006-03-21,149.4,152.0,149.01,151.61,4460500
GS,2006-03-22,151.82,152.36,148.3,148.3,3754300
GS,2006-03-23,151.67,151.96,150.45,151.17,3843700
GS,2006-03-24,152.17,152.57,150.88,151.68,2628500
GS,2006-03-27,155.0,155.36,152.13,152.13,4296600
GS,2006-03-28,154.16,157.82,154.16,155.01,6476100
GS,2006-03-29,156.9,157.57,154.84,154.9,4434300
GS,2006-03-30,156.81,159.63,155.71,157.73,4744400
GS,2006-03-31,156.96,158.38,156.25,157.0,3273400
GS,2006-04-03,158.12,159.88,156.92,157.99,3948600
GS,2006-04-04,161.0,161.36,158.12,158.12,5080000
GS,2006-04-05,160.75,161.92,160.0,160.5,4191000
GS,2006-04-06,162.04,162.07,160.07,160.07,4173100
GS,2006-04-07,161.02,163.16,159.89,162.04,4879900
GS,2006-04-10,162.46,164.05,161.45,162.5,4441900
GS,2006-04-11,159.15,163.2999,158.51,163.0,4908200
GS,2006-04-12,159.52,160.3,158.4,159.63,3394800
GS,2006-04-13,159.43,159.69,158.2,158.45,2187700
GS,2006-04-14,159.43,159.69,158.2,158.45,0
GS,2006-04-17,161.94,163.21,160.0,160.25,3381500
GS,2006-04-18,165.55,166.1799,161.32,162.75,4764000
GS,2006-04-19,167.05,167.57,163.6,164.55,4465700
GS,2006-04-20,168.55,169.31,166.06,166.06,4860000
GS,2006-04-21,165.89,168.66,165.32,168.62,3563300
GS,2006-04-24,165.35,166.27,163.5,165.5,3430100
GS,2006-04-25,162.8,165.6,161.76,165.35,3353700
GS,2006-04-26,163.4,164.65,162.2,163.5,3032300
GS,2006-04-27,163.97,165.79,162.1,163.35,4062100
GS,2006-04-28,160.29,164.89,158.65,163.81,5293900
GS,2006-05-01,156.45,161.67,156.08,160.3,5620900
GS,2006-05-02,158.83,160.0,157.12,157.6,3701400
GS,2006-05-03,159.15,159.85,157.75,159.5,2462600
GS,2006-05-04,158.04,160.33,158.0,159.16,2545600
GS,2006-05-05,164.39,164.6,159.69,159.75,3737200
GS,2006-05-08,163.53,166.55,162.2,164.39,2362900
GS,2006-05-09,165.75,166.26,163.7,163.75,2600900
GS,2006-05-10,164.09,165.41,162.05,164.85,3210500
GS,2006-05-11,159.28,164.49,158.6,164.38,3595600
GS,2006-05-12,156.11,159.7,156.07,158.75,4579200
GS,2006-05-15,153.14,157.0,151.11,154.6,5997200
GS,2006-05-16,152.7,155.11,150.62,153.6,4003100
GS,2006-05-17,148.21,151.15,147.0,150.85,7461100
GS,2006-05-18,147.03,150.25,146.25,149.36,6047800
GS,2006-05-19,149.41,150.45,146.75,148.3,6479400
GS,2006-05-22,146.15,148.51,143.34,148.51,8394400
GS,2006-05-23,143.7,148.88,143.7,148.05,5586400
GS,2006-05-24,143.92,145.59,140.42,143.65,8706600
GS,2006-05-25,147.32,147.32,144.68,145.2,5563500
GS,2006-05-26,152.94,152.94,149.47,150.0,5692200
GS,2006-05-29,152.94,152.94,149.47,150.0,0
GS,2006-05-30,149.83,151.95,149.25,151.0,5173600
GS,2006-05-31,150.95,152.39,149.15,151.3,5222200
GS,2006-06-01,153.55,153.59,150.19,150.92,4174699
GS,2006-06-02,154.09,157.0,153.6,155.5,4248800
GS,2006-06-05,150.4,156.29,149.85,154.95,5387300
GS,2006-06-06,149.24,152.06,147.5,151.39,6549800
GS,2006-06-07,149.95,152.53,148.3,149.25,4308900
GS,2006-06-08,150.67,150.67,148.8,148.8,7885500
GS,2006-06-09,149.89,152.1,148.99,151.0,4407200
GS,2006-06-12,145.0,150.72,145.0,150.3,5825100
GS,2006-06-13,139.25,145.5,138.01,144.11,15672400
GS,2006-06-14,138.5,141.7646,136.79,139.75,10479200
GS,2006-06-15,144.12,145.1899,140.07,140.4,10859100
GS,2006-06-16,144.0,144.59,142.61,143.3,6340000
GS,2006-06-19,143.75,145.75,142.95,144.98,6487500
GS,2006-06-20,145.26,145.99,143.59,144.65,5779900
GS,2006-06-21,149.83,150.32,145.5,145.77,7500100
GS,2006-06-22,148.31,150.5,146.95,149.71,4390500
GS,2006-06-23,147.92,149.4,147.21,147.85,3455400
GS,2006-06-26,149.9,149.95,148.1,148.92,3795800
GS,2006-06-27,147.16,150.89,147.16,149.05,3623100
GS,2006-06-28,146.49,148.5,145.07,147.41,4906900
GS,2006-06-29,152.2,152.2,146.35,148.1,6523400
GS,2006-06-30,150.43,152.72,149.5,152.2,5885900
GS,2006-07-03,152.45,152.792,151.34,151.93,3250500
GS,2006-07-04,152.45,152.792,151.34,151.93,0
GS,2006-07-05,150.95,151.7,150.0,151.7,4454500
GS,2006-07-06,150.58,152.3,150.2,152.29,3427900
GS,2006-07-07,148.51,150.5,148.44,150.01,3607000
GS,2006-07-10,148.85,150.41,148.16,149.25,2915500
GS,2006-07-11,148.67,149.0,146.55,148.4,3806100
GS,2006-07-12,145.27,149.23,145.07,148.7,4211100
GS,2006-07-13,142.55,145.2,142.1,144.03,6099700
GS,2006-07-14,140.1,143.5,138.97,143.1,5486000
GS,2006-07-17,140.87,142.2699,139.2,140.1,4527500
GS,2006-07-18,142.34,142.48,139.9,140.62,5605900
GS,2006-07-19,146.97,147.85,142.7,142.7,6062300
GS,2006-07-20,145.18,147.8,145.0,146.7,4207500
GS,2006-07-21,142.04,145.06,141.8,145.05,4583800
GS,2006-07-24,146.9,147.5,143.06,143.3,4607500
GS,2006-07-25,148.49,149.67,145.34,146.9,4946000
GS,2006-07-26,147.38,148.82,146.69,147.5,3294900
GS,2006-07-27,148.26,149.63,147.59,148.7,4053700
GS,2006-07-28,151.72,152.35,149.33,149.65,4737700
GS,2006-07-31,152.75,153.73,150.66,151.6,4352300
GS,2006-08-01,151.26,151.74,149.59,151.63,3465000
GS,2006-08-02,149.9,150.5,147.54,150.26,6128500
GS,2006-08-03,152.1,153.15,148.47,148.75,3836700
GS,2006-08-04,152.99,156.29,152.17,154.0,4869800
GS,2006-08-07,152.65,154.85,151.76,152.12,3012700
GS,2006-08-08,151.45,155.4,150.49,152.65,6185500
GS,2006-08-09,150.01,153.75,149.6,153.5,4210300
GS,2006-08-10,151.63,152.12,148.5,149.5,3758600
GS,2006-08-11,151.11,152.87,149.99,152.35,2573200
GS,2006-08-14,150.37,153.01,149.43,152.48,3031200
GS,2006-08-15,152.65,153.99,151.21,152.38,4754400
GS,2006-08-16,154.99,155.05,152.72,153.95,3543200
GS,2006-08-17,154.45,156.87,153.85,153.9,3359700
GS,2006-08-18,154.68,154.75,153.0,154.45,2693200
GS,2006-08-21,153.83,154.25,151.64,153.16,3687700
GS,2006-08-22,154.15,155.01,153.05,154.36,3641500
GS,2006-08-23,152.7,154.75,152.15,153.41,2787800
GS,2006-08-24,151.4,153.6,150.75,153.55,3097500
GS,2006-08-25,150.07,151.42,149.75,150.69,2451200
GS,2006-08-28,149.53,150.54,147.88,148.25,3896200
GS,2006-08-29,147.09,149.79,145.66,149.6,4931700
GS,2006-08-30,147.06,147.76,146.42,147.2,2907200
GS,2006-08-31,148.65,148.75,147.07,147.07,2801800
GS,2006-09-01,149.14,149.43,147.13,148.7,3420500
GS,2006-09-04,149.14,149.43,147.13,148.7,0
GS,2006-09-05,151.28,151.51,149.05,149.75,3565200
GS,2006-09-06,150.67,151.44,149.92,150.65,2913900
GS,2006-09-07,148.57,150.68,148.35,150.1,3571700
GS,2006-09-08,149.8,151.0,147.52,151.0,3271900
