Symbol,Date,Close,High,Low,Open,Volume
GT,2006-01-02,17.38,17.61,17.28,17.6,0
GT,2006-01-03,17.86,17.89,17.36,17.54,1952300
GT,2006-01-04,17.85,17.99,17.67,17.98,1778000
GT,2006-01-05,17.8,17.96,17.6,17.8,1450200
GT,2006-01-06,18.47,18.54,17.93,17.97,2721800
GT,2006-01-09,18.69,18.71,18.19,18.51,2367300
GT,2006-01-10,18.37,18.64,18.36,18.6,2007100
GT,2006-01-11,18.42,18.56,18.21,18.33,2445600
GT,2006-01-12,18.15,18.38,17.98,18.31,1642000
GT,2006-01-13,18.25,18.32,18.08,18.11,857500
GT,2006-01-16,18.25,18.32,18.08,18.11,0
GT,2006-01-17,18.12,18.14,17.72,18.1,2359100
GT,2006-01-18,17.7,18.04,17.55,17.97,1553700
GT,2006-01-19,18.01,18.18,17.68,17.83,1338600
GT,2006-01-20,17.63,18.38,17.57,18.35,1611100
GT,2006-01-23,17.96,18.07,17.216,17.59,1937700
GT,2006-01-24,18.21,18.29,17.76,17.93,1745200
GT,2006-01-25,17.89,18.2,17.75,18.2,1825400
GT,2006-01-26,18.3,18.34,17.8,17.98,1557800
GT,2006-01-27,18.87,19.15,18.15,18.29,2898100
GT,2006-01-30,18.76,19.31,18.53,18.95,2520900
GT,2006-01-31,15.64,16.8,15.52,16.53,17654800
GT,2006-02-01,15.54,15.8,15.34,15.7,5024700
GT,2006-02-02,15.41,15.65,15.05,15.57,3717600
GT,2006-02-03,15.21,15.43,15.1,15.26,2847500
GT,2006-02-06,15.27,15.85,15.2,15.6,6249600
GT,2006-02-07,15.0,15.55,14.91,15.35,5640100
GT,2006-02-08,14.82,15.1,14.65,15.05,6947300
GT,2006-02-09,14.91,14.91,14.7,14.85,4191799
GT,2006-02-10,14.91,14.98,14.6,14.68,4003800
GT,2006-02-13,15.01,15.29,14.85,15.15,2255300
GT,2006-02-14,15.3,15.36,15.0,15.1,1711900
GT,2006-02-15,15.44,15.58,15.2,15.37,2304200
GT,2006-02-16,14.51,15.25,14.39,15.25,7231200
GT,2006-02-17,14.87,14.9,14.5,14.61,5291500
GT,2006-02-20,14.87,14.9,14.5,14.61,0
