Symbol,Date,Close,High,Low,Open,Volume
GWW,2006-01-02,71.1,71.53,71.1,71.5,0
GWW,2006-01-03,71.8,72.12,69.35,71.02,598400
GWW,2006-01-04,71.49,71.8,71.11,71.68,305400
GWW,2006-01-05,71.39,71.49,71.0,71.05,286100
GWW,2006-01-06,74.57,74.7,72.0,72.0,949600
GWW,2006-01-09,75.16,75.35,73.1,73.1,586200
GWW,2006-01-10,74.93,75.25,74.4,75.05,635900
GWW,2006-01-11,74.5,75.45,74.32,75.2,524400
GWW,2006-01-12,74.65,74.95,74.17,74.7,313600
GWW,2006-01-13,75.02,75.22,73.8,73.8,247600
GWW,2006-01-16,75.02,75.22,73.8,73.8,0
GWW,2006-01-17,75.0,75.24,74.63,74.92,396100
GWW,2006-01-18,74.84,75.13,74.29,74.5,278600
GWW,2006-01-19,74.68,74.87,73.94,74.34,395100
GWW,2006-01-20,72.62,74.26,72.44,74.2,481700
GWW,2006-01-23,73.3,73.71,72.52,72.96,273700
GWW,2006-01-24,74.4,74.77,73.55,73.55,288400
GWW,2006-01-25,74.37,74.84,73.55,74.65,279400
GWW,2006-01-26,73.3,74.9,72.86,74.61,532800
GWW,2006-01-27,73.35,73.35,71.55,73.2,790800
GWW,2006-01-30,71.6,72.6,71.56,71.56,609600
GWW,2006-01-31,70.93,71.77,70.78,71.6,569200
GWW,2006-02-01,71.31,71.48,70.38,71.24,604600
GWW,2006-02-02,71.95,72.15,71.01,71.44,520100
GWW,2006-02-03,71.12,72.15,70.97,71.85,385500
GWW,2006-02-06,72.03,72.43,71.64,71.7,563900
GWW,2006-02-07,72.25,72.25,71.18,71.8,351400
GWW,2006-02-08,71.5,71.63,71.0,71.2,288100
GWW,2006-02-09,71.86,72.58,71.79,72.0,518700
GWW,2006-02-10,72.33,72.9,71.25,71.97,635600
GWW,2006-02-13,71.75,72.59,71.27,72.33,395100
GWW,2006-02-14,70.54,71.48,69.3,71.45,716500
GWW,2006-02-15,71.67,71.95,70.4,70.75,493200
GWW,2006-02-16,72.19,72.25,71.67,71.67,212400
GWW,2006-02-17,72.28,72.37,71.93,72.18,284300
GWW,2006-02-20,72.28,72.37,71.93,72.18,0
GWW,2006-02-21,71.74,72.22,71.17,71.97,349100
GWW,2006-02-22,73.91,74.03,71.95,72.05,477300
GWW,2006-02-23,73.57,73.99,73.14,73.7,258900
GWW,2006-02-24,73.96,74.29,73.16,73.5,161700
GWW,2006-02-27,74.25,74.66,74.08,74.1,184600
GWW,2006-02-28,74.04,74.35,73.68,73.75,358700
GWW,2006-03-01,75.4,75.47,74.2,74.27,397500
GWW,2006-03-02,73.47,75.232,73.41,74.95,740200
GWW,2006-03-03,73.69,74.19,72.92,73.26,463400
GWW,2006-03-06,72.67,73.9,72.38,73.9,511700
GWW,2006-03-07,72.5,73.4,71.94,72.6,495600
GWW,2006-03-08,71.1,71.99,70.57,71.8,1076700
GWW,2006-03-09,71.51,71.74,71.0,71.1,721200
GWW,2006-03-10,72.3,72.77,71.055,71.6,508200
GWW,2006-03-13,71.79,72.65,70.97,72.2,576300
GWW,2006-03-14,74.41,75.4,71.7,71.7,982800
GWW,2006-03-15,74.03,74.57,73.45,74.3,581100
GWW,2006-03-16,75.08,75.73,73.95,73.95,527100
GWW,2006-03-17,75.07,75.36,74.84,75.3,437800
GWW,2006-03-20,75.62,76.02,75.0,75.07,324300
GWW,2006-03-21,74.66,75.8,74.39,75.55,317100
GWW,2006-03-22,76.0,76.17,74.27,74.27,270400
GWW,2006-03-23,75.25,75.93,74.77,75.9,216800
GWW,2006-03-24,75.25,75.93,74.55,75.16,241800
GWW,2006-03-27,74.8,75.22,74.17,75.06,210400
GWW,2006-03-28,74.92,74.98,74.21,74.5,430500
GWW,2006-03-29,75.63,75.81,74.83,75.1,326200
GWW,2006-03-30,75.76,76.59,75.17,75.85,321200
GWW,2006-03-31,75.35,75.81,74.89,75.62,366000
GWW,2006-04-03,75.68,76.9,75.55,76.1,281800
GWW,2006-04-04,76.51,76.8,75.16,75.83,272500
GWW,2006-04-05,77.4,77.84,76.07,76.51,396000
GWW,2006-04-06,76.81,77.5,76.15,77.15,307800
GWW,2006-04-07,75.4,77.19,75.4,76.9,243000
GWW,2006-04-10,73.45,75.92,73.16,75.51,761500
GWW,2006-04-11,72.52,73.43,71.36,72.55,779100
GWW,2006-04-12,72.86,73.22,72.07,72.46,475900
GWW,2006-04-13,73.7,73.84,72.61,72.61,488600
GWW,2006-04-14,73.7,73.84,72.61,72.61,0
GWW,2006-04-17,76.72,76.72,74.37,75.5,831700
GWW,2006-04-18,78.39,78.95,74.83,75.02,791200
GWW,2006-04-19,79.69,79.8,78.02,78.08,838200
GWW,2006-04-20,79.26,79.63,78.1,78.15,647900
GWW,2006-04-21,78.35,79.52,77.87,79.5,534700
GWW,2006-04-24,77.01,77.95,76.68,77.85,493300
GWW,2006-04-25,76.61,77.23,76.51,77.11,415500
GWW,2006-04-26,77.69,77.77,76.55,76.69,574800
GWW,2006-04-27,76.88,77.79,76.7,77.52,473800
GWW,2006-04-28,76.92,77.53,76.57,77.0,361700
GWW,2006-05-01,77.9,78.15,76.99,77.47,562200
GWW,2006-05-02,78.61,78.61,77.11,77.8,525000
GWW,2006-05-03,78.64,79.3,78.0,78.21,393400
GWW,2006-05-04,78.7,78.95,78.39,78.5,350400
GWW,2006-05-05,79.73,79.95,78.51,78.9,364600
