Symbol,Date,Close,High,Low,Open,Volume
HAL,2006-01-02,30.98,31.31,30.31,30.43,0
HAL,2006-01-03,32.67,32.68,31.35,31.585,12642400
HAL,2006-01-04,33.06,33.315,32.125,32.475,12522400
HAL,2006-01-05,32.295,33.07,31.995,32.9,12893200
HAL,2006-01-06,33.025,33.2,32.52,32.735,11406600
HAL,2006-01-09,33.32,33.41,32.605,33.03,10516800
HAL,2006-01-10,34.3,34.345,33.075,33.08,13299600
HAL,2006-01-11,35.045,35.505,33.895,34.01,18841000
HAL,2006-01-12,34.485,35.725,34.37,35.17,18169200
HAL,2006-01-13,34.775,35.03,34.231,34.26,11463400
HAL,2006-01-16,34.775,35.03,34.231,34.26,0
HAL,2006-01-17,35.0,35.335,34.895,35.24,10635200
HAL,2006-01-18,34.7,35.305,34.265,35.0,11329200
HAL,2006-01-19,35.875,36.015,34.923,35.34,16839800
HAL,2006-01-20,37.75,37.955,36.5,36.75,33173800
HAL,2006-01-23,38.505,38.675,37.225,37.75,20972400
HAL,2006-01-24,37.975,38.505,37.61,38.5,20548200
HAL,2006-01-25,37.12,38.125,36.425,38.1,19930800
HAL,2006-01-26,37.575,37.62,36.0,37.125,22202600
HAL,2006-01-27,39.465,40.5,38.45,38.975,37121600
HAL,2006-01-30,40.43,41.195,40.29,40.315,21638600
HAL,2006-01-31,39.81,40.35,39.51,40.345,17617200
HAL,2006-02-01,40.845,40.845,39.48,40.15,21688800
HAL,2006-02-02,38.86,39.75,38.085,39.2,20674600
HAL,2006-02-03,38.7,39.41,38.175,39.0,16700800
HAL,2006-02-06,38.725,39.725,38.335,39.4,16489000
HAL,2006-02-07,36.49,38.255,36.395,38.25,20343200
HAL,2006-02-08,37.475,37.475,36.965,36.965,22508600
HAL,2006-02-09,37.83,37.83,36.235,37.83,19483800
HAL,2006-02-10,36.65,36.745,35.35,36.385,21649600
HAL,2006-02-13,36.175,36.985,35.815,36.65,14069600
HAL,2006-02-14,35.305,35.905,35.09,35.35,21185200
HAL,2006-02-15,34.305,35.6,33.85,35.475,22708200
HAL,2006-02-16,35.62,35.8,34.645,34.68,26332000
HAL,2006-02-17,35.05,36.43,34.94,36.0,21136000
HAL,2006-02-20,35.05,36.43,34.94,36.0,0
HAL,2006-02-21,36.085,36.205,35.3,35.7,18776200
HAL,2006-02-22,35.385,35.95,35.18,35.75,13532600
HAL,2006-02-23,35.32,35.535,34.625,35.11,17573400
HAL,2006-02-24,35.61,36.05,35.535,35.915,9679600
HAL,2006-02-27,34.5,35.61,34.405,35.61,12705800
HAL,2006-02-28,34.0,34.725,33.775,34.5,14626400
HAL,2006-03-01,34.73,34.73,34.18,34.18,11025800
HAL,2006-03-02,35.845,36.335,34.825,34.875,19013000
HAL,2006-03-03,35.58,36.12,35.345,35.55,9679600
HAL,2006-03-06,34.27,35.48,34.225,35.45,11908200
HAL,2006-03-07,33.2,34.2,32.75,34.06,15352800
HAL,2006-03-08,33.465,33.6,32.47,32.865,17768000
HAL,2006-03-09,33.025,34.13,32.96,33.8,15893400
HAL,2006-03-10,33.5,33.99,32.575,33.03,14711200
HAL,2006-03-13,34.32,34.35,33.1,33.8,12868400
HAL,2006-03-14,34.78,34.895,33.715,34.38,11829200
HAL,2006-03-15,34.695,34.84,34.155,34.55,10794600
HAL,2006-03-16,35.45,35.585,34.45,34.66,13697200
HAL,2006-03-17,35.195,35.695,34.9,35.69,10914800
HAL,2006-03-20,34.245,35.675,34.245,35.15,11804000
HAL,2006-03-21,34.255,34.935,33.81,34.2,12426400
HAL,2006-03-22,34.5,35.085,34.2,34.385,10677400
HAL,2006-03-23,35.225,35.42,34.555,34.775,11303000
HAL,2006-03-24,35.625,35.89,35.2,35.2,9427600
HAL,2006-03-27,35.795,36.04,35.135,35.51,8597600
HAL,2006-03-28,36.59,36.965,35.92,36.125,13471800
HAL,2006-03-29,37.13,37.13,36.325,36.575,12023600
HAL,2006-03-30,37.15,37.495,36.75,37.235,10564800
HAL,2006-03-31,36.51,36.9,36.2,36.79,9064000
HAL,2006-04-03,36.435,37.54,36.355,36.89,12024600
HAL,2006-04-04,37.6,37.6,36.2,36.435,11849000
HAL,2006-04-05,38.67,38.68,37.565,37.99,13667000
HAL,2006-04-06,39.26,39.455,38.525,39.0,16663400
HAL,2006-04-07,39.35,39.35,38.635,39.26,10880200
HAL,2006-04-10,39.565,39.71,39.13,39.44,9890600
HAL,2006-04-11,38.4,39.995,38.16,39.8,13906600
HAL,2006-04-12,38.345,38.895,37.925,38.605,7444000
