Symbol,Date,Close,High,Low,Open,Volume
HBAN,2006-01-02,23.75,23.83,23.51,23.74,0
HBAN,2006-01-03,24.21,24.24,23.52,23.89,1258513
HBAN,2006-01-04,24.22,24.28,24.08,24.08,751372
HBAN,2006-01-05,24.44,24.44,24.15,24.17,956235
HBAN,2006-01-06,24.55,24.57,24.22,24.35,755143
HBAN,2006-01-09,24.64,24.67,24.19,24.38,998945
HBAN,2006-01-10,24.63,24.75,24.34,24.53,980235
HBAN,2006-01-11,24.62,24.64,24.4,24.54,1638891
HBAN,2006-01-12,24.25,24.5,24.24,24.47,1457966
HBAN,2006-01-13,24.3,24.56,24.28,24.36,810625
HBAN,2006-01-16,24.3,24.56,24.28,24.36,0
HBAN,2006-01-17,23.99,24.33,23.99,24.2,1061705
HBAN,2006-01-18,23.26,23.6,22.96,23.43,2179998
HBAN,2006-01-19,23.27,23.53,23.064,23.44,1547971
HBAN,2006-01-20,22.71,23.3,22.71,23.3,1851223
HBAN,2006-01-23,22.91,23.05,22.7,22.79,1023511
HBAN,2006-01-24,23.27,23.27,23.05,23.05,1515067
HBAN,2006-01-25,23.44,23.47,23.19,23.2,1446448
HBAN,2006-01-26,23.76,23.9,23.5,23.65,1496274
HBAN,2006-01-27,23.74,23.8,23.48,23.65,1185100
HBAN,2006-01-30,23.41,23.8,23.41,23.7,1389267
HBAN,2006-01-31,23.2,23.46,23.12,23.4,1474881
HBAN,2006-02-01,23.08,23.33,23.0,23.04,1251506
HBAN,2006-02-02,22.78,23.11,22.75,23.01,1160310
HBAN,2006-02-03,22.88,23.05,22.6,22.79,1255385
HBAN,2006-02-06,22.74,22.87,22.56,22.75,1310273
HBAN,2006-02-07,22.81,22.91,22.61,22.76,915706
HBAN,2006-02-08,23.02,23.08,22.71,22.86,856360
HBAN,2006-02-09,22.96,23.23,22.94,23.02,931684
HBAN,2006-02-10,23.1,23.15,22.9,22.99,852769
HBAN,2006-02-13,22.84,23.15,22.68,23.12,1036311
HBAN,2006-02-14,23.0,23.1,22.74,22.83,2478720
HBAN,2006-02-15,23.06,23.08,22.82,22.98,1971806
HBAN,2006-02-16,23.29,23.29,22.98,22.98,895763
HBAN,2006-02-17,23.23,23.35,23.18,23.26,774539
HBAN,2006-02-20,23.23,23.35,23.18,23.26,0
HBAN,2006-02-21,23.46,23.52,23.17,23.17,1293847
HBAN,2006-02-22,23.95,23.99,23.53,23.57,987085
HBAN,2006-02-23,23.94,24.07,23.8,23.99,985614
HBAN,2006-02-24,23.93,24.03,23.8,24.01,606325
HBAN,2006-02-27,24.22,24.26,24.01,24.06,1186336
HBAN,2006-02-28,24.05,24.28,23.97,24.16,2405856
HBAN,2006-03-01,23.99,24.44,23.99,24.21,4810204
HBAN,2006-03-02,23.7,23.99,23.56,23.97,1897497
HBAN,2006-03-03,23.45,23.64,23.39,23.55,1519768
HBAN,2006-03-06,23.18,23.49,23.11,23.44,1586538
HBAN,2006-03-07,23.36,23.37,23.07,23.23,1192564
HBAN,2006-03-08,23.41,23.5,23.21,23.25,1590675
HBAN,2006-03-09,23.49,23.49,23.07,23.39,1542172
HBAN,2006-03-10,23.3,23.3,23.05,23.05,1101812
HBAN,2006-03-13,23.58,23.66,23.25,23.26,1573640
HBAN,2006-03-14,23.86,23.9,23.48,23.52,1965858
HBAN,2006-03-15,23.49,23.78,23.38,23.78,1115673
HBAN,2006-03-16,23.59,23.75,23.47,23.52,1660948
HBAN,2006-03-17,23.8,23.83,23.58,23.8,1648475
HBAN,2006-03-20,23.82,23.89,23.68,23.86,1356990
HBAN,2006-03-21,24.0,24.0,23.84,23.85,2153452
HBAN,2006-03-22,24.07,24.15,23.77,23.78,1012661
HBAN,2006-03-23,24.23,24.27,23.98,24.03,1699792
HBAN,2006-03-24,24.26,24.29,24.08,24.2,953746
HBAN,2006-03-27,24.31,24.33,24.19,24.19,1002237
HBAN,2006-03-28,24.17,24.43,24.1,24.34,1068190
HBAN,2006-03-29,24.36,24.4,24.02,24.19,1250174
HBAN,2006-03-30,24.27,24.42,24.1699,24.25,1964634
HBAN,2006-03-31,24.13,24.25,24.05,24.06,2578059
HBAN,2006-04-03,24.14,24.36,24.05,24.3,1949318
HBAN,2006-04-04,24.23,24.3,24.1,24.1,1372252
HBAN,2006-04-05,24.11,24.27,23.95,24.19,1381067
HBAN,2006-04-06,23.95,24.1,23.77,24.0,1034751
HBAN,2006-04-07,23.65,24.1,23.62,23.9,890795
HBAN,2006-04-10,23.77,23.93,23.62,23.62,660734
HBAN,2006-04-11,23.55,23.82,23.51,23.82,988251
HBAN,2006-04-12,23.5,23.83,23.44,23.52,1024297
HBAN,2006-04-13,23.54,23.64,23.46,23.47,1321348
