Symbol,Date,Close,High,Low,Open,Volume
HD,2006-01-02,40.48,40.97,40.42,40.65,0
HD,2006-01-03,41.24,41.446,39.77,40.39,8912200
HD,2006-01-04,40.48,41.04,40.23,40.94,9363500
HD,2006-01-05,40.08,40.36,39.81,40.1,9383300
HD,2006-01-06,40.38,40.51,40.09,40.25,8989800
HD,2006-01-09,40.82,41.1,40.25,40.8,8234100
HD,2006-01-10,41.8,42.49,41.02,41.04,14831300
HD,2006-01-11,42.95,43.2,41.91,42.0,12089600
HD,2006-01-12,42.55,42.95,42.49,42.7,8193000
HD,2006-01-13,41.91,42.59,41.48,41.91,8207400
HD,2006-01-16,41.91,42.59,41.48,41.91,0
HD,2006-01-17,41.88,41.88,41.5,41.5,6372700
HD,2006-01-18,41.9,42.11,41.38,41.57,7059600
HD,2006-01-19,41.28,41.99,41.13,41.3,12203200
HD,2006-01-20,40.17,41.27,40.12,41.16,15007900
HD,2006-01-23,39.69,40.58,39.65,40.4,9245600
HD,2006-01-24,40.45,40.45,39.72,39.99,10617800
HD,2006-01-25,39.98,40.66,39.79,40.42,8024200
HD,2006-01-26,40.4,40.558,40.04,40.1,7251600
HD,2006-01-27,40.0,40.72,39.77,40.22,8163900
HD,2006-01-30,40.0,40.29,39.72,39.72,5646400
HD,2006-01-31,40.55,40.86,39.82,40.0,10337300
HD,2006-02-01,40.23,40.58,39.91,40.45,6891300
HD,2006-02-02,39.96,40.24,39.81,39.96,7214600
HD,2006-02-03,39.82,39.96,39.4,39.85,7546400
HD,2006-02-06,39.49,40.02,39.28,39.77,7536100
HD,2006-02-07,38.73,39.44,38.5,39.34,10950300
HD,2006-02-08,39.36,39.36,39.0,39.0,7242800
HD,2006-02-09,39.05,39.5,38.95,39.22,6936300
HD,2006-02-10,39.22,39.32,38.7,38.95,6176200
HD,2006-02-13,39.7,39.93,39.02,39.02,6447500
HD,2006-02-14,41.13,41.21,39.83,39.95,12881100
HD,2006-02-15,41.53,41.77,40.8,41.1,10143000
HD,2006-02-16,41.86,41.95,41.34,41.61,7766700
HD,2006-02-17,41.86,41.93,41.36,41.85,8296699
HD,2006-02-20,41.86,41.93,41.36,41.85,0
HD,2006-02-21,41.87,43.0,41.71,43.0,15210600
HD,2006-02-22,41.88,42.2,41.15,42.13,9982900
HD,2006-02-23,42.37,42.37,41.58,41.94,8315899
HD,2006-02-24,41.63,41.87,41.06,41.8,7135300
HD,2006-02-27,42.45,42.72,41.75,41.82,9295600
HD,2006-02-28,42.15,42.42,41.7,42.18,11177100
HD,2006-03-01,42.69,42.69,42.15,42.15,9638300
HD,2006-03-02,42.29,42.49,41.8,42.18,11492300
HD,2006-03-03,42.2,42.8,41.91,42.0,6117600
HD,2006-03-06,41.8,42.18,41.54,42.16,7313800
HD,2006-03-07,41.37,41.66,41.26,41.65,5485600
HD,2006-03-08,41.16,41.29,40.9,41.1,8078799
HD,2006-03-09,40.64,41.2,40.28,41.07,9758200
HD,2006-03-10,41.25,41.33,40.63,40.64,6771300
HD,2006-03-13,41.25,41.53,40.85,41.08,5153700
HD,2006-03-14,42.14,42.38,41.11,41.11,9082600
HD,2006-03-15,42.26,42.35,41.76,42.02,6036100
HD,2006-03-16,42.75,42.87,42.31,42.47,8636600
HD,2006-03-17,42.9,43.01,42.7,42.97,13055700
HD,2006-03-20,42.85,42.99,42.7,42.72,6887300
HD,2006-03-21,43.0,43.17,42.71,42.84,10800600
HD,2006-03-22,43.37,43.45,42.77,42.77,9197900
HD,2006-03-23,43.81,43.95,43.24,43.25,10235600
HD,2006-03-24,43.12,43.85,42.8,43.72,7870800
HD,2006-03-27,42.99,43.14,42.75,42.95,6564900
HD,2006-03-28,42.99,43.55,42.82,42.9,7198300
HD,2006-03-29,42.91,43.35,42.73,43.05,7312100
HD,2006-03-30,42.38,43.03,42.25,42.81,7036100
HD,2006-03-31,42.3,42.94,42.22,42.6,8684600
HD,2006-04-03,42.38,42.65,42.19,42.38,6867300
HD,2006-04-04,42.55,42.7,42.06,42.3,6303600
HD,2006-04-05,42.65,42.93,42.57,42.69,6678100
HD,2006-04-06,42.14,42.63,42.06,42.6,6189700
HD,2006-04-07,42.1,42.63,41.84,42.39,8787800
HD,2006-04-10,41.8,42.21,41.55,42.08,6910200
HD,2006-04-11,41.43,42.09,41.28,41.9,7058400
HD,2006-04-12,40.99,41.4,40.8,41.33,7037300
HD,2006-04-13,41.12,41.38,40.62,40.9,5371100
HD,2006-04-14,41.12,41.38,40.62,40.9,0
HD,2006-04-17,40.38,41.16,40.11,41.03,6630000
HD,2006-04-18,41.32,41.44,40.24,40.41,9260600
HD,2006-04-19,40.74,41.45,40.7,41.2,6667600
HD,2006-04-20,40.81,41.18,40.37,40.85,5214500
HD,2006-04-21,40.28,41.14,40.0,41.1,9109600
HD,2006-04-24,40.08,40.47,39.95,40.47,6458800
HD,2006-04-25,39.96,40.34,39.5,40.08,10397400
HD,2006-04-26,40.07,40.51,39.97,40.18,7964700
HD,2006-04-27,40.22,40.66,39.77,39.77,8610500
HD,2006-04-28,39.93,40.43,39.93,40.25,8514700
HD,2006-05-01,40.54,40.78,40.09,40.15,10213100
