Symbol,Date,Close,High,Low,Open,Volume
HES,2006-01-02,42.2734,42.7067,41.4167,41.4167,0
HES,2006-01-03,44.5433,44.98,42.8333,42.8333,8562300
HES,2006-01-04,45.1366,45.2967,43.8333,44.0,5866800
HES,2006-01-05,44.8133,45.0867,43.5366,44.8501,5366700
HES,2006-01-06,45.6667,46.1667,45.3501,45.4667,3505800
HES,2006-01-09,46.16,46.6,45.2333,45.6,4890000
HES,2006-01-10,47.28,47.58,45.9333,45.9501,4890300
HES,2006-01-11,47.39,47.8,46.17,46.5834,4587900
HES,2006-01-12,47.3867,48.9336,47.2667,47.7067,6835500
HES,2006-01-13,47.4167,47.8,47.1333,47.2534,5295300
HES,2006-01-16,47.4167,47.8,47.1333,47.2534,0
HES,2006-01-17,48.4,48.7233,48.0834,48.6501,3838800
HES,2006-01-18,47.83,48.2834,46.54,48.2834,6706800
HES,2006-01-19,48.27,48.6067,47.3333,47.9667,5791800
HES,2006-01-20,48.3233,49.1967,48.2266,48.63,7369500
HES,2006-01-23,48.6667,49.4767,48.2667,48.34,5731800
HES,2006-01-24,48.87,49.29,48.1667,48.18,4938600
HES,2006-01-25,49.49,51.4366,48.82,51.3333,10612200
HES,2006-01-26,49.0366,49.7617,47.9,49.7617,5233200
HES,2006-01-27,50.0167,50.5133,49.5,49.71,4231500
HES,2006-01-30,51.26,51.7867,50.22,50.22,5670000
HES,2006-01-31,51.6,51.6933,50.6634,50.8333,3558000
HES,2006-02-01,49.5534,52.0,49.3501,51.8133,6031500
HES,2006-02-02,49.12,49.6333,48.2,49.29,4968300
HES,2006-02-03,48.2501,49.1501,47.66,49.1501,5028900
HES,2006-02-06,49.63,50.43,48.6667,48.6667,5185500
HES,2006-02-07,47.7667,48.6634,47.3433,48.3333,4229100
HES,2006-02-08,47.7366,48.3834,46.7,48.0,4849800
HES,2006-02-09,46.1767,48.7933,46.0834,48.2,5165400
HES,2006-02-10,46.0867,46.9967,45.5501,46.6501,7355700
HES,2006-02-13,46.5967,47.1067,45.9333,45.9333,5142900
HES,2006-02-14,45.8133,46.1634,45.4366,45.7967,4794300
HES,2006-02-15,45.1867,46.3933,44.9466,46.3333,5779200
HES,2006-02-16,45.6967,46.0033,45.2834,45.6667,6171000
HES,2006-02-17,46.64,46.8967,46.1266,46.3333,4430700
HES,2006-02-20,46.64,46.8967,46.1266,46.3333,0
HES,2006-02-21,47.7167,48.5033,47.4734,47.5,5412300
HES,2006-02-22,47.0967,47.5767,46.7,47.2501,4117499
HES,2006-02-23,47.1366,47.9734,46.5033,47.07,4357200
HES,2006-02-24,47.0634,47.9466,46.9333,47.8333,3035100
HES,2006-02-27,46.4767,47.1501,46.4734,46.8333,3385200
HES,2006-02-28,46.1033,46.57,45.2734,46.1233,3956400
HES,2006-03-01,47.3033,47.4734,46.2667,46.3,3364800
HES,2006-03-02,48.18,48.5466,47.0634,47.4033,4355400
HES,2006-03-03,47.9534,48.78,47.56,47.5634,2263500
HES,2006-03-06,46.3634,47.5634,46.0967,47.5634,3917100
HES,2006-03-07,46.0,46.6501,45.5366,46.4567,3164700
HES,2006-03-08,46.0833,46.7067,44.7533,45.5667,5053200
HES,2006-03-09,45.4767,46.45,45.2733,46.2167,3625800
HES,2006-03-10,46.2267,46.63,44.8767,45.16,3409200
HES,2006-03-13,47.3,47.4767,46.4133,46.75,3730800
HES,2006-03-14,47.4867,48.15,46.4833,47.3167,3385800
HES,2006-03-15,47.8633,48.02,47.1333,47.3333,3205500
HES,2006-03-16,48.4567,48.6167,47.2533,47.69,3768000
HES,2006-03-17,47.8967,48.7,47.6967,48.6133,3101400
HES,2006-03-20,46.8267,48.1933,46.5333,47.6167,2775000
HES,2006-03-21,46.5267,47.3667,46.3033,46.6333,2851800
HES,2006-03-22,46.4333,47.5867,45.7833,46.0,6254400
HES,2006-03-23,46.3867,46.75,46.2533,46.6,4843500
HES,2006-03-24,46.8833,47.27,46.2433,46.47,3625200
HES,2006-03-27,47.3467,47.4933,46.5833,47.0533,2766600
HES,2006-03-28,47.1067,48.2167,47.0,47.6667,2892300
HES,2006-03-29,47.5133,47.6167,46.7067,47.1067,3092400
HES,2006-03-30,47.5533,47.9833,47.19,47.5767,2682000
HES,2006-03-31,47.4667,47.6133,46.5167,46.85,3790800
HES,2006-04-03,46.9067,48.15,46.7033,47.7667,3896400
HES,2006-04-04,48.18,48.28,46.7433,46.7667,3386400
HES,2006-04-05,49.4133,49.4333,47.85,48.18,9832500
HES,2006-04-06,49.8033,49.8033,48.73,49.65,7892100
HES,2006-04-07,48.6133,49.75,48.5333,49.59,3846000
HES,2006-04-10,49.2467,49.65,48.9333,49.4467,2855100
HES,2006-04-11,48.4,49.8433,48.3,49.5767,3592800
HES,2006-04-12,47.9633,48.8833,47.6033,48.4367,3662700
HES,2006-04-13,47.53,47.81,47.23,47.5433,5798400
HES,2006-04-14,47.53,47.81,47.23,47.5433,0
HES,2006-04-17,48.0,48.1967,47.6867,47.9933,5331000
HES,2006-04-18,48.5833,48.6667,48.1,48.1833,7183800
HES,2006-04-19,49.54,49.6933,47.6,48.3833,5734200
HES,2006-04-20,49.3767,49.85,48.1467,49.3333,4918500
HES,2006-04-21,51.4833,51.63,49.9,50.1667,6538500
HES,2006-04-24,50.14,51.45,49.8733,51.12,4247100
HES,2006-04-25,49.99,51.33,49.09,50.8667,5208300
HES,2006-04-26,47.6667,51.2767,47.62,50.1767,8151899
HES,2006-04-27,46.9433,47.4367,46.16,46.5,8264699
HES,2006-04-28,47.7567,48.32,47.37,47.4933,4792500
HES,2006-05-01,48.9,49.17,48.0,48.0667,4145100
HES,2006-05-02,49.8533,49.9167,48.9033,49.0967,4230900
HES,2006-05-03,49.6,49.9167,48.8067,49.8533,4797600
HES,2006-05-04,48.2533,49.4667,47.46,49.0,8213699
HES,2006-05-05,48.58,49.2833,48.36,48.6333,4261800
HES,2006-05-08,47.8033,48.3233,47.11,48.3,6318000
HES,2006-05-09,48.3333,48.3333,47.6667,47.6667,1971900
HES,2006-05-10,49.4667,49.5,47.8667,48.1667,3657900
HES,2006-05-11,49.2667,50.2467,49.0233,49.9833,5453100
HES,2006-05-12,48.3433,49.6667,48.0167,49.2,4914300
HES,2006-05-15,47.3333,48.3167,46.78,47.65,4128000
HES,2006-05-16,47.5167,48.2433,47.16,47.5467,3663900
HES,2006-05-17,47.87,49.1667,47.4167,47.97,7608900
HES,2006-05-18,46.9567,48.2567,46.9533,47.8867,3946800
HES,2006-05-19,47.2667,47.9833,46.2967,46.9833,4042799
HES,2006-05-22,46.8933,47.5,45.44,47.0,5340600
HES,2006-05-23,47.0433,48.6333,46.9333,47.4933,4408500
HES,2006-05-24,47.0033,48.0833,46.09,46.5833,4733400
HES,2006-05-25,48.3267,48.5267,47.27,47.5,4115999
HES,2006-05-26,48.9,49.18,48.2667,48.6667,2131500
HES,2006-05-29,48.9,49.18,48.2667,48.6667,0
HES,2006-05-30,48.3667,49.7933,48.1933,49.51,3133500
HES,2006-05-31,50.0,50.1,48.2967,48.3667,4618800
HES,2006-06-01,49.94,50.24,48.37,49.2,2350300
