Symbol,Date,Close,High,Low,Open,Volume
HMC,2006-01-02,28.97,28.98,28.62,28.7,0
HMC,2006-01-03,29.36,29.38,29.05,29.14,368600
HMC,2006-01-04,29.7,29.76,29.38,29.45,466300
HMC,2006-01-05,29.79,29.84,29.64,29.7,698700
HMC,2006-01-06,29.92,29.96,29.76,29.86,510100
HMC,2006-01-09,30.3,30.36,29.99,30.0,563200
HMC,2006-01-10,29.09,29.2,28.6,28.62,1802200
HMC,2006-01-11,29.37,29.4,29.06,29.22,677800
HMC,2006-01-12,28.74,28.96,28.7,28.96,968400
HMC,2006-01-13,28.39,28.58,28.24,28.58,500200
HMC,2006-01-16,28.39,28.58,28.24,28.58,0
HMC,2006-01-17,27.65,27.65,27.5,27.6,709900
HMC,2006-01-18,27.37,27.45,27.1,27.3,711100
HMC,2006-01-19,27.67,27.73,27.3,27.37,1292300
HMC,2006-01-20,27.43,27.98,27.39,27.9,643800
HMC,2006-01-23,27.74,27.86,27.65,27.8,365300
HMC,2006-01-24,27.8,27.81,27.58,27.75,476600
HMC,2006-01-25,27.38,27.43,27.29,27.42,710500
HMC,2006-01-26,28.06,28.22,27.78,27.81,407900
HMC,2006-01-27,28.18,28.33,28.1,28.11,412800
HMC,2006-01-30,28.24,28.25,27.9,28.11,912300
HMC,2006-01-31,28.45,28.68,28.2,28.49,563900
HMC,2006-02-01,29.06,29.06,28.56,28.71,2083400
HMC,2006-02-02,28.86,29.19,28.65,29.12,834900
HMC,2006-02-03,28.69,28.85,28.44,28.63,592500
HMC,2006-02-06,28.94,29.08,28.88,29.05,295500
HMC,2006-02-07,28.87,29.11,28.78,28.95,209800
HMC,2006-02-08,28.86,28.92,28.61,28.89,338400
HMC,2006-02-09,28.78,29.0,28.71,28.89,388600
HMC,2006-02-10,28.89,28.98,28.71,28.78,421300
HMC,2006-02-13,28.55,28.67,28.47,28.49,451300
HMC,2006-02-14,29.13,29.19,28.71,28.86,422800
HMC,2006-02-15,29.03,29.09,28.78,29.09,550800
HMC,2006-02-16,29.16,29.16,28.87,29.09,231800
HMC,2006-02-17,29.35,29.46,29.1,29.2,569400
HMC,2006-02-20,29.35,29.46,29.1,29.2,0
HMC,2006-02-21,29.27,29.4,29.11,29.34,326800
HMC,2006-02-22,29.44,29.5,29.25,29.45,201500
HMC,2006-02-23,29.82,29.99,29.71,29.75,320000
HMC,2006-02-24,29.54,29.65,29.41,29.55,339300
HMC,2006-02-27,30.21,30.24,29.96,29.98,305400
HMC,2006-02-28,29.38,29.59,29.33,29.5,334400
HMC,2006-03-01,29.74,29.98,29.6,29.74,368500
HMC,2006-03-02,29.47,29.52,29.28,29.43,486000
HMC,2006-03-03,28.96,29.15,28.77,28.94,409000
HMC,2006-03-06,28.74,28.94,28.57,28.72,385500
HMC,2006-03-07,29.18,29.39,29.1,29.38,269000
HMC,2006-03-08,29.32,29.38,29.05,29.36,307300
HMC,2006-03-09,29.44,29.73,29.37,29.58,216200
HMC,2006-03-10,29.91,29.97,29.51,29.62,281200
HMC,2006-03-13,30.18,30.18,29.9701,30.03,339400
HMC,2006-03-14,30.47,30.55,30.131,30.19,423800
HMC,2006-03-15,30.66,30.78,30.55,30.77,547500
HMC,2006-03-16,30.37,30.54,30.23,30.32,343700
HMC,2006-03-17,30.44,30.54,30.32,30.5,288200
HMC,2006-03-20,30.9,30.97,30.62,30.7,420900
HMC,2006-03-21,30.72,30.98,30.64,30.97,846500
HMC,2006-03-22,30.58,30.5899,30.39,30.55,536500
HMC,2006-03-23,30.49,30.8,30.37,30.69,269400
HMC,2006-03-24,30.89,30.95,30.401,30.41,222500
HMC,2006-03-27,31.43,31.43,31.17,31.2,483800
HMC,2006-03-28,31.09,31.41,30.9601,31.27,866400
HMC,2006-03-29,31.63,31.74,31.12,31.12,542300
HMC,2006-03-30,31.58,31.65,31.45,31.63,480300
HMC,2006-03-31,30.96,31.13,30.86,31.12,398800
HMC,2006-04-03,31.29,31.55,31.1,31.1,396900
HMC,2006-04-04,31.35,31.53,31.26,31.29,392700
HMC,2006-04-05,31.91,31.92,31.48,31.58,396200
HMC,2006-04-06,33.01,33.2,32.7901,33.11,634300
HMC,2006-04-07,32.86,33.29,32.74,33.27,591900
HMC,2006-04-10,32.75,32.96,32.61,32.95,417100
HMC,2006-04-11,32.46,32.81,32.2501,32.75,357800
HMC,2006-04-12,32.39,32.48,32.25,32.48,256400
HMC,2006-04-13,32.17,32.25,32.0,32.14,351600
HMC,2006-04-14,32.17,32.25,32.0,32.14,0
HMC,2006-04-17,32.2,32.5,32.13,32.44,231400
HMC,2006-04-18,32.64,32.71,32.33,32.41,854700
HMC,2006-04-19,32.58,32.62,32.2,32.36,498600
HMC,2006-04-20,32.91,33.25,32.9,33.1,717900
HMC,2006-04-21,34.4,34.57,34.15,34.46,1013200
HMC,2006-04-24,34.0,34.09,33.65,34.06,432500
HMC,2006-04-25,33.7,34.33,33.6,34.33,369000
HMC,2006-04-26,34.64,34.88,34.0,34.88,627100
HMC,2006-04-27,35.27,35.45,35.21,35.31,1082900
HMC,2006-04-28,35.43,35.94,35.3401,35.93,635000
HMC,2006-05-01,35.69,35.9,35.55,35.62,736400
HMC,2006-05-02,36.99,37.07,36.84,37.02,685100
HMC,2006-05-03,36.9,37.15,36.68,37.13,434500
HMC,2006-05-04,37.18,37.3,36.92,36.93,452100
HMC,2006-05-05,37.77,37.95,37.4,37.6,372100
HMC,2006-05-08,36.77,37.29,36.66,37.29,757600
HMC,2006-05-09,37.26,37.48,36.9401,37.0,290600
HMC,2006-05-10,36.48,36.55,36.33,36.52,869100
HMC,2006-05-11,35.62,36.12,35.57,36.1,441300
HMC,2006-05-12,35.09,35.6,34.5,35.4,648000
HMC,2006-05-15,35.07,35.14,34.5701,34.6,341500
HMC,2006-05-16,35.08,35.33,35.01,35.08,254400
HMC,2006-05-17,34.25,35.24,34.1901,35.24,495600
HMC,2006-05-18,34.31,34.55,34.2,34.2,488100
