Symbol,Date,Close,High,Low,Open,Volume
HOG,2006-01-02,51.49,51.97,51.47,51.92,0
HOG,2006-01-03,51.27,52.38,50.29,52.38,1943100
HOG,2006-01-04,50.7,51.2,50.31,51.2,2210800
HOG,2006-01-05,51.6,51.97,50.8,50.9,1881500
HOG,2006-01-06,52.15,52.15,51.32,51.69,1378400
HOG,2006-01-09,51.53,52.09,51.47,51.85,1483400
HOG,2006-01-10,53.8,53.95,51.03,51.15,3508900
HOG,2006-01-11,54.08,54.64,53.41,53.67,2733900
HOG,2006-01-12,54.03,54.3,52.59,52.69,3208300
HOG,2006-01-13,52.86,54.85,52.29,54.03,2601200
HOG,2006-01-16,52.86,54.85,52.29,54.03,0
HOG,2006-01-17,52.06,52.54,51.69,52.45,1759600
HOG,2006-01-18,51.49,52.01,51.09,52.0,2728900
HOG,2006-01-19,54.05,54.92,51.5,51.5,7122600
HOG,2006-01-20,53.1,53.97,52.66,53.6,3274900
HOG,2006-01-23,53.87,54.04,53.3,53.35,2052099
HOG,2006-01-24,53.42,53.92,52.93,53.87,2030700
HOG,2006-01-25,53.44,53.71,52.91,53.5,2110000
HOG,2006-01-26,54.19,54.3,53.45,53.5,2285000
HOG,2006-01-27,54.64,54.68,53.88,54.44,2080400
HOG,2006-01-30,54.37,54.68,54.17,54.59,1531000
HOG,2006-01-31,53.53,54.15,53.37,54.12,2148200
HOG,2006-02-01,53.15,53.31,52.54,53.02,3227000
HOG,2006-02-02,52.35,53.0,52.16,52.88,2496900
HOG,2006-02-03,52.45,52.45,51.82,52.25,1837600
HOG,2006-02-06,51.56,52.26,51.31,52.2,1688000
HOG,2006-02-07,50.35,51.44,50.35,51.0,2956600
HOG,2006-02-08,51.33,51.365,50.1,50.55,2099800
HOG,2006-02-09,51.58,52.11,50.89,51.39,1597100
HOG,2006-02-10,51.75,51.95,51.48,51.58,1690700
HOG,2006-02-13,51.7,51.87,51.19,51.45,1505900
HOG,2006-02-14,51.87,51.87,51.04,51.71,1608100
HOG,2006-02-15,52.03,52.08,51.66,51.75,1108900
HOG,2006-02-16,52.07,52.25,51.85,52.12,1380400
HOG,2006-02-17,52.03,52.37,51.96,52.18,974100
HOG,2006-02-20,52.03,52.37,51.96,52.18,0
HOG,2006-02-21,52.26,52.55,51.61,52.03,1316500
HOG,2006-02-22,52.39,52.54,52.07,52.26,1251400
HOG,2006-02-23,52.3,52.63,51.81,52.1,1177600
HOG,2006-02-24,52.52,52.58,51.96,52.35,1004699
