Symbol,Date,Close,High,Low,Open,Volume
HOLX,2006-01-02,18.96,19.45,18.695,19.13,0
HOLX,2006-01-03,18.275,19.013,17.63,19.0,4142680
HOLX,2006-01-04,19.14,19.27,18.09,18.35,3150110
HOLX,2006-01-05,18.785,19.165,18.75,19.165,1134784
HOLX,2006-01-06,19.305,19.73,18.765,18.815,1882886
HOLX,2006-01-09,19.445,19.59,19.04,19.335,1282212
HOLX,2006-01-10,19.975,20.37,19.4,19.59,2046657
HOLX,2006-01-11,20.27,20.4,19.535,20.155,1605566
HOLX,2006-01-12,20.515,20.85,19.905,20.43,2292920
HOLX,2006-01-13,20.845,21.18,20.41,20.47,1869662
HOLX,2006-01-16,20.845,21.18,20.41,20.47,0
HOLX,2006-01-17,20.59,20.825,20.08,20.825,735054
HOLX,2006-01-18,20.435,20.565,19.625,20.23,924740
HOLX,2006-01-19,20.975,21.045,20.455,20.62,956254
HOLX,2006-01-20,21.125,21.155,20.625,21.035,1480448
HOLX,2006-01-23,21.51,21.75,20.935,21.195,3250956
HOLX,2006-01-24,24.12,24.72,22.635,23.5,5990322
HOLX,2006-01-25,24.155,25.11,24.0,24.2,2193878
HOLX,2006-01-26,25.275,25.28,23.775,24.035,3521922
HOLX,2006-01-27,25.975,26.3,25.22,25.31,1785738
HOLX,2006-01-30,25.41,26.0,25.26,26.0,1880010
HOLX,2006-01-31,25.73,26.185,25.325,25.38,1559098
HOLX,2006-02-01,25.7,26.025,24.705,25.705,1938074
HOLX,2006-02-02,25.355,25.885,24.245,25.555,2251380
HOLX,2006-02-03,24.9,25.475,24.785,25.145,1206568
HOLX,2006-02-06,26.125,26.365,25.015,25.1,1367138
HOLX,2006-02-07,25.465,26.14,25.375,26.14,1245774
HOLX,2006-02-08,25.44,25.75,25.01,25.525,799708
HOLX,2006-02-09,25.385,25.875,25.175,25.63,1112782
HOLX,2006-02-10,24.84,25.16,24.56,25.14,1128000
HOLX,2006-02-13,24.8745,24.8745,24.63,24.63,733580
HOLX,2006-02-14,25.385,25.505,24.545,24.695,943116
HOLX,2006-02-15,25.2,25.455,24.93,25.435,619900
HOLX,2006-02-16,25.53,25.99,25.175,25.355,1562538
HOLX,2006-02-17,25.855,25.935,24.83,25.715,1054240
HOLX,2006-02-20,25.855,25.935,24.83,25.715,0
HOLX,2006-02-21,25.495,26.805,25.38,26.085,1122940
HOLX,2006-02-22,24.785,25.47,24.6,25.465,1669198
HOLX,2006-02-23,24.87,25.085,24.625,24.855,1118164
HOLX,2006-02-24,24.47,25.0,24.465,24.75,1175252
HOLX,2006-02-27,24.38,25.17,24.035,24.605,1807894
HOLX,2006-02-28,23.915,24.49,23.665,24.25,1104360
HOLX,2006-03-01,25.375,25.375,23.915,23.915,2114734
HOLX,2006-03-02,24.995,25.49,24.95,24.95,1327300
HOLX,2006-03-03,24.815,25.3,24.79,24.9,992506
HOLX,2006-03-06,24.61,25.075,24.425,24.94,934044
HOLX,2006-03-07,24.565,24.895,24.4,24.705,863034
HOLX,2006-03-08,24.86,24.975,24.25,24.375,850218
HOLX,2006-03-09,24.52,25.25,24.48,24.98,769068
HOLX,2006-03-10,24.75,24.9,24.103,24.57,371890
HOLX,2006-03-13,24.975,25.395,24.655,24.765,806338
HOLX,2006-03-14,24.895,25.12,24.8,24.955,708724
HOLX,2006-03-15,25.5,25.54,24.85,24.925,608164
HOLX,2006-03-16,26.53,27.395,25.73,25.8,2928056
HOLX,2006-03-17,26.735,26.985,26.35,26.75,1781576
HOLX,2006-03-20,26.835,27.25,26.54,26.875,979016
HOLX,2006-03-21,26.355,27.075,26.015,26.935,1389158
HOLX,2006-03-22,26.795,26.87,26.3,26.355,834036
HOLX,2006-03-23,27.1,27.805,26.365,26.905,1728098
HOLX,2006-03-24,27.44,27.46,26.9,27.025,766824
HOLX,2006-03-27,27.635,27.71,27.09,27.575,948200
HOLX,2006-03-28,27.45,27.7,27.29,27.7,1004270
HOLX,2006-03-29,27.43,27.735,27.355,27.595,935742
HOLX,2006-03-30,27.14,27.97,26.745,27.4,1109710
HOLX,2006-03-31,27.675,27.945,27.1,27.1,1365038
HOLX,2006-04-03,27.12,27.885,27.075,27.885,1076976
HOLX,2006-04-04,27.22,27.22,26.895,27.22,1413876
HOLX,2006-04-05,27.365,27.65,26.76,26.8,805518
HOLX,2006-04-06,27.67,27.89,27.02,27.48,888784
HOLX,2006-04-07,27.315,28.355,27.185,27.865,932860
HOLX,2006-04-10,26.48,27.475,25.9096,27.475,1459862
HOLX,2006-04-11,24.745,26.66,23.405,26.355,5898802
HOLX,2006-04-12,25.25,25.25,24.625,24.625,1311682
HOLX,2006-04-13,25.15,25.15,24.785,25.06,958280
HOLX,2006-04-14,25.15,25.15,24.785,25.06,0
HOLX,2006-04-17,24.65,25.1,24.48,24.72,1150342
HOLX,2006-04-18,25.535,25.54,24.425,24.84,1094996
HOLX,2006-04-19,25.33,26.56,25.155,25.725,1913786
HOLX,2006-04-20,25.345,25.455,24.755,25.16,1239318
HOLX,2006-04-21,25.605,25.94,25.335,25.575,1368424
HOLX,2006-04-24,25.82,25.975,25.075,25.775,1759980
HOLX,2006-04-25,25.03,27.325,24.69,27.25,4141418
HOLX,2006-04-26,23.765,25.13,22.3,25.115,6702612
HOLX,2006-04-27,23.595,24.235,22.98,23.595,2493708
