Symbol,Date,Close,High,Low,Open,Volume
HON,2006-01-02,37.038,37.3065,36.9386,37.1971,0
HON,2006-01-03,37.2468,37.3959,36.4514,37.0082,4058599
HON,2006-01-04,37.0977,37.4755,37.0181,37.2866,3208661
HON,2006-01-05,37.0778,37.2866,36.7994,37.0479,2941943
HON,2006-01-06,37.6545,37.744,37.0977,37.2866,2747135
HON,2006-01-09,37.3462,37.7937,37.3065,37.6545,3610348
HON,2006-01-10,37.2866,37.4258,36.8988,37.0181,3365152
HON,2006-01-11,37.3065,37.555,37.0877,37.4854,3429116
HON,2006-01-12,36.869,37.2369,36.5806,37.2269,4859758
HON,2006-01-13,36.9485,37.0479,36.5707,36.7894,2762019
HON,2006-01-16,36.9485,37.0479,36.5707,36.7894,0
HON,2006-01-17,36.6502,37.0082,36.5806,36.9485,2104980
HON,2006-01-18,36.8093,36.9087,36.342,36.6602,2589135
HON,2006-01-19,36.9783,37.0778,36.4812,36.869,3824667
HON,2006-01-20,35.636,37.0678,35.5465,36.9883,4693613
HON,2006-01-23,35.8448,36.2724,35.6261,35.7355,3625333
HON,2006-01-24,36.332,36.5428,35.0394,35.0394,2728830
HON,2006-01-25,35.8548,36.6701,35.7951,36.332,4987485
HON,2006-01-26,37.1971,37.3462,35.8747,36.2923,6688969
HON,2006-01-27,37.5948,37.7539,36.6701,37.0181,5302579
HON,2006-01-30,37.8136,37.8931,37.3263,37.5948,3747428
HON,2006-01-31,38.2013,38.4996,37.5849,37.9329,4957113
HON,2006-02-01,39.1161,39.305,38.2312,38.3107,6600164
HON,2006-02-02,38.3107,39.3547,38.0025,38.3505,5162683
HON,2006-02-03,39.0067,39.6331,38.5295,38.9272,5596753
HON,2006-02-06,39.2056,39.2752,38.4201,38.9371,3959434
HON,2006-02-07,38.9272,38.9272,38.1814,38.8874,3509172
HON,2006-02-08,38.7979,39.4243,38.5394,39.4243,5560245
HON,2006-02-09,39.2951,39.7127,38.5195,38.7979,5436642
HON,2006-02-10,39.4044,39.5834,38.8576,39.0763,3589127
HON,2006-02-13,39.8419,39.8618,39.1062,39.2752,3971000
HON,2006-02-14,40.2794,40.5877,39.5138,39.7127,5005086
HON,2006-02-15,40.6076,40.6175,40.001,40.0706,3703779
HON,2006-02-16,41.3434,41.4328,40.3192,41.0252,7177651
HON,2006-02-17,41.9399,42.6857,41.4627,41.5522,7547053
HON,2006-02-20,41.9399,42.6857,41.4627,41.5522,0
HON,2006-02-21,41.1843,42.2681,41.0152,42.0195,5268786
HON,2006-02-22,41.7908,41.8604,41.3831,41.4428,4240735
HON,2006-02-23,41.1942,41.5422,41.0152,41.413,3629255
HON,2006-02-24,41.2439,41.3434,40.6672,41.0351,2823469
HON,2006-02-27,41.3334,41.8306,41.2638,41.4428,2404384
HON,2006-02-28,40.7169,41.3434,40.5578,41.1147,3939923
HON,2006-03-01,41.0351,41.0451,40.4485,40.6871,3097931
HON,2006-03-02,41.2439,41.5522,40.5678,40.6076,3537835
HON,2006-03-03,41.4826,42.109,40.7766,40.9755,3089986
HON,2006-03-06,40.6274,41.5422,40.4385,41.3931,4518919
HON,2006-03-07,41.1445,41.3036,40.4882,40.7169,2893065
HON,2006-03-08,41.2638,41.2638,40.538,41.1644,2927964
HON,2006-03-09,41.0351,41.6317,40.9307,41.2638,2546996
HON,2006-03-10,41.9002,42.0791,40.886,41.0152,3172455
HON,2006-03-13,41.4328,42.0692,41.4328,41.9598,3043421
HON,2006-03-14,42.109,42.2581,41.3334,41.3434,2057007
HON,2006-03-15,42.6061,42.626,41.7808,42.2581,3177484
HON,2006-03-16,42.3476,42.9044,42.1885,42.5962,2899401
HON,2006-03-17,42.5166,42.6658,42.2979,42.5862,4766226
HON,2006-03-20,42.3277,42.7155,42.1587,42.447,2163312
HON,2006-03-21,42.0294,42.6558,41.9399,42.5067,2871241
HON,2006-03-22,42.4172,42.4868,42.0593,42.0593,2374112
HON,2006-03-23,42.278,42.5564,41.9399,42.5166,2927159
HON,2006-03-24,42.2084,42.7254,42.0791,42.2183,2037395
HON,2006-03-27,41.761,42.099,41.4328,41.93,3004499
HON,2006-03-28,41.6715,42.4271,40.9755,40.9755,2282289
HON,2006-03-29,42.0294,42.1587,41.761,41.9499,2251413
HON,2006-03-30,42.099,42.457,41.8405,41.9499,2514108
HON,2006-03-31,42.5266,42.9641,42.3476,42.3476,3098434
HON,2006-04-03,42.1487,43.4115,41.9598,42.7553,3428915
HON,2006-04-04,42.8646,43.0038,41.5621,42.0195,3026625
HON,2006-04-05,42.7453,43.0337,42.4172,42.984,2701978
HON,2006-04-06,42.6061,42.984,42.3277,42.7553,1966492
HON,2006-04-07,42.1587,42.9442,41.93,42.7553,2342230
HON,2006-04-10,42.3874,42.6658,41.9598,42.1587,2368379
HON,2006-04-11,41.6516,42.626,41.3334,42.3874,3670892
HON,2006-04-12,42.2183,42.4371,41.5621,41.751,2576966
HON,2006-04-13,43.1629,43.9385,41.4428,41.4428,5647643
HON,2006-04-14,43.1629,43.9385,41.4428,41.4428,0
HON,2006-04-17,42.636,43.4215,42.2482,43.1729,2941541
HON,2006-04-18,43.9087,44.2268,42.9244,43.501,5371471
HON,2006-04-19,43.2823,44.1473,42.5067,44.1473,6092173
HON,2006-04-20,43.5805,44.018,42.6956,43.2027,4037277
HON,2006-04-21,43.3021,44.0081,42.974,43.9982,3004499
HON,2006-04-24,42.974,43.5308,42.9044,43.1729,2758801
HON,2006-04-25,43.4712,43.6402,42.9144,43.1928,3179093
HON,2006-04-26,43.8192,43.9783,43.2325,43.4513,3122169
HON,2006-04-27,42.8845,43.2723,42.5564,42.7553,6573613
HON,2006-04-28,42.2581,42.9047,42.1686,42.6857,3990712
