Symbol,Date,Close,High,Low,Open,Volume
HP,2006-01-02,30.955,31.34,30.25,30.35,0
HP,2006-01-03,32.675,32.78,31.265,31.275,1484400
HP,2006-01-04,33.175,33.37,32.1975,32.425,1704800
HP,2006-01-05,32.3,33.28,31.755,33.05,1265800
HP,2006-01-06,33.2,33.29,32.58,32.625,772000
HP,2006-01-09,33.5,33.5,32.585,33.125,1249600
HP,2006-01-10,34.65,34.655,33.5,33.5,1286200
HP,2006-01-11,34.45,34.88,34.14,34.63,1141800
HP,2006-01-12,34.53,35.205,34.43,34.575,1410800
HP,2006-01-13,35.09,35.325,34.3,34.3,801400
HP,2006-01-16,35.09,35.325,34.3,34.3,0
HP,2006-01-17,36.14,36.29,35.525,35.65,1264000
HP,2006-01-18,35.885,35.9575,34.85,35.865,1413400
HP,2006-01-19,35.83,35.895,34.49,34.65,1681400
HP,2006-01-20,36.035,36.67,35.375,36.025,1075000
HP,2006-01-23,36.605,36.98,35.68,36.005,984800
HP,2006-01-24,36.385,36.785,36.106,36.305,891400
HP,2006-01-25,35.515,36.55,34.875,36.55,1383000
HP,2006-01-26,36.775,36.925,34.755,36.125,2394200
HP,2006-01-27,37.87,37.99,37.105,37.45,2074800
HP,2006-01-30,38.56,38.975,37.945,37.99,1558600
HP,2006-01-31,39.18,39.295,38.3,38.5,1588400
HP,2006-02-01,37.605,39.605,37.515,39.3,1887200
HP,2006-02-02,37.54,38.245,36.55,37.53,2028800
HP,2006-02-03,37.96,38.25,37.12,37.575,1505400
HP,2006-02-06,39.35,39.465,38.49,38.75,1723600
HP,2006-02-07,37.065,38.725,37.01,38.65,2371000
HP,2006-02-08,36.795,37.75,36.455,37.75,2809000
HP,2006-02-09,35.925,37.32,35.765,37.04,1484400
HP,2006-02-10,35.825,36.065,34.74,35.845,1892600
HP,2006-02-13,34.5,35.87,34.18,35.65,1777400
HP,2006-02-14,33.68,34.01,33.18,33.5,1889200
HP,2006-02-15,32.375,34.055,32.03,33.815,2640800
HP,2006-02-16,32.975,33.215,32.595,33.075,2104000
HP,2006-02-17,32.47,33.3,32.15,33.3,2159000
HP,2006-02-20,32.47,33.3,32.15,33.3,0
HP,2006-02-21,33.835,33.975,32.975,32.975,1815600
HP,2006-02-22,33.25,33.675,32.935,33.65,1253600
HP,2006-02-23,33.64,34.1,33.015,33.24,1711400
HP,2006-02-24,34.105,34.49,33.9,34.05,1261000
HP,2006-02-27,33.165,33.915,33.05,33.855,1368800
HP,2006-02-28,32.885,33.225,32.5,33.1,1596000
HP,2006-03-01,33.26,33.605,33.005,33.095,1148600
HP,2006-03-02,33.935,34.0,32.995,33.355,1677200
HP,2006-03-03,33.975,34.435,33.7,33.81,1029800
HP,2006-03-06,31.99,33.545,31.92,33.525,1823000
HP,2006-03-07,31.475,32.11,31.135,31.99,1602600
HP,2006-03-08,30.975,31.545,30.42,30.75,2955000
HP,2006-03-09,30.42,31.31,30.125,31.15,2799800
HP,2006-03-10,30.48,31.17,29.73,30.15,1707800
HP,2006-03-13,31.245,31.545,30.765,30.8,1234400
HP,2006-03-14,32.39,32.48,31.08,31.325,1626600
HP,2006-03-15,33.13,33.23,32.02,32.15,2572800
HP,2006-03-16,33.73,33.935,32.98,33.025,1838000
HP,2006-03-17,33.28,33.8,33.2,33.725,1342400
HP,2006-03-20,32.14,33.665,32.075,32.975,1661200
HP,2006-03-21,32.0,32.78,31.67,31.925,1595800
HP,2006-03-22,32.17,32.87,31.74,32.0,1561200
HP,2006-03-23,32.77,33.0,32.375,32.375,1198800
HP,2006-03-24,33.3,33.46,32.735,32.805,1000799
HP,2006-03-27,33.275,33.49,32.825,33.295,743000
HP,2006-03-28,34.09,34.1818,33.47,33.495,1308000
HP,2006-03-29,35.295,35.345,34.025,34.025,1609600
HP,2006-03-30,35.81,36.39,35.35,35.35,1708200
HP,2006-03-31,34.91,35.81,34.225,35.81,1617600
HP,2006-04-03,34.275,35.53,34.165,35.06,1494400
HP,2006-04-04,34.05,34.355,33.505,34.275,2146400
HP,2006-04-05,34.94,34.995,33.715,34.175,1628200
HP,2006-04-06,34.975,35.455,34.49,35.07,1035199
HP,2006-04-07,34.44,35.11,34.3,34.85,647600
HP,2006-04-10,35.355,35.475,34.82,34.95,1048000
HP,2006-04-11,34.735,35.8,34.525,35.625,1029400
HP,2006-04-12,34.72,35.055,34.505,34.775,904800
HP,2006-04-13,35.18,35.195,34.05,34.57,796000
HP,2006-04-14,35.18,35.195,34.05,34.57,0
HP,2006-04-17,35.535,35.68,35.085,35.45,876200
HP,2006-04-18,36.38,36.46,35.78,35.8,937400
HP,2006-04-19,37.375,37.6,36.255,36.255,1646600
HP,2006-04-20,37.235,37.69,36.5,37.425,1523000
HP,2006-04-21,37.695,37.93,37.085,37.3,1126800
HP,2006-04-24,37.19,37.525,36.91,37.495,914000
HP,2006-04-25,36.56,37.75,35.97,37.49,1842200
HP,2006-04-26,36.655,37.5,36.605,36.625,1287000
HP,2006-04-27,35.495,36.025,34.855,36.025,1874200
HP,2006-04-28,36.37,36.7,35.78,35.8,1924200
HP,2006-05-01,36.735,37.03,35.68,35.68,1305400
HP,2006-05-02,37.855,37.86,36.78,36.92,1318000
HP,2006-05-03,37.705,38.185,37.26,37.855,1700200
HP,2006-05-04,38.16,38.24,36.91,37.325,1479800
HP,2006-05-05,38.15,38.49,37.545,38.335,1444200
HP,2006-05-08,38.57,38.59,37.46,37.725,1151600
HP,2006-05-09,39.135,39.35,38.335,38.505,1413000
HP,2006-05-10,39.95,39.95,38.825,39.0,1971400
HP,2006-05-11,39.05,40.235,39.0,40.03,2268000
HP,2006-05-12,37.445,38.96,37.33,38.95,2162400
HP,2006-05-15,36.005,36.7,35.46,36.25,1638600
HP,2006-05-16,35.61,36.435,35.295,36.35,1614400
HP,2006-05-17,34.185,35.74,34.14,35.54,1967000
HP,2006-05-18,33.115,34.325,33.03,34.225,1958600
HP,2006-05-19,32.7,33.5,32.055,32.965,2557000
HP,2006-05-22,32.31,32.56,31.34,32.425,2587600
HP,2006-05-23,31.85,33.34,31.815,32.725,2348400
HP,2006-05-24,30.965,31.945,30.26,31.685,2487400
HP,2006-05-25,31.57,31.775,30.95,31.25,2650600
HP,2006-05-26,32.13,32.42,31.57,31.695,1433400
HP,2006-05-29,32.13,32.42,31.57,31.695,0
HP,2006-05-30,31.615,32.7,31.34,32.675,1600000
