Symbol,Date,Close,High,Low,Open,Volume
HRB,2006-01-02,24.55,24.58,24.12,24.45,0
HRB,2006-01-03,24.45,24.63,23.98,24.52,3080500
HRB,2006-01-04,24.25,24.8,24.19,24.36,1831600
HRB,2006-01-05,24.88,24.9,24.12,24.33,2239900
HRB,2006-01-06,24.79,25.2,24.65,25.2,1426000
HRB,2006-01-09,25.55,25.68,24.85,24.89,2611100
HRB,2006-01-10,25.61,25.61,25.2,25.5,2444000
HRB,2006-01-11,25.64,25.74,25.5,25.67,1764800
HRB,2006-01-12,25.5,25.75,25.4,25.66,1684800
HRB,2006-01-13,25.64,25.7,25.45,25.62,1301700
HRB,2006-01-16,25.64,25.7,25.45,25.62,0
HRB,2006-01-17,25.42,25.74,25.42,25.61,2118100
HRB,2006-01-18,25.11,25.49,24.99,25.3,1554800
HRB,2006-01-19,25.2,25.28,25.04,25.07,934100
HRB,2006-01-20,24.96,25.21,24.85,25.14,1326500
HRB,2006-01-23,24.99,25.09,24.81,24.95,956500
HRB,2006-01-24,24.9,25.04,24.67,25.03,1320600
HRB,2006-01-25,24.73,24.9,24.57,24.9,802500
HRB,2006-01-26,24.91,25.25,24.88,24.97,1250000
HRB,2006-01-27,24.73,25.02,24.55,24.88,1256000
HRB,2006-01-30,24.54,24.85,24.5,24.74,1633600
HRB,2006-01-31,24.46,24.6,24.4,24.51,1192500
HRB,2006-02-01,24.15,24.58,24.08,24.36,1281600
HRB,2006-02-02,23.83,24.17,23.82,24.06,1709200
HRB,2006-02-03,23.91,24.12,23.67,23.68,1527500
HRB,2006-02-06,23.77,23.93,23.54,23.82,928200
HRB,2006-02-07,23.73,24.0,23.6,23.7,995400
HRB,2006-02-08,24.11,24.33,23.56,23.68,1713800
HRB,2006-02-09,24.0,24.42,24.0,24.22,920000
HRB,2006-02-10,24.28,24.35,23.91,23.97,882500
HRB,2006-02-13,24.6,24.68,24.19,24.19,1118700
HRB,2006-02-14,25.05,25.19,24.42,24.6,1811300
HRB,2006-02-15,25.12,25.31,24.95,25.04,1426800
HRB,2006-02-16,25.0,25.14,24.87,25.09,886800
HRB,2006-02-17,25.3,25.42,24.93,24.95,935900
HRB,2006-02-20,25.3,25.42,24.93,24.95,0
HRB,2006-02-21,25.21,25.47,24.96,25.31,1060200
HRB,2006-02-22,25.5,25.57,25.11,25.25,1182300
HRB,2006-02-23,25.19,25.67,25.14,25.62,1172900
HRB,2006-02-24,23.01,23.8,22.78,23.5,8873900
HRB,2006-02-27,22.5,23.07,22.41,23.04,3722800
HRB,2006-02-28,22.3,22.73,22.1,22.5,3077600
HRB,2006-03-01,22.18,22.49,22.08,22.35,2156400
HRB,2006-03-02,22.14,22.31,21.94,22.0,2394900
HRB,2006-03-03,22.1,22.48,22.02,22.02,2614200
HRB,2006-03-06,22.44,22.58,22.039,22.08,2845900
HRB,2006-03-07,22.44,22.64,22.1,22.28,2291100
HRB,2006-03-08,22.15,22.44,22.02,22.4,1611300
HRB,2006-03-09,22.17,22.3,22.0,22.0,1354300
HRB,2006-03-10,22.64,22.69,22.3,22.3,1227100
HRB,2006-03-13,22.22,22.74,22.12,22.65,1294800
HRB,2006-03-14,22.0,22.17,21.58,21.99,1724200
HRB,2006-03-15,20.63,22.1,19.8,21.95,14509000
HRB,2006-03-16,21.41,21.63,20.06,20.45,6406800
HRB,2006-03-17,21.28,21.53,21.14,21.35,2869300
HRB,2006-03-20,21.3,21.54,21.18,21.29,1776200
HRB,2006-03-21,21.13,21.39,21.03,21.28,1008699
HRB,2006-03-22,21.1,21.19,20.9,21.14,1173500
HRB,2006-03-23,21.08,21.141,20.88,20.98,955900
HRB,2006-03-24,22.01,22.05,21.01,21.02,3181400
HRB,2006-03-27,21.74,22.02,21.61,21.94,2436300
HRB,2006-03-28,21.74,22.01,21.74,21.75,2537600
HRB,2006-03-29,22.22,22.29,21.8,21.81,3041100
HRB,2006-03-30,22.07,22.38,21.94,22.23,1763700
HRB,2006-03-31,21.65,22.139,21.63,22.08,2562200
HRB,2006-04-03,21.65,22.08,21.61,21.75,1954700
HRB,2006-04-04,21.78,21.82,21.58,21.75,1277400
HRB,2006-04-05,21.65,21.79,21.52,21.65,1639700
HRB,2006-04-06,21.77,21.78,21.63,21.65,1252000
HRB,2006-04-07,22.25,22.28,21.87,22.0,1962100
HRB,2006-04-10,22.12,22.45,21.86,22.35,2118200
HRB,2006-04-11,22.17,22.3,21.97,22.04,2680500
HRB,2006-04-12,22.13,22.28,22.01,22.22,1529200
HRB,2006-04-13,22.32,22.33,22.0,22.15,1346900
HRB,2006-04-14,22.32,22.33,22.0,22.15,0
HRB,2006-04-17,22.1,22.25,22.0,22.0,1539700
HRB,2006-04-18,22.3,22.34,21.99,22.11,1571700
HRB,2006-04-19,22.25,22.3,22.1,22.21,1403600
HRB,2006-04-20,22.34,22.48,22.2,22.29,816500
HRB,2006-04-21,22.46,22.51,22.3,22.5,1297400
HRB,2006-04-24,22.25,22.46,22.1701,22.36,1648300
HRB,2006-04-25,22.26,22.3,22.14,22.23,2054300
HRB,2006-04-26,22.63,22.68,22.26,22.26,2322900
HRB,2006-04-27,22.88,22.95,22.33,22.56,2352300
HRB,2006-04-28,22.83,22.98,22.75,22.82,2627100
HRB,2006-05-01,22.87,23.1,22.75,22.8,4046700
HRB,2006-05-02,22.9,23.25,22.75,22.89,2732100
HRB,2006-05-03,22.68,23.07,22.67,22.9,4317200
HRB,2006-05-04,22.85,22.93,22.71,22.76,1445700
HRB,2006-05-05,23.45,23.62,22.82,22.84,2390800
HRB,2006-05-08,23.22,23.63,22.85,23.52,1909700
HRB,2006-05-09,23.0,23.17,22.76,23.11,3663800
HRB,2006-05-10,22.63,22.98,22.48,22.53,2413700
HRB,2006-05-11,22.61,22.8,22.45,22.65,1796700
HRB,2006-05-12,22.27,22.65,22.26,22.52,2580600
HRB,2006-05-15,22.47,22.47,22.21,22.33,1687900
HRB,2006-05-16,22.01,22.46,22.0,22.42,2179800
HRB,2006-05-17,21.55,21.89,21.53,21.86,2370800
HRB,2006-05-18,21.5,21.8,21.5,21.6,1381600
HRB,2006-05-19,21.53,21.65,21.5,21.5,3006300
HRB,2006-05-22,21.55,21.67,21.25,21.3,4093899
HRB,2006-05-23,21.76,21.98,21.65,21.69,2172200
HRB,2006-05-24,21.88,21.95,21.5,21.76,3479800
HRB,2006-05-25,22.37,22.47,21.8,21.89,2549600
HRB,2006-05-26,22.5,22.69,22.4,22.48,1241700
HRB,2006-05-29,22.5,22.69,22.4,22.48,0
HRB,2006-05-30,22.56,22.64,22.24,22.4,1590100
HRB,2006-05-31,22.75,22.77,22.35,22.55,2920000
HRB,2006-06-01,22.67,22.83,22.46,22.75,2009900
HRB,2006-06-02,22.96,23.06,22.56,22.66,1841900
HRB,2006-06-05,22.61,23.04,22.52,22.78,2832200
HRB,2006-06-06,22.4,22.66,22.11,22.65,3024700
HRB,2006-06-07,22.5,22.61,22.09,22.49,2511000
HRB,2006-06-08,22.92,22.99,21.93,22.36,3955400
HRB,2006-06-09,23.47,23.69,22.63,22.79,3016200
HRB,2006-06-12,23.46,23.7,23.38,23.46,2386300
HRB,2006-06-13,23.27,23.49,23.2,23.43,3105700
HRB,2006-06-14,23.31,23.36,23.16,23.17,2417300
HRB,2006-06-15,23.5,23.55,23.34,23.39,2146400
HRB,2006-06-16,23.38,23.5,23.35,23.35,2210600
HRB,2006-06-19,23.55,23.72,23.42,23.48,1677500
HRB,2006-06-20,23.53,24.05,23.41,23.52,2242700
HRB,2006-06-21,23.9,24.08,23.45,23.52,2181200
HRB,2006-06-22,24.2,24.26,23.72,23.88,2558600
HRB,2006-06-23,24.17,24.3,24.0,24.16,1996800
HRB,2006-06-26,24.19,24.3,24.13,24.28,989800
HRB,2006-06-27,23.86,24.22,23.85,24.1,1483100
HRB,2006-06-28,23.76,24.05,23.65,23.87,1419400
HRB,2006-06-29,23.89,24.03,23.73,23.9,2715100
HRB,2006-06-30,23.86,24.1,23.78,23.9,2505500
HRB,2006-07-03,23.94,24.06,23.77,23.82,889700
HRB,2006-07-04,23.94,24.06,23.77,23.82,0
HRB,2006-07-05,23.83,23.86,23.63,23.79,1926500
HRB,2006-07-06,23.77,23.98,23.73,23.81,1625800
HRB,2006-07-07,23.52,23.85,23.49,23.65,1204300
HRB,2006-07-10,23.54,23.84,23.54,23.6,1081200
HRB,2006-07-11,23.66,23.69,23.51,23.54,1463300
HRB,2006-07-12,23.55,23.8,23.51,23.69,904500
HRB,2006-07-13,23.36,23.6,23.3,23.56,913700
HRB,2006-07-14,23.47,23.53,23.3,23.36,1326200
HRB,2006-07-17,23.47,23.57,23.21,23.36,1072700
HRB,2006-07-18,23.3,23.6,23.21,23.43,1142300
HRB,2006-07-19,23.64,23.79,23.29,23.42,1409800
HRB,2006-07-20,23.21,23.54,23.0,23.54,1819500
HRB,2006-07-21,22.65,23.23,22.6,23.23,2757300
HRB,2006-07-24,23.0,23.05,22.62,22.62,1577000
HRB,2006-07-25,23.07,23.28,22.88,22.98,1020999
HRB,2006-07-26,22.95,23.23,22.8,23.0,665700
HRB,2006-07-27,22.76,23.39,22.72,23.07,1006899
HRB,2006-07-28,22.9,23.05,22.79,22.87,1198200
HRB,2006-07-31,22.75,22.98,22.62,22.91,1480100
HRB,2006-08-01,22.78,22.94,22.63,22.74,1839200
HRB,2006-08-02,22.85,22.88,22.73,22.76,1524100
HRB,2006-08-03,22.85,22.92,22.64,22.75,970500
HRB,2006-08-04,22.74,22.93,22.57,22.9,1618300
HRB,2006-08-07,22.62,22.8,22.53,22.68,914600
HRB,2006-08-08,22.53,22.9,22.47,22.67,733400
HRB,2006-08-09,22.15,22.71,22.14,22.58,1287400
HRB,2006-08-10,22.42,22.5,21.799,21.95,1544000
HRB,2006-08-11,22.3,22.48,22.15,22.33,565600
HRB,2006-08-14,22.17,22.46,22.12,22.39,749400
HRB,2006-08-15,22.45,22.56,22.26,22.26,1255900
HRB,2006-08-16,22.45,22.53,22.36,22.49,2122600
HRB,2006-08-17,22.7,22.73,22.38,22.38,2445900
HRB,2006-08-18,22.67,22.92,22.45,22.7,1396100
HRB,2006-08-21,22.78,22.89,22.55,22.62,670500
HRB,2006-08-22,22.58,22.77,22.57,22.75,649400
HRB,2006-08-23,22.8,22.88,22.5,22.53,1069800
HRB,2006-08-24,22.79,22.89,22.7,22.77,1103900
HRB,2006-08-25,20.81,21.28,20.2,20.35,7686200
HRB,2006-08-28,20.63,20.81,20.53,20.75,3143200
HRB,2006-08-29,20.61,20.75,20.5,20.68,1963900
HRB,2006-08-30,20.9,20.98,20.3,20.36,1469600
HRB,2006-08-31,21.0,21.12,20.85,20.98,1941800
HRB,2006-09-01,21.33,21.37,20.8,20.9,3269000
HRB,2006-09-04,21.33,21.37,20.8,20.9,0
HRB,2006-09-05,21.27,21.69,21.14,21.45,3177500
HRB,2006-09-06,21.32,21.33,21.12,21.25,1948500
HRB,2006-09-07,20.97,21.32,20.92,21.28,1494200
HRB,2006-09-08,21.15,21.2,20.9,20.98,3933800
HRB,2006-09-11,21.39,21.52,21.01,21.01,1172600
HRB,2006-09-12,21.41,21.46,21.14,21.28,2063600
HRB,2006-09-13,21.53,21.55,21.27,21.38,1244900
HRB,2006-09-14,21.46,21.6,21.3,21.5,1348700
HRB,2006-09-15,21.75,21.82,21.52,21.64,1615100
HRB,2006-09-18,21.83,21.88,21.56,21.65,1177300
HRB,2006-09-19,21.62,21.99,21.31,21.95,1559100
HRB,2006-09-20,21.71,21.87,21.58,21.75,852600
HRB,2006-09-21,21.31,21.73,21.31,21.72,1006400
HRB,2006-09-22,21.37,21.5,21.2,21.4,1032600
HRB,2006-09-25,21.53,21.64,21.24,21.5,1748700
HRB,2006-09-26,21.84,21.92,21.57,21.65,1335700
HRB,2006-09-27,21.62,21.87,21.5,21.77,1166600
HRB,2006-09-28,21.76,21.78,21.35,21.62,1098100
HRB,2006-09-29,21.74,21.8,21.34,21.69,1917700
HRB,2006-10-02,21.72,21.8,21.3,21.65,1406200
HRB,2006-10-03,21.39,21.76,21.33,21.76,2169500
HRB,2006-10-04,21.41,21.63,21.0,21.2,1558000
HRB,2006-10-05,21.77,21.81,21.3,21.36,990200
HRB,2006-10-06,21.51,21.7,21.35,21.7,878600
HRB,2006-10-09,21.51,21.69,21.32,21.43,1131200
HRB,2006-10-10,21.59,21.7,21.369,21.57,971100
HRB,2006-10-11,21.5,21.59,21.37,21.52,1371700
HRB,2006-10-12,22.02,22.03,21.6,21.6,1341400
HRB,2006-10-13,22.01,22.12,21.81,22.05,1271400
HRB,2006-10-16,22.05,22.05,21.86,21.95,546900
HRB,2006-10-17,21.85,22.0,21.69,22.0,691600
HRB,2006-10-18,21.94,22.05,21.82,21.99,1751800
HRB,2006-10-19,21.88,21.9,21.35,21.83,3430300
HRB,2006-10-20,21.73,22.0,21.67,21.95,1254600
HRB,2006-10-23,21.92,21.92,21.52,21.66,879700
HRB,2006-10-24,21.83,21.89,21.7,21.79,1596000
