Symbol,Date,Close,High,Low,Open,Volume
HRL,2006-01-02,8.17,8.18,8.1,8.145,0
HRL,2006-01-03,8.2625,8.3,8.2,8.2,1964400
HRL,2006-01-04,8.3575,8.415,8.305,8.31,1071200
HRL,2006-01-05,8.385,8.4675,8.32,8.3675,1289600
HRL,2006-01-06,8.3625,8.45,8.3275,8.4125,867600
HRL,2006-01-09,8.345,8.4,8.315,8.3725,1179200
HRL,2006-01-10,8.325,8.38,8.2625,8.32,1026799
HRL,2006-01-11,8.31,8.3725,8.2875,8.345,368000
HRL,2006-01-12,8.3425,8.3625,8.3075,8.31,1054800
HRL,2006-01-13,8.3425,8.37,8.3075,8.3425,756000
HRL,2006-01-16,8.3425,8.37,8.3075,8.3425,0
HRL,2006-01-17,8.345,8.375,8.2525,8.28,661600
HRL,2006-01-18,8.5025,8.52,8.305,8.305,1408000
HRL,2006-01-19,8.3975,8.5925,8.35,8.5625,1318000
HRL,2006-01-20,8.34,8.4325,8.315,8.3925,570400
HRL,2006-01-23,8.5225,8.5325,8.3075,8.325,1193600
HRL,2006-01-24,8.4525,8.56,8.445,8.5075,869200
HRL,2006-01-25,8.375,8.4925,8.3225,8.4125,938400
HRL,2006-01-26,8.4725,8.495,8.3775,8.3875,894800
HRL,2006-01-27,8.495,8.525,8.435,8.4975,730000
HRL,2006-01-30,8.49,8.495,8.3525,8.47,1774800
HRL,2006-01-31,8.3825,8.595,8.38,8.5,1042000
HRL,2006-02-01,8.4025,8.53,8.39,8.405,1146000
HRL,2006-02-02,8.615,8.625,8.375,8.375,1346800
HRL,2006-02-03,8.6875,8.75,8.605,8.6125,1367600
HRL,2006-02-06,8.5925,8.7725,8.5925,8.7125,1124000
HRL,2006-02-07,8.5375,8.6625,8.515,8.5675,589600
HRL,2006-02-08,8.535,8.58,8.5075,8.5625,792000
HRL,2006-02-09,8.5525,8.6225,8.5275,8.5275,945600
HRL,2006-02-10,8.545,8.5775,8.4975,8.5225,750400
HRL,2006-02-13,8.585,8.635,8.5,8.525,556000
HRL,2006-02-14,8.5825,8.6125,8.5075,8.5625,470000
HRL,2006-02-15,8.5675,8.59,8.465,8.585,870800
HRL,2006-02-16,8.6775,8.6875,8.585,8.6025,386800
HRL,2006-02-17,8.7175,8.7275,8.65,8.6875,472800
HRL,2006-02-20,8.7175,8.7275,8.65,8.6875,0
HRL,2006-02-21,8.655,8.73,8.64,8.7,693600
HRL,2006-02-22,8.6775,8.74,8.66,8.7,896400
HRL,2006-02-23,8.7025,8.7525,8.68,8.6925,593200
HRL,2006-02-24,8.615,8.7,8.6075,8.6525,2082399
HRL,2006-02-27,8.5,9.0425,8.4225,8.8125,5454400
HRL,2006-02-28,8.6075,8.62,8.42,8.475,2511200
HRL,2006-03-01,8.55,8.6875,8.54,8.6375,1501200
HRL,2006-03-02,8.5375,8.5625,8.4825,8.5175,1456800
HRL,2006-03-03,8.51,8.5625,8.49,8.4975,966800
HRL,2006-03-06,8.445,8.5225,8.4025,8.4875,752400
HRL,2006-03-07,8.445,8.4825,8.42,8.425,773200
HRL,2006-03-08,8.46,8.5,8.3775,8.3875,1024400
HRL,2006-03-09,8.4775,8.5375,8.44,8.4425,812800
HRL,2006-03-10,8.5025,8.5325,8.4675,8.5,1443200
HRL,2006-03-13,8.5,8.5975,8.5,8.5,1384800
HRL,2006-03-14,8.405,8.5,8.4025,8.48,1947600
HRL,2006-03-15,8.325,8.4075,8.2625,8.405,2076000
HRL,2006-03-16,8.31,8.3575,8.275,8.3425,1961200
HRL,2006-03-17,8.295,8.325,8.2225,8.3,1765200
HRL,2006-03-20,8.25,8.285,8.1475,8.2725,1571200
HRL,2006-03-21,8.3175,8.3175,8.2125,8.2475,1551600
HRL,2006-03-22,8.3225,8.41,8.3075,8.3225,2659600
HRL,2006-03-23,8.255,8.325,7.97,7.97,2341600
HRL,2006-03-24,8.3375,8.3675,8.25,8.265,2131200
HRL,2006-03-27,8.255,8.35,8.24,8.35,1105600
HRL,2006-03-28,8.25,8.2925,8.2475,8.2525,1384000
HRL,2006-03-29,8.3325,8.42,8.2725,8.2725,1385200
HRL,2006-03-30,8.405,8.4225,8.275,8.33,1201200
HRL,2006-03-31,8.45,8.4825,8.385,8.4275,1607600
HRL,2006-04-03,8.535,8.5425,8.375,8.425,2006800
HRL,2006-04-04,8.5525,8.6775,8.51,8.575,2001599
HRL,2006-04-05,8.555,8.5875,8.51,8.55,1069200
HRL,2006-04-06,8.435,8.5775,8.3975,8.5625,990800
HRL,2006-04-07,8.535,8.5675,8.4275,8.4525,1885600
HRL,2006-04-10,8.5675,8.57,8.4275,8.525,1623200
HRL,2006-04-11,8.455,8.6025,8.4225,8.585,1858000
HRL,2006-04-12,8.4425,8.4875,8.4125,8.455,1363600
HRL,2006-04-13,8.39,8.485,8.3775,8.44,803200
HRL,2006-04-14,8.39,8.485,8.3775,8.44,0
HRL,2006-04-17,8.3775,8.4125,8.335,8.37,1031600
HRL,2006-04-18,8.4925,8.4975,8.405,8.405,1417200
HRL,2006-04-19,8.5025,8.5025,8.425,8.4575,1046000
HRL,2006-04-20,8.3175,8.485,8.28,8.4725,2502000
HRL,2006-04-21,8.2825,8.4,8.25,8.3625,2696800
HRL,2006-04-24,8.3425,8.375,8.2275,8.2825,2017199
HRL,2006-04-25,8.2475,8.325,8.24,8.315,1122800
HRL,2006-04-26,8.455,8.47,8.225,8.2575,2162800
HRL,2006-04-27,8.4275,8.5025,8.305,8.46,2000400
HRL,2006-04-28,8.39,8.445,8.255,8.38,1339600
HRL,2006-05-01,8.3625,8.465,8.345,8.39,920800
HRL,2006-05-02,8.5,8.5275,8.35,8.3575,1057600
HRL,2006-05-03,8.4225,8.5275,8.4175,8.475,791200
HRL,2006-05-04,8.34,8.485,8.335,8.4325,1173200
HRL,2006-05-05,8.4575,8.4725,8.3375,8.3625,1150400
HRL,2006-05-08,8.49,8.5325,8.4275,8.4575,780800
HRL,2006-05-09,8.45,8.525,8.45,8.47,1382000
HRL,2006-05-10,8.35,8.4925,8.335,8.4675,1299200
HRL,2006-05-11,8.455,8.48,8.3375,8.3525,1069200
HRL,2006-05-12,8.37,8.4975,8.355,8.455,931600
HRL,2006-05-15,8.445,8.47,8.29,8.3225,823200
HRL,2006-05-16,8.435,8.4675,8.38,8.4,861600
HRL,2006-05-17,8.315,8.4425,8.305,8.4025,1027199
HRL,2006-05-18,8.2925,8.4225,8.2825,8.3,1057200
HRL,2006-05-19,8.495,8.5775,8.295,8.3025,2298400
HRL,2006-05-22,8.5225,8.605,8.3942,8.4375,1032000
HRL,2006-05-23,8.415,8.53,8.415,8.525,1443200
HRL,2006-05-24,8.47,8.5175,8.325,8.4275,1358400
HRL,2006-05-25,8.9125,8.97,8.675,8.85,4348800
HRL,2006-05-26,8.8975,9.0,8.845,9.0,1628400
HRL,2006-05-29,8.8975,9.0,8.845,9.0,0
HRL,2006-05-30,8.73,8.93,8.72,8.8625,1545200
HRL,2006-05-31,8.9775,9.0,8.775,8.775,2734400
HRL,2006-06-01,8.9675,9.0,8.9175,8.9925,1592000
HRL,2006-06-02,8.99,9.0025,8.89,8.96,1256800
HRL,2006-06-05,8.84,9.0775,8.8375,8.9925,1138400
HRL,2006-06-06,8.945,8.96,8.7675,8.87,1456800
HRL,2006-06-07,8.99,9.025,8.86,8.9525,2187600
HRL,2006-06-08,8.775,8.975,8.735,8.94,2955200
HRL,2006-06-09,8.7775,8.8425,8.6475,8.77,1054000
HRL,2006-06-12,8.7,8.815,8.685,8.8075,1147200
HRL,2006-06-13,8.6575,8.7275,8.585,8.6625,1371600
HRL,2006-06-14,8.67,8.7325,8.5575,8.645,1711600
HRL,2006-06-15,8.7475,8.75,8.6125,8.665,892400
HRL,2006-06-16,8.9425,8.945,8.7725,8.785,2308000
HRL,2006-06-19,9.03,9.0675,8.9425,8.9425,3573600
HRL,2006-06-20,9.0425,9.0975,8.9725,9.0425,2121600
HRL,2006-06-21,9.205,9.23,9.025,9.0525,2055200
HRL,2006-06-22,9.1375,9.19,9.05,9.19,1594000
HRL,2006-06-23,9.1525,9.215,9.075,9.075,647200
HRL,2006-06-26,9.1775,9.1875,9.06,9.1475,1024799
HRL,2006-06-27,9.1375,9.216,9.09,9.19,1131200
HRL,2006-06-28,9.1325,9.1875,9.0375,9.1375,1154000
HRL,2006-06-29,9.3075,9.3075,9.145,9.195,1132400
HRL,2006-06-30,9.285,9.375,9.275,9.3075,890800
HRL,2006-07-03,9.34,9.3425,9.2025,9.28,446400
HRL,2006-07-04,9.34,9.3425,9.2025,9.28,0
HRL,2006-07-05,9.215,9.35,9.1625,9.34,1278800
HRL,2006-07-06,9.255,9.3275,9.21,9.2225,1432400
HRL,2006-07-07,9.225,9.2725,9.2,9.23,1466400
HRL,2006-07-10,9.2375,9.2825,9.2,9.25,1475200
HRL,2006-07-11,9.295,9.3125,9.2125,9.2125,1223600
HRL,2006-07-12,9.2325,9.2975,9.2125,9.27,1600800
HRL,2006-07-13,9.2275,9.2475,9.1275,9.2,1018000
HRL,2006-07-14,9.1125,9.215,9.0625,9.2025,640000
HRL,2006-07-17,9.13,9.1825,9.04,9.0875,540800
HRL,2006-07-18,9.2025,9.2325,9.11,9.145,960000
HRL,2006-07-19,9.2825,9.285,9.1775,9.1775,819600
HRL,2006-07-20,9.25,9.3675,9.2425,9.3,1118400
HRL,2006-07-21,9.1925,9.2825,9.07,9.2475,1301200
HRL,2006-07-24,9.4425,9.5075,9.26,9.26,1592400
HRL,2006-07-25,9.5025,9.52,9.3825,9.41,964000
HRL,2006-07-26,9.415,9.51,9.375,9.51,868800
HRL,2006-07-27,9.31,9.45,9.2925,9.4275,936800
HRL,2006-07-28,9.4575,9.585,9.3375,9.3375,1336800
HRL,2006-07-31,9.4325,9.4675,9.3125,9.4575,944400
HRL,2006-08-01,9.4575,9.4725,9.3425,9.4125,871200
HRL,2006-08-02,9.3875,9.495,9.3325,9.4675,1079600
HRL,2006-08-03,9.4,9.42,9.33,9.3875,547200
HRL,2006-08-04,9.335,9.475,9.285,9.475,674800
HRL,2006-08-07,9.26,9.3825,9.2,9.3025,1177200
HRL,2006-08-08,9.335,9.385,9.25,9.275,990000
HRL,2006-08-09,9.3525,9.4675,9.3525,9.4375,1050000
HRL,2006-08-10,9.4075,9.4375,9.33,9.3375,706400
HRL,2006-08-11,9.43,9.45,9.3675,9.4075,729600
HRL,2006-08-14,9.4175,9.5175,9.405,9.48,635200
HRL,2006-08-15,9.4975,9.5775,9.4725,9.5325,560800
HRL,2006-08-16,9.48,9.5425,9.45,9.52,859600
HRL,2006-08-17,9.4225,9.4675,9.36,9.4525,1041199
HRL,2006-08-18,9.4125,9.4425,9.3925,9.405,763200
HRL,2006-08-21,9.505,9.555,9.41,9.4125,1068400
HRL,2006-08-22,9.45,9.515,9.4325,9.5025,722400
HRL,2006-08-23,9.4975,9.6025,9.42,9.5125,901200
HRL,2006-08-24,9.1075,9.6025,8.8325,9.5875,4384000
HRL,2006-08-25,9.1125,9.13,8.8175,9.045,2366800
HRL,2006-08-28,9.0025,9.09,8.8625,8.975,2334400
HRL,2006-08-29,9.3075,9.3075,9.015,9.015,2455600
HRL,2006-08-30,9.13,9.3075,9.1,9.3075,1439600
HRL,2006-08-31,9.1625,9.2125,9.1075,9.13,1414400
HRL,2006-09-01,9.2225,9.23,9.15,9.1925,670800
HRL,2006-09-04,9.2225,9.23,9.15,9.1925,0
HRL,2006-09-05,9.1,9.25,9.03,9.25,1343600
HRL,2006-09-06,9.0375,9.085,9.0175,9.075,928000
HRL,2006-09-07,9.01,9.0725,8.95,9.01,825600
HRL,2006-09-08,9.055,9.095,9.005,9.075,792800
HRL,2006-09-11,9.04,9.0825,9.0075,9.0575,610000
HRL,2006-09-12,9.0875,9.0975,9.0,9.0475,2082800
HRL,2006-09-13,9.09,9.13,9.0075,9.0575,921200
HRL,2006-09-14,9.0425,9.1175,8.995,9.06,1182800
HRL,2006-09-15,8.94,9.0775,8.8275,9.0775,2352400
HRL,2006-09-18,8.93,9.0075,8.91,8.9525,1480400
HRL,2006-09-19,8.9175,8.935,8.8,8.905,1562000
HRL,2006-09-20,9.0425,9.055,8.9725,8.98,1262800
HRL,2006-09-21,9.0625,9.0775,8.9925,9.055,1453600
HRL,2006-09-22,9.005,9.06,9.0,9.05,1053600
HRL,2006-09-25,9.1,9.125,8.98,9.0075,1092000
HRL,2006-09-26,9.0325,9.07,8.8625,9.07,1414400
HRL,2006-09-27,9.08,9.1125,9.0,9.0075,777200
HRL,2006-09-28,9.05,9.1225,9.04,9.095,648400
HRL,2006-09-29,8.995,9.09,8.9925,9.0625,688800
HRL,2006-10-02,9.0075,9.0325,8.9275,9.015,544800
HRL,2006-10-03,8.84,9.015,8.83,9.015,818000
HRL,2006-10-04,8.9675,8.98,8.79,8.84,704800
HRL,2006-10-05,9.055,9.0675,8.93,8.93,724800
HRL,2006-10-06,8.995,9.145,8.9575,9.0625,683600
HRL,2006-10-09,9.03,9.0375,8.94,8.9825,1073200
HRL,2006-10-10,9.025,9.0625,8.92,9.0125,2031600
HRL,2006-10-11,8.9725,9.025,8.93,9.025,1176000
HRL,2006-10-12,9.05,9.05,8.9575,8.9675,828400
HRL,2006-10-13,8.98,9.03,8.94,9.0225,482000
HRL,2006-10-16,8.955,8.9875,8.9,8.98,634800
HRL,2006-10-17,8.9425,8.97,8.8925,8.955,534800
HRL,2006-10-18,8.9275,8.98,8.91,8.925,691200
HRL,2006-10-19,8.8475,8.9375,8.8175,8.9275,831200
HRL,2006-10-20,8.9225,8.9325,8.8,8.8475,562000
HRL,2006-10-23,8.9525,9.0225,8.8875,8.8875,691200
HRL,2006-10-24,8.945,8.9575,8.88,8.9175,708800
HRL,2006-10-25,8.95,8.96,8.9125,8.9125,746400
HRL,2006-10-26,8.975,9.0275,8.925,8.98,704800
HRL,2006-10-27,9.0125,9.0775,8.935,8.985,754400
HRL,2006-10-30,9.0375,9.0625,8.9775,8.9775,1009600
HRL,2006-10-31,9.0275,9.0875,8.95,9.0375,784800
HRL,2006-11-01,8.9475,9.06,8.935,9.06,610800
HRL,2006-11-02,8.8825,8.9,8.8125,8.9,986800
HRL,2006-11-03,8.825,8.92,8.795,8.8975,469600
HRL,2006-11-06,8.895,8.945,8.86,8.86,615600
HRL,2006-11-07,8.91,8.9625,8.875,8.875,787200
HRL,2006-11-08,8.855,8.9525,8.8475,8.8925,1506000
HRL,2006-11-09,8.7075,8.885,8.7075,8.8325,1425200
HRL,2006-11-10,9.025,9.3975,8.88,9.2125,7060800
HRL,2006-11-13,9.225,9.2475,8.9625,8.9625,2218800
HRL,2006-11-14,9.3625,9.365,9.24,9.245,2389200
HRL,2006-11-15,9.3025,9.4,9.3,9.365,1373200
HRL,2006-11-16,9.225,9.35,9.21,9.345,1510800
HRL,2006-11-17,9.1975,9.26,9.15,9.2175,1842800
HRL,2006-11-20,9.2675,9.3325,9.2225,9.2225,1101200
