Symbol,Date,Close,High,Low,Open,Volume
HSIC,2006-01-02,21.82,21.915,21.725,21.73,0
HSIC,2006-01-03,21.84,22.18,21.41,22.125,1497436
HSIC,2006-01-04,21.875,22.04,21.68,21.775,926024
HSIC,2006-01-05,22.0,22.17,21.62,21.915,839582
HSIC,2006-01-06,22.25,22.725,21.95,22.18,1092772
HSIC,2006-01-09,22.595,22.735,22.175,22.175,1102154
HSIC,2006-01-10,22.515,22.87,22.355,22.495,1099004
HSIC,2006-01-11,22.745,22.835,22.49,22.675,765114
HSIC,2006-01-12,22.44,22.89,22.42,22.89,551236
HSIC,2006-01-13,22.425,22.585,22.275,22.34,825804
HSIC,2006-01-16,22.425,22.585,22.275,22.34,0
HSIC,2006-01-17,22.43,22.43,22.255,22.325,816904
HSIC,2006-01-18,22.6,22.685,22.325,22.44,1568490
HSIC,2006-01-19,22.67,22.75,22.49,22.725,408912
HSIC,2006-01-20,22.43,22.7545,22.185,22.67,743418
HSIC,2006-01-23,22.375,22.575,22.245,22.38,415182
HSIC,2006-01-24,22.51,22.585,22.215,22.405,523599
HSIC,2006-01-25,22.135,22.605,21.92,22.605,692666
HSIC,2006-01-26,22.605,22.61,22.205,22.325,392646
HSIC,2006-01-27,22.805,22.945,22.545,22.5995,665334
HSIC,2006-01-30,23.105,23.5,23.02,23.4,685736
HSIC,2006-01-31,23.32,23.515,22.825,23.2275,819382
HSIC,2006-02-01,23.29,23.48,23.23,23.395,482576
HSIC,2006-02-02,23.335,23.625,23.105,23.35,603242
HSIC,2006-02-03,23.135,23.36,22.91,23.33,730208
HSIC,2006-02-06,23.225,23.27,22.815,23.2,669378
HSIC,2006-02-07,23.0,23.455,22.85,23.2,457446
HSIC,2006-02-08,23.3,23.33,22.975,23.0,521038
HSIC,2006-02-09,23.355,23.52,23.25,23.33,599844
HSIC,2006-02-10,23.095,23.275,23.0,23.015,676254
HSIC,2006-02-13,23.63,23.63,23.155,23.155,612084
HSIC,2006-02-14,23.87,23.87,23.425,23.425,638084
