Symbol,Date,Close,High,Low,Open,Volume
HSY,2006-01-02,55.25,55.38,55.01,55.3,0
HSY,2006-01-03,54.85,55.41,54.31,55.27,872200
HSY,2006-01-04,54.8,55.26,54.51,55.08,1078800
HSY,2006-01-05,54.82,55.12,54.64,54.91,631500
HSY,2006-01-06,54.4,55.1,54.13,54.86,923900
HSY,2006-01-09,54.45,54.69,54.06,54.28,698700
HSY,2006-01-10,54.16,54.47,54.15,54.3,813200
HSY,2006-01-11,53.99,54.35,53.75,54.22,958900
HSY,2006-01-12,54.19,54.32,53.77,53.88,715400
HSY,2006-01-13,54.45,54.67,54.3,54.3,971100
HSY,2006-01-16,54.45,54.67,54.3,54.3,0
HSY,2006-01-17,55.07,55.34,54.49,54.5,1126900
HSY,2006-01-18,55.1,55.3,54.96,55.0,1434500
HSY,2006-01-19,55.16,55.44,54.92,55.3,703600
HSY,2006-01-20,54.42,55.12,54.2,55.1,769000
HSY,2006-01-23,53.54,54.4,53.47,54.4,876900
HSY,2006-01-24,54.1,54.41,53.72,53.9,825000
HSY,2006-01-25,52.3,54.1,51.65,54.1,4093899
HSY,2006-01-26,51.68,52.9,51.4,52.7,1525700
HSY,2006-01-27,51.68,51.94,51.3,51.89,1161100
HSY,2006-01-30,51.66,51.88,51.08,51.81,1445400
HSY,2006-01-31,51.2,52.39,51.02,52.1,1713900
HSY,2006-02-01,52.01,52.1,51.02,51.02,1205600
HSY,2006-02-02,51.51,52.18,51.4,51.8,1080900
HSY,2006-02-03,51.53,51.71,51.16,51.22,906200
HSY,2006-02-06,51.06,51.71,50.84,51.53,768700
HSY,2006-02-07,51.09,51.39,50.94,51.0,740800
HSY,2006-02-08,50.85,51.23,50.75,51.03,1042500
HSY,2006-02-09,50.76,50.97,50.62,50.95,950900
HSY,2006-02-10,51.66,51.86,50.76,50.76,1183500
HSY,2006-02-13,51.57,51.9,51.53,51.75,749600
HSY,2006-02-14,52.11,52.29,51.31,51.5,1568200
HSY,2006-02-15,52.3,52.67,51.6,52.0,1272300
HSY,2006-02-16,53.0,53.05,52.3,52.3,981800
HSY,2006-02-17,53.65,54.0,53.14,53.4,1446700
HSY,2006-02-20,53.65,54.0,53.14,53.4,0
HSY,2006-02-21,52.91,54.0,52.5,53.97,1069500
HSY,2006-02-22,53.05,53.28,52.77,52.79,836100
HSY,2006-02-23,52.31,52.85,52.23,52.8,936900
HSY,2006-02-24,52.45,52.68,52.08,52.4,848700
HSY,2006-02-27,51.97,52.43,51.772,52.24,1343400
HSY,2006-02-28,51.15,51.92,51.1,51.73,1547300
HSY,2006-03-01,51.65,51.65,51.34,51.34,1206700
HSY,2006-03-02,51.21,51.46,51.01,51.21,826000
HSY,2006-03-03,51.23,51.42,50.79,51.04,1099800
HSY,2006-03-06,51.41,51.89,51.17,51.35,939200
HSY,2006-03-07,51.75,51.94,51.37,51.5,1036600
HSY,2006-03-08,52.63,52.7,51.75,51.8,1248300
HSY,2006-03-09,52.15,52.8,52.01,52.5,1155000
HSY,2006-03-10,52.42,52.64,52.17,52.25,758400
HSY,2006-03-13,52.25,52.81,52.22,52.72,838200
HSY,2006-03-14,53.2,53.39,52.3,52.4,1190200
HSY,2006-03-15,52.71,53.34,52.37,53.28,900300
HSY,2006-03-16,52.51,53.0,52.24,53.0,1051800
HSY,2006-03-17,53.86,54.03,53.03,53.45,2098400
HSY,2006-03-20,54.36,54.81,53.91,54.49,1815200
HSY,2006-03-21,53.73,54.56,53.28,54.4,1785800
HSY,2006-03-22,54.01,54.17,53.65,53.75,1018899
HSY,2006-03-23,53.66,54.18,53.52,54.13,864100
HSY,2006-03-24,53.4,53.77,53.14,53.63,868100
HSY,2006-03-27,53.01,53.34,52.66,53.29,1041700
HSY,2006-03-28,52.53,53.18,52.46,53.03,979600
HSY,2006-03-29,52.88,53.15,52.67,52.75,880500
HSY,2006-03-30,52.65,53.05,52.36,52.82,860000
HSY,2006-03-31,52.23,52.95,52.17,52.75,846800
HSY,2006-04-03,52.0,52.28,51.9,52.25,1018000
HSY,2006-04-04,52.05,52.42,51.81,52.01,971900
HSY,2006-04-05,52.0,52.33,51.91,52.1,842500
HSY,2006-04-06,51.93,52.06,51.51,51.96,1296800
HSY,2006-04-07,50.52,51.93,50.47,51.75,1942400
HSY,2006-04-10,50.26,50.84,50.03,50.7,1309800
HSY,2006-04-11,50.15,50.5566,49.71,50.5,1574600
HSY,2006-04-12,51.42,52.1,51.17,51.2,2441900
HSY,2006-04-13,50.68,51.43,50.66,51.43,1327900
HSY,2006-04-14,50.68,51.43,50.66,51.43,0
HSY,2006-04-17,50.04,50.9,50.0,50.75,1021600
HSY,2006-04-18,50.56,50.67,50.01,50.02,927700
HSY,2006-04-19,50.69,51.06,50.51,50.7,1142100
HSY,2006-04-20,49.76,50.02,48.2,50.02,3825500
HSY,2006-04-21,51.21,51.5,50.31,51.11,2663100
HSY,2006-04-24,52.45,52.95,51.17,51.21,2995500
HSY,2006-04-25,52.29,52.9,52.1,52.8,1738900
HSY,2006-04-26,53.52,53.7,52.94,53.0,1774600
HSY,2006-04-27,53.56,53.7,53.4,53.65,1199000
HSY,2006-04-28,53.34,53.56,53.2,53.52,1119800
HSY,2006-05-01,53.05,53.53,53.03,53.34,1268900
HSY,2006-05-02,53.2,53.48,52.84,53.24,935100
HSY,2006-05-03,52.94,53.36,52.7,53.13,1028300
HSY,2006-05-04,53.08,53.54,52.9,53.16,797000
HSY,2006-05-05,53.74,53.81,53.11,53.3,867400
HSY,2006-05-08,53.69,53.82,53.32,53.75,682000
HSY,2006-05-09,54.07,54.35,53.65,53.71,1198300
HSY,2006-05-10,54.45,54.7,54.0,54.03,795300
