Symbol,Date,Close,High,Low,Open,Volume
IDXX,2006-01-02,17.995,18.195,17.865,17.9025,0
IDXX,2006-01-03,18.09,18.1325,17.84,17.9425,499392
IDXX,2006-01-04,18.2225,18.25,18.0025,18.0225,308788
IDXX,2006-01-05,18.445,18.485,18.1675,18.1675,396356
IDXX,2006-01-06,18.4925,18.525,18.395,18.4375,358464
IDXX,2006-01-09,18.81,18.905,18.5,18.5,532600
IDXX,2006-01-10,18.8475,18.8675,18.495,18.725,424344
IDXX,2006-01-11,18.7025,18.9425,18.6525,18.77,227040
IDXX,2006-01-12,18.6775,18.8075,18.6175,18.7925,213596
IDXX,2006-01-13,18.125,18.735,18.03,18.735,1051156
IDXX,2006-01-16,18.125,18.735,18.03,18.735,0
IDXX,2006-01-17,17.9375,18.2825,17.8775,18.085,1022427
IDXX,2006-01-18,17.75,18.0125,17.645,17.82,1042335
IDXX,2006-01-19,17.9975,18.1075,17.7525,17.7525,462084
IDXX,2006-01-20,17.865,18.165,17.83,18.0525,356876
IDXX,2006-01-23,18.0125,18.0375,17.8125,17.8125,336032
IDXX,2006-01-24,18.0825,18.165,17.96,17.96,237228
IDXX,2006-01-25,18.395,18.395,18.0625,18.0625,677020
IDXX,2006-01-26,18.73,18.75,18.2975,18.2975,417952
IDXX,2006-01-27,19.145,19.58,18.95,19.0,998680
IDXX,2006-01-30,19.4525,19.4525,19.15,19.15,390212
IDXX,2006-01-31,19.205,19.275,19.1375,19.175,590364
IDXX,2006-02-01,19.2375,19.3775,19.1325,19.2375,422184
IDXX,2006-02-02,19.1775,19.2925,19.0325,19.25,461496
IDXX,2006-02-03,19.205,19.355,19.08,19.08,307856
IDXX,2006-02-06,19.1225,19.1825,18.6925,19.1125,515784
IDXX,2006-02-07,19.16,19.275,18.8075,19.075,593724
IDXX,2006-02-08,19.2475,19.26,19.0775,19.13,318748
IDXX,2006-02-09,19.1825,19.3475,19.0325,19.21,364884
IDXX,2006-02-10,19.3325,19.3375,18.975,19.1125,625412
IDXX,2006-02-13,19.2475,19.2475,18.845,18.845,656148
IDXX,2006-02-14,19.1675,19.19,18.9025,18.9025,351620
IDXX,2006-02-15,19.3775,19.4375,19.095,19.1875,449600
IDXX,2006-02-16,19.535,19.5975,19.37,19.455,512403
IDXX,2006-02-17,19.4625,19.63,19.4,19.5,309248
IDXX,2006-02-20,19.4625,19.63,19.4,19.5,0
IDXX,2006-02-21,19.325,19.5375,19.1775,19.3975,491020
IDXX,2006-02-22,19.4975,19.4975,19.285,19.285,504580
IDXX,2006-02-23,19.46,19.4875,19.3175,19.405,253620
IDXX,2006-02-24,19.6175,19.64,19.3675,19.41,291168
