Symbol,Date,Close,High,Low,Open,Volume
IFF,2006-01-02,33.5,33.79,33.41,33.62,0
IFF,2006-01-03,33.75,33.86,33.03,33.69,397900
IFF,2006-01-04,33.89,33.95,33.62,33.77,290000
IFF,2006-01-05,33.69,34.06,33.54,33.89,274200
IFF,2006-01-06,33.9,34.01,33.72,33.9,240800
IFF,2006-01-09,34.13,34.23,33.6,33.7,290800
IFF,2006-01-10,34.34,34.35,33.66,33.8,403800
IFF,2006-01-11,34.47,34.55,34.22,34.4,538700
IFF,2006-01-12,34.15,34.47,34.0,34.3,379600
IFF,2006-01-13,34.37,34.4,34.08,34.09,391400
IFF,2006-01-16,34.37,34.4,34.08,34.09,0
IFF,2006-01-17,34.29,34.35,34.041,34.12,432000
IFF,2006-01-18,33.96,34.46,33.83,34.3,429400
IFF,2006-01-19,34.07,34.31,33.85,34.01,362500
IFF,2006-01-20,33.76,34.28,33.69,34.19,365100
IFF,2006-01-23,34.12,34.49,33.88,33.9,305700
IFF,2006-01-24,33.75,34.12,33.49,34.11,609500
IFF,2006-01-25,33.3,33.69,32.81,33.65,1620300
IFF,2006-01-26,33.56,33.7,33.3,33.4,842200
IFF,2006-01-27,33.6,33.75,33.07,33.56,1562300
IFF,2006-01-30,32.97,33.54,32.87,33.54,1006899
IFF,2006-01-31,32.96,33.1,32.68,32.9,759000
IFF,2006-02-01,33.11,33.15,32.69,32.8,694200
IFF,2006-02-02,33.2,33.22,32.8,32.95,789700
IFF,2006-02-03,33.04,33.38,32.8,33.05,702800
IFF,2006-02-06,32.98,33.15,32.81,32.96,542700
IFF,2006-02-07,32.85,33.15,32.75,32.83,629700
IFF,2006-02-08,33.02,33.11,32.65,33.04,513900
IFF,2006-02-09,33.0,33.46,33.0,33.12,463600
IFF,2006-02-10,33.16,33.3,32.53,32.88,694000
IFF,2006-02-13,32.84,33.16,32.76,33.15,1239900
IFF,2006-02-14,33.34,33.54,32.79,32.8,407300
IFF,2006-02-15,33.7,33.76,33.22,33.38,385700
IFF,2006-02-16,34.1,34.1,33.59,33.76,373800
IFF,2006-02-17,34.64,34.92,34.2,34.29,706000
IFF,2006-02-20,34.64,34.92,34.2,34.29,0
IFF,2006-02-21,34.4,34.67,34.33,34.64,356400
IFF,2006-02-22,34.44,34.65,34.14,34.35,492400
IFF,2006-02-23,34.56,34.76,34.02,34.24,484200
IFF,2006-02-24,34.45,34.54,34.18,34.43,334500
IFF,2006-02-27,34.5,34.67,34.34,34.43,358500
IFF,2006-02-28,34.63,34.7,34.2,34.39,510499
IFF,2006-03-01,34.75,34.8,34.46,34.63,714000
IFF,2006-03-02,34.89,35.02,34.55,34.7,548200
IFF,2006-03-03,35.67,36.03,34.89,34.89,991500
IFF,2006-03-06,35.36,35.65,35.17,35.61,552600
IFF,2006-03-07,35.06,36.1,34.95,35.25,457900
IFF,2006-03-08,34.8,35.24,34.7,35.06,773400
IFF,2006-03-09,34.74,35.14,34.25,34.69,340000
IFF,2006-03-10,34.99,35.08,34.68,34.7,276800
IFF,2006-03-13,34.89,35.18,34.79,34.97,302600
IFF,2006-03-14,35.02,35.16,34.63,34.78,329400
IFF,2006-03-15,34.96,35.21,34.86,34.88,556800
IFF,2006-03-16,34.68,35.15,34.47,34.83,495400
IFF,2006-03-17,34.83,34.91,34.52,34.73,462900
IFF,2006-03-20,35.18,35.4,34.7,34.78,423300
IFF,2006-03-21,34.5,35.13,34.37,35.1,513200
IFF,2006-03-22,34.83,34.94,34.52,34.54,340500
IFF,2006-03-23,34.84,35.02,34.5,34.77,410700
IFF,2006-03-24,34.76,35.0,34.46,34.8,414000
IFF,2006-03-27,34.62,34.74,34.51,34.7,220000
IFF,2006-03-28,34.37,34.79,34.19,34.63,490500
IFF,2006-03-29,34.76,34.84,34.15,34.34,404200
IFF,2006-03-30,34.63,34.91,34.51,34.7,257100
IFF,2006-03-31,34.32,34.64,34.3,34.59,320200
IFF,2006-04-03,34.24,34.8,34.13,34.25,666500
IFF,2006-04-04,34.15,34.29,34.02,34.28,286000
IFF,2006-04-05,34.1,34.2,33.95,34.08,946700
IFF,2006-04-06,34.05,34.22,33.94,34.1,769700
IFF,2006-04-07,33.78,34.06,33.69,34.05,1105000
IFF,2006-04-10,33.8,33.89,33.63,33.78,302200
IFF,2006-04-11,33.63,34.09,33.46,33.88,469600
IFF,2006-04-12,33.65,33.8,33.61,33.66,336500
IFF,2006-04-13,33.79,33.88,33.65,33.65,239100
IFF,2006-04-14,33.79,33.88,33.65,33.65,0
IFF,2006-04-17,33.83,34.05,33.71,33.79,280600
IFF,2006-04-18,34.27,34.35,33.79,33.89,484400
IFF,2006-04-19,34.61,34.61,34.18,34.25,311400
IFF,2006-04-20,34.54,34.85,34.25,34.61,229700
IFF,2006-04-21,35.6,35.75,34.78,34.85,931400
IFF,2006-04-24,35.91,35.92,35.53,35.6,588700
IFF,2006-04-25,36.35,36.35,35.86,36.0,965900
IFF,2006-04-26,35.72,36.46,35.04,36.3,1469900
IFF,2006-04-27,36.26,38.84,36.21,37.5,1601200
IFF,2006-04-28,35.33,36.26,35.32,36.15,873300
IFF,2006-05-01,35.58,35.91,35.38,35.45,404200
IFF,2006-05-02,35.6,35.82,35.51,35.53,259100
IFF,2006-05-03,35.6,35.65,35.35,35.55,543900
IFF,2006-05-04,35.67,36.1,35.59,35.67,339900
IFF,2006-05-05,36.18,36.25,35.6,35.68,619700
IFF,2006-05-08,36.04,36.4,35.99,36.2,277300
IFF,2006-05-09,36.0,36.18,35.74,36.08,384800
IFF,2006-05-10,35.97,36.15,35.9,36.0,386700
IFF,2006-05-11,36.07,36.18,35.95,35.95,456700
IFF,2006-05-12,35.76,36.07,35.73,36.07,381300
IFF,2006-05-15,35.92,35.96,35.5,35.75,348100
IFF,2006-05-16,35.75,35.93,35.66,35.85,397400
IFF,2006-05-17,35.4,35.82,35.4,35.65,505200
IFF,2006-05-18,35.5,35.73,35.25,35.35,328400
IFF,2006-05-19,35.54,35.68,35.26,35.51,400500
IFF,2006-05-22,35.4,35.68,35.28,35.5,642100
IFF,2006-05-23,35.03,35.71,35.03,35.5,528100
IFF,2006-05-24,35.49,35.59,34.7,35.0,723600
IFF,2006-05-25,35.2,35.62,35.07,35.56,458500
IFF,2006-05-26,35.62,35.75,35.31,35.31,260000
IFF,2006-05-29,35.62,35.75,35.31,35.31,0
IFF,2006-05-30,35.29,35.65,35.24,35.45,313200
IFF,2006-05-31,35.59,35.75,35.15,35.28,612600
IFF,2006-06-01,35.74,35.74,35.3,35.55,341100
IFF,2006-06-02,35.52,35.83,35.36,35.6,343800
IFF,2006-06-05,35.01,35.53,34.966,35.52,248800
IFF,2006-06-06,34.44,35.0,34.16,35.0,641600
IFF,2006-06-07,34.76,34.91,34.24,34.5,574900
IFF,2006-06-08,34.99,35.13,34.11,34.77,624400
IFF,2006-06-09,34.86,35.14,34.67,34.95,485600
IFF,2006-06-12,34.68,35.2,34.59,34.97,350900
IFF,2006-06-13,34.77,35.07,34.34,34.68,542900
IFF,2006-06-14,34.72,35.01,34.42,34.76,416300
IFF,2006-06-15,35.29,35.33,34.65,34.72,279300
IFF,2006-06-16,34.76,35.39,34.7,35.2,400500
IFF,2006-06-19,34.44,34.78,34.04,34.77,460100
IFF,2006-06-20,34.1,34.45,34.06,34.21,262400
IFF,2006-06-21,34.88,35.08,33.85,34.05,403600
IFF,2006-06-22,34.81,34.99,34.66,34.82,240300
IFF,2006-06-23,34.77,35.14,34.62,34.7,215500
IFF,2006-06-26,34.99,35.15,34.75,34.77,157700
IFF,2006-06-27,34.9,35.13,34.7,35.0,237800
IFF,2006-06-28,34.72,35.14,34.52,34.97,348400
IFF,2006-06-29,35.54,35.6,34.78,34.8,223000
IFF,2006-06-30,35.24,35.63,35.24,35.56,307500
IFF,2006-07-03,35.33,35.41,35.22,35.33,95600
IFF,2006-07-04,35.33,35.41,35.22,35.33,0
IFF,2006-07-05,35.03,35.21,34.88,35.2,180100
IFF,2006-07-06,34.72,35.1,34.55,35.04,402400
IFF,2006-07-07,34.65,34.95,34.46,34.73,219100
IFF,2006-07-10,34.88,35.02,34.52,34.65,156700
IFF,2006-07-11,34.93,34.98,34.58,34.8,143900
IFF,2006-07-12,34.63,35.12,34.53,34.94,220400
IFF,2006-07-13,34.74,35.04,34.51,34.65,384300
IFF,2006-07-14,34.58,34.77,34.35,34.72,323100
IFF,2006-07-17,34.58,34.78,34.46,34.49,244200
IFF,2006-07-18,34.79,34.87,34.56,34.59,214100
IFF,2006-07-19,35.24,35.33,34.6,34.87,417400
IFF,2006-07-20,34.6,35.43,34.56,35.2,248700
IFF,2006-07-21,34.53,34.73,34.32,34.73,277200
IFF,2006-07-24,34.99,35.07,34.57,34.65,211500
IFF,2006-07-25,35.25,35.32,34.75,35.03,263700
IFF,2006-07-26,37.01,37.5,35.25,35.25,1164600
IFF,2006-07-27,36.76,37.16,36.25,37.02,365300
IFF,2006-07-28,36.95,37.42,36.76,36.76,458600
IFF,2006-07-31,37.0,37.19,36.79,36.95,497500
IFF,2006-08-01,36.8,36.98,36.68,36.8,278000
IFF,2006-08-02,37.14,37.5,36.7,36.79,335700
IFF,2006-08-03,37.3,37.4,36.85,37.14,329100
IFF,2006-08-04,37.42,37.67,37.06,37.5,336300
IFF,2006-08-07,37.92,37.95,37.27,37.43,489300
IFF,2006-08-08,37.81,38.28,37.77,38.0,563600
IFF,2006-08-09,37.65,38.07,37.55,38.05,309300
IFF,2006-08-10,38.33,38.4,37.6,37.66,575100
IFF,2006-08-11,38.47,38.5,38.11,38.2,561600
IFF,2006-08-14,37.54,38.97,37.45,38.97,785100
IFF,2006-08-15,38.31,38.5,37.73,37.75,695000
IFF,2006-08-16,38.55,38.72,38.2,38.43,364300
IFF,2006-08-17,38.61,38.78,38.25,38.32,427000
IFF,2006-08-18,38.77,38.9252,38.4,38.66,369300
IFF,2006-08-21,38.66,38.87,38.36,38.57,520400
IFF,2006-08-22,38.78,38.89,38.41,38.58,375100
IFF,2006-08-23,38.34,38.71,38.26,38.7,364600
IFF,2006-08-24,38.64,38.74,38.25,38.28,382500
IFF,2006-08-25,38.56,38.76,38.35,38.5,412500
IFF,2006-08-28,38.78,39.11,38.3001,38.47,631000
IFF,2006-08-29,39.18,39.3,38.46,38.7,550000
IFF,2006-08-30,39.35,39.52,39.28,39.3,508300
IFF,2006-08-31,39.77,39.87,39.33,39.34,695100
IFF,2006-09-01,39.56,39.96,39.39,39.77,415100
IFF,2006-09-04,39.56,39.96,39.39,39.77,0
IFF,2006-09-05,39.53,39.65,39.2,39.49,374800
IFF,2006-09-06,39.05,39.53,38.88,39.52,602600
IFF,2006-09-07,38.65,39.11,38.53,39.09,405000
IFF,2006-09-08,39.0,39.16,38.57,38.66,307300
IFF,2006-09-11,38.69,39.05,38.4,39.0,352900
IFF,2006-09-12,39.13,39.25,38.57,38.75,852900
IFF,2006-09-13,39.24,39.49,38.96,39.05,410500
IFF,2006-09-14,39.32,39.58,39.08,39.2,412800
IFF,2006-09-15,39.75,39.85,39.32,39.6,377800
IFF,2006-09-18,39.34,39.81,39.25,39.65,394200
IFF,2006-09-19,39.43,39.52,38.86,39.11,397900
IFF,2006-09-20,39.43,39.8,39.08,39.45,345200
IFF,2006-09-21,39.03,39.64,39.03,39.47,270800
IFF,2006-09-22,38.99,39.3,38.95,39.09,220000
