Symbol,Date,Close,High,Low,Open,Volume
ILMN,2006-01-02,7.05,7.25,6.98,7.25,0
ILMN,2006-01-03,7.405,7.405,6.875,7.125,881506
ILMN,2006-01-04,7.795,7.795,7.405,7.405,911986
ILMN,2006-01-05,7.74,7.8,7.63,7.64,359226
ILMN,2006-01-06,8.23,8.27,7.635,7.78,1213472
ILMN,2006-01-09,8.115,8.37,8.065,8.18,343340
ILMN,2006-01-10,8.36,8.475,8.05,8.075,734238
ILMN,2006-01-11,8.865,8.87,8.4,8.445,1408694
ILMN,2006-01-12,9.56,9.7,8.794,8.795,1983702
ILMN,2006-01-13,9.485,9.565,9.175,9.495,912504
ILMN,2006-01-16,9.485,9.565,9.175,9.495,0
ILMN,2006-01-17,9.64,9.64,9.275,9.405,784404
ILMN,2006-01-18,9.755,9.79,9.4455,9.6,1467742
ILMN,2006-01-19,9.88,10.0,9.755,9.9,1263088
ILMN,2006-01-20,9.92,10.045,9.825,9.935,976460
ILMN,2006-01-23,10.015,10.05,9.785,9.845,947758
ILMN,2006-01-24,10.075,10.1,9.905,10.035,841084
ILMN,2006-01-25,9.965,10.195,9.815,10.075,686748
ILMN,2006-01-26,9.975,10.08,9.795,9.955,803626
ILMN,2006-01-27,10.215,10.3,9.92,10.0,988112
ILMN,2006-01-30,10.51,10.51,10.29,10.29,1002205
ILMN,2006-01-31,10.72,11.02,10.445,10.475,2600728
ILMN,2006-02-01,10.715,10.745,10.425,10.625,2280050
ILMN,2006-02-02,11.215,11.215,10.555,10.555,1058018
ILMN,2006-02-03,11.53,11.53,11.04,11.04,981762
ILMN,2006-02-06,11.05,11.225,10.4,11.1,1288956
ILMN,2006-02-07,10.945,11.21,10.68,11.015,656428
ILMN,2006-02-08,10.43,10.975,10.325,10.92,1435472
ILMN,2006-02-09,10.455,10.65,10.395,10.435,649886
ILMN,2006-02-10,10.59,10.625,9.95,10.485,1178752
ILMN,2006-02-13,10.655,10.69,10.375,10.375,766980
ILMN,2006-02-14,11.1,11.25,10.65,10.675,1474316
ILMN,2006-02-15,11.51,11.51,10.964,11.11,848134
ILMN,2006-02-16,12.105,12.19,11.515,11.575,1564382
ILMN,2006-02-17,12.17,12.285,11.975,12.06,921096
ILMN,2006-02-20,12.17,12.285,11.975,12.06,0
ILMN,2006-02-21,12.045,12.25,11.06,11.44,1079810
ILMN,2006-02-22,12.48,12.48,12.0,12.0,765282
ILMN,2006-02-23,12.405,12.57,12.137,12.475,937556
ILMN,2006-02-24,12.535,12.625,12.33,12.435,1565926
ILMN,2006-02-27,12.6,12.7,12.445,12.535,1365576
ILMN,2006-02-28,12.715,12.89,11.825,12.525,2261064
ILMN,2006-03-01,13.0,13.22,12.74,12.79,938288
ILMN,2006-03-02,13.08,13.09,12.505,13.0,837992
ILMN,2006-03-03,12.93,13.255,12.88,13.05,449004
ILMN,2006-03-06,13.03,13.03,12.79,12.91,587974
ILMN,2006-03-07,12.23,12.825,12.1868,12.74,1112258
ILMN,2006-03-08,12.495,12.595,11.775,12.025,1031358
ILMN,2006-03-09,12.5,12.67,12.48,12.48,776252
ILMN,2006-03-10,12.675,12.86,12.375,12.5,555042
ILMN,2006-03-13,12.775,13.175,12.705,12.74,842856
ILMN,2006-03-14,13.12,13.14,12.65,12.8,1463004
ILMN,2006-03-15,13.1,13.28,12.94,13.17,504623
ILMN,2006-03-16,12.755,13.1,12.645,13.035,1076458
ILMN,2006-03-17,12.675,12.91,12.65,12.76,1119218
ILMN,2006-03-20,12.525,12.81,12.29,12.76,990020
ILMN,2006-03-21,12.53,12.875,12.33,12.455,1192090
ILMN,2006-03-22,12.905,12.93,12.125,12.485,723034
ILMN,2006-03-23,12.94,12.97,12.345,12.93,720466
ILMN,2006-03-24,13.425,13.45,12.945,12.965,938570
ILMN,2006-03-27,13.46,13.545,13.28,13.45,582526
ILMN,2006-03-28,13.52,13.59,13.365,13.4,449918
ILMN,2006-03-29,13.8,13.99,13.47,13.5,1660574
ILMN,2006-03-30,13.24,13.8,13.065,13.565,795172
ILMN,2006-03-31,11.875,13.24,11.84,13.16,3172944
ILMN,2006-04-03,11.69,12.185,11.33,11.85,1880368
ILMN,2006-04-04,11.975,11.975,11.71,11.71,715340
ILMN,2006-04-05,11.81,12.125,11.465,11.905,646518
ILMN,2006-04-06,11.04,11.855,10.8,11.815,1505614
ILMN,2006-04-07,12.975,13.12,11.925,12.0,5990602
ILMN,2006-04-10,12.9,13.21,12.505,12.945,2541286
ILMN,2006-04-11,12.47,12.96,12.15,12.88,1677732
ILMN,2006-04-12,12.515,12.705,12.425,12.525,703216
ILMN,2006-04-13,12.39,12.54,12.1575,12.415,538404
ILMN,2006-04-14,12.39,12.54,12.1575,12.415,0
ILMN,2006-04-17,12.53,12.755,12.405,12.5,637368
ILMN,2006-04-18,12.875,12.92,12.585,12.625,1102498
ILMN,2006-04-19,14.88,15.04,13.865,14.525,6814182
ILMN,2006-04-20,14.65,14.955,14.395,14.85,1353616
ILMN,2006-04-21,15.435,16.0,14.655,14.75,3800076
ILMN,2006-04-24,15.275,15.305,14.65,15.305,1050954
ILMN,2006-04-25,14.76,15.25,14.68,15.24,629782
ILMN,2006-04-26,15.345,15.4,14.22,14.56,1257510
ILMN,2006-04-27,15.61,15.99,15.2,15.32,1390162
ILMN,2006-04-28,15.815,16.0,15.36,15.75,1426072
ILMN,2006-05-01,15.205,15.975,15.14,15.91,1088464
ILMN,2006-05-02,15.255,15.61,14.92,15.365,911410
ILMN,2006-05-03,14.955,15.5,14.81,15.375,735084
ILMN,2006-05-04,14.815,15.005,14.665,15.005,726752
ILMN,2006-05-05,15.225,15.435,14.875,14.945,774434
ILMN,2006-05-08,14.775,15.5,14.68,15.26,588402
ILMN,2006-05-09,14.455,14.95,14.34,14.81,622112
ILMN,2006-05-10,14.75,15.62,14.7,14.86,1779306
ILMN,2006-05-11,14.205,14.985,14.09,14.835,1326282
ILMN,2006-05-12,13.43,14.04,13.385,13.925,1724780
ILMN,2006-05-15,14.0,14.0,13.385,13.385,1822672
ILMN,2006-05-16,14.005,14.365,13.92,14.125,765572
ILMN,2006-05-17,13.47,13.95,13.4,13.825,1012096
ILMN,2006-05-18,12.95,13.715,12.885,13.44,1142474
ILMN,2006-05-19,13.345,13.875,12.695,12.755,3815054
ILMN,2006-05-22,13.135,13.335,12.695,13.21,1128478
