Symbol,Date,Close,High,Low,Open,Volume
INCY,2006-01-02,5.34,5.45,5.28,5.36,0
INCY,2006-01-03,5.34,5.4,5.15,5.32,565553
INCY,2006-01-04,5.3,5.45,5.29,5.33,454254
INCY,2006-01-05,5.35,5.53,5.2699,5.34,949601
INCY,2006-01-06,5.56,5.56,5.345,5.345,1097856
INCY,2006-01-09,5.52,5.63,5.481,5.56,814155
INCY,2006-01-10,5.5,5.6,5.45,5.53,875256
INCY,2006-01-11,5.58,5.63,5.388,5.53,750008
INCY,2006-01-12,5.5,5.62,5.43,5.58,742094
INCY,2006-01-13,5.46,5.58,5.44,5.55,507086
INCY,2006-01-16,5.46,5.58,5.44,5.55,0
INCY,2006-01-17,5.31,5.51,5.3,5.46,382190
INCY,2006-01-18,5.31,5.35,5.2,5.2,513279
INCY,2006-01-19,5.22,5.34,5.2,5.34,1096903
INCY,2006-01-20,5.16,5.35,5.11,5.26,620259
INCY,2006-01-23,5.15,5.23,5.1,5.2,423654
INCY,2006-01-24,5.09,5.25,5.02,5.17,497387
INCY,2006-01-25,5.12,5.12,5.04,5.07,641622
INCY,2006-01-26,5.12,5.12,5.07,5.11,575867
INCY,2006-01-27,5.13,5.27,5.05,5.05,497335
INCY,2006-01-30,5.14,5.14,5.06,5.11,291482
INCY,2006-01-31,5.09,5.12,5.01,5.04,412207
INCY,2006-02-01,5.11,5.16,5.01,5.06,646152
INCY,2006-02-02,5.43,5.51,5.15,5.15,1620173
INCY,2006-02-03,5.37,5.43,5.28,5.42,547379
INCY,2006-02-06,5.43,5.47,5.32,5.4,700690
INCY,2006-02-07,5.24,5.48,5.22,5.43,739445
INCY,2006-02-08,5.17,5.29,5.12,5.29,357823
INCY,2006-02-09,5.27,5.27,5.17,5.2,372486
INCY,2006-02-10,5.3,5.3,5.17,5.17,325170
INCY,2006-02-13,5.15,5.43,5.12,5.25,604304
INCY,2006-02-14,5.26,5.34,5.15,5.15,273455
INCY,2006-02-15,5.37,5.4,5.24,5.25,270008
INCY,2006-02-16,5.38,5.396,5.18,5.32,729215
INCY,2006-02-17,5.75,5.79,5.33,5.35,1196961
INCY,2006-02-20,5.75,5.79,5.33,5.35,0
