Symbol,Date,Close,High,Low,Open,Volume
INTU,2006-01-02,26.65,26.99,26.64,26.72,0
INTU,2006-01-03,27.04,27.205,25.935,26.625,4034718
INTU,2006-01-04,27.08,27.08,26.785,26.825,3093568
INTU,2006-01-05,26.68,27.08,26.6,27.05,3028734
INTU,2006-01-06,26.976,26.976,26.77,26.77,3828918
INTU,2006-01-09,26.57,26.895,26.465,26.875,2954632
INTU,2006-01-10,26.51,26.81,26.28,26.385,2837956
INTU,2006-01-11,26.5,26.5,26.3,26.5,3931270
INTU,2006-01-12,26.165,26.42,25.985,25.99,2476184
INTU,2006-01-13,25.905,26.2,25.6,26.2,4025742
INTU,2006-01-16,25.905,26.2,25.6,26.2,0
INTU,2006-01-17,26.29,26.29,25.78,25.78,3072660
INTU,2006-01-18,26.26,26.4,25.85,25.965,3157924
INTU,2006-01-19,26.535,26.72,26.15,26.23,2396088
INTU,2006-01-20,25.78,26.625,25.755,26.4,3473354
INTU,2006-01-23,25.555,25.935,25.505,25.725,2620636
INTU,2006-01-24,25.745,25.84,25.314,25.605,2529272
INTU,2006-01-25,25.675,25.93,25.445,25.625,2671126
INTU,2006-01-26,26.125,26.3,25.815,25.95,2777784
INTU,2006-01-27,26.115,26.67,26.11,26.145,2461050
INTU,2006-01-30,26.635,26.635,26.125,26.3,1914272
INTU,2006-01-31,26.165,26.565,25.805,26.285,3008388
INTU,2006-02-01,26.375,26.46,25.87,26.07,1967712
INTU,2006-02-02,26.115,26.395,25.695,26.29,2156796
INTU,2006-02-03,25.55,26.09,25.51,26.09,2481150
INTU,2006-02-06,25.765,25.975,25.48,25.5,1949260
INTU,2006-02-07,25.495,25.915,25.375,25.735,3417870
INTU,2006-02-08,25.535,25.71,25.28,25.68,3013302
INTU,2006-02-09,25.79,26.255,25.685,25.7,3681156
INTU,2006-02-10,26.225,26.365,25.59,25.79,3725768
INTU,2006-02-13,26.55,26.55,26.225,26.225,3146368
INTU,2006-02-14,26.75,27.61,26.65,26.705,5185932
INTU,2006-02-15,26.97,27.035,26.585,26.595,3172952
INTU,2006-02-16,27.4,27.4585,26.78,27.045,3556056
INTU,2006-02-17,24.625,26.045,24.45,26.0,13567314
INTU,2006-02-20,24.625,26.045,24.45,26.0,0
INTU,2006-02-21,24.305,24.99,24.265,24.745,3336912
INTU,2006-02-22,24.54,24.705,24.155,24.37,3103626
INTU,2006-02-23,24.285,24.59,24.25,24.4975,2640806
INTU,2006-02-24,24.295,24.445,24.125,24.325,2173942
INTU,2006-02-27,24.73,25.525,24.15,24.235,4908072
INTU,2006-02-28,24.305,24.725,24.11,24.685,2805848
INTU,2006-03-01,24.475,24.695,24.185,24.295,2933068
INTU,2006-03-02,24.21,24.535,24.075,24.435,3046934
INTU,2006-03-03,24.295,24.725,23.99,24.09,3031354
INTU,2006-03-06,24.295,24.41,24.145,24.3125,3971966
INTU,2006-03-07,24.44,24.525,24.2,24.2525,3573772
INTU,2006-03-08,24.255,24.725,24.245,24.475,3109466
INTU,2006-03-09,25.865,26.375,25.155,25.27,7677674
INTU,2006-03-10,26.38,26.455,25.8,25.975,5022270
