Symbol,Date,Close,High,Low,Open,Volume
IP,2006-01-02,33.1352,33.6183,32.9183,33.4704,0
IP,2006-01-03,33.0169,33.5591,32.6423,33.5591,2825616
IP,2006-01-04,33.2732,33.3028,32.9282,32.9676,2082214
IP,2006-01-05,33.1648,33.1648,32.9282,33.0958,1526057
IP,2006-01-06,33.6972,33.7662,33.1253,33.3225,2050161
IP,2006-01-09,33.431,33.9831,33.2141,33.9831,2427796
IP,2006-01-10,33.7662,33.8352,32.9085,33.2437,1711680
IP,2006-01-11,33.5493,34.0915,33.5,33.8845,1616434
IP,2006-01-12,32.9282,33.5098,32.9282,33.4211,1513074
IP,2006-01-13,32.7803,32.9972,32.4155,32.9085,1693219
IP,2006-01-16,32.7803,32.9972,32.4155,32.9085,0
IP,2006-01-17,32.8099,32.8592,32.3859,32.4845,1676584
IP,2006-01-18,32.5319,32.7211,32.169,32.6324,1513277
IP,2006-01-19,32.1493,32.4648,31.9423,31.9423,1806925
IP,2006-01-20,31.8043,32.9282,31.6465,32.9282,3231145
IP,2006-01-23,32.1986,32.2479,31.9226,31.9423,4363947
IP,2006-01-24,31.9522,32.524,31.9522,32.2381,3075141
IP,2006-01-25,32.0902,32.1986,31.7451,31.962,3388163
IP,2006-01-26,32.2085,32.2874,32.0507,32.1888,3941783
IP,2006-01-27,32.2479,32.3662,32.0902,32.169,1476558
IP,2006-01-30,32.4747,32.5634,32.0606,32.1493,2240652
IP,2006-01-31,32.169,32.4254,32.1395,32.4057,1961306
IP,2006-02-01,32.5733,32.6718,32.1296,32.1395,4158038
IP,2006-02-02,32.455,32.9676,32.1395,32.9282,5501010
IP,2006-02-03,32.0409,32.4254,31.9246,32.2874,3543862
IP,2006-02-06,32.2676,32.3071,31.824,31.9029,2037381
IP,2006-02-07,31.9423,32.2775,31.8141,32.169,2510870
IP,2006-02-08,31.7846,32.1,31.6564,32.1,2908385
IP,2006-02-09,31.893,32.0507,31.7658,31.7846,2126337
IP,2006-02-10,32.1986,32.2272,31.755,31.9029,2621736
IP,2006-02-13,32.2381,32.2676,32.0113,32.1395,2528722
IP,2006-02-14,33.1352,33.1549,32.1986,32.2676,4401072
IP,2006-02-15,33.1746,33.2732,32.7014,32.8887,2856959
IP,2006-02-16,33.2338,33.3718,33.0169,33.3718,1957959
IP,2006-02-17,32.9972,33.3225,32.8789,33.2338,1980071
IP,2006-02-20,32.9972,33.3225,32.8789,33.2338,0
IP,2006-02-21,32.8,32.9479,32.5634,32.9282,1270548
IP,2006-02-22,33.1944,33.2437,32.8197,32.9282,1449881
IP,2006-02-23,33.2535,33.5591,32.9577,33.1746,1454649
IP,2006-02-24,32.9676,33.2634,32.7606,33.1944,2659469
IP,2006-02-27,32.8,33.4408,32.6718,33.0662,1792725
IP,2006-02-28,32.3071,33.0169,32.1493,32.9577,2758163
IP,2006-03-01,32.4352,32.4352,32.2479,32.2479,3038219
IP,2006-03-02,32.3564,32.593,32.1395,32.2381,2307395
IP,2006-03-03,32.1395,32.4845,32.0113,32.3465,1299761
IP,2006-03-06,32.2381,32.4254,31.962,32.2578,1787146
IP,2006-03-07,31.9226,32.2381,31.6663,32.0113,2512188
IP,2006-03-08,32.593,32.6423,32.0212,32.0409,3946449
IP,2006-03-09,32.7704,32.9282,32.6127,32.6127,4031552
IP,2006-03-10,33.7267,33.8943,33.0563,33.4704,4092310
IP,2006-03-13,34.1605,34.5253,33.845,33.9239,3407638
IP,2006-03-14,34.683,34.821,33.9732,34.1112,2745281
IP,2006-03-15,35.4126,35.4816,34.7225,34.7915,3513432
IP,2006-03-16,35.0675,35.8759,34.821,35.521,2471311
IP,2006-03-17,34.7126,35.383,34.6436,35.3534,3379338
IP,2006-03-20,34.6337,34.821,34.2788,34.6042,2032715
IP,2006-03-21,34.0225,34.9591,33.914,34.6042,2390469
IP,2006-03-22,33.9633,34.1507,33.2239,33.3718,3507448
IP,2006-03-23,33.7859,34.1112,33.6774,34.0324,2004719
IP,2006-03-24,33.9436,34.0816,33.7859,33.8845,1646864
IP,2006-03-27,34.407,34.5549,33.776,33.8549,2174721
IP,2006-03-28,33.8845,34.476,33.776,34.476,2204339
IP,2006-03-29,34.0915,34.2788,33.8155,33.8155,1984838
IP,2006-03-30,34.1507,34.4168,33.8549,34.0126,2185980
IP,2006-03-31,34.0816,34.2985,33.845,34.0718,2168432
IP,2006-04-03,34.2295,34.7816,34.0619,34.1999,3492030
IP,2006-04-04,34.407,35.383,34.3183,35.245,7774324
IP,2006-04-05,33.8549,34.407,33.2437,34.2591,4130144
IP,2006-04-06,34.0324,34.1507,33.6281,33.7464,3711328
IP,2006-04-07,33.914,34.2394,33.8746,33.9732,1871234
IP,2006-04-10,33.5197,33.914,33.4803,33.8746,2779362
IP,2006-04-11,33.9831,34.9098,33.9436,34.6042,3844408
IP,2006-04-12,33.8352,34.1309,33.6676,34.0225,1603958
IP,2006-04-13,33.9929,34.1112,33.5493,33.9042,1522812
IP,2006-04-14,33.9929,34.1112,33.5493,33.9042,0
IP,2006-04-17,34.3183,34.545,34.0422,34.0915,1624752
IP,2006-04-18,35.6985,35.7675,34.5056,34.5154,4347616
IP,2006-04-19,36.6745,36.8519,35.3929,35.6393,7356522
IP,2006-04-20,36.921,37.1871,36.497,36.6745,3808196
IP,2006-04-21,36.6548,37.1773,36.4675,37.1674,2666163
IP,2006-04-24,37.0787,37.2069,36.5365,36.5562,2601551
IP,2006-04-25,36.2111,37.2364,35.9055,37.2167,3482394
IP,2006-04-26,36.2308,36.3886,35.8562,36.2801,3320101
IP,2006-04-27,35.6196,36.2111,35.4619,36.2013,2910718
IP,2006-04-28,35.8365,35.9449,35.2943,35.5703,2666569
IP,2006-05-01,35.7576,36.3097,35.659,35.8266,2002894
IP,2006-05-02,36.4379,36.4773,35.7182,35.7773,2087184
IP,2006-05-03,36.5365,36.8717,36.4773,36.5759,3620140
IP,2006-05-04,36.4477,36.921,36.2506,36.9012,4299030
IP,2006-05-05,36.9111,36.9703,36.6055,36.6745,4863504
IP,2006-05-08,37.0491,37.0491,36.6646,36.9407,1785827
IP,2006-05-09,37.059,37.4435,36.8717,36.9505,2107674
IP,2006-05-10,36.4182,36.9703,36.3492,36.921,1845267
IP,2006-05-11,35.1661,36.5759,34.8999,36.4872,3907093
IP,2006-05-12,34.1112,35.176,34.0225,35.176,3378729
IP,2006-05-15,34.3183,34.5253,33.6774,34.1605,2705722
IP,2006-05-16,33.8253,34.4859,33.6972,34.4859,2067303
IP,2006-05-17,32.8394,33.569,32.6127,33.3817,2396960
IP,2006-05-18,32.5535,33.1253,32.4747,32.9775,2141451
IP,2006-05-19,33.2338,33.7464,32.9282,32.9282,3360269
IP,2006-05-22,32.9873,33.2239,32.5338,33.1549,2063753
IP,2006-05-23,32.4057,33.7859,32.3859,33.1352,2185878
IP,2006-05-24,31.9522,32.4057,31.5282,32.4057,3702909
IP,2006-05-25,32.5338,32.662,32.169,32.2085,2502045
IP,2006-05-26,33.4408,33.5,32.8394,32.9775,1995793
IP,2006-05-29,33.4408,33.5,32.8394,32.9775,0
IP,2006-05-30,32.5141,33.3718,32.5141,33.0169,2011921
IP,2006-05-31,33.5,33.5,32.5831,32.5831,2532069
IP,2006-06-01,33.5788,33.5986,33.3028,33.3817,2016283
IP,2006-06-02,33.3324,33.5197,32.8,33.5197,1905721
IP,2006-06-05,32.7409,33.707,32.6817,33.4704,2462689
IP,2006-06-06,32.2874,33.4408,32.1198,33.4211,3270602
IP,2006-06-07,31.5282,32.2972,31.5282,32.2972,3041972
IP,2006-06-08,32.1592,32.2775,30.8184,31.5282,2921673
IP,2006-06-09,31.7254,32.2282,31.5775,32.0902,1407584
IP,2006-06-12,31.124,31.8339,31.124,31.617,1440144
IP,2006-06-13,30.3649,31.3113,30.2565,31.2029,2897227
IP,2006-06-14,30.7691,30.779,30.3649,30.4142,2188921
IP,2006-06-15,31.4888,31.6761,31.0156,31.055,3430359
IP,2006-06-16,31.3212,31.5381,31.0747,31.4888,2597899
IP,2006-06-19,30.7297,31.3606,30.5719,31.2719,1790594
IP,2006-06-20,31.055,31.2719,30.6607,30.8874,1846484
IP,2006-06-21,31.7747,31.8831,30.986,30.986,2091850
IP,2006-06-22,31.7648,31.9916,31.4987,31.6761,1973174
IP,2006-06-23,31.3113,31.6663,31.2029,31.5972,1487107
IP,2006-06-26,31.5775,31.6761,31.3015,31.3015,1078333
IP,2006-06-27,30.7297,31.893,30.6508,31.4592,3245548
IP,2006-06-28,30.8381,30.9959,30.6311,30.9367,2100066
IP,2006-06-29,31.5085,31.5479,31.055,31.0944,2935569
IP,2006-06-30,31.8437,32.2183,31.617,31.6761,3774115
IP,2006-07-03,32.1986,32.2381,31.9817,32.0606,831039
IP,2006-07-04,32.1986,32.2381,31.9817,32.0606,0
IP,2006-07-05,32.1789,32.4057,31.6958,32.1986,2059595
IP,2006-07-06,32.4944,32.593,32.0507,32.1493,1771627
IP,2006-07-07,32.2874,32.4944,32.0409,32.2775,1646661
IP,2006-07-10,32.2479,32.7803,32.1395,32.5338,1182809
IP,2006-07-11,32.1493,32.1986,31.3212,32.1296,1695146
IP,2006-07-12,31.6663,32.4648,31.4296,32.2775,1214354
