Symbol,Date,Close,High,Low,Open,Volume
IPG,2006-01-02,9.65,9.7,9.48,9.6,0
IPG,2006-01-03,9.73,9.74,9.55,9.66,1865900
IPG,2006-01-04,9.86,9.96,9.702,9.73,4342500
IPG,2006-01-05,10.06,10.08,9.83,9.83,3386000
IPG,2006-01-06,10.22,10.36,10.15,10.29,5688900
IPG,2006-01-09,10.22,10.35,10.21,10.32,2577100
IPG,2006-01-10,10.0,10.2,9.89,10.16,5900300
IPG,2006-01-11,10.02,10.08,9.96,10.03,6634100
IPG,2006-01-12,9.96,10.03,9.9,10.0,1491600
IPG,2006-01-13,10.0,10.05,9.86,10.01,2274300
IPG,2006-01-16,10.0,10.05,9.86,10.01,0
IPG,2006-01-17,9.95,10.02,9.9,9.9,2307300
IPG,2006-01-18,10.0,10.02,9.9,9.91,1868900
IPG,2006-01-19,10.11,10.12,9.95,10.0,1963500
IPG,2006-01-20,9.84,10.07,9.83,10.02,3314000
IPG,2006-01-23,9.98,9.99,9.84,9.84,2083400
IPG,2006-01-24,10.15,10.16,9.98,9.98,4729600
IPG,2006-01-25,10.21,10.21,9.95,10.14,1664000
IPG,2006-01-26,10.33,10.37,10.25,10.3,2489900
IPG,2006-01-27,10.21,10.45,10.02,10.02,3521500
IPG,2006-01-30,10.13,10.26,10.09,10.25,2653700
IPG,2006-01-31,10.1,10.19,9.96,10.09,3046300
IPG,2006-02-01,10.16,10.18,10.01,10.08,1284400
IPG,2006-02-02,9.92,10.18,9.89,10.18,2729500
IPG,2006-02-03,9.86,9.89,9.73,9.82,2751900
IPG,2006-02-06,9.9,9.97,9.83,9.94,3116100
IPG,2006-02-07,9.86,9.94,9.8,9.88,1968200
IPG,2006-02-08,10.0,10.01,9.8,9.88,1879600
IPG,2006-02-09,9.99,10.08,9.97,9.99,2483700
IPG,2006-02-10,9.99,10.05,9.91,9.97,1234600
IPG,2006-02-13,10.08,10.08,9.95,10.01,1283200
IPG,2006-02-14,10.1,10.24,9.97,10.05,1186900
IPG,2006-02-15,10.05,10.2,9.99,10.1,2172400
IPG,2006-02-16,10.0,10.1,9.97,10.04,1216200
IPG,2006-02-17,10.02,10.05,9.96,10.0,1294200
IPG,2006-02-20,10.02,10.05,9.96,10.0,0
IPG,2006-02-21,9.9,10.19,9.87,10.09,1409700
IPG,2006-02-22,10.01,10.07,9.93,9.98,906400
IPG,2006-02-23,10.29,10.31,9.9,10.0,2256000
IPG,2006-02-24,10.51,10.54,10.22,10.33,8026400
IPG,2006-02-27,10.56,10.65,10.48,10.59,1974400
IPG,2006-02-28,10.36,10.55,10.34,10.52,1238500
IPG,2006-03-01,10.48,10.52,10.36,10.36,3481900
IPG,2006-03-02,10.45,10.47,10.25,10.4,2766100
IPG,2006-03-03,10.26,10.39,10.15,10.38,1749600
IPG,2006-03-06,10.1,10.3,10.09,10.24,1180600
IPG,2006-03-07,10.1,10.12,10.02,10.11,1222800
IPG,2006-03-08,10.02,10.09,9.95,10.05,2831200
IPG,2006-03-09,9.91,10.02,9.9,10.01,2509000
IPG,2006-03-10,10.1,10.11,9.89,9.92,8605200
IPG,2006-03-13,10.03,10.24,9.98,10.17,4086900
IPG,2006-03-14,10.03,10.06,9.92,9.98,4170800
IPG,2006-03-15,10.27,10.32,10.0,10.0,2166300
IPG,2006-03-16,10.11,10.24,9.94,10.24,3811700
IPG,2006-03-17,10.11,10.21,9.97,10.21,2640700
IPG,2006-03-20,10.24,10.26,10.09,10.11,1413100
IPG,2006-03-21,9.86,10.32,9.73,10.25,5545200
IPG,2006-03-22,10.43,10.71,9.92,9.92,6489600
IPG,2006-03-23,10.28,10.35,10.21,10.31,3270100
IPG,2006-03-24,10.44,10.45,10.21,10.24,2184900
IPG,2006-03-27,10.05,10.37,10.05,10.35,2430200
IPG,2006-03-28,9.91,10.06,9.73,10.01,4677500
IPG,2006-03-29,9.79,9.95,9.72,9.91,2204200
IPG,2006-03-30,9.51,9.81,9.5,9.71,4410800
IPG,2006-03-31,9.56,9.62,9.48,9.5,2640300
IPG,2006-04-03,9.72,9.8,9.61,9.72,2376200
IPG,2006-04-04,9.65,9.69,9.57,9.69,2685300
IPG,2006-04-05,9.54,9.63,9.49,9.62,5438100
IPG,2006-04-06,9.58,9.59,9.48,9.54,1576800
IPG,2006-04-07,9.45,9.6,9.37,9.48,2224900
IPG,2006-04-10,9.49,9.5,9.39,9.43,1414800
IPG,2006-04-11,9.51,9.59,9.49,9.59,1732100
IPG,2006-04-12,9.46,9.5,9.43,9.5,3302000
IPG,2006-04-13,9.41,9.46,9.39,9.46,2218800
IPG,2006-04-14,9.41,9.46,9.39,9.46,0
IPG,2006-04-17,9.34,9.42,9.31,9.42,2346200
