Symbol,Date,Close,High,Low,Open,Volume
IPGP,2006-12-13,25.88,26.06,21.61,25.0,10769173
IPGP,2006-12-14,25.15,26.0,24.51,25.66,997055
IPGP,2006-12-15,24.6,26.0,24.11,25.24,1012586
IPGP,2006-12-18,23.79,25.0,23.6,24.4,726710
IPGP,2006-12-19,23.1,23.99,22.5,23.58,1297839
IPGP,2006-12-20,25.0,25.47,23.05,23.2,495545
IPGP,2006-12-21,24.6,25.65,24.0,25.16,276968
IPGP,2006-12-22,24.02,25.0,23.71,24.59,222209
IPGP,2006-12-25,24.02,25.0,23.71,24.59,0
IPGP,2006-12-26,24.38,24.38,23.92,23.92,109465
IPGP,2006-12-27,24.08,24.25,23.91,24.25,91013
IPGP,2006-12-28,23.9999,24.12,23.51,23.9,62069
IPGP,2006-12-29,24.0,24.35,23.86,24.35,67696
IPGP,2007-01-01,24.0,24.35,23.86,24.35,0
IPGP,2007-01-02,24.0,24.35,23.86,24.35,0
IPGP,2007-01-03,24.09,24.29,23.7,23.83,193398
IPGP,2007-01-04,24.09,24.22,23.85,23.85,253311
IPGP,2007-01-05,25.24,25.24,23.91,23.91,192191
IPGP,2007-01-08,24.66,25.0,24.09,24.883,82297
IPGP,2007-01-09,25.7,25.75,24.19,24.49,119112
IPGP,2007-01-10,27.24,27.96,25.43,25.5,257307
IPGP,2007-01-11,26.8,27.5,26.54,27.5,188703
IPGP,2007-01-12,26.33,26.83,26.33,26.83,129073
IPGP,2007-01-15,26.33,26.83,26.33,26.83,0
IPGP,2007-01-16,25.12,26.3951,23.57,26.27,598405
IPGP,2007-01-17,26.02,26.16,24.58,25.15,118719
IPGP,2007-01-18,25.13,25.95,24.81,25.02,63880
IPGP,2007-01-19,25.37,25.37,24.95,24.95,81268
IPGP,2007-01-22,25.79,26.38,25.18,26.0,182785
IPGP,2007-01-23,25.37,26.1,25.35,26.06,87648
IPGP,2007-01-24,25.6,26.0,24.9,26.0,134893
IPGP,2007-01-25,25.44,25.9,25.17,25.9,31524
IPGP,2007-01-26,26.42,26.5,25.0,25.59,87581
IPGP,2007-01-29,27.04,27.2,26.5,26.55,95492
IPGP,2007-01-30,28.0,28.0,27.47,27.75,103879
IPGP,2007-01-31,26.41,27.37,26.32,27.325,135129
IPGP,2007-02-01,26.04,27.0,25.49,27.0,62121
IPGP,2007-02-02,26.41,26.98,25.78,25.85,36480
IPGP,2007-02-05,26.09,26.5,25.42,26.4,80646
IPGP,2007-02-06,25.88,26.1,25.75,26.09,47809
IPGP,2007-02-07,26.3,26.55,25.88,26.16,61070
IPGP,2007-02-08,26.3,26.46,26.01,26.46,39774
IPGP,2007-02-09,26.19,26.69,25.91,26.14,71255
IPGP,2007-02-12,25.6,26.29,25.34,26.29,110343
IPGP,2007-02-13,25.06,25.82,25.0,25.44,108621
IPGP,2007-02-14,25.5,25.5,25.0,25.0,35483
IPGP,2007-02-15,24.18,25.25,24.13,25.01,166641
IPGP,2007-02-16,25.0,25.0,24.23,24.23,29307
IPGP,2007-02-19,25.0,25.0,24.23,24.23,0
IPGP,2007-02-20,25.37,25.68,24.5801,25.06,137739
IPGP,2007-02-21,25.21,25.85,25.0,25.12,62452
IPGP,2007-02-22,25.0,25.2801,24.84,25.02,73187
IPGP,2007-02-23,24.52,25.0,24.45,25.0,67546
IPGP,2007-02-26,24.0,24.75,22.62,24.75,275254
IPGP,2007-02-27,23.05,23.56,22.89,23.25,342223
IPGP,2007-02-28,23.48,23.48,22.87,22.87,141552
IPGP,2007-03-01,22.46,23.25,22.0101,23.05,193473
IPGP,2007-03-02,23.82,24.25,22.11,22.4,159057
IPGP,2007-03-05,23.23,23.99,22.82,23.24,152725
IPGP,2007-03-06,21.45,22.6,19.51,22.46,1107997
IPGP,2007-03-07,20.38,21.4,19.6,21.2,608293
IPGP,2007-03-08,20.3,20.35,19.64,19.64,305548
IPGP,2007-03-09,19.9,20.3,19.37,19.98,210903
IPGP,2007-03-12,19.87,20.1,19.5,19.79,76413
IPGP,2007-03-13,19.8,20.09,19.65,19.8,119584
IPGP,2007-03-14,19.09,20.0,18.89,19.8,265286
IPGP,2007-03-15,18.02,19.22,17.92,18.94,482084
IPGP,2007-03-16,18.33,18.33,18.0,18.0,304110
IPGP,2007-03-19,18.85,18.85,18.03,18.03,231386
IPGP,2007-03-20,19.07,19.07,18.52,18.52,186868
IPGP,2007-03-21,19.2,19.2,19.05,19.1,216027
IPGP,2007-03-22,19.41,19.58,18.95,19.19,140956
IPGP,2007-03-23,19.94,20.43,19.34,19.49,114880
IPGP,2007-03-26,20.02,20.4,20.0,20.0,100689
IPGP,2007-03-27,20.02,20.4,19.95,20.05,77116
IPGP,2007-03-28,19.82,20.35,19.7,20.35,59373
IPGP,2007-03-29,19.38,20.13,19.35,19.68,48082
IPGP,2007-03-30,19.2,21.5,19.17,19.31,958683
IPGP,2007-04-02,18.89,19.56,18.57,19.2,193724
IPGP,2007-04-03,19.0,19.19,18.74,19.07,169906
IPGP,2007-04-04,18.88,19.15,18.66,19.15,64766
IPGP,2007-04-05,18.62,18.96,18.56,18.76,57522
IPGP,2007-04-06,18.62,18.96,18.56,18.76,0
IPGP,2007-04-09,18.99,19.22,18.4301,18.75,123750
IPGP,2007-04-10,19.22,19.37,19.01,19.01,76313
IPGP,2007-04-11,19.38,19.38,19.16,19.16,92333
IPGP,2007-04-12,19.4,19.5,19.19,19.3,81036
IPGP,2007-04-13,19.82,19.91,19.31,19.52,64588
IPGP,2007-04-16,20.53,20.68,19.72,20.0,52286
IPGP,2007-04-17,21.15,21.15,20.65,20.65,118565
IPGP,2007-04-18,20.73,21.71,20.7,21.47,48362
IPGP,2007-04-19,19.94,21.39,19.93,21.39,152115
IPGP,2007-04-20,19.75,20.4,19.6,20.25,100594
IPGP,2007-04-23,19.25,20.09,19.16,19.88,194990
IPGP,2007-04-24,19.63,19.86,19.25,19.59,76908
IPGP,2007-04-25,19.42,19.9,19.26,19.89,65524
IPGP,2007-04-26,18.17,19.46,17.9,19.45,367370
IPGP,2007-04-27,18.17,18.5,18.08,18.4,128862
IPGP,2007-04-30,18.19,18.29,18.01,18.17,115384
IPGP,2007-05-01,17.79,18.43,17.67,18.2,87085
IPGP,2007-05-02,18.1,18.1,17.9,17.9,75094
IPGP,2007-05-03,18.46,18.46,18.09,18.09,113464
IPGP,2007-05-04,19.64,19.75,18.45,18.53,175410
IPGP,2007-05-07,18.88,19.85,18.8,19.85,412760
IPGP,2007-05-08,19.53,20.49,19.0,19.97,265221
IPGP,2007-05-09,20.06,20.57,19.37,19.41,121119
IPGP,2007-05-10,19.3,20.01,19.24,20.01,129603
IPGP,2007-05-11,19.99,19.99,19.15,19.16,78955
IPGP,2007-05-14,20.03,20.09,19.73,20.09,84289
IPGP,2007-05-15,20.48,20.48,20.06,20.06,127932
IPGP,2007-05-16,20.27,20.67,19.93,20.4,82074
IPGP,2007-05-17,19.95,20.44,19.82,20.35,70445
IPGP,2007-05-18,20.29,20.31,19.5745,20.0,55687
IPGP,2007-05-21,20.73,20.85,19.86,20.42,56294
IPGP,2007-05-22,21.19,21.19,20.75,20.75,121746
IPGP,2007-05-23,21.6,21.78,21.12,21.12,181831
IPGP,2007-05-24,21.26,21.85,21.07,21.79,122546
IPGP,2007-05-25,20.35,21.88,20.27,21.88,186196
IPGP,2007-05-28,20.35,21.88,20.27,21.88,0
IPGP,2007-05-29,20.21,21.2,19.94,20.38,169159
IPGP,2007-05-30,20.69,20.79,19.99,20.01,194395
IPGP,2007-05-31,22.43,22.43,20.25,20.25,370259
IPGP,2007-06-01,22.98,23.44,22.41,22.76,287037
IPGP,2007-06-04,23.46,23.47,22.65,22.9,126989
IPGP,2007-06-05,23.09,23.94,22.308,23.19,127594
IPGP,2007-06-06,22.56,22.86,21.65,22.86,101077
IPGP,2007-06-07,22.36,23.0,22.21,22.72,384158
IPGP,2007-06-08,21.5,22.31,21.35,22.18,134902
IPGP,2007-06-11,20.49,21.43,20.26,21.24,286046
IPGP,2007-06-12,20.35,21.0,19.96,20.1,201945
IPGP,2007-06-13,20.76,20.95,20.29,20.29,49951
IPGP,2007-06-14,20.97,20.97,20.29,20.55,76113
IPGP,2007-06-15,21.05,21.2,20.61,21.02,264342
IPGP,2007-06-18,21.23,21.23,21.19,21.23,128758
IPGP,2007-06-19,21.14,21.23,20.87,21.14,88937
IPGP,2007-06-20,21.3,21.45,21.13,21.2,146012
IPGP,2007-06-21,21.37,21.37,21.01,21.16,81094
IPGP,2007-06-22,21.25,21.39,20.85,21.28,330798
IPGP,2007-06-25,20.78,21.57,20.61,21.25,190027
IPGP,2007-06-26,20.46,20.78,20.1,20.78,151700
IPGP,2007-06-27,20.32,20.55,20.1,20.25,238025
IPGP,2007-06-28,20.26,20.35,20.07,20.35,144013
IPGP,2007-06-29,19.98,20.3,19.9,20.15,92015
IPGP,2007-07-02,19.39,20.07,19.2,20.04,185870
IPGP,2007-07-03,19.23,19.47,18.92,19.37,41060
