Symbol,Date,Close,High,Low,Open,Volume
ISRG,2006-01-02,39.09,39.53,38.7767,39.3333,0
ISRG,2006-01-03,38.6,39.63,37.63,39.63,4394163
ISRG,2006-01-04,40.6867,40.6933,38.6667,38.7433,3537564
ISRG,2006-01-05,40.0933,41.3333,39.9167,41.3267,1881216
ISRG,2006-01-06,40.0233,40.7267,39.0867,39.2433,2869653
ISRG,2006-01-09,41.6667,41.6667,40.0933,40.0933,3167625
ISRG,2006-01-10,42.7467,42.9833,40.9267,41.0,3412290
ISRG,2006-01-11,42.44,43.4067,41.7433,42.9767,2005233
ISRG,2006-01-12,43.5533,44.3933,43.26,44.04,3372891
ISRG,2006-01-13,42.65,43.8333,42.2433,43.83,2109651
ISRG,2006-01-16,42.65,43.8333,42.2433,43.83,0
ISRG,2006-01-17,43.8037,43.8037,42.5333,42.5333,2366211
ISRG,2006-01-18,42.8867,44.0333,42.5867,43.28,2331117
ISRG,2006-01-19,44.2433,44.56,43.02,43.2833,2347413
ISRG,2006-01-20,42.6933,44.5563,42.4733,44.3367,2699856
ISRG,2006-01-23,43.1933,43.77,41.8867,43.0467,2199309
ISRG,2006-01-24,45.1667,45.1667,43.4467,43.4467,2333079
ISRG,2006-01-25,44.0967,46.1733,43.6333,46.0933,3608331
ISRG,2006-01-26,44.6767,45.0567,43.97,44.6333,1880040
ISRG,2006-01-27,45.31,45.8,44.4733,44.5867,1508388
ISRG,2006-01-30,45.3267,46.5,44.8,45.52,2895147
ISRG,2006-01-31,45.7567,45.9033,44.8667,45.63,6543282
ISRG,2006-02-01,43.2167,45.98,42.8867,45.8533,5252373
ISRG,2006-02-02,42.42,43.85,42.1367,43.0,4793475
ISRG,2006-02-03,38.23,41.5167,37.1233,39.18,13205406
ISRG,2006-02-06,35.5633,38.95,32.79,38.1667,19173087
ISRG,2006-02-07,33.5033,36.1967,32.94,35.5743,9405885
ISRG,2006-02-08,32.6467,33.5267,31.3733,33.5267,10940670
ISRG,2006-02-09,33.8333,34.58,32.3433,32.5567,7464558
ISRG,2006-02-10,34.82,34.82,33.8567,33.8567,4884222
ISRG,2006-02-13,33.6733,34.8167,33.2833,34.4733,3650757
ISRG,2006-02-14,34.0667,34.4233,33.49,33.78,2759763
ISRG,2006-02-15,34.0567,34.5,33.4733,33.8433,3175344
ISRG,2006-02-16,33.6267,34.2733,33.0467,34.06,3333591
ISRG,2006-02-17,32.3067,33.6667,32.256,33.4233,4446795
ISRG,2006-02-20,32.3067,33.6667,32.256,33.4233,0
ISRG,2006-02-21,30.4433,32.265,29.6733,32.1667,10811718
ISRG,2006-02-22,31.08,31.5333,29.85,30.12,5992815
ISRG,2006-02-23,30.2967,31.1933,30.084,31.1933,3570282
ISRG,2006-02-24,31.6033,31.9833,29.6267,29.65,4976802
ISRG,2006-02-27,31.44,32.0633,31.06,31.7933,2598312
ISRG,2006-02-28,30.0667,31.6187,29.8333,31.5467,4973943
ISRG,2006-03-01,30.8,30.9933,29.6967,29.8733,3951210
ISRG,2006-03-02,30.53,31.2667,30.1767,30.6433,3666864
ISRG,2006-03-03,30.12,30.5833,30.09,30.5,2223471
ISRG,2006-03-06,29.93,30.9433,29.26,30.2633,2972772
ISRG,2006-03-07,29.3433,29.99,29.0433,29.7967,3154635
ISRG,2006-03-08,29.3333,29.48,28.5433,29.0667,3759936
ISRG,2006-03-09,29.6667,30.0,29.28,29.5267,3225648
ISRG,2006-03-10,30.9933,31.2297,29.4533,29.6,4897356
ISRG,2006-03-13,31.92,31.92,31.0033,31.0033,3615480
ISRG,2006-03-14,31.46,32.0,31.0967,31.34,2294418
ISRG,2006-03-15,31.5733,31.72,31.2533,31.5767,2038104
ISRG,2006-03-16,32.79,33.1967,31.4333,31.7133,4505301
ISRG,2006-03-17,34.7167,34.9467,32.8367,32.9467,7436205
ISRG,2006-03-20,34.97,35.8833,34.1667,34.7733,5513121
ISRG,2006-03-21,34.45,35.4533,34.25,35.0,2728863
ISRG,2006-03-22,35.6767,35.8567,34.013,34.19,4047488
ISRG,2006-03-23,36.3467,36.42,35.3667,35.8167,4346238
ISRG,2006-03-24,37.3533,37.4833,36.11,36.5067,4583970
ISRG,2006-03-27,39.7,39.9333,37.1933,37.4667,6602010
ISRG,2006-03-28,39.65,40.7167,39.0167,39.8367,7280136
ISRG,2006-03-29,38.9033,40.22,38.45,39.8333,5518710
ISRG,2006-03-30,39.5533,40.01,38.4667,38.5833,3316977
ISRG,2006-03-31,39.3333,40.4633,39.0,39.5067,3281940
ISRG,2006-04-03,38.0,39.9567,37.8333,39.9467,4452654
ISRG,2006-04-04,37.35,38.7867,37.1667,37.8167,4923198
ISRG,2006-04-05,37.2933,37.8333,36.8467,37.46,3036060
ISRG,2006-04-06,37.21,37.9367,37.0,37.16,2909400
ISRG,2006-04-07,36.2467,37.8267,36.0467,37.5,3265806
ISRG,2006-04-10,36.9067,37.1667,36.12,36.12,2630688
ISRG,2006-04-11,35.3367,37.2167,35.0367,36.9,3571767
ISRG,2006-04-12,35.3367,36.23,35.0567,35.1833,2044719
ISRG,2006-04-13,35.36,35.8167,33.7067,34.91,4097595
ISRG,2006-04-14,35.36,35.8167,33.7067,34.91,0
ISRG,2006-04-17,34.7867,35.6467,34.2667,35.2567,1936077
ISRG,2006-04-18,35.69,35.9833,34.6533,34.6533,2995056
ISRG,2006-04-19,35.4767,36.4767,35.0933,35.96,3311934
ISRG,2006-04-20,35.9933,36.3867,35.2267,35.4233,1805931
ISRG,2006-04-21,35.6067,36.2867,35.4933,36.2867,2064995
ISRG,2006-04-24,36.3267,36.9233,35.5967,35.7267,2969415
ISRG,2006-04-25,35.8833,36.6567,35.3333,36.1933,2695902
ISRG,2006-04-26,35.9733,36.2267,35.0167,35.9967,2386518
ISRG,2006-04-27,34.39,35.9467,34.0633,35.66,6316275
ISRG,2006-04-28,42.3333,42.7033,39.6933,39.9333,17524059
ISRG,2006-05-01,41.9833,43.2933,41.7,42.72,5137248
ISRG,2006-05-02,41.5533,43.1333,41.2767,42.2067,3762321
ISRG,2006-05-03,41.1133,42.1067,40.5133,42.1067,3935799
ISRG,2006-05-04,42.65,42.9133,40.9267,40.9533,2894739
ISRG,2006-05-05,42.61,43.51,42.42,42.9167,2701293
ISRG,2006-05-08,42.8433,42.8433,42.1833,42.8433,1265154
ISRG,2006-05-09,42.93,42.93,41.92,41.92,1340352
ISRG,2006-05-10,42.94,44.0,42.3797,42.5467,3451575
ISRG,2006-05-11,41.67,43.2333,41.45,42.8367,2613192
ISRG,2006-05-12,39.34,41.6633,38.92,41.4333,5067828
ISRG,2006-05-15,40.2,40.59,38.7567,38.77,3502854
ISRG,2006-05-16,40.2633,40.9067,39.43,40.3833,1854141
ISRG,2006-05-17,38.4767,40.0967,38.3867,39.75,2440815
ISRG,2006-05-18,37.6867,39.4833,37.5,38.75,2788764
ISRG,2006-05-19,38.6367,39.3667,37.3333,37.9967,4581630
ISRG,2006-05-22,37.87,38.4533,37.0595,38.41,3136536
ISRG,2006-05-23,36.5167,38.6,36.39,38.26,2743053
ISRG,2006-05-24,36.3367,37.2933,34.4867,36.45,4894338
ISRG,2006-05-25,36.8967,37.7333,35.6933,36.6167,3304449
ISRG,2006-05-26,37.5867,37.9433,36.52,37.0,2147166
ISRG,2006-05-29,37.5867,37.9433,36.52,37.0,0
ISRG,2006-05-30,35.98,37.5233,35.9233,37.5,1831608
ISRG,2006-05-31,37.0967,37.27,35.87,36.21,1959051
ISRG,2006-06-01,37.9633,37.9633,36.6133,37.3233,1912212
ISRG,2006-06-02,39.0267,39.5667,38.1667,38.3333,2827035
ISRG,2006-06-05,36.6233,38.98,36.5,38.7433,2469057
ISRG,2006-06-06,36.02,37.0567,35.33,36.7233,3580776
ISRG,2006-06-07,37.6667,39.0133,36.5333,36.55,6257394
ISRG,2006-06-08,38.1167,38.2333,36.6667,37.4567,4391691
ISRG,2006-06-09,37.09,38.7967,36.85,38.6667,2721612
ISRG,2006-06-12,36.8333,37.6933,36.79,36.93,2488395
ISRG,2006-06-13,35.4767,37.1033,35.15,36.6933,2802780
ISRG,2006-06-14,35.4,36.1,34.7067,35.41,2596890
ISRG,2006-06-15,35.9467,36.1667,35.4433,35.8867,2816313
ISRG,2006-06-16,34.92,35.9167,34.5667,35.8467,4607751
ISRG,2006-06-19,33.2667,34.9667,32.84,34.9667,5072469
ISRG,2006-06-20,32.9967,33.6333,32.36,33.0733,3800052
ISRG,2006-06-21,34.02,34.7467,32.7667,33.2,3650571
ISRG,2006-06-22,34.9,35.06,33.4633,33.96,2743806
ISRG,2006-06-23,35.8367,36.32,34.6633,34.8033,3488805
ISRG,2006-06-26,35.5833,36.23,34.8633,36.0533,2016714
ISRG,2006-06-27,35.5867,36.2433,35.21,35.6667,2384139
ISRG,2006-06-28,36.1667,36.1667,35.64,35.82,2220567
ISRG,2006-06-29,38.3567,38.4267,35.8,35.9367,4709463
ISRG,2006-06-30,38.3333,39.3233,37.35,38.6583,6901596
ISRG,2006-07-03,39.1167,39.78,38.42,38.8967,1689555
ISRG,2006-07-04,39.1167,39.78,38.42,38.8967,0
ISRG,2006-07-05,39.39,39.5267,38.0233,38.83,2333856
ISRG,2006-07-06,39.3,40.0867,38.75,39.57,2165685
ISRG,2006-07-07,38.36,39.19,38.1367,39.1333,1818330
ISRG,2006-07-10,36.96,39.13,36.78,38.3333,2300631
ISRG,2006-07-11,38.26,38.4667,36.58,36.83,2784741
ISRG,2006-07-12,37.3967,38.7067,37.2875,38.0967,1975524
ISRG,2006-07-13,38.2067,39.3333,37.7433,37.7433,4684119
ISRG,2006-07-14,39.5,39.5,38.3133,38.3133,3246678
ISRG,2006-07-17,38.2867,39.1433,37.9167,38.6867,2146470
ISRG,2006-07-18,38.7233,39.1867,37.8567,38.54,2129172
ISRG,2006-07-19,40.4233,40.71,38.6867,38.85,4180653
ISRG,2006-07-20,39.76,41.1467,39.6733,40.6667,2314221
ISRG,2006-07-21,39.0667,39.8767,38.82,39.6267,1888062
ISRG,2006-07-24,40.63,41.2933,39.2567,39.2933,2547570
ISRG,2006-07-25,40.6367,41.19,39.8867,40.9567,2148381
ISRG,2006-07-26,37.1467,40.68,36.2967,40.68,7372707
