Symbol,Date,Close,High,Low,Open,Volume
ITW,2006-01-02,43.995,44.535,43.995,44.535,0
ITW,2006-01-03,44.79,44.885,43.55,44.3,1800000
ITW,2006-01-04,44.915,44.945,44.505,44.745,1320400
ITW,2006-01-05,44.475,45.0,44.32,44.725,1765600
ITW,2006-01-06,45.11,45.16,44.765,44.8,1259000
ITW,2006-01-09,44.91,45.15,44.855,44.9,1162400
ITW,2006-01-10,44.73,45.335,44.01,45.335,1522400
ITW,2006-01-11,44.995,45.025,44.45,44.975,1755800
ITW,2006-01-12,45.115,45.425,44.82,45.425,1495800
ITW,2006-01-13,44.77,45.195,44.61,45.165,1166400
ITW,2006-01-16,44.77,45.195,44.61,45.165,0
ITW,2006-01-17,44.9,45.0,44.46,44.7,1176200
ITW,2006-01-18,44.92,44.955,44.6,44.65,1025400
ITW,2006-01-19,44.695,45.065,44.585,44.92,1802800
ITW,2006-01-20,43.23,44.62,43.065,44.5,2903000
ITW,2006-01-23,43.79,43.99,43.305,43.56,1407000
ITW,2006-01-24,43.73,44.205,43.535,43.77,1536000
ITW,2006-01-25,43.435,44.05,43.425,43.72,1535800
ITW,2006-01-26,43.1,43.605,43.005,43.5,2255600
ITW,2006-01-27,43.84,43.86,42.755,43.1,2187600
ITW,2006-01-30,44.265,44.345,43.865,43.865,1668400
ITW,2006-01-31,42.145,43.0,42.13,42.53,5570200
ITW,2006-02-01,42.0,42.625,41.535,41.825,3744400
ITW,2006-02-02,42.74,43.2,41.98,42.39,4312800
ITW,2006-02-03,42.34,42.74,42.165,42.5,1866000
ITW,2006-02-06,42.45,42.45,41.835,42.225,3673200
ITW,2006-02-07,42.23,42.555,42.14,42.25,1881400
ITW,2006-02-08,42.45,42.495,41.86,42.195,1419800
ITW,2006-02-09,42.515,42.685,42.4,42.4,1310600
ITW,2006-02-10,42.66,42.725,42.255,42.45,1758400
ITW,2006-02-13,43.0,43.12,42.5,42.63,2038800
ITW,2006-02-14,43.78,43.915,42.88,42.91,2144200
ITW,2006-02-15,44.205,44.33,43.585,43.75,2393800
ITW,2006-02-16,44.095,44.26,43.805,44.25,1975800
ITW,2006-02-17,44.22,44.295,43.695,44.1,2745000
ITW,2006-02-20,44.22,44.295,43.695,44.1,0
ITW,2006-02-21,43.9,44.3,43.635,44.22,1238600
ITW,2006-02-22,44.085,44.32,43.96,44.025,1443600
ITW,2006-02-23,43.43,43.9,43.43,43.885,2432800
ITW,2006-02-24,43.29,43.4,43.17,43.33,3116200
ITW,2006-02-27,43.33,43.6,43.275,43.275,2750800
ITW,2006-02-28,42.92,43.31,42.8,43.125,2487200
ITW,2006-03-01,44.15,44.24,43.075,43.075,3747600
ITW,2006-03-02,44.275,44.51,43.73,43.75,3553600
ITW,2006-03-03,44.555,44.875,43.88,44.2,2816000
