Symbol,Date,Close,High,Low,Open,Volume
IVZ,2006-01-02,15.39,15.43,15.28,15.35,0
IVZ,2006-01-03,15.87,15.87,15.46,15.48,322900
IVZ,2006-01-04,16.11,16.18,15.85,15.85,425500
IVZ,2006-01-05,16.62,16.69,16.53,16.53,502700
IVZ,2006-01-06,16.93,17.05,16.88,16.96,660500
IVZ,2006-01-09,16.92,17.01,16.9,16.98,231600
IVZ,2006-01-10,16.82,16.82,16.62,16.67,306700
IVZ,2006-01-11,17.1,17.14,16.91,17.01,346600
IVZ,2006-01-12,17.2,17.3,17.09,17.13,420000
IVZ,2006-01-13,17.16,17.16,17.03,17.03,85500
IVZ,2006-01-16,17.16,17.16,17.03,17.03,0
IVZ,2006-01-17,17.07,17.07,16.87,16.98,278600
IVZ,2006-01-18,16.72,16.83,16.55,16.71,382000
IVZ,2006-01-19,17.02,17.12,17.0,17.07,108600
IVZ,2006-01-20,17.56,17.6,17.3,17.49,1030500
IVZ,2006-01-23,17.8,17.86,17.59,17.63,492700
IVZ,2006-01-24,18.12,18.12,17.99,17.99,590500
IVZ,2006-01-25,18.14,18.2,17.96,18.13,308800
IVZ,2006-01-26,18.4,18.57,18.35,18.52,435900
IVZ,2006-01-27,18.34,18.58,18.29,18.58,209100
IVZ,2006-01-30,18.34,18.4,18.29,18.39,250000
IVZ,2006-01-31,18.45,18.51,18.35,18.4,432400
IVZ,2006-02-01,18.79,18.87,18.68,18.77,434100
IVZ,2006-02-02,18.44,18.58,18.38,18.55,402600
IVZ,2006-02-03,18.16,18.23,18.09,18.23,522100
IVZ,2006-02-06,17.7,18.01,17.61,17.98,721200
IVZ,2006-02-07,18.71,19.48,18.71,19.36,2634200
IVZ,2006-02-08,18.5,18.74,18.43,18.68,1216000
IVZ,2006-02-09,18.49,18.65,18.39,18.4,1234400
IVZ,2006-02-10,18.8,18.93,18.59,18.75,284300
IVZ,2006-02-13,18.87,19.02,18.74,18.83,230300
IVZ,2006-02-14,18.92,18.96,18.69,18.79,300600
IVZ,2006-02-15,18.51,18.6,18.24,18.57,437900
IVZ,2006-02-16,18.77,18.78,18.49,18.53,328700
IVZ,2006-02-17,18.95,18.98,18.76,18.8,459700
IVZ,2006-02-20,18.95,18.98,18.76,18.8,0
IVZ,2006-02-21,19.21,19.31,19.16,19.26,417700
IVZ,2006-02-22,19.57,19.62,19.42,19.45,383200
IVZ,2006-02-23,19.5,19.65,19.33,19.65,324800
IVZ,2006-02-24,19.23,19.33,19.16,19.26,290300
IVZ,2006-02-27,19.25,19.29,19.22,19.28,225900
IVZ,2006-02-28,19.06,19.23,18.96,19.19,173000
IVZ,2006-03-01,19.08,19.17,18.95,19.07,266900
IVZ,2006-03-02,18.7,18.93,18.53,18.91,295100
IVZ,2006-03-03,18.42,18.45,18.12,18.37,373900
IVZ,2006-03-06,18.45,18.74,18.36,18.71,150800
IVZ,2006-03-07,18.15,18.24,18.096,18.21,121900
IVZ,2006-03-08,17.94,18.0,17.78,17.81,538300
IVZ,2006-03-09,18.07,18.25,18.05,18.17,173900
IVZ,2006-03-10,18.3,18.31,18.09,18.1,244900
IVZ,2006-03-13,18.65,18.78,18.39,18.41,675200
IVZ,2006-03-14,18.72,18.75,18.51,18.56,212300
IVZ,2006-03-15,19.46,19.59,19.22,19.59,528500
IVZ,2006-03-16,19.91,19.97,19.68,19.68,713000
IVZ,2006-03-17,20.33,20.43,20.21,20.35,683500
IVZ,2006-03-20,20.27,20.53,20.2,20.53,185500
IVZ,2006-03-21,19.95,20.17,19.95,20.06,213500
IVZ,2006-03-22,20.09,20.09,19.89,19.91,190300
IVZ,2006-03-23,19.91,20.21,19.7,20.16,519400
IVZ,2006-03-24,19.95,20.0,19.63,19.77,666800
IVZ,2006-03-27,19.65,19.68,19.5,19.67,484300
IVZ,2006-03-28,19.33,19.55,19.26,19.47,282400
IVZ,2006-03-29,19.15,19.19,18.95,19.03,932400
IVZ,2006-03-30,19.0,19.16,18.96,19.02,375700
IVZ,2006-03-31,18.86,19.0405,18.82,18.95,550300
