Symbol,Date,Close,High,Low,Open,Volume
JBHT,2006-01-02,22.64,22.87,22.27,22.73,0
JBHT,2006-01-03,22.73,22.94,21.75,22.64,1616089
JBHT,2006-01-04,22.66,23.11,22.57,22.75,935898
JBHT,2006-01-05,22.6,22.73,22.28,22.5,844846
JBHT,2006-01-06,22.57,23.08,22.35,22.87,1906577
JBHT,2006-01-09,22.71,22.79,22.4,22.4,1452907
JBHT,2006-01-10,22.69,22.8,22.35,22.5,958852
JBHT,2006-01-11,22.95,22.95,22.54,22.75,670366
JBHT,2006-01-12,23.19,23.28,22.63,22.84,1205017
JBHT,2006-01-13,22.98,23.308,22.92,23.08,705233
JBHT,2006-01-16,22.98,23.308,22.92,23.08,0
JBHT,2006-01-17,22.5,22.96,22.33,22.85,1098469
JBHT,2006-01-18,22.47,22.74,22.12,22.51,2256142
JBHT,2006-01-19,22.88,23.08,22.47,22.5,1948578
JBHT,2006-01-20,22.06,23.13,22.06,22.84,1161094
JBHT,2006-01-23,22.32,22.4,21.38,22.06,1598644
JBHT,2006-01-24,22.66,22.99,22.06,22.96,1609847
JBHT,2006-01-25,22.24,22.7,22.04,22.65,1519022
JBHT,2006-01-26,22.67,22.79,22.27,22.39,1311617
JBHT,2006-01-27,22.7,22.91,22.3,22.68,1266593
JBHT,2006-01-30,23.95,24.42,23.15,23.75,3820335
JBHT,2006-01-31,23.8,24.1,23.46,24.04,1209530
JBHT,2006-02-01,23.35,23.8,23.3,23.56,1228780
JBHT,2006-02-02,23.27,23.9,23.19,23.23,897228
JBHT,2006-02-03,23.25,23.43,22.83,23.25,576015
JBHT,2006-02-06,23.65,23.66,23.26,23.26,631948
JBHT,2006-02-07,23.35,23.84,23.21,23.67,1324730
JBHT,2006-02-08,23.77,23.85,23.09,23.35,1150181
JBHT,2006-02-09,23.92,24.24,23.66,23.83,833163
JBHT,2006-02-10,24.59,24.62,23.56,24.0,1788606
JBHT,2006-02-13,24.69,25.21,24.61,24.92,2299197
JBHT,2006-02-14,25.46,25.58,24.36,24.95,2039002
JBHT,2006-02-15,25.74,25.84,25.09,25.84,2093264
JBHT,2006-02-16,24.92,25.9,24.88,25.855,2184788
JBHT,2006-02-17,24.86,25.01,24.3,25.01,1451283
JBHT,2006-02-20,24.86,25.01,24.3,25.01,0
JBHT,2006-02-21,24.59,24.94,24.34,24.94,1181143
JBHT,2006-02-22,24.62,24.83,24.31,24.71,674402
JBHT,2006-02-23,24.55,24.98,24.47,24.62,1063607
JBHT,2006-02-24,23.88,24.59,23.73,24.55,2291086
JBHT,2006-02-27,24.18,24.29,23.81,23.99,1306421
JBHT,2006-02-28,23.66,24.2,23.57,24.18,1404895
JBHT,2006-03-01,23.97,24.1,23.68,23.8,1025714
JBHT,2006-03-02,23.68,24.05,23.57,23.85,1196867
JBHT,2006-03-03,23.82,24.15,23.64,23.66,992568
JBHT,2006-03-06,23.1,23.85,22.23,23.82,2730883
JBHT,2006-03-07,22.97,23.09,22.74,22.95,1089801
JBHT,2006-03-08,22.88,23.11,22.5,22.88,1640827
JBHT,2006-03-09,23.39,23.514,22.85,22.9,1000375
JBHT,2006-03-10,23.87,24.12,23.32,23.47,1585315
JBHT,2006-03-13,23.64,24.14,23.63,24.01,1465379
JBHT,2006-03-14,23.45,23.62,23.26,23.57,928003
JBHT,2006-03-15,23.55,23.86,23.43,23.56,2183375
JBHT,2006-03-16,22.84,23.55,22.72,23.55,1914805
JBHT,2006-03-17,22.62,22.96,22.12,22.84,1909192
JBHT,2006-03-20,22.99,23.15,22.68,22.68,1008340
JBHT,2006-03-21,23.2,23.344,22.91,23.01,1587542
JBHT,2006-03-22,23.03,23.31,22.8,23.24,2053233
JBHT,2006-03-23,22.04,22.7,21.77,22.7,4828031
JBHT,2006-03-24,22.1,22.5,22.0,22.0,2134859
JBHT,2006-03-27,22.1,22.61,21.92,22.13,1826826
JBHT,2006-03-28,22.24,22.52,21.88,22.15,1951902
JBHT,2006-03-29,22.0,22.4,21.69,22.21,3232049
JBHT,2006-03-30,21.7,22.0,21.65,21.89,2181269
JBHT,2006-03-31,21.54,21.83,21.33,21.7,1772521
JBHT,2006-04-03,22.0,22.19,21.65,21.69,1465610
JBHT,2006-04-04,22.21,22.38,21.88,22.01,1073105
