Symbol,Date,Close,High,Low,Open,Volume
JEC,2006-01-02,33.935,34.185,33.61,34.185,0
JEC,2006-01-03,34.505,34.62,33.9,34.4,962800
JEC,2006-01-04,34.655,34.665,34.275,34.46,656000
JEC,2006-01-05,34.64,35.125,34.56,34.73,484600
JEC,2006-01-06,35.445,35.68,34.95,35.075,666400
JEC,2006-01-09,35.82,35.995,35.44,35.445,703600
JEC,2006-01-10,36.22,36.425,35.6,35.62,882800
JEC,2006-01-11,36.305,36.345,35.9055,36.22,681800
JEC,2006-01-12,35.985,36.645,35.92,36.305,479000
JEC,2006-01-13,36.205,36.49,36.03,36.03,419200
JEC,2006-01-16,36.205,36.49,36.03,36.03,0
JEC,2006-01-17,35.895,36.315,35.525,36.15,727800
JEC,2006-01-18,35.895,36.075,35.5,35.675,469800
JEC,2006-01-19,36.2,36.26,35.495,35.74,525800
JEC,2006-01-20,35.46,36.335,35.35,36.215,536400
JEC,2006-01-23,35.835,35.905,35.35,35.435,913400
JEC,2006-01-24,38.605,39.55,37.93,38.5,3537200
JEC,2006-01-25,39.1,39.1,38.375,38.68,977400
JEC,2006-01-26,39.13,39.375,38.505,39.225,771800
JEC,2006-01-27,40.115,40.275,39.175,39.23,1102200
JEC,2006-01-30,41.39,41.815,40.115,40.115,1628000
JEC,2006-01-31,41.685,42.05,41.15,41.325,1910000
JEC,2006-02-01,41.46,42.185,41.11,42.185,1329200
JEC,2006-02-02,40.63,41.495,40.485,41.46,1032600
JEC,2006-02-03,40.97,41.405,40.325,40.555,712400
JEC,2006-02-06,41.1,41.46,40.845,41.125,424400
JEC,2006-02-07,41.305,41.575,41.0,41.225,1085800
JEC,2006-02-08,41.5,41.575,40.98,41.5,1024400
JEC,2006-02-09,41.65,42.03,41.5,41.94,1031199
JEC,2006-02-10,41.31,41.65,40.9,41.65,1087400
JEC,2006-02-13,40.47,41.575,40.375,41.5,1028000
JEC,2006-02-14,41.18,41.31,39.75,40.22,968600
JEC,2006-02-15,40.825,41.92,40.7,41.15,834600
JEC,2006-02-16,41.265,41.265,40.385,40.95,979200
JEC,2006-02-17,41.555,41.745,40.925,41.35,428600
JEC,2006-02-20,41.555,41.745,40.925,41.35,0
JEC,2006-02-21,41.775,41.91,41.445,41.68,402000
JEC,2006-02-22,43.47,43.665,41.8,41.825,1524000
JEC,2006-02-23,43.495,43.75,43.01,43.57,791400
JEC,2006-02-24,43.48,43.5,43.045,43.2,515599
JEC,2006-02-27,43.425,44.0,43.215,43.48,967400
JEC,2006-02-28,42.87,43.545,42.81,43.3,587200
JEC,2006-03-01,43.515,43.515,42.945,42.945,686600
JEC,2006-03-02,42.87,43.25,42.1705,43.235,1007800
JEC,2006-03-03,42.815,43.445,42.58,42.745,730600
JEC,2006-03-06,42.31,43.395,42.3,43.065,998200
JEC,2006-03-07,39.475,41.5,39.2,41.4,2322400
JEC,2006-03-08,39.6,39.76,38.59,39.2,1569000
JEC,2006-03-09,39.76,40.54,39.755,39.9,1420200
JEC,2006-03-10,40.88,41.118,39.61,39.685,1338800
JEC,2006-03-13,40.675,41.49,40.58,40.7,660800
JEC,2006-03-14,41.745,41.755,40.3055,40.68,815800
JEC,2006-03-15,42.27,42.385,41.535,41.85,747400
JEC,2006-03-16,42.63,43.16,42.38,42.925,682800
JEC,2006-03-17,42.86,43.25,42.44,42.625,725400
JEC,2006-03-20,42.6,43.18,42.405,42.88,602000
JEC,2006-03-21,41.185,42.505,41.05,42.475,1108400
JEC,2006-03-22,41.62,41.79,40.775,41.19,844400
JEC,2006-03-23,42.39,42.675,41.315,41.625,737000
JEC,2006-03-24,43.33,43.355,41.82,42.4,1052800
JEC,2006-03-27,42.85,43.825,42.69,43.385,880000
JEC,2006-03-28,43.365,43.7,43.01,43.45,825600
JEC,2006-03-29,44.005,44.29,43.45,43.45,715400
JEC,2006-03-30,43.755,44.875,43.625,44.09,773000
JEC,2006-03-31,43.37,44.0,42.875,43.88,568400
JEC,2006-04-03,43.84,44.15,43.07,43.43,799600
JEC,2006-04-04,43.555,43.815,43.255,43.715,494400
JEC,2006-04-05,44.445,44.5,43.29,43.455,617800
JEC,2006-04-06,45.215,45.535,44.345,44.345,1310600
JEC,2006-04-07,44.955,45.595,44.395,45.34,886200
JEC,2006-04-10,44.33,44.93,44.235,44.925,837200
JEC,2006-04-11,43.06,44.45,43.045,44.45,1095800
JEC,2006-04-12,43.18,43.43,42.755,43.01,600400
JEC,2006-04-13,43.46,43.795,42.7,42.85,504200
JEC,2006-04-14,43.46,43.795,42.7,42.85,0
JEC,2006-04-17,43.29,43.785,42.97,43.46,423000
JEC,2006-04-18,44.975,45.155,43.415,43.415,752600
JEC,2006-04-19,46.025,46.065,44.7,44.955,1100600
JEC,2006-04-20,45.78,46.3,45.3,46.0,639200
JEC,2006-04-21,46.46,46.635,45.665,46.0,1136400
JEC,2006-04-24,46.335,46.505,45.85,46.46,1048600
JEC,2006-04-25,41.715,46.335,41.6001,46.335,4804400
JEC,2006-04-26,41.7,42.525,41.405,42.525,2321200
JEC,2006-04-27,41.015,41.82,40.76,41.4,1331000
JEC,2006-04-28,41.35,41.78,40.795,41.0,1076200
