Symbol,Date,Close,High,Low,Open,Volume
JNJ,2006-01-02,60.1,60.25,60.03,60.1,0
JNJ,2006-01-03,61.63,61.85,61.05,61.07,10685400
JNJ,2006-01-04,62.58,62.64,61.76,61.93,8519300
JNJ,2006-01-05,62.32,62.95,62.1,62.57,9750400
JNJ,2006-01-06,62.6,62.74,62.14,62.36,5799800
JNJ,2006-01-09,62.99,63.01,62.43,62.52,7063300
JNJ,2006-01-10,63.1,63.1,62.5,62.52,6600700
JNJ,2006-01-11,62.5,62.99,61.94,62.96,8775700
JNJ,2006-01-12,62.21,62.55,61.8,62.5,7011300
JNJ,2006-01-13,61.82,62.29,61.42,61.9,6658000
JNJ,2006-01-16,61.82,62.29,61.42,61.9,0
JNJ,2006-01-17,61.28,62.07,61.1,61.31,9664000
JNJ,2006-01-18,61.6935,62.24,61.35,61.75,7563200
JNJ,2006-01-19,62.17,62.62,61.7,62.3,7468900
JNJ,2006-01-20,60.8,62.3,60.73,61.24,10951600
JNJ,2006-01-23,61.19,61.24,60.61,60.75,7090600
JNJ,2006-01-24,59.36,61.24,59.36,60.19,19883300
JNJ,2006-01-25,58.5,61.0,58.04,61.0,24967700
JNJ,2006-01-26,58.64,59.5,58.56,58.75,15884000
JNJ,2006-01-27,58.71,59.21,58.35,58.95,10984100
JNJ,2006-01-30,58.4,58.75,58.04,58.71,11873700
JNJ,2006-01-31,57.54,58.34,57.45,58.15,18165700
JNJ,2006-02-01,57.86,58.42,57.65,57.67,13367200
JNJ,2006-02-02,57.65,58.38,57.59,58.35,9848000
JNJ,2006-02-03,57.38,57.5,57.02,57.26,10931800
JNJ,2006-02-06,56.85,57.56,56.65,57.5,9960100
JNJ,2006-02-07,56.8,57.33,56.7,57.0,9665000
JNJ,2006-02-08,58.74,58.74,57.05,57.05,14627600
JNJ,2006-02-09,58.55,59.71,58.3,59.15,12131500
JNJ,2006-02-10,58.39,58.76,58.24,58.7,8153900
JNJ,2006-02-13,58.5,58.64,58.04,58.38,5015300
JNJ,2006-02-14,59.05,59.27,58.7,58.7,9813300
JNJ,2006-02-15,59.1,59.4,58.7,59.08,8298000
JNJ,2006-02-16,58.98,59.45,58.58,59.45,11711100
JNJ,2006-02-17,59.07,59.27,58.74,59.18,6479500
JNJ,2006-02-20,59.07,59.27,58.74,59.18,0
JNJ,2006-02-21,59.14,59.32,58.75,59.13,6450200
JNJ,2006-02-22,59.03,59.2,58.7,59.01,7857500
JNJ,2006-02-23,58.59,59.06,58.45,59.0,9753400
JNJ,2006-02-24,57.76,58.69,57.42,58.69,9810200
JNJ,2006-02-27,57.91,58.55,57.83,57.96,6904800
JNJ,2006-02-28,57.65,57.92,57.42,57.81,7963400
JNJ,2006-03-01,57.82,57.82,57.62,57.62,7142000
JNJ,2006-03-02,57.69,58.26,57.45,57.5,7635300
JNJ,2006-03-03,57.47,58.12,57.47,57.55,5720300
JNJ,2006-03-06,57.85,58.07,57.51,57.57,7000000
JNJ,2006-03-07,58.22,58.31,57.53,57.53,9299900
JNJ,2006-03-08,58.74,58.85,57.83,58.15,6860000
JNJ,2006-03-09,58.31,58.97,58.25,58.95,8056100
JNJ,2006-03-10,59.04,59.04,58.5,58.65,9167100
JNJ,2006-03-13,59.08,59.37,59.0,59.35,6219700
JNJ,2006-03-14,59.29,59.4,59.03,59.15,7802500
JNJ,2006-03-15,59.8,59.95,59.1,59.15,8876000
JNJ,2006-03-16,60.02,60.23,59.7,59.95,10774200
JNJ,2006-03-17,60.34,60.4,60.15,60.4,11510200
JNJ,2006-03-20,60.48,60.55,60.3,60.4,5879600
JNJ,2006-03-21,60.57,60.84,60.41,60.78,7861700
JNJ,2006-03-22,61.0,61.1,60.3,60.3,6843000
JNJ,2006-03-23,60.81,60.9,60.62,60.77,6938000
JNJ,2006-03-24,60.39,60.8032,60.29,60.66,5162300
JNJ,2006-03-27,59.94,60.4,59.75,60.07,7378400
JNJ,2006-03-28,59.6,59.87,59.51,59.8,7728900
JNJ,2006-03-29,59.51,59.8,59.35,59.62,6282800
JNJ,2006-03-30,59.35,59.65,59.2,59.22,7632000
JNJ,2006-03-31,59.22,59.73,59.06,59.45,9583400
JNJ,2006-04-03,59.17,59.76,59.12,59.49,9026100
JNJ,2006-04-04,58.82,59.31,58.75,59.27,9487200
JNJ,2006-04-05,58.4,58.98,58.31,58.6,8772100
JNJ,2006-04-06,58.5,58.74,58.11,58.4,6328700
JNJ,2006-04-07,57.83,58.72,57.7,58.45,8838200
JNJ,2006-04-10,57.71,57.91,57.52,57.85,9194500
JNJ,2006-04-11,57.75,58.02,57.32,57.71,9003200
JNJ,2006-04-12,57.87,57.99,57.76,57.85,6625900
JNJ,2006-04-13,57.91,58.0,57.53,57.84,7205200
JNJ,2006-04-14,57.91,58.0,57.53,57.84,0
JNJ,2006-04-17,57.65,57.82,57.46,57.68,8810300
JNJ,2006-04-18,58.13,58.14,57.67,57.7,12451700
JNJ,2006-04-19,58.02,58.38,57.85,58.28,9145600
JNJ,2006-04-20,58.22,58.5,58.02,58.06,7305900
JNJ,2006-04-21,58.37,58.6,58.06,58.5,9943100
JNJ,2006-04-24,58.33,58.61,58.19,58.51,8113700
JNJ,2006-04-25,58.21,58.45,58.12,58.32,8493000
JNJ,2006-04-26,58.54,58.64,58.29,58.38,10562500
JNJ,2006-04-27,58.65,58.92,58.2,58.2,11444100
JNJ,2006-04-28,58.61,58.79,58.5,58.65,8428500
JNJ,2006-05-01,58.59,58.78,58.55,58.71,7071700
JNJ,2006-05-02,58.67,58.96,58.6,58.77,5584900
