Symbol,Date,Close,High,Low,Open,Volume
JNPR,2006-01-02,22.3,22.45,22.08,22.16,0
JNPR,2006-01-03,21.19,22.18,20.89,22.14,22324845
JNPR,2006-01-04,21.36,21.57,21.13,21.3,11951402
JNPR,2006-01-05,21.51,21.93,21.4,21.46,11094344
JNPR,2006-01-06,22.06,22.23,21.67,21.8,13078454
JNPR,2006-01-09,21.049,21.71,20.43,21.66,42216487
JNPR,2006-01-10,22.25,22.27,20.65,20.83,25494599
JNPR,2006-01-11,22.13,22.59,21.89,22.25,15796248
JNPR,2006-01-12,21.62,22.0,21.55,22.0,8693666
JNPR,2006-01-13,21.92,21.97,21.42,21.65,6657278
JNPR,2006-01-16,21.92,21.97,21.42,21.65,0
JNPR,2006-01-17,21.71,21.92,21.52,21.92,8994234
JNPR,2006-01-18,22.3,22.36,21.37,21.39,10232126
JNPR,2006-01-19,22.38,22.63,22.23,22.535,7608702
JNPR,2006-01-20,21.61,22.44,21.57,22.39,7420864
JNPR,2006-01-23,21.19,21.87,21.17,21.76,6595963
JNPR,2006-01-24,21.34,21.75,21.17,21.3,7719250
JNPR,2006-01-25,21.52,21.73,20.79,21.62,13270870
JNPR,2006-01-26,17.06,18.72,16.98,18.52,110298509
JNPR,2006-01-27,17.48,17.48,16.98,17.29,33731766
JNPR,2006-01-30,18.3,18.45,17.89,17.91,26408492
JNPR,2006-01-31,18.13,18.65,17.99,18.6,25713906
JNPR,2006-02-01,18.29,18.41,17.91,17.91,12857773
JNPR,2006-02-02,18.05,18.41,17.98,18.255,14533656
JNPR,2006-02-03,18.37,18.5,17.92,17.995,16664349
JNPR,2006-02-06,18.66,18.68,18.33,18.35,10821383
JNPR,2006-02-07,18.82,18.88,18.55,18.63,15709962
JNPR,2006-02-08,18.96,19.21,18.87,19.16,12511879
JNPR,2006-02-09,18.8,19.16,18.8,19.0,6392074
JNPR,2006-02-10,19.21,19.25,18.4,18.87,12728456
JNPR,2006-02-13,18.65,19.08,18.55,18.9,7404451
JNPR,2006-02-14,19.0,19.04,18.51,18.76,8580229
JNPR,2006-02-15,19.13,19.2,18.79,18.84,5823692
JNPR,2006-02-16,18.62,19.19,18.58,19.18,11501459
JNPR,2006-02-17,17.97,18.68,17.94,18.68,21107570
JNPR,2006-02-20,17.97,18.68,17.94,18.68,0
JNPR,2006-02-21,17.45,18.05,17.22,18.05,25235323
JNPR,2006-02-22,17.74,17.94,17.46,17.7,17080195
JNPR,2006-02-23,17.82,18.03,17.59,17.745,6287716
JNPR,2006-02-24,17.67,17.95,17.51,17.76,10457536
JNPR,2006-02-27,17.89,18.01,17.55,17.705,6055486
JNPR,2006-02-28,18.39,18.46,17.8,17.85,12253754
JNPR,2006-03-01,19.65,19.7,18.37,18.39,25215567
JNPR,2006-03-02,19.58,19.85,19.2,19.445,9684712
JNPR,2006-03-03,19.6,19.8,19.29,19.31,6385659
JNPR,2006-03-06,19.66,19.8,19.3,19.45,11734257
JNPR,2006-03-07,19.59,19.89,19.5,19.56,7963426
JNPR,2006-03-08,19.35,19.69,19.11,19.51,10936643
JNPR,2006-03-09,19.11,19.53,18.94,19.42,6416364
JNPR,2006-03-10,18.9,19.2,18.58,19.115,8255841
JNPR,2006-03-13,18.95,19.32,18.88,18.9,4839134
JNPR,2006-03-14,20.21,20.2501,19.1,19.19,19953635
JNPR,2006-03-15,20.28,20.5,19.92,20.24,13291170
JNPR,2006-03-16,19.56,20.4,19.52,20.19,11985708
JNPR,2006-03-17,19.45,19.72,19.26,19.64,9849073
JNPR,2006-03-20,19.5,19.7601,19.39,19.45,5807292
JNPR,2006-03-21,19.36,20.1009,19.3001,19.5,6483071
JNPR,2006-03-22,18.99,19.2,18.67,18.87,10013802
JNPR,2006-03-23,19.05,19.15,18.85,18.95,5229712
JNPR,2006-03-24,19.25,19.89,19.15,19.235,11659267
JNPR,2006-03-27,19.34,19.59,19.25,19.49,5815719
JNPR,2006-03-28,19.06,19.52,18.96,19.29,6728859
JNPR,2006-03-29,19.42,19.5,18.96,19.16,7251880
JNPR,2006-03-30,19.17,19.5,19.09,19.36,8897126
JNPR,2006-03-31,19.12,19.4,19.07,19.155,9246530
JNPR,2006-04-03,18.87,19.39,18.85,19.38,9845284
JNPR,2006-04-04,18.86,19.21,18.75,18.935,10421218
JNPR,2006-04-05,18.95,19.25,18.77,18.9,8336282
JNPR,2006-04-06,18.92,19.02,18.75,19.0,8484476
JNPR,2006-04-07,19.05,19.2,18.82,18.995,7151596
JNPR,2006-04-10,18.76,19.2,18.64,19.0,8445253
JNPR,2006-04-11,18.86,19.25,18.43,19.19,13676093
JNPR,2006-04-12,19.12,19.12,18.94,18.94,6209007
JNPR,2006-04-13,19.3,19.39,18.87,18.975,6894283
JNPR,2006-04-14,19.3,19.39,18.87,18.975,0
JNPR,2006-04-17,19.42,19.58,19.29,19.34,8760745
JNPR,2006-04-18,19.86,20.16,19.38,19.41,13401918
JNPR,2006-04-19,20.3,20.3701,19.86,20.04,26207073
JNPR,2006-04-20,18.25,19.02,17.99,18.88,49721876
JNPR,2006-04-21,17.87,18.41,17.81,18.3,18275529
JNPR,2006-04-24,17.65,17.93,17.5,17.93,11404433
JNPR,2006-04-25,18.1,18.23,17.59,17.75,11149252
JNPR,2006-04-26,18.52,18.52,18.06,18.06,8647320
JNPR,2006-04-27,18.21,18.88,18.15,18.325,11890423
JNPR,2006-04-28,18.48,18.5,18.01,18.22,8645908
JNPR,2006-05-01,18.05,18.5,17.85,18.455,11285373
JNPR,2006-05-02,18.21,18.4,17.92,18.05,6003718
JNPR,2006-05-03,18.07,18.31,18.03,18.27,9153793
JNPR,2006-05-04,18.02,18.22,17.91,18.0,8444537
JNPR,2006-05-05,17.87,18.12,17.85,18.1,9847253
JNPR,2006-05-08,17.97,18.08,17.49,17.91,14699824
JNPR,2006-05-09,17.96,18.1,17.75,17.925,8796979
JNPR,2006-05-10,17.7,17.9,17.58,17.825,6589213
JNPR,2006-05-11,17.18,17.78,17.1,17.7,9510228
JNPR,2006-05-12,16.87,17.21,16.87,17.205,10928535
JNPR,2006-05-15,16.9,17.18,16.8,16.8,5189106
JNPR,2006-05-16,16.57,16.95,16.17,16.9,14944512
JNPR,2006-05-17,16.87,17.02,16.26,16.42,16087321
JNPR,2006-05-18,16.1,16.9,15.93,16.8,18040255
JNPR,2006-05-19,15.06,16.23,15.0,16.15,33563995
JNPR,2006-05-22,15.49,15.75,14.62,14.64,24283597
JNPR,2006-05-23,15.03,15.93,15.0,15.5,20920011
JNPR,2006-05-24,14.55,15.05,14.33,15.05,24205775
JNPR,2006-05-25,15.29,15.3391,14.54,14.625,15078548
JNPR,2006-05-26,15.69,15.96,15.53,15.95,18462099
JNPR,2006-05-29,15.69,15.96,15.53,15.95,0
JNPR,2006-05-30,15.85,15.91,15.57,15.745,12699904
JNPR,2006-05-31,15.93,16.08,15.72,15.89,12986355
JNPR,2006-06-01,17.47,17.5,16.01,16.03,77166904
JNPR,2006-06-02,16.95,17.39,16.8,17.29,33027064
JNPR,2006-06-05,16.81,17.03,16.61,16.84,11738063
JNPR,2006-06-06,16.8,17.0,16.6699,16.87,10412374
JNPR,2006-06-07,17.02,17.2,16.79,16.86,9175214
JNPR,2006-06-08,17.01,17.15,16.51,16.96,11723446
JNPR,2006-06-09,16.73,17.2,16.42,17.11,12452477
JNPR,2006-06-12,16.39,16.83,16.24,16.7,5635872
JNPR,2006-06-13,16.09,16.36,15.76,16.27,10521368
JNPR,2006-06-14,16.0,16.24,15.64,16.09,7189945
JNPR,2006-06-15,16.66,16.86,15.85,16.02,8562796
JNPR,2006-06-16,16.75,17.01,16.55,16.64,8649604
JNPR,2006-06-19,15.89,16.898,15.8699,16.8,14654736
JNPR,2006-06-20,15.92,16.14,15.73,15.81,7711493
JNPR,2006-06-21,15.83,16.23,15.82,15.82,7784894
JNPR,2006-06-22,15.8,16.01,15.67,15.88,5621120
JNPR,2006-06-23,15.82,15.92,15.63,15.69,6423137
JNPR,2006-06-26,15.83,16.03,15.71,15.79,5980455
JNPR,2006-06-27,15.42,15.94,15.4,15.78,4698603
JNPR,2006-06-28,15.58,15.59,15.19,15.52,4341909
JNPR,2006-06-29,16.02,16.04,15.54,15.57,6759991
JNPR,2006-06-30,15.99,16.19,15.88,16.06,6443297
JNPR,2006-07-03,16.18,16.2,15.94,16.1,2196254
JNPR,2006-07-04,16.18,16.2,15.94,16.1,0
JNPR,2006-07-05,15.91,16.14,15.8,15.9,4244388
JNPR,2006-07-06,16.01,16.05,15.8515,15.92,3849026
JNPR,2006-07-07,15.72,16.02,15.51,15.89,5486264
JNPR,2006-07-10,15.42,15.83,15.17,15.74,6282495
JNPR,2006-07-11,15.12,15.39,14.97,15.27,10397757
JNPR,2006-07-12,14.45,15.15,14.44,15.115,11008315
JNPR,2006-07-13,14.35,14.82,14.18,14.38,10627084
JNPR,2006-07-14,14.09,14.41,14.02,14.295,8767183
JNPR,2006-07-17,14.28,14.6,14.05,14.145,6281770
JNPR,2006-07-18,14.32,14.55,13.89,14.29,7355327
JNPR,2006-07-19,14.14,14.53,14.02,14.32,17131513
JNPR,2006-07-20,14.06,14.76,14.01,14.21,32676166
JNPR,2006-07-21,13.63,13.98,13.54,13.97,14780011
JNPR,2006-07-24,13.77,13.94,13.61,13.68,7107524
