Symbol,Date,Close,High,Low,Open,Volume
JPM,2006-01-02,39.69,39.79,39.48,39.71,0
JPM,2006-01-03,40.19,40.36,39.3,39.83,12838000
JPM,2006-01-04,39.62,40.14,39.42,39.78,11836800
JPM,2006-01-05,39.74,39.81,39.5,39.61,7658700
JPM,2006-01-06,40.02,40.24,39.55,39.92,7812700
JPM,2006-01-09,40.67,40.72,39.88,39.88,16277300
JPM,2006-01-10,40.73,40.75,40.07,40.5,16420300
JPM,2006-01-11,40.7,40.87,40.61,40.73,12170500
JPM,2006-01-12,39.95,40.42,39.9,40.25,12200600
JPM,2006-01-13,39.92,40.03,39.65,39.78,10807800
JPM,2006-01-16,39.92,40.03,39.65,39.78,0
JPM,2006-01-17,39.71,39.82,39.41,39.48,9705000
JPM,2006-01-18,39.28,39.71,38.95,39.11,17543800
JPM,2006-01-19,39.06,39.47,38.8,39.34,12091800
JPM,2006-01-20,38.05,38.82,37.88,38.81,20774300
JPM,2006-01-23,38.27,38.7,37.97,38.14,12870900
JPM,2006-01-24,38.11,38.53,38.09,38.27,9488600
JPM,2006-01-25,38.48,38.68,38.06,38.16,14036100
JPM,2006-01-26,39.59,39.81,38.71,38.71,16120899
JPM,2006-01-27,39.75,40.04,39.17,39.25,12066500
JPM,2006-01-30,39.85,39.97,39.42,39.52,8015900
JPM,2006-01-31,39.75,40.19,39.74,40.03,15124600
JPM,2006-02-01,39.88,40.22,39.67,39.88,11427200
JPM,2006-02-02,39.99,40.16,39.59,39.88,10089700
JPM,2006-02-03,39.53,40.1,39.4,39.45,10382500
JPM,2006-02-06,39.44,39.6,39.31,39.4,6591800
JPM,2006-02-07,39.26,39.6,39.05,39.2,8401500
JPM,2006-02-08,39.62,39.62,39.28,39.28,10064100
JPM,2006-02-09,40.03,40.03,39.53,39.53,8323100
JPM,2006-02-10,39.92,39.98,39.29,39.62,8769800
JPM,2006-02-13,39.77,40.31,39.61,39.77,7790700
JPM,2006-02-14,40.1,40.33,39.65,39.66,12886800
JPM,2006-02-15,40.32,40.5,39.97,39.97,12481600
JPM,2006-02-16,40.82,40.82,40.24,40.45,11416900
JPM,2006-02-17,40.78,40.82,40.4,40.66,11083800
JPM,2006-02-20,40.78,40.82,40.4,40.66,0
JPM,2006-02-21,40.7,40.95,40.55,40.63,7257600
JPM,2006-02-22,41.41,41.55,40.74,40.89,13067300
JPM,2006-02-23,41.11,41.57,41.0,41.26,8713900
JPM,2006-02-24,41.66,41.83,40.87,40.94,9192700
JPM,2006-02-27,41.58,41.95,41.55,41.55,8380800
JPM,2006-02-28,41.14,41.6,40.97,41.59,11481500
