Symbol,Date,Close,High,Low,Open,Volume
JWN,2006-01-02,37.4,37.65,37.1,37.35,0
JWN,2006-01-03,37.72,37.88,36.3,37.58,2385300
JWN,2006-01-04,37.67,38.05,37.0,38.03,2199000
JWN,2006-01-05,39.67,40.35,39.01,39.01,4712300
JWN,2006-01-06,39.5,39.97,39.0,39.79,2174200
JWN,2006-01-09,40.1,40.13,39.1,39.1,1784500
JWN,2006-01-10,40.5,40.72,39.91,40.0,1555300
JWN,2006-01-11,41.24,41.58,40.9,40.99,2232000
JWN,2006-01-12,40.19,41.05,39.92,40.9,1868100
JWN,2006-01-13,39.98,40.6,39.94,40.1,1243200
JWN,2006-01-16,39.98,40.6,39.94,40.1,0
JWN,2006-01-17,39.5,40.01,38.99,39.98,1541600
JWN,2006-01-18,39.69,40.39,39.09,39.5,1434700
JWN,2006-01-19,40.2,40.28,39.6,40.03,1037400
JWN,2006-01-20,39.4,40.56,39.12,40.52,1759000
JWN,2006-01-23,40.15,40.27,39.6,39.6,1896100
JWN,2006-01-24,40.1,40.72,39.77,40.16,2254700
JWN,2006-01-25,41.15,41.2,40.11,40.2,1973900
JWN,2006-01-26,41.67,41.74,40.91,41.6,2911000
JWN,2006-01-27,42.28,42.74,42.0,42.0,2448200
JWN,2006-01-30,42.5,42.9,42.3,42.44,2115100
JWN,2006-01-31,41.72,42.25,41.7,42.08,2347100
JWN,2006-02-01,42.0,42.17,41.46,41.62,1763200
JWN,2006-02-02,42.13,42.28,41.632,42.21,2275100
JWN,2006-02-03,42.2,42.41,42.0,42.07,1430000
JWN,2006-02-06,41.35,41.86,40.62,41.85,2503500
JWN,2006-02-07,41.13,41.74,41.02,41.23,1474400
JWN,2006-02-08,41.53,41.65,41.27,41.45,1232300
JWN,2006-02-09,41.05,41.65,40.97,41.43,1028100
JWN,2006-02-10,40.9,41.11,40.37,41.06,1391200
JWN,2006-02-13,40.51,41.0,40.16,40.75,1018000
JWN,2006-02-14,40.15,40.35,39.86,40.2,2176700
JWN,2006-02-15,40.45,40.64,39.76,40.0,1822100
JWN,2006-02-16,40.55,40.75,40.23,40.72,1223300
JWN,2006-02-17,40.08,40.75,39.92,40.75,1313200
JWN,2006-02-20,40.08,40.75,39.92,40.75,0
JWN,2006-02-21,39.92,40.98,39.69,40.98,1587200
JWN,2006-02-22,40.27,40.95,39.97,40.0,1642900
JWN,2006-02-23,40.12,41.605,40.09,41.605,1411000
JWN,2006-02-24,38.3,38.65,37.51,38.65,4159600
JWN,2006-02-27,37.9,38.62,37.82,38.07,2565000
JWN,2006-02-28,38.0,38.53,37.67,37.7,2504400
JWN,2006-03-01,39.42,39.62,38.0,38.0,3310200
JWN,2006-03-02,39.33,39.92,39.02,39.27,2767400
JWN,2006-03-03,39.66,40.07,38.94,39.0,2132000
JWN,2006-03-06,39.82,39.95,39.24,39.56,1612700
JWN,2006-03-07,39.36,39.83,39.32,39.53,1993000
JWN,2006-03-08,40.46,40.72,38.99,38.99,1975500
