Symbol,Date,Close,High,Low,Open,Volume
K,2006-01-02,43.22,43.5,43.22,43.48,0
K,2006-01-03,43.72,44.0,43.5,43.95,2062600
K,2006-01-04,44.1,44.15,43.83,44.0,1911900
K,2006-01-05,44.26,44.32,44.0,44.05,1326900
K,2006-01-06,44.4,44.5,44.21,44.31,1002500
K,2006-01-09,44.61,44.64,44.41,44.47,1151200
K,2006-01-10,44.48,44.84,44.47,44.7,1046200
K,2006-01-11,44.19,44.74,44.09,44.74,1090800
K,2006-01-12,43.98,44.43,43.72,44.37,1563900
K,2006-01-13,43.77,44.29,43.72,44.14,1118300
K,2006-01-16,43.77,44.29,43.72,44.14,0
K,2006-01-17,43.75,44.13,43.56,43.56,1377800
K,2006-01-18,43.75,44.09,43.7,43.7,934100
K,2006-01-19,43.81,44.25,43.75,43.76,1100000
K,2006-01-20,43.33,43.87,43.25,43.81,993700
K,2006-01-23,43.13,43.34,42.9,43.33,1343700
K,2006-01-24,43.14,43.47,43.05,43.24,637900
K,2006-01-25,43.5,43.59,43.19,43.26,1701600
K,2006-01-26,43.65,43.8,43.54,43.68,1006000
K,2006-01-27,43.75,43.93,43.4,43.66,944600
K,2006-01-30,43.68,43.91,43.52,43.56,953500
K,2006-01-31,42.9,43.98,42.64,43.8,3250900
K,2006-02-01,43.67,44.05,43.09,43.15,3028500
K,2006-02-02,43.72,44.02,43.56,43.77,1277400
K,2006-02-03,43.29,43.79,43.06,43.73,1221100
K,2006-02-06,43.09,43.49,43.0,43.29,2169000
K,2006-02-07,42.69,43.03,42.54,42.94,1475000
K,2006-02-08,42.64,42.9,42.41,42.79,1643000
K,2006-02-09,43.07,43.07,42.76,42.76,1244400
K,2006-02-10,43.01,43.17,42.84,42.96,1480700
K,2006-02-13,42.95,43.1,42.83,43.01,930300
K,2006-02-14,43.1,43.28,42.91,43.04,1590400
K,2006-02-15,43.78,43.83,43.0,43.05,1820600
K,2006-02-16,44.44,44.55,43.89,43.98,3252400
K,2006-02-17,44.5,44.6,44.32,44.32,2197600
K,2006-02-20,44.5,44.6,44.32,44.32,0
K,2006-02-21,44.75,44.94,44.6,44.67,1790200
K,2006-02-22,44.96,44.97,44.64,44.8,1630200
