Symbol,Date,Close,High,Low,Open,Volume
KEY,2006-01-02,32.93,33.13,32.68,33.03,0
KEY,2006-01-03,33.67,33.68,32.9,33.18,1847100
KEY,2006-01-04,33.88,33.95,33.46,33.54,1798400
KEY,2006-01-05,34.04,34.09,33.73,33.85,2041100
KEY,2006-01-06,34.05,34.08,33.69,34.04,1225000
KEY,2006-01-09,34.09,34.15,33.8,34.0,992000
KEY,2006-01-10,33.91,34.0,33.67,33.88,1051000
KEY,2006-01-11,33.72,33.91,33.53,33.85,1166100
KEY,2006-01-12,33.35,33.65,33.33,33.59,1219900
KEY,2006-01-13,33.69,33.7,33.32,33.4,873600
KEY,2006-01-16,33.69,33.7,33.32,33.4,0
KEY,2006-01-17,33.25,33.48,33.02,33.4,1512700
KEY,2006-01-18,33.34,33.5,33.05,33.25,964400
KEY,2006-01-19,33.13,33.46,32.96,33.29,2082399
KEY,2006-01-20,34.17,34.73,33.81,34.3,4936700
KEY,2006-01-23,34.94,35.07,34.41,34.47,3010000
KEY,2006-01-24,35.31,35.6,34.81,34.9,3435300
KEY,2006-01-25,35.67,35.78,35.19,35.22,2691600
KEY,2006-01-26,36.0,36.42,35.75,35.92,2196700
KEY,2006-01-27,35.68,36.15,35.4,35.8,1744500
KEY,2006-01-30,35.48,35.58,35.32,35.57,1650400
KEY,2006-01-31,35.39,35.64,34.772,35.48,1893900
KEY,2006-02-01,35.54,35.54,35.1,35.48,1892200
KEY,2006-02-02,35.44,35.93,35.18,35.54,1813500
KEY,2006-02-03,35.34,35.81,34.931,35.2,1999900
KEY,2006-02-06,35.46,35.5,35.2,35.3,1213400
KEY,2006-02-07,35.5,35.61,35.22,35.36,1579900
KEY,2006-02-08,35.72,35.72,35.63,35.72,1569700
KEY,2006-02-09,35.62,35.84,35.44,35.54,1010200
KEY,2006-02-10,35.98,36.0,35.33,35.57,1522100
KEY,2006-02-13,35.85,36.05,35.67,35.98,1017900
KEY,2006-02-14,36.6,36.71,35.75,35.78,2067100
KEY,2006-02-15,36.58,36.83,36.24,36.47,1856800
KEY,2006-02-16,36.93,36.93,36.47,36.49,966600
KEY,2006-02-17,36.73,37.0,36.58,36.94,1095900
KEY,2006-02-20,36.73,37.0,36.58,36.94,0
KEY,2006-02-21,36.66,37.07,36.61,36.85,1569600
KEY,2006-02-22,37.58,37.66,36.82,36.86,2107400
KEY,2006-02-23,37.54,37.65,37.07,37.47,1435800
KEY,2006-02-24,37.04,37.26,36.89,37.15,1704900
KEY,2006-02-27,37.42,37.6,37.17,37.2,1445300
KEY,2006-02-28,37.27,37.49,37.0,37.17,1820600
KEY,2006-03-01,36.91,37.13,36.66,36.87,2277600
KEY,2006-03-02,36.57,36.72,36.26,36.6,1907100
KEY,2006-03-03,36.3,36.55,36.15,36.4,1414000
KEY,2006-03-06,36.16,36.42,35.9,36.39,1505600
KEY,2006-03-07,36.62,36.68,35.92,35.92,1631100
KEY,2006-03-08,36.76,36.86,36.45,36.61,1186700
KEY,2006-03-09,36.43,36.85,36.41,36.7,1037800
KEY,2006-03-10,36.7,36.7,36.34,36.34,1290100
KEY,2006-03-13,37.05,37.2,36.68,36.75,1270100
KEY,2006-03-14,37.47,37.5,36.9,36.91,1486200
KEY,2006-03-15,37.26,37.54,37.18,37.54,1810000
KEY,2006-03-16,37.2,37.58,37.07,37.26,1869300
KEY,2006-03-17,37.37,37.43,37.0,37.27,1775300
KEY,2006-03-20,37.57,37.66,37.21,37.27,1249200
KEY,2006-03-21,37.39,37.67,37.32,37.45,1487000
KEY,2006-03-22,37.4,37.47,37.1,37.33,1518000
KEY,2006-03-23,37.32,37.43,37.02,37.24,1652800
KEY,2006-03-24,37.31,37.54,37.1,37.2,1001800
KEY,2006-03-27,37.33,37.36,37.11,37.3,722600
KEY,2006-03-28,36.84,37.33,36.74,37.21,1082700
KEY,2006-03-29,36.91,37.09,36.56,36.98,958700
KEY,2006-03-30,36.96,37.41,36.6,36.9,2052800
KEY,2006-03-31,36.8,37.19,36.75,36.81,1076200
KEY,2006-04-03,37.0,37.29,36.66,36.76,1448100
KEY,2006-04-04,37.74,37.83,36.93,36.99,1731900
KEY,2006-04-05,37.22,37.85,37.06,37.64,1488000
KEY,2006-04-06,37.06,37.35,36.72,37.23,1735300
KEY,2006-04-07,36.85,37.41,36.69,37.12,934300
KEY,2006-04-10,37.0,37.19,36.66,36.93,1465000
KEY,2006-04-11,36.83,37.29,36.77,37.16,1210600
KEY,2006-04-12,36.92,37.1,36.65,36.8,1024899
KEY,2006-04-13,36.94,37.05,36.64,36.93,877800
KEY,2006-04-14,36.94,37.05,36.64,36.93,0
KEY,2006-04-17,36.86,37.25,36.72,37.03,1403300
KEY,2006-04-18,37.23,37.3,36.13,36.75,3454900
KEY,2006-04-19,36.2,36.77,36.06,36.65,3010600
KEY,2006-04-20,36.33,36.61,36.07,36.07,1866900
KEY,2006-04-21,36.39,36.64,36.25,36.5,1609800
KEY,2006-04-24,36.28,36.42,36.07,36.4,1429000
KEY,2006-04-25,36.43,36.69,36.09,36.69,1764500
KEY,2006-04-26,36.48,36.74,36.43,36.56,1416000
KEY,2006-04-27,37.33,37.51,36.08,36.4,2724100
KEY,2006-04-28,38.22,38.31,37.18,37.34,2853600
KEY,2006-05-01,37.23,38.1,37.08,38.0,2349500
KEY,2006-05-02,37.04,37.42,36.82,37.23,1991800
KEY,2006-05-03,37.1,37.11,36.61,37.0,2185500
KEY,2006-05-04,37.09,37.3,37.06,37.2,1176900
KEY,2006-05-05,37.33,37.39,37.14,37.23,1508600
KEY,2006-05-08,37.43,37.62,37.3,37.3,1272300
KEY,2006-05-09,37.38,37.59,37.29,37.33,1387100
KEY,2006-05-10,37.51,37.53,37.17,37.17,1593400
KEY,2006-05-11,37.01,37.46,36.8,37.35,1555300
KEY,2006-05-12,36.55,37.08,36.48,37.07,1832600
KEY,2006-05-15,36.9,36.95,36.3,36.3,1385200
KEY,2006-05-16,36.69,36.9599,36.6,36.81,1222500
KEY,2006-05-17,35.95,36.59,35.8,36.49,2290700
KEY,2006-05-18,35.44,36.13,35.25,36.03,1775500
KEY,2006-05-19,35.89,36.02,35.51,35.82,1802000
