Symbol,Date,Close,High,Low,Open,Volume
KO,2006-01-02,20.155,20.395,20.155,20.19,0
KO,2006-01-03,20.45,20.495,20.175,20.395,13344600
KO,2006-01-04,20.41,20.535,20.33,20.495,18853800
KO,2006-01-05,20.51,20.565,20.29,20.36,16148000
KO,2006-01-06,20.705,20.78,20.43,20.53,16907800
KO,2006-01-09,20.805,20.835,20.625,20.745,13590800
KO,2006-01-10,20.825,20.865,20.59,20.59,13392400
KO,2006-01-11,20.835,20.905,20.735,20.83,10417000
KO,2006-01-12,20.72,20.815,20.64,20.64,17069600
KO,2006-01-13,20.655,20.775,20.525,20.69,10431600
KO,2006-01-16,20.655,20.775,20.525,20.69,0
KO,2006-01-17,20.515,20.64,20.45,20.54,11562800
KO,2006-01-18,20.41,20.5,20.3,20.5,12839800
KO,2006-01-19,20.465,20.57,20.3,20.47,10872000
KO,2006-01-20,20.045,20.435,19.68,20.415,18960600
KO,2006-01-23,20.25,20.33,20.0,20.0,13217200
KO,2006-01-24,20.45,20.65,20.35,20.6,15804000
KO,2006-01-25,20.57,20.595,20.45,20.57,13396600
KO,2006-01-26,20.74,20.79,20.575,20.64,14474400
KO,2006-01-27,20.985,20.995,20.61,20.74,13596800
KO,2006-01-30,20.875,20.98,20.77,20.925,12129800
KO,2006-01-31,20.69,20.87,20.605,20.87,12582800
KO,2006-02-01,20.75,20.77,20.515,20.595,12929400
KO,2006-02-02,20.615,20.755,20.49,20.66,12238000
KO,2006-02-03,20.44,20.615,20.26,20.51,12217000
KO,2006-02-06,20.47,20.5,20.315,20.415,12523200
KO,2006-02-07,20.515,20.74,20.305,20.7,20486600
KO,2006-02-08,20.645,20.645,20.615,20.63,18185800
KO,2006-02-09,20.5,20.71,20.45,20.56,14902200
KO,2006-02-10,20.58,20.71,20.355,20.455,12772200
KO,2006-02-13,20.37,20.69,20.315,20.69,11765200
KO,2006-02-14,20.67,20.72,20.47,20.495,13673400
KO,2006-02-15,20.67,20.72,20.555,20.695,12261600
