Symbol,Date,Close,High,Low,Open,Volume
KR,2006-01-02,9.44,9.47,9.35,9.4,0
KR,2006-01-03,9.475,9.5,9.34,9.445,7269400
KR,2006-01-04,9.375,9.475,9.37,9.435,6305600
KR,2006-01-05,9.41,9.43,9.34,9.35,6590600
KR,2006-01-06,9.38,9.49,9.345,9.485,5029200
KR,2006-01-09,9.39,9.425,9.345,9.38,6438000
KR,2006-01-10,9.33,9.36,9.275,9.3,6118800
KR,2006-01-11,9.29,9.35,9.21,9.35,9268800
KR,2006-01-12,9.365,9.37,9.275,9.295,9795000
KR,2006-01-13,9.38,9.43,9.315,9.4,7250000
KR,2006-01-16,9.38,9.43,9.315,9.4,0
KR,2006-01-17,9.395,9.405,9.305,9.35,6988000
KR,2006-01-18,9.535,9.535,9.37,9.385,7523600
KR,2006-01-19,9.5,9.575,9.365,9.525,10361200
KR,2006-01-20,9.525,9.55,9.47,9.485,9706600
KR,2006-01-23,9.515,9.595,9.49,9.5,8759000
KR,2006-01-24,9.495,9.53,9.37,9.505,6888000
KR,2006-01-25,9.305,9.495,9.29,9.495,7407800
KR,2006-01-26,9.27,9.725,9.235,9.305,7157600
KR,2006-01-27,9.285,9.37,9.235,9.25,4414600
KR,2006-01-30,9.175,9.335,9.17,9.265,5204600
KR,2006-01-31,9.2,9.225,9.135,9.175,6607000
KR,2006-02-01,9.145,9.21,9.08,9.195,6141000
KR,2006-02-02,9.135,9.175,9.025,9.135,5978000
KR,2006-02-03,9.315,9.41,9.24,9.3,6855800
KR,2006-02-06,9.43,9.495,9.28,9.29,4628800
KR,2006-02-07,9.475,9.565,9.325,9.385,6852000
KR,2006-02-08,9.59,9.625,9.375,9.45,9732400
KR,2006-02-09,9.68,9.735,9.515,9.585,10287800
KR,2006-02-10,9.76,9.785,9.65,9.7,8833000
KR,2006-02-13,9.81,9.845,9.67,9.7,6135400
KR,2006-02-14,9.905,9.945,9.765,9.82,9334400
KR,2006-02-15,9.9,9.98,9.82,9.86,6274400
KR,2006-02-16,10.005,10.02,9.865,9.875,7261800
KR,2006-02-17,9.99,10.025,9.93,10.0,5459800
KR,2006-02-20,9.99,10.025,9.93,10.0,0
KR,2006-02-21,10.03,10.08,9.97,10.0,10840000
KR,2006-02-22,9.965,10.095,9.95,10.09,6505600
KR,2006-02-23,10.05,10.125,9.92,9.92,12413800
KR,2006-02-24,9.995,10.09,9.955,10.025,5567800
KR,2006-02-27,10.12,10.18,9.98,10.01,7087400
KR,2006-02-28,10.02,10.1,9.98,10.06,5110200
KR,2006-03-01,10.055,10.12,9.975,10.015,6466600
KR,2006-03-02,9.895,10.07,9.895,10.0,9808200
KR,2006-03-03,9.98,10.1,9.85,9.865,6103400
KR,2006-03-06,9.94,10.04,9.905,9.975,5040200
KR,2006-03-07,10.075,10.175,9.82,10.125,11344800
KR,2006-03-08,10.235,10.25,10.005,10.05,8105600
KR,2006-03-09,10.09,10.235,10.04,10.2,7184600
KR,2006-03-10,10.25,10.25,10.05,10.08,6215600
KR,2006-03-13,10.275,10.29,10.215,10.245,6171400
KR,2006-03-14,10.36,10.375,10.175,10.225,6679600
KR,2006-03-15,10.38,10.39,10.235,10.37,5768000
KR,2006-03-16,10.375,10.425,10.295,10.41,6033200
KR,2006-03-17,10.37,10.49,10.29,10.375,10669000
KR,2006-03-20,10.22,10.385,10.175,10.325,6518200
