Symbol,Date,Close,High,Low,Open,Volume
KSS,2006-01-02,48.6,49.15,48.32,48.41,0
KSS,2006-01-03,47.37,49.33,47.03,49.33,6964600
KSS,2006-01-04,46.98,47.07,46.08,46.8,5183200
KSS,2006-01-05,43.94,46.0,43.9,46.0,15505500
KSS,2006-01-06,44.5,44.828,43.72,44.4,8847400
KSS,2006-01-09,44.38,44.66,44.12,44.5,4655100
KSS,2006-01-10,45.03,45.13,44.26,44.36,3234500
KSS,2006-01-11,45.72,45.89,44.76,45.07,5752000
KSS,2006-01-12,45.7,46.35,45.44,45.9,3134300
KSS,2006-01-13,45.97,46.12,45.56,45.9,2770700
KSS,2006-01-16,45.97,46.12,45.56,45.9,0
KSS,2006-01-17,45.58,45.67,45.13,45.5,2502300
KSS,2006-01-18,44.58,45.5,44.33,45.0,16452000
KSS,2006-01-19,44.48,44.87,44.42,44.83,3783100
KSS,2006-01-20,43.62,44.69,43.41,44.51,5879900
KSS,2006-01-23,43.03,43.61,42.78,43.52,3634000
KSS,2006-01-24,43.65,43.66,43.05,43.25,4822700
KSS,2006-01-25,45.35,45.42,44.4,44.5,4501200
KSS,2006-01-26,44.85,45.48,44.63,45.44,3312000
KSS,2006-01-27,44.2,45.09,43.96,44.76,4884000
KSS,2006-01-30,44.87,45.26,44.32,44.35,3109900
KSS,2006-01-31,44.39,44.595,44.0,44.52,3379300
KSS,2006-02-01,44.52,44.75,44.15,44.15,3108900
KSS,2006-02-02,45.29,45.6,44.56,44.57,4861200
KSS,2006-02-03,45.24,45.73,44.95,45.24,2476100
KSS,2006-02-06,44.33,45.31,43.97,45.06,3159600
KSS,2006-02-07,44.13,44.75,44.0,44.33,1844000
KSS,2006-02-08,44.97,45.04,43.9,44.14,1982700
KSS,2006-02-09,44.87,45.44,44.8,45.05,1913500
KSS,2006-02-10,45.13,45.24,44.44,44.74,1264600
KSS,2006-02-13,45.15,45.46,44.62,44.92,1341200
KSS,2006-02-14,45.52,45.72,45.12,45.32,2002300
KSS,2006-02-15,46.8,47.04,45.52,45.76,3500700
KSS,2006-02-16,46.85,47.08,46.55,46.85,2443300
KSS,2006-02-17,46.01,46.96,45.9,46.81,2165200
KSS,2006-02-20,46.01,46.96,45.9,46.81,0
KSS,2006-02-21,45.44,47.26,45.4,47.26,2663100
KSS,2006-02-22,45.0,45.5,44.62,45.5,5394000
KSS,2006-02-23,45.15,45.15,44.51,45.0,3334300
KSS,2006-02-24,46.86,47.2,45.455,45.455,6605200
KSS,2006-02-27,47.3,47.48,46.53,46.78,2500800
KSS,2006-02-28,48.11,48.75,47.33,47.5,4297500
KSS,2006-03-01,48.84,48.84,48.0,48.0,3216300
KSS,2006-03-02,49.03,49.98,48.48,48.73,4744700
KSS,2006-03-03,48.8,49.69,48.43,49.69,1586700
KSS,2006-03-06,50.53,50.65,49.96,50.2,4472800
KSS,2006-03-07,50.71,50.76,49.86,50.55,2664200
KSS,2006-03-08,50.3,50.63,49.63,50.4,2326500
KSS,2006-03-09,50.03,50.4,49.723,50.25,1674500
KSS,2006-03-10,50.79,51.12,49.84,50.1,2173400
KSS,2006-03-13,51.17,51.776,50.65,50.79,1771400
KSS,2006-03-14,51.94,52.14,50.66,50.75,2980900
KSS,2006-03-15,52.55,52.9,52.1,52.18,3590700
KSS,2006-03-16,52.01,52.84,52.01,52.65,3064100
KSS,2006-03-17,52.99,53.0,52.26,52.5,3223600
KSS,2006-03-20,51.83,52.78,51.55,52.75,2594300
KSS,2006-03-21,51.36,51.98,51.02,51.7,1930300
KSS,2006-03-22,51.84,52.06,50.78,51.2,1689700
KSS,2006-03-23,51.2,51.82,51.05,51.66,1248200
KSS,2006-03-24,50.82,51.3,50.53,51.18,2628100
KSS,2006-03-27,51.81,51.93,50.72,51.26,2567400
KSS,2006-03-28,51.95,52.2,51.3,51.88,2466300
KSS,2006-03-29,52.65,52.78,51.55,51.85,2568800
KSS,2006-03-30,53.35,53.52,52.41,52.5,4469800
KSS,2006-03-31,53.01,53.55,52.99,53.25,2543700
KSS,2006-04-03,51.74,53.1,51.61,52.5,3322500
KSS,2006-04-04,52.62,52.65,51.51,51.7,2021999
KSS,2006-04-05,52.51,53.01,52.44,52.62,2331800
KSS,2006-04-06,54.44,54.48,52.09,52.09,4234500
KSS,2006-04-07,53.4,54.701,53.33,54.4,3284700
KSS,2006-04-10,53.95,54.08,53.62,53.75,2349900
KSS,2006-04-11,53.52,53.83,53.157,53.8,3126200
KSS,2006-04-12,53.27,53.49,52.61,53.35,1963600
KSS,2006-04-13,52.63,52.9,52.34,52.9,3162300
KSS,2006-04-14,52.63,52.9,52.34,52.9,0
KSS,2006-04-17,52.05,52.6,51.86,51.86,1870400
KSS,2006-04-18,53.46,53.97,52.11,52.15,3610800
KSS,2006-04-19,53.72,53.82,52.78,53.7,2489300
KSS,2006-04-20,53.81,54.28,53.23,53.72,2390400
KSS,2006-04-21,54.36,54.94,53.97,54.3,3305100
KSS,2006-04-24,54.12,54.38,52.69,53.5,3834400
KSS,2006-04-25,55.18,55.19,53.61,53.9,4657800
KSS,2006-04-26,56.0,56.29,55.4,55.5,4326600
KSS,2006-04-27,55.92,56.45,55.5,55.6,3597100
KSS,2006-04-28,55.84,56.28,55.35,55.92,2890100
KSS,2006-05-01,55.87,57.14,55.67,57.0,4596100
KSS,2006-05-02,56.45,56.5,55.55,55.98,2487100
KSS,2006-05-03,56.8,56.8,56.09,56.35,2346900
KSS,2006-05-04,57.77,58.05,56.17,57.77,4796800
KSS,2006-05-05,57.49,58.0,56.93,57.3,3739600
KSS,2006-05-08,57.06,57.88,56.8,57.2,2528000
KSS,2006-05-09,56.79,57.1,56.58,56.82,1955100
KSS,2006-05-10,57.05,57.32,56.29,56.68,2366000
KSS,2006-05-11,56.85,57.03,56.0,56.9,2700400
KSS,2006-05-12,56.65,57.46,55.0,57.46,5223300
KSS,2006-05-15,57.34,57.45,56.1,56.25,3086200
KSS,2006-05-16,56.87,57.5,56.72,57.45,4456700
KSS,2006-05-17,57.2,57.65,56.6,56.75,5005200
KSS,2006-05-18,57.25,58.0,57.07,57.4,4896400
KSS,2006-05-19,57.76,57.76,57.29,57.35,2553100
KSS,2006-05-22,57.51,57.93,56.87,57.51,3581800
KSS,2006-05-23,56.98,57.98,56.92,57.8,4073000
KSS,2006-05-24,55.68,57.1,55.02,57.0,6574400
KSS,2006-05-25,54.45,55.09,53.79,55.0,6102200
KSS,2006-05-26,54.13,54.76,53.83,54.43,3300200
KSS,2006-05-29,54.13,54.76,53.83,54.43,0
KSS,2006-05-30,52.93,53.81,52.78,53.75,4779900
KSS,2006-05-31,53.69,53.74,53.19,53.35,5128300
KSS,2006-06-01,54.54,54.63,52.69,52.75,5774300
KSS,2006-06-02,54.33,55.0,53.3,55.0,3359200
KSS,2006-06-05,53.91,55.18,53.75,54.38,3256500
KSS,2006-06-06,54.05,54.29,53.25,54.15,4513100
KSS,2006-06-07,54.81,55.39,54.22,54.3,3286200
KSS,2006-06-08,54.65,55.25,53.99,54.8,5426900
KSS,2006-06-09,54.46,55.4,54.45,55.15,3762400
KSS,2006-06-12,54.72,55.5,54.31,54.56,3923000
KSS,2006-06-13,55.0,55.95,54.9,55.15,4788400
KSS,2006-06-14,55.78,56.32,55.15,55.2,4967000
KSS,2006-06-15,57.57,57.69,55.34,55.66,4244400
KSS,2006-06-16,57.5,58.22,57.13,57.74,5017000
KSS,2006-06-19,57.77,58.4,57.57,57.85,3767100
KSS,2006-06-20,57.57,58.05,57.23,57.7,3707200
KSS,2006-06-21,58.0,58.29,56.77,57.53,3586500
KSS,2006-06-22,58.0,58.23,57.46,57.95,3034600
KSS,2006-06-23,57.82,58.1,57.61,57.88,2455200
KSS,2006-06-26,58.0,58.79,57.8,57.8,3954900
KSS,2006-06-27,56.99,58.15,56.86,57.85,2202800
KSS,2006-06-28,56.92,57.46,55.96,57.06,2845500
KSS,2006-06-29,58.77,58.78,56.92,56.92,4021800
KSS,2006-06-30,59.12,59.73,58.9,58.95,3147800
KSS,2006-07-03,58.45,59.3,58.26,59.3,1079900
KSS,2006-07-04,58.45,59.3,58.26,59.3,0
KSS,2006-07-05,59.18,59.25,57.41,58.0,3053700
KSS,2006-07-06,59.82,60.09,58.71,58.85,5455200
KSS,2006-07-07,58.68,59.65,58.36,59.65,2541300
KSS,2006-07-10,58.85,59.49,58.68,59.0,2444900
KSS,2006-07-11,58.99,59.25,58.14,58.85,3103100
KSS,2006-07-12,57.24,58.5,57.09,58.19,4236000
KSS,2006-07-13,55.72,57.18,55.33,57.0,3598900
KSS,2006-07-14,54.9,55.73,54.33,55.5,2566600
KSS,2006-07-17,55.77,56.25,53.85,55.03,2542900
KSS,2006-07-18,54.01,55.49,53.01,54.9,6447400
KSS,2006-07-19,54.99,55.76,54.45,54.45,5511600
KSS,2006-07-20,54.28,55.25,54.07,55.25,3321300
KSS,2006-07-21,54.08,54.42,53.4,53.8,2723300
KSS,2006-07-24,55.47,55.69,54.46,54.53,2238900
KSS,2006-07-25,55.82,56.1,54.855,55.22,1761300
KSS,2006-07-26,54.36,55.67,54.26,55.5,2876400
KSS,2006-07-27,54.25,54.79,54.06,54.36,3402400
KSS,2006-07-28,55.21,55.35,54.5,54.75,2704400
KSS,2006-07-31,56.63,57.4,55.83,56.25,3019900
KSS,2006-08-01,56.61,56.63,55.56,56.3,1574000
KSS,2006-08-02,57.0,57.4,56.36,56.85,2291000
KSS,2006-08-03,58.12,58.39,56.28,56.5,3853000
KSS,2006-08-04,58.79,59.34,58.23,58.9,2483700
KSS,2006-08-07,59.06,59.35,58.25,58.79,2981800
KSS,2006-08-08,58.4,59.25,58.0,59.25,2436400
KSS,2006-08-09,57.55,59.0,57.43,58.53,2388100
KSS,2006-08-10,58.19,58.5,56.86,57.6,3801500
KSS,2006-08-11,60.76,60.93,59.22,60.5,6912800
KSS,2006-08-14,61.13,61.25,59.87,60.88,4404100
KSS,2006-08-15,61.52,61.72,60.643,61.45,3429000
KSS,2006-08-16,61.94,62.04,60.85,61.8,2910300
KSS,2006-08-17,62.07,62.45,61.61,61.98,1838100
KSS,2006-08-18,61.73,62.48,61.12,62.4,2178500
KSS,2006-08-21,61.13,61.29,60.23,61.25,3101100
KSS,2006-08-22,60.4,61.23,60.4,61.23,4656800
KSS,2006-08-23,60.89,61.0,60.0,60.4,3496400
KSS,2006-08-24,60.81,60.91,60.1,60.75,2403800
KSS,2006-08-25,60.3,60.75,59.95,60.7,3696000
KSS,2006-08-28,60.95,61.5,60.5,60.5,2703200
KSS,2006-08-29,62.59,62.73,60.98,61.05,4419000
KSS,2006-08-30,62.37,62.95,61.88,62.95,2818900
KSS,2006-08-31,62.51,63.61,62.01,63.0,3031800
KSS,2006-09-01,63.45,63.45,62.31,62.75,2165600
KSS,2006-09-04,63.45,63.45,62.31,62.75,0
KSS,2006-09-05,63.46,63.68,63.14,63.65,1511100
KSS,2006-09-06,63.56,63.78,62.8,63.28,2111200
KSS,2006-09-07,64.24,64.93,63.31,63.5,2710400
KSS,2006-09-08,65.09,65.17,64.3,64.9,2545000
KSS,2006-09-11,65.52,66.19,64.75,65.18,3644000
KSS,2006-09-12,66.66,67.04,65.25,65.48,4244200
KSS,2006-09-13,67.35,67.4,66.12,66.6,4005700
KSS,2006-09-14,67.65,67.77,65.73,66.5,4200900
KSS,2006-09-15,66.85,67.95,66.42,67.95,4660800
KSS,2006-09-18,67.19,67.67,65.823,66.1,3085000
KSS,2006-09-19,67.57,67.85,66.82,67.44,2189400
KSS,2006-09-20,67.8,68.44,67.42,68.0,3346400
